t,v,s,r
2022-03-31T23:45-07:00,540.824462890625,0,0
2022-04-01T00:00-07:00,541.5068969726562,0,0
2022-04-01T00:15-07:00,527.8582763671875,0,0
2022-04-01T00:30-07:00,543.55419921875,0,0
2022-04-01T00:45-07:00,552.7669677734375,0,0
2022-04-01T01:00-07:00,546.96630859375,0,0
2022-04-01T01:15-07:00,536.0474853515625,0,0
2022-04-01T01:30-07:00,524.7874145507812,0,0
2022-04-01T01:45-07:00,532.6353149414062,0,0
2022-04-01T02:00-07:00,537.0711059570312,0,0
2022-04-01T02:15-07:00,534.0001831054688,0,0
2022-04-01T02:30-07:00,556.1790771484375,0,0
2022-04-01T02:45-07:00,551.402099609375,0,0
2022-04-01T03:00-07:00,498.8551025390625,0,0
2022-04-01T03:15-07:00,539.80078125,0,0
2022-04-01T03:30-07:00,521.7164916992188,0,0
2022-04-01T03:45-07:00,504.6557922363281,0,0
2022-04-01T04:00-07:00,511.4800720214844,0,0
2022-04-01T04:15-07:00,516.5982666015625,0,0
2022-04-01T04:30-07:00,494.7605285644531,0,0
2022-04-01T04:45-07:00,510.7975769042969,0,0
2022-04-01T05:00-07:00,464.3924865722656,0,0
2022-04-01T05:15-07:00,472.2404479980469,0,0
2022-04-01T05:30-07:00,489.3011474609375,0,0
2022-04-01T05:45-07:00,505.6793823242188,0,0
2022-04-01T06:00-07:00,501.9260559082031,0,0
2022-04-01T06:15-07:00,476.6761779785156,0,0
2022-04-01T06:30-07:00,487.25384521484375,0,0
2022-04-01T06:45-07:00,477.0174255371094,0,0
2022-04-01T07:00-07:00,549.0136108398438,0,0
2022-04-01T07:15-07:00,519.3279418945312,0,0
2022-04-01T07:30-07:00,501.9260559082031,0,0
2022-04-01T07:45-07:00,505.6793823242188,0,0
2022-04-01T08:00-07:00,518.3043212890625,0,0
2022-04-01T08:15-07:00,552.42578125,0,0
2022-04-01T08:30-07:00,561.979736328125,0,0
2022-04-01T08:45-07:00,553.7905883789062,0,0
2022-04-01T09:00-07:00,575.6282958984375,0,0
2022-04-01T09:15-07:00,570.851318359375,0,0
2022-04-01T09:30-07:00,593.3714599609375,0,0
2022-04-01T09:45-07:00,584.8411254882812,0,0
2022-04-01T10:00-07:00,588.5944213867188,0,0
2022-04-01T10:15-07:00,593.712646484375,0,0
2022-04-01T10:30-07:00,612.1382446289062,0,0
2022-04-01T10:45-07:00,574.9458618164062,0,0
2022-04-01T11:00-07:00,587.57080078125,0,0
2022-04-01T11:15-07:00,591.6654052734375,0,0
2022-04-01T11:30-07:00,611.1145629882812,0,0
2022-04-01T11:45-07:00,604.9727172851562,0,0
2022-04-01T12:00-07:00,601.5606079101562,0,0
2022-04-01T12:15-07:00,646.600830078125,0,0
2022-04-01T12:30-07:00,630.2225341796875,0,0
2022-04-01T12:45-07:00,629.198974609375,0,0
2022-04-01T13:00-07:00,639.7765502929688,0,0
2022-04-01T13:15-07:00,654.1075439453125,0,0
2022-04-01T13:30-07:00,685.8404541015625,0,0
2022-04-01T13:45-07:00,684.8168334960938,0,0
2022-04-01T14:00-07:00,704.948486328125,0,0
2022-04-01T14:15-07:00,671.5094604492188,0,0
2022-04-01T14:30-07:00,676.9689331054688,0,0
2022-04-01T14:45-07:00,712.1139526367188,0,0
2022-04-01T15:00-07:00,700.5126953125,0,0
2022-04-01T15:15-07:00,708.7017822265625,0,0
2022-04-01T15:30-07:00,731.2219848632812,0,0
2022-04-01T15:45-07:00,729.8571166992188,0,0
2022-04-01T16:00-07:00,693.34716796875,0,0
2022-04-01T16:15-07:00,671.5094604492188,0,0
2022-04-01T16:30-07:00,691.9823608398438,0,0
2022-04-01T16:45-07:00,676.2864379882812,0,0
2022-04-01T17:00-07:00,665.3676147460938,0,0
2022-04-01T17:15-07:00,625.445556640625,0,0
2022-04-01T17:30-07:00,630.2225341796875,0,0
2022-04-01T17:45-07:00,664.0028076171875,0,0
2022-04-01T18:00-07:00,647.9656982421875,0,0
2022-04-01T18:15-07:00,638.4117431640625,0,0
