t,v,s,r
2022-03-31T23:45-07:00,42.9500732421875,0,0
2022-04-01T00:00-07:00,42.934814453125,0,0
2022-04-01T00:15-07:00,43.01876831054688,0,0
2022-04-01T00:30-07:00,42.95770263671875,0,0
2022-04-01T00:45-07:00,42.94244384765625,0,0
2022-04-01T01:00-07:00,42.92718505859375,0,0
2022-04-01T01:15-07:00,42.97296142578125,0,0
2022-04-01T01:30-07:00,43.011138916015625,0,0
2022-04-01T01:45-07:00,43.011138916015625,0,0
2022-04-01T02:00-07:00,43.026397705078125,0,0
2022-04-01T02:15-07:00,42.98825073242188,0,0
2022-04-01T02:30-07:00,42.9805908203125,0,0
2022-04-01T02:45-07:00,42.9805908203125,0,0
2022-04-01T03:00-07:00,42.9500732421875,0,0
2022-04-01T03:15-07:00,42.95770263671875,0,0
2022-04-01T03:30-07:00,43.01876831054688,0,0
2022-04-01T03:45-07:00,42.98825073242188,0,0
2022-04-01T04:00-07:00,42.9805908203125,0,0
2022-04-01T04:15-07:00,42.9500732421875,0,0
2022-04-01T04:30-07:00,42.934814453125,0,0
2022-04-01T04:45-07:00,42.92718505859375,0,0
2022-04-01T05:00-07:00,42.9500732421875,0,0
2022-04-01T05:15-07:00,42.9500732421875,0,0
2022-04-01T05:30-07:00,42.94244384765625,0,0
2022-04-01T05:45-07:00,42.87374877929688,0,0
2022-04-01T06:00-07:00,42.904296875,0,0
2022-04-01T06:15-07:00,42.866119384765625,0,0
2022-04-01T06:30-07:00,42.858489990234375,0,0
2022-04-01T06:45-07:00,42.881378173828125,0,0
2022-04-01T07:00-07:00,42.934814453125,0,0
2022-04-01T07:15-07:00,42.904296875,0,0
2022-04-01T07:30-07:00,42.87374877929688,0,0
2022-04-01T07:45-07:00,42.84323120117188,0,0
2022-04-01T08:00-07:00,42.827972412109375,0,0
2022-04-01T08:15-07:00,42.866119384765625,0,0
2022-04-01T08:30-07:00,42.95770263671875,0,0
2022-04-01T08:45-07:00,43.003509521484375,0,0
2022-04-01T09:00-07:00,43.01876831054688,0,0
2022-04-01T09:15-07:00,43.04165649414063,0,0
2022-04-01T09:30-07:00,43.056915283203125,0,0
2022-04-01T09:45-07:00,43.003509521484375,0,0
2022-04-01T10:00-07:00,42.95770263671875,0,0
2022-04-01T10:15-07:00,42.94244384765625,0,0
2022-04-01T10:30-07:00,43.003509521484375,0,0
2022-04-01T10:45-07:00,42.96533203125,0,0
2022-04-01T11:00-07:00,42.96533203125,0,0
2022-04-01T11:15-07:00,42.91192626953125,0,0
2022-04-01T11:30-07:00,42.881378173828125,0,0
2022-04-01T11:45-07:00,42.904296875,0,0
2022-04-01T12:00-07:00,42.94244384765625,0,0
2022-04-01T12:15-07:00,42.9500732421875,0,0
2022-04-01T12:30-07:00,42.96533203125,0,0
2022-04-01T12:45-07:00,42.995880126953125,0,0
2022-04-01T13:00-07:00,42.96533203125,0,0
2022-04-01T13:15-07:00,43.01876831054688,0,0
2022-04-01T13:30-07:00,42.96533203125,0,0
2022-04-01T13:45-07:00,43.003509521484375,0,0
2022-04-01T14:00-07:00,42.92718505859375,0,0
2022-04-01T14:15-07:00,42.9500732421875,0,0
2022-04-01T14:30-07:00,42.9500732421875,0,0
2022-04-01T14:45-07:00,42.9805908203125,0,0
2022-04-01T15:00-07:00,43.026397705078125,0,0
2022-04-01T15:15-07:00,42.94244384765625,0,0
2022-04-01T15:30-07:00,42.9805908203125,0,0
2022-04-01T15:45-07:00,42.95770263671875,0,0
2022-04-01T16:00-07:00,42.889007568359375,0,0
2022-04-01T16:15-07:00,42.9195556640625,0,0
2022-04-01T16:30-07:00,42.866119384765625,0,0
2022-04-01T16:45-07:00,42.805084228515625,0,0
2022-04-01T17:00-07:00,42.7745361328125,0,0
2022-04-01T17:15-07:00,42.789794921875,0,0
2022-04-01T17:30-07:00,42.805084228515625,0,0
2022-04-01T17:45-07:00,42.7745361328125,0,0
2022-04-01T18:00-07:00,42.805084228515625,0,0
2022-04-01T18:15-07:00,42.789794921875,0,0
2022-04-01T18:30-07:00,42.75927734375,0,0
2022-04-01T18:45-07:00,42.78216552734375,0,0
2022-04-01T19:00-07:00,42.7745361328125,0,0
2022-04-01T19:15-07:00,42.78216552734375,0,0
2022-04-01T19:30-07:00,42.789794921875,0,0
2022-04-01T19:45-07:00,42.79742431640625,0,0
2022-04-01T20:00-07:00,42.84323120117188,0,0
2022-04-01T20:15-07:00,42.827972412109375,0,0
2022-04-01T20:30-07:00,42.820343017578125,0,0
2022-04-01T20:45-07:00,42.820343017578125,0,0
2022-04-01T21:00-07:00,42.84323120117188,0,0
2022-04-01T21:15-07:00,42.820343017578125,0,0
2022-04-01T21:30-07:00,42.866119384765625,0,0
2022-04-01T21:45-07:00,42.889007568359375,0,0
2022-04-01T22:00-07:00,42.881378173828125,0,0
2022-04-01T22:15-07:00,42.83560180664063,0,0
2022-04-01T22:30-07:00,42.889007568359375,0,0
2022-04-01T22:45-07:00,42.889007568359375,0,0
2022-04-01T23:00-07:00,42.84323120117188,0,0
2022-04-01T23:15-07:00,42.87374877929688,0,0
2022-04-01T23:30-07:00,42.850860595703125,0,0
2022-04-01T23:45-07:00,42.83560180664063,0,0
2022-04-02T00:00-07:00,42.827972412109375,0,0
2022-04-02T00:15-07:00,43.011138916015625,0,0
2022-04-02T00:30-07:00,43.04928588867188,0,0
2022-04-02T00:45-07:00,43.01876831054688,0,0
2022-04-02T01:00-07:00,43.01876831054688,0,0
2022-04-02T01:15-07:00,43.072174072265625,0,0
2022-04-02T01:30-07:00,43.034027099609375,0,0
2022-04-02T01:45-07:00,43.04928588867188,0,0
2022-04-02T02:00-07:00,42.9805908203125,0,0
2022-04-02T02:15-07:00,42.995880126953125,0,0
2022-04-02T02:30-07:00,42.98825073242188,0,0
2022-04-02T02:45-07:00,43.011138916015625,0,0
2022-04-02T03:00-07:00,42.92718505859375,0,0
2022-04-02T03:15-07:00,43.011138916015625,0,0
2022-04-02T03:30-07:00,42.97296142578125,0,0
2022-04-02T03:45-07:00,42.9500732421875,0,0
2022-04-02T04:00-07:00,42.91192626953125,0,0
2022-04-02T04:15-07:00,42.91192626953125,0,0
2022-04-02T04:30-07:00,42.9805908203125,0,0
2022-04-02T04:45-07:00,43.01876831054688,0,0
2022-04-02T05:00-07:00,43.079833984375,0,0
2022-04-02T05:15-07:00,43.04928588867188,0,0
2022-04-02T05:30-07:00,43.10272216796875,0,0
2022-04-02T05:45-07:00,43.1103515625,0,0
2022-04-02T06:00-07:00,43.064544677734375,0,0
2022-04-02T06:15-07:00,42.98825073242188,0,0
2022-04-02T06:30-07:00,42.97296142578125,0,0
2022-04-02T06:45-07:00,42.96533203125,0,0
2022-04-02T07:00-07:00,42.9500732421875,0,0
2022-04-02T07:15-07:00,42.92718505859375,0,0
2022-04-02T07:30-07:00,42.94244384765625,0,0
2022-04-02T07:45-07:00,42.904296875,0,0
2022-04-02T08:00-07:00,42.84323120117188,0,0
2022-04-02T08:15-07:00,42.858489990234375,0,0
2022-04-02T08:30-07:00,42.91192626953125,0,0
2022-04-02T08:45-07:00,42.92718505859375,0,0
2022-04-02T09:00-07:00,42.94244384765625,0,0
2022-04-02T09:15-07:00,43.011138916015625,0,0
2022-04-02T09:30-07:00,43.034027099609375,0,0
2022-04-02T09:45-07:00,43.0950927734375,0,0
2022-04-02T10:00-07:00,43.08746337890625,0,0
2022-04-02T10:15-07:00,43.072174072265625,0,0
2022-04-02T10:30-07:00,43.01876831054688,0,0
2022-04-02T10:45-07:00,42.995880126953125,0,0
2022-04-02T11:00-07:00,43.034027099609375,0,0
2022-04-02T11:15-07:00,42.98825073242188,0,0
2022-04-02T11:30-07:00,43.026397705078125,0,0
2022-04-02T11:45-07:00,43.04165649414063,0,0
2022-04-02T12:00-07:00,43.04928588867188,0,0
2022-04-02T12:15-07:00,42.97296142578125,0,0
2022-04-02T12:30-07:00,42.96533203125,0,0
2022-04-02T12:45-07:00,42.97296142578125,0,0
2022-04-02T13:00-07:00,42.934814453125,0,0
2022-04-02T13:15-07:00,43.759063720703125,0,0
2022-04-02T13:30-07:00,44.316192626953125,0,0
2022-04-02T13:45-07:00,43.1103515625,0,0
2022-04-02T14:00-07:00,42.96533203125,0,0
2022-04-02T14:15-07:00,42.9805908203125,0,0
2022-04-02T14:30-07:00,42.89666748046875,0,0
2022-04-02T14:45-07:00,42.89666748046875,0,0
2022-04-02T15:00-07:00,42.95770263671875,0,0
2022-04-02T15:15-07:00,42.94244384765625,0,0
2022-04-02T15:30-07:00,42.9805908203125,0,0
2022-04-02T15:45-07:00,43.003509521484375,0,0
2022-04-02T16:00-07:00,42.995880126953125,0,0
2022-04-02T16:15-07:00,42.98825073242188,0,0
2022-04-02T16:30-07:00,42.94244384765625,0,0
2022-04-02T16:45-07:00,42.89666748046875,0,0
2022-04-02T17:00-07:00,42.84323120117188,0,0
2022-04-02T17:15-07:00,42.820343017578125,0,0
2022-04-02T17:30-07:00,42.81271362304688,0,0
2022-04-02T17:45-07:00,42.820343017578125,0,0
2022-04-02T18:00-07:00,42.789794921875,0,0
2022-04-02T18:15-07:00,42.789794921875,0,0
2022-04-02T18:30-07:00,42.789794921875,0,0
2022-04-02T18:45-07:00,42.84323120117188,0,0
2022-04-02T19:00-07:00,42.820343017578125,0,0
2022-04-02T19:15-07:00,42.84323120117188,0,0
2022-04-02T19:30-07:00,42.850860595703125,0,0
2022-04-02T19:45-07:00,42.84323120117188,0,0
2022-04-02T20:00-07:00,42.95770263671875,0,0
2022-04-02T20:15-07:00,42.96533203125,0,0
2022-04-02T20:30-07:00,42.96533203125,0,0
2022-04-02T20:45-07:00,42.934814453125,0,0
2022-04-02T21:00-07:00,43.026397705078125,0,0
2022-04-02T21:15-07:00,43.01876831054688,0,0
2022-04-02T21:30-07:00,42.98825073242188,0,0
2022-04-02T21:45-07:00,43.01876831054688,0,0
2022-04-02T22:00-07:00,42.95770263671875,0,0
2022-04-02T22:15-07:00,43.003509521484375,0,0
2022-04-02T22:30-07:00,42.9805908203125,0,0
2022-04-02T22:45-07:00,42.97296142578125,0,0
2022-04-02T23:00-07:00,42.9500732421875,0,0
2022-04-02T23:15-07:00,42.96533203125,0,0
2022-04-02T23:30-07:00,42.9805908203125,0,0
2022-04-02T23:45-07:00,42.94244384765625,0,0
2022-04-03T00:00-07:00,43.003509521484375,0,0
2022-04-03T00:15-07:00,43.011138916015625,0,0
2022-04-03T00:30-07:00,43.04165649414063,0,0
2022-04-03T00:45-07:00,43.01876831054688,0,0
2022-04-03T01:00-07:00,43.04165649414063,0,0
2022-04-03T01:15-07:00,43.04165649414063,0,0
2022-04-03T01:30-07:00,43.08746337890625,0,0
2022-04-03T01:45-07:00,43.072174072265625,0,0
2022-04-03T02:00-07:00,43.10272216796875,0,0
2022-04-03T02:15-07:00,43.056915283203125,0,0
2022-04-03T02:30-07:00,43.026397705078125,0,0
2022-04-03T02:45-07:00,42.9805908203125,0,0
2022-04-03T03:00-07:00,42.9805908203125,0,0
2022-04-03T03:15-07:00,42.98825073242188,0,0
2022-04-03T03:30-07:00,42.95770263671875,0,0
2022-04-03T03:45-07:00,42.96533203125,0,0
2022-04-03T04:00-07:00,42.92718505859375,0,0
2022-04-03T04:15-07:00,42.9805908203125,0,0
2022-04-03T04:30-07:00,42.98825073242188,0,0
2022-04-03T04:45-07:00,43.034027099609375,0,0
2022-04-03T05:00-07:00,43.003509521484375,0,0
2022-04-03T05:15-07:00,43.011138916015625,0,0
2022-04-03T05:30-07:00,42.9805908203125,0,0
2022-04-03T05:45-07:00,43.01876831054688,0,0
2022-04-03T06:00-07:00,42.9805908203125,0,0
2022-04-03T06:15-07:00,43.003509521484375,0,0
2022-04-03T06:30-07:00,42.9805908203125,0,0
2022-04-03T06:45-07:00,43.034027099609375,0,0
2022-04-03T07:00-07:00,43.04165649414063,0,0
2022-04-03T07:15-07:00,43.026397705078125,0,0
2022-04-03T07:30-07:00,42.97296142578125,0,0
2022-04-03T07:45-07:00,42.866119384765625,0,0
2022-04-03T08:00-07:00,42.858489990234375,0,0
2022-04-03T08:15-07:00,42.91192626953125,0,0
2022-04-03T08:30-07:00,42.96533203125,0,0
2022-04-03T08:45-07:00,42.98825073242188,0,0
2022-04-03T09:00-07:00,43.064544677734375,0,0
2022-04-03T09:15-07:00,43.026397705078125,0,0
2022-04-03T09:30-07:00,43.056915283203125,0,0
2022-04-03T09:45-07:00,43.072174072265625,0,0
2022-04-03T10:00-07:00,42.9500732421875,0,0
2022-04-03T10:15-07:00,42.94244384765625,0,0
2022-04-03T10:30-07:00,42.96533203125,0,0
2022-04-03T10:45-07:00,42.97296142578125,0,0
2022-04-03T11:00-07:00,42.97296142578125,0,0
2022-04-03T11:15-07:00,43.01876831054688,0,0
2022-04-03T11:30-07:00,43.01876831054688,0,0
2022-04-03T11:45-07:00,42.96533203125,0,0
2022-04-03T12:00-07:00,42.995880126953125,0,0
2022-04-03T12:15-07:00,42.9805908203125,0,0
2022-04-03T12:30-07:00,42.9500732421875,0,0
2022-04-03T12:45-07:00,42.96533203125,0,0
2022-04-03T13:00-07:00,42.95770263671875,0,0
2022-04-03T13:15-07:00,42.95770263671875,0,0
2022-04-03T13:30-07:00,42.934814453125,0,0
2022-04-03T13:45-07:00,42.98825073242188,0,0
2022-04-03T14:00-07:00,42.995880126953125,0,0
2022-04-03T14:15-07:00,43.011138916015625,0,0
2022-04-03T14:30-07:00,42.98825073242188,0,0
2022-04-03T14:45-07:00,42.9805908203125,0,0
