t,v,s,r
2022-03-31T23:45-07:00,1163.881591796875,0,0
2022-04-01T00:00-07:00,1052.304443359375,0,0
2022-04-01T00:15-07:00,1069.0240478515625,0,0
2022-04-01T00:30-07:00,1115.770263671875,0,0
2022-04-01T00:45-07:00,1091.2030029296875,0,0
2022-04-01T01:00-07:00,1037.63232421875,0,0
2022-04-01T01:15-07:00,1123.6182861328125,0,0
2022-04-01T01:30-07:00,1028.41943359375,0,0
2022-04-01T01:45-07:00,973.4840698242188,0,0
2022-04-01T02:00-07:00,1189.13134765625,0,0
2022-04-01T02:15-07:00,1136.2431640625,0,0
2022-04-01T02:30-07:00,1038.9970703125,0,0
2022-04-01T02:45-07:00,1079.260498046875,0,0
2022-04-01T03:00-07:00,1075.1658935546875,0,0
2022-04-01T03:15-07:00,1207.898193359375,0,0
2022-04-01T03:30-07:00,1029.1019287109375,0,0
2022-04-01T03:45-07:00,941.0687255859376,0,0
2022-04-01T04:00-07:00,986.1089477539062,0,0
2022-04-01T04:15-07:00,1035.5849609375,0,0
2022-04-01T04:30-07:00,1050.598388671875,0,0
2022-04-01T04:45-07:00,887.8392944335938,0,0
2022-04-01T05:00-07:00,982.69677734375,0,0
2022-04-01T05:15-07:00,895.0048217773438,0,0
2022-04-01T05:30-07:00,894.3223266601562,0,0
2022-04-01T05:45-07:00,747.6002807617188,0,0
2022-04-01T06:00-07:00,763.6373291015625,0,0
2022-04-01T06:15-07:00,662.6378784179688,0,0
2022-04-01T06:30-07:00,650.6953735351562,0,0
2022-04-01T06:45-07:00,825.3970947265625,0,0
2022-04-01T07:00-07:00,707.3369750976562,0,0
2022-04-01T07:15-07:00,820.9613037109375,0,0
2022-04-01T07:30-07:00,789.9107666015625,0,0
2022-04-01T07:45-07:00,841.7753295898438,0,0
2022-04-01T08:00-07:00,1033.196533203125,0,0
2022-04-01T08:15-07:00,978.2610473632812,0,0
2022-04-01T08:30-07:00,1005.8994140625,0,0
2022-04-01T08:45-07:00,1036.608642578125,0,0
2022-04-01T09:00-07:00,1046.50390625,0,0
2022-04-01T09:15-07:00,1109.6285400390625,0,0
2022-04-01T09:30-07:00,1237.5838623046875,0,0
2022-04-01T09:45-07:00,1432.75830078125,0,0
2022-04-01T10:00-07:00,1442.653564453125,0,0
2022-04-01T10:15-07:00,1698.9052734375,0,1
2022-04-01T10:30-07:00,1524.2037353515625,0,0
2022-04-01T10:45-07:00,1349.5020751953125,0,0
2022-04-01T11:00-07:00,1376.1168212890625,0,0
2022-04-01T11:15-07:00,1532.392822265625,0,0
2022-04-01T11:30-07:00,1542.2879638671875,0,0
2022-04-01T11:45-07:00,1623.4970703125,0,0
2022-04-01T12:00-07:00,1650.4530029296875,0,0
2022-04-01T12:15-07:00,1912.50537109375,0,0
2022-04-01T12:30-07:00,1665.1251220703125,0,0
2022-04-01T12:45-07:00,1758.958984375,0,0
2022-04-01T13:00-07:00,1717.672119140625,0,0
2022-04-01T13:15-07:00,1978.359619140625,0,0
2022-04-01T13:30-07:00,2016.9169921875,0,0
2022-04-01T13:45-07:00,2134.294677734375,0,0
2022-04-01T14:00-07:00,2123.375732421875,0,0
2022-04-01T14:15-07:00,2107.679931640625,0,0
2022-04-01T14:30-07:00,2227.446044921875,0,0
2022-04-01T14:45-07:00,2377.580322265625,0,0
2022-04-01T15:00-07:00,2339.70556640625,0,0
2022-04-01T15:15-07:00,2352.33056640625,0,0
2022-04-01T15:30-07:00,2269.756591796875,0,0
2022-04-01T15:45-07:00,2278.287109375,0,0
2022-04-01T16:00-07:00,2313.7734375,0,0
2022-04-01T16:15-07:00,2368.36767578125,0,0
2022-04-01T16:30-07:00,2287.499755859375,0,0
2022-04-01T16:45-07:00,2199.807861328125,0,0
2022-04-01T17:00-07:00,2286.8173828125,0,0
2022-04-01T17:15-07:00,1985.1839599609373,0,0
2022-04-01T17:30-07:00,1874.6307373046875,0,0
2022-04-01T17:45-07:00,2050.0146484375,0,0
2022-04-01T18:00-07:00,1938.7789306640625,0,0
2022-04-01T18:15-07:00,1789.3271484375,0,0
2022-04-01T18:30-07:00,1663.0777587890625,0,0
2022-04-01T18:45-07:00,1704.0235595703125,0,0
2022-04-01T19:00-07:00,1303.779296875,0,0
2022-04-01T19:15-07:00,1388.059326171875,0,0
2022-04-01T19:30-07:00,1273.4112548828125,0,0
2022-04-01T19:45-07:00,1295.2490234375,0,0
2022-04-01T20:00-07:00,1260.10400390625,0,0
2022-04-01T20:15-07:00,1267.610595703125,0,0
2022-04-01T20:30-07:00,1271.364013671875,0,0
2022-04-01T20:45-07:00,1278.188232421875,0,0
2022-04-01T21:00-07:00,946.528076171875,0,0
2022-04-01T21:15-07:00,991.568359375,0,0
2022-04-01T21:30-07:00,1331.417724609375,0,0
2022-04-01T21:45-07:00,1120.5472412109375,0,0
2022-04-01T22:00-07:00,1045.8214111328125,0,0
2022-04-01T22:15-07:00,1049.916015625,0,0
2022-04-01T22:30-07:00,1082.3314208984375,0,0
2022-04-01T22:45-07:00,1245.77294921875,0,0
2022-04-01T23:00-07:00,1087.790771484375,0,0
2022-04-01T23:15-07:00,1095.638671875,0,0
2022-04-01T23:30-07:00,1091.8853759765625,0,0
2022-04-01T23:45-07:00,991.568359375,0,0
2022-04-02T00:00-07:00,1091.2030029296875,0,0
2022-04-02T00:15-07:00,1065.9530029296875,0,0
2022-04-02T00:30-07:00,1141.70263671875,0,0
2022-04-02T00:45-07:00,1012.0411987304688,0,0
2022-04-02T01:00-07:00,973.4840698242188,0,0
2022-04-02T01:15-07:00,1017.159423828125,0,0
2022-04-02T01:30-07:00,1216.769775390625,0,0
2022-04-02T01:45-07:00,947.5517578125,0,0
2022-04-02T02:00-07:00,1099.39208984375,0,0
2022-04-02T02:15-07:00,967.3421630859376,0,0
2022-04-02T02:30-07:00,859.8596801757812,0,0
2022-04-02T02:45-07:00,1057.08154296875,0,0
2022-04-02T03:00-07:00,865.3191528320312,0,0
2022-04-02T03:15-07:00,885.4507446289062,0,0
2022-04-02T03:30-07:00,965.977294921875,0,0
2022-04-02T03:45-07:00,871.4609985351562,0,0
2022-04-02T04:00-07:00,906.2648315429688,0,0
2022-04-02T04:15-07:00,843.4813842773438,0,0
2022-04-02T04:30-07:00,743.1644287109375,0,0
2022-04-02T04:45-07:00,800.8296508789062,0,0
2022-04-02T05:00-07:00,730.1983032226562,0,0
2022-04-02T05:15-07:00,921.2782592773438,0,0
2022-04-02T05:30-07:00,877.6028442382812,0,0
2022-04-02T05:45-07:00,1101.09814453125,0,0
