t,v,s,r
2022-03-31T23:45-07:00,470.8755493164063,0,0
2022-04-01T00:00-07:00,486.91259765625,0,0
2022-04-01T00:15-07:00,456.2033386230469,0,0
2022-04-01T00:30-07:00,472.5816040039063,0,0
2022-04-01T00:45-07:00,448.3554382324219,0,0
2022-04-01T01:00-07:00,457.22698974609375,0,0
2022-04-01T01:15-07:00,492.3720397949219,0,0
2022-04-01T01:30-07:00,470.193115234375,0,0
2022-04-01T01:45-07:00,464.7336730957031,0,0
2022-04-01T02:00-07:00,482.8180541992188,0,0
2022-04-01T02:15-07:00,452.4500122070313,0,0
2022-04-01T02:30-07:00,473.9465026855469,0,0
2022-04-01T02:45-07:00,450.0615234375,0,0
2022-04-01T03:00-07:00,450.4027099609375,0,0
2022-04-01T03:15-07:00,493.3956909179688,0,0
2022-04-01T03:30-07:00,473.2640380859375,0,0
2022-04-01T03:45-07:00,458.59185791015625,0,0
2022-04-01T04:00-07:00,472.5816040039063,0,0
2022-04-01T04:15-07:00,458.2506408691406,0,0
2022-04-01T04:30-07:00,468.1458129882813,0,0
2022-04-01T04:45-07:00,449.7202758789063,0,0
2022-04-01T05:00-07:00,452.1087646484375,0,0
2022-04-01T05:15-07:00,501.5848083496094,0,0
2022-04-01T05:30-07:00,465.4161376953125,0,0
2022-04-01T05:45-07:00,472.5816040039063,0,0
2022-04-01T06:00-07:00,460.2979431152344,0,0
2022-04-01T06:15-07:00,448.0142211914063,0,0
2022-04-01T06:30-07:00,461.321533203125,0,0
2022-04-01T06:45-07:00,479.74713134765625,0,0
2022-04-01T07:00-07:00,446.9905395507813,0,0
2022-04-01T07:15-07:00,466.09857177734375,0,0
2022-04-01T07:30-07:00,473.6052551269531,0,0
2022-04-01T07:45-07:00,434.0244445800781,0,0
2022-04-01T08:00-07:00,493.7368774414063,0,0
2022-04-01T08:15-07:00,608.72607421875,0,0
2022-04-01T08:30-07:00,760.9075927734375,0,0
2022-04-01T08:45-07:00,747.259033203125,0,0
2022-04-01T09:00-07:00,756.130615234375,0,0
2022-04-01T09:15-07:00,775.2385864257812,0,0
2022-04-01T09:30-07:00,799.4647827148438,0,0
2022-04-01T09:45-07:00,806.2890625,0,0
2022-04-01T10:00-07:00,863.2718505859375,0,0
2022-04-01T10:15-07:00,830.174072265625,0,0
2022-04-01T10:30-07:00,740.4347534179688,0,0
2022-04-01T10:45-07:00,710.0667114257812,0,0
2022-04-01T11:00-07:00,669.1209716796875,0,0
2022-04-01T11:15-07:00,650.6953735351562,0,0
2022-04-01T11:30-07:00,842.1165771484375,0,0
2022-04-01T11:45-07:00,757.836669921875,0,0
2022-04-01T12:00-07:00,798.7823486328125,0,0
2022-04-01T12:15-07:00,1265.5633544921875,0,0
2022-04-01T12:30-07:00,1130.101318359375,0,0
2022-04-01T12:45-07:00,1306.8502197265625,0,0
2022-04-01T13:00-07:00,1490.082275390625,0,0
2022-04-01T13:15-07:00,1276.1409912109375,0,0
2022-04-01T13:30-07:00,1951.0625,0,0
2022-04-01T13:45-07:00,1782.843994140625,0,0
2022-04-01T14:00-07:00,2155.449951171875,0,0
2022-04-01T14:15-07:00,2370.414794921875,0,0
2022-04-01T14:30-07:00,2185.135498046875,0,0
2022-04-01T14:45-07:00,2538.974609375,0,0
2022-04-01T15:00-07:00,1847.3336181640625,0,0
2022-04-01T15:15-07:00,2563.88330078125,0,0
2022-04-01T15:30-07:00,4068.6376953125,0,0
2022-04-01T15:45-07:00,2480.626953125,0,0
2022-04-01T16:00-07:00,2207.314453125,0,0
2022-04-01T16:15-07:00,2620.8662109375,0,0
2022-04-01T16:30-07:00,2831.39501953125,0,0
2022-04-01T16:45-07:00,2050.0146484375,0,0
2022-04-01T17:00-07:00,2673.07177734375,0,0
2022-04-01T17:15-07:00,2114.504150390625,0,0
2022-04-01T17:30-07:00,1838.1207275390625,0,0
2022-04-01T17:45-07:00,1895.4447021484373,0,0
2022-04-01T18:00-07:00,1923.0831298828125,0,0
2022-04-01T18:15-07:00,1514.3084716796875,0,0
2022-04-01T18:30-07:00,1310.6036376953125,0,0
2022-04-01T18:45-07:00,1421.156982421875,0,0
2022-04-01T19:00-07:00,1496.5653076171875,0,0
2022-04-01T19:15-07:00,1164.2227783203125,0,0
2022-04-01T19:30-07:00,1171.3883056640625,0,0
2022-04-01T19:45-07:00,961.5415649414062,0,0
2022-04-01T20:00-07:00,794.00537109375,0,0
2022-04-01T20:15-07:00,720.3031005859375,0,0
2022-04-01T20:30-07:00,535.3650512695312,0,0
2022-04-01T20:45-07:00,512.1624755859375,0,0
2022-04-01T21:00-07:00,577.3343505859375,0,0
2022-04-01T21:15-07:00,513.8685302734375,0,0
2022-04-01T21:30-07:00,465.0749206542969,0,0
2022-04-01T21:45-07:00,466.09857177734375,0,0
2022-04-01T22:00-07:00,473.2640380859375,0,0
2022-04-01T22:15-07:00,473.6052551269531,0,0
2022-04-01T22:30-07:00,465.75732421875,0,0
2022-04-01T22:45-07:00,465.0749206542969,0,0
2022-04-01T23:00-07:00,443.5783996582031,0,0
2022-04-01T23:15-07:00,449.0378723144531,0,0
2022-04-01T23:30-07:00,454.8385009765625,0,0
2022-04-01T23:45-07:00,435.3892822265625,0,0
2022-04-02T00:00-07:00,459.615478515625,0,0
2022-04-02T00:15-07:00,443.5783996582031,0,0
2022-04-02T00:30-07:00,451.767578125,0,0
2022-04-02T00:45-07:00,491.348388671875,0,0
2022-04-02T01:00-07:00,459.2742919921875,0,0
2022-04-02T01:15-07:00,453.4736633300781,0,0
2022-04-02T01:30-07:00,478.3822326660156,0,0
2022-04-02T01:45-07:00,452.1087646484375,0,0
2022-04-02T02:00-07:00,455.5209045410156,0,0
2022-04-02T02:15-07:00,452.4500122070313,0,0
2022-04-02T02:30-07:00,455.8621520996094,0,0
2022-04-02T02:45-07:00,461.6627807617188,0,0
2022-04-02T03:00-07:00,463.3688354492188,0,0
