t,v,s,r
2022-03-31T23:45-07:00,478.04107666015625,0,0
2022-04-01T00:00-07:00,511.8212585449219,0,0
2022-04-01T00:15-07:00,443.5783996582031,0,0
2022-04-01T00:30-07:00,485.8890075683594,0,0
2022-04-01T00:45-07:00,597.4660034179688,0,0
2022-04-01T01:00-07:00,556.8615112304688,0,0
2022-04-01T01:15-07:00,451.0851135253906,0,0
2022-04-01T01:30-07:00,604.290283203125,0,0
2022-04-01T01:45-07:00,501.24365234375,0,0
2022-04-01T02:00-07:00,499.1963195800781,0,0
2022-04-01T02:15-07:00,411.5042724609375,0,0
2022-04-01T02:30-07:00,407.75091552734375,0,0
2022-04-01T02:45-07:00,544.5778198242188,0,0
2022-04-01T03:00-07:00,410.8218688964844,0,0
2022-04-01T03:15-07:00,488.95989990234375,0,0
2022-04-01T03:30-07:00,390.0078125,0,0
2022-04-01T03:45-07:00,421.7406921386719,0,0
2022-04-01T04:00-07:00,334.7310791015625,0,0
2022-04-01T04:15-07:00,419.69342041015625,0,0
2022-04-01T04:30-07:00,427.5413513183594,0,0
2022-04-01T04:45-07:00,411.8455200195313,0,0
2022-04-01T05:00-07:00,377.7240905761719,0,0
2022-04-01T05:15-07:00,335.4135437011719,0,0
2022-04-01T05:30-07:00,387.6192932128906,0,0
2022-04-01T05:45-07:00,385.2308044433594,0,0
2022-04-01T06:00-07:00,364.416748046875,0,0
2022-04-01T06:15-07:00,399.561767578125,0,0
2022-04-01T06:30-07:00,424.1292114257813,0,0
2022-04-01T06:45-07:00,396.83209228515625,0,0
2022-04-01T07:00-07:00,377.7240905761719,0,0
2022-04-01T07:15-07:00,407.4097290039063,0,0
2022-04-01T07:30-07:00,414.9164123535156,0,0
2022-04-01T07:45-07:00,382.1598510742188,0,0
2022-04-01T08:00-07:00,456.2033386230469,0,0
2022-04-01T08:15-07:00,487.9362487792969,0,0
2022-04-01T08:30-07:00,508.4090881347656,0,0
2022-04-01T08:45-07:00,438.1190185546875,0,0
2022-04-01T09:00-07:00,453.8148498535156,0,0
2022-04-01T09:15-07:00,495.7841796875,0,0
2022-04-01T09:30-07:00,550.7196655273438,0,0
2022-04-01T09:45-07:00,578.3580322265625,0,0
2022-04-01T10:00-07:00,787.5222778320312,0,0
2022-04-01T10:15-07:00,639.4353637695312,0,0
2022-04-01T10:30-07:00,661.2730712890625,0,0
2022-04-01T10:45-07:00,712.7964477539062,0,0
2022-04-01T11:00-07:00,614.867919921875,0,0
2022-04-01T11:15-07:00,645.9183959960938,0,0
2022-04-01T11:30-07:00,664.0028076171875,0,0
2022-04-01T11:45-07:00,732.5867919921875,0,0
2022-04-01T12:00-07:00,687.5465087890625,0,0
2022-04-01T12:15-07:00,662.6378784179688,0,0
2022-04-01T12:30-07:00,672.19189453125,0,0
2022-04-01T12:45-07:00,833.2449951171875,0,0
2022-04-01T13:00-07:00,842.4578247070312,0,0
2022-04-01T13:15-07:00,817.2079467773438,0,0
2022-04-01T13:30-07:00,898.758056640625,0,0
2022-04-01T13:45-07:00,860.8833618164062,0,0
2022-04-01T14:00-07:00,877.944091796875,0,0
2022-04-01T14:15-07:00,1014.4297485351562,0,0
2022-04-01T14:30-07:00,1101.09814453125,0,0
2022-04-01T14:45-07:00,1039.33837890625,0,0
2022-04-01T15:00-07:00,1005.2169189453124,0,0
2022-04-01T15:15-07:00,1188.1077880859375,0,0
2022-04-01T15:30-07:00,1152.6214599609375,0,0
2022-04-01T15:45-07:00,1095.2974853515625,0,0
2022-04-01T16:00-07:00,1096.3211669921875,0,0
2022-04-01T16:15-07:00,1128.736572265625,0,0
2022-04-01T16:30-07:00,1208.921875,0,0
2022-04-01T16:45-07:00,1156.716064453125,0,0
2022-04-01T17:00-07:00,1004.875732421875,0,0
2022-04-01T17:15-07:00,962.565185546875,0,0
2022-04-01T17:30-07:00,1058.4464111328125,0,0
2022-04-01T17:45-07:00,916.8424682617188,0,0
2022-04-01T18:00-07:00,1016.8181762695312,0,0
2022-04-01T18:15-07:00,856.7887573242188,0,0
2022-04-01T18:30-07:00,930.4910888671876,0,0
2022-04-01T18:45-07:00,823.6910400390625,0,0
2022-04-01T19:00-07:00,734.2928466796875,0,0
2022-04-01T19:15-07:00,824.714599609375,0,0
2022-04-01T19:30-07:00,720.644287109375,0,0
2022-04-01T19:45-07:00,665.0264282226562,0,0
2022-04-01T20:00-07:00,645.2360229492188,0,0
2022-04-01T20:15-07:00,707.67822265625,0,0
2022-04-01T20:30-07:00,702.9011840820312,0,0
2022-04-01T20:45-07:00,685.499267578125,0,0
2022-04-01T21:00-07:00,567.7803955078125,0,0
2022-04-01T21:15-07:00,635.3407592773438,0,0
2022-04-01T21:30-07:00,529.5643920898438,0,0
2022-04-01T21:45-07:00,603.60791015625,0,0
2022-04-01T22:00-07:00,529.2232055664062,0,0
2022-04-01T22:15-07:00,514.5509643554688,0,0
2022-04-01T22:30-07:00,545.9426879882812,0,0
2022-04-01T22:45-07:00,448.3554382324219,0,0
2022-04-01T23:00-07:00,561.6385498046875,0,0
2022-04-01T23:15-07:00,503.6321411132813,0,0
2022-04-01T23:30-07:00,449.0378723144531,0,0
2022-04-01T23:45-07:00,603.2666625976562,0,0
2022-04-02T00:00-07:00,502.2672424316406,0,0
2022-04-02T00:15-07:00,514.5509643554688,0,0
2022-04-02T00:30-07:00,437.0953674316406,0,0
2022-04-02T00:45-07:00,453.8148498535156,0,0
2022-04-02T01:00-07:00,499.5375671386719,0,0
2022-04-02T01:15-07:00,452.4500122070313,0,0
2022-04-02T01:30-07:00,451.767578125,0,0
2022-04-02T01:45-07:00,412.869140625,0,0
2022-04-02T02:00-07:00,451.767578125,0,0
2022-04-02T02:15-07:00,462.3451843261719,0,0
2022-04-02T02:30-07:00,444.2608337402344,0,0
2022-04-02T02:45-07:00,406.04486083984375,0,0
2022-04-02T03:00-07:00,431.6359252929688,0,0
2022-04-02T03:15-07:00,555.1554565429688,0,0
2022-04-02T03:30-07:00,405.7036437988281,0,0
2022-04-02T03:45-07:00,395.1260070800781,0,0
2022-04-02T04:00-07:00,473.9465026855469,0,0
2022-04-02T04:15-07:00,373.970703125,0,0
2022-04-02T04:30-07:00,449.0378723144531,0,0
2022-04-02T04:45-07:00,351.109375,0,0
2022-04-02T05:00-07:00,397.17327880859375,0,0
2022-04-02T05:15-07:00,400.9266357421875,0,0
2022-04-02T05:30-07:00,390.6902160644531,0,0
2022-04-02T05:45-07:00,367.8288879394531,0,0
2022-04-02T06:00-07:00,493.7368774414063,0,0
2022-04-02T06:15-07:00,449.3790283203125,0,0
2022-04-02T06:30-07:00,479.74713134765625,0,0
2022-04-02T06:45-07:00,514.5509643554688,0,0
2022-04-02T07:00-07:00,514.5509643554688,0,0
2022-04-02T07:15-07:00,623.739501953125,0,0
2022-04-02T07:30-07:00,483.5004577636719,0,0
2022-04-02T07:45-07:00,405.3624267578125,0,0
2022-04-02T08:00-07:00,422.7643432617188,0,0
2022-04-02T08:15-07:00,374.994384765625,0,0
2022-04-02T08:30-07:00,379.7713623046875,0,0
2022-04-02T08:45-07:00,377.7240905761719,0,0
2022-04-02T09:00-07:00,387.9605102539063,0,0
2022-04-02T09:15-07:00,458.59185791015625,0,0
2022-04-02T09:30-07:00,534.0001831054688,0,0
2022-04-02T09:45-07:00,563.0033569335938,0,0
2022-04-02T10:00-07:00,456.2033386230469,0,0
2022-04-02T10:15-07:00,483.8417053222656,0,0
2022-04-02T10:30-07:00,485.20654296875,0,0
2022-04-02T10:45-07:00,565.391845703125,0,0
2022-04-02T11:00-07:00,543.2129516601562,0,0
2022-04-02T11:15-07:00,628.5164794921875,0,0
2022-04-02T11:30-07:00,623.739501953125,0,0
2022-04-02T11:45-07:00,552.0845336914062,0,0
2022-04-02T12:00-07:00,564.3682861328125,0,0
2022-04-02T12:15-07:00,621.6921997070312,0,0
2022-04-02T12:30-07:00,555.837890625,0,0
2022-04-02T12:45-07:00,617.2564697265625,0,0
2022-04-02T13:00-07:00,572.2161254882812,0,0
2022-04-02T13:15-07:00,550.0372314453125,0,0
2022-04-02T13:30-07:00,740.4347534179688,0,0
2022-04-02T13:45-07:00,739.4110717773438,0,0
2022-04-02T14:00-07:00,699.1478271484375,0,0
2022-04-02T14:15-07:00,798.7823486328125,0,0
2022-04-02T14:30-07:00,737.0225830078125,0,0
2022-04-02T14:45-07:00,867.3663940429688,0,0
2022-04-02T15:00-07:00,765.6846313476562,0,0
2022-04-02T15:15-07:00,830.174072265625,0,0
