t,v,s,r
2022-03-31T23:45-07:00,55.27886962890625,0,0
2022-04-01T00:00-07:00,54.530120849609375,0,0
2022-04-01T00:15-07:00,54.3009033203125,0,0
2022-04-01T00:30-07:00,55.225372314453125,0,0
2022-04-01T00:45-07:00,54.835723876953125,0,0
2022-04-01T01:00-07:00,54.25506591796875,0,0
2022-04-01T01:15-07:00,54.071685791015625,0,0
2022-04-01T01:30-07:00,54.5072021484375,0,0
2022-04-01T01:45-07:00,54.92739868164063,0,0
2022-04-01T02:00-07:00,54.93505859375,0,0
2022-04-01T02:15-07:00,54.8204345703125,0,0
2022-04-01T02:30-07:00,54.73638916015625,0,0
2022-04-01T02:45-07:00,54.782257080078125,0,0
2022-04-01T03:00-07:00,54.339111328125,0,0
2022-04-01T03:15-07:00,54.468994140625,0,0
2022-04-01T03:30-07:00,53.8348388671875,0,0
2022-04-01T03:45-07:00,53.811920166015625,0,0
2022-04-01T04:00-07:00,52.665863037109375,0,0
2022-04-01T04:15-07:00,53.643829345703125,0,0
2022-04-01T04:30-07:00,53.4986572265625,0,0
2022-04-01T04:45-07:00,54.16339111328125,0,0
2022-04-01T05:00-07:00,53.13958740234375,0,0
2022-04-01T05:15-07:00,52.757568359375,0,0
2022-04-01T05:30-07:00,53.88833618164063,0,0
2022-04-01T05:45-07:00,53.45281982421875,0,0
2022-04-01T06:00-07:00,52.46722412109375,0,0
2022-04-01T06:15-07:00,52.91036987304688,0,0
2022-04-01T06:30-07:00,53.63619995117188,0,0
2022-04-01T06:45-07:00,54.0029296875,0,0
2022-04-01T07:00-07:00,53.406982421875,0,0
2022-04-01T07:15-07:00,53.71261596679688,0,0
2022-04-01T07:30-07:00,53.7049560546875,0,0
2022-04-01T07:45-07:00,54.14810180664063,0,0
2022-04-01T08:00-07:00,54.41549682617188,0,0
2022-04-01T08:15-07:00,54.339111328125,0,0
2022-04-01T08:30-07:00,54.53775024414063,0,0
2022-04-01T08:45-07:00,54.75167846679688,0,0
2022-04-01T09:00-07:00,54.88156127929688,0,0
2022-04-01T09:15-07:00,55.5692138671875,0,0
2022-04-01T09:30-07:00,55.897735595703125,0,0
2022-04-01T09:45-07:00,56.48605346679688,0,0
2022-04-01T10:00-07:00,56.33322143554688,0,0
2022-04-01T10:15-07:00,56.79165649414063,0,0
2022-04-01T10:30-07:00,55.40875244140625,0,0
2022-04-01T10:45-07:00,56.593017578125,0,0
2022-04-01T11:00-07:00,56.1422119140625,0,0
2022-04-01T11:15-07:00,56.56243896484375,0,0
2022-04-01T11:30-07:00,56.310302734375,0,0
2022-04-01T11:45-07:00,56.501312255859375,0,0
2022-04-01T12:00-07:00,57.50982666015625,0,0
2022-04-01T12:15-07:00,56.90625,0,0
2022-04-01T12:30-07:00,56.93682861328125,0,0
2022-04-01T12:45-07:00,57.05142211914063,0,0
2022-04-01T13:00-07:00,57.67791748046875,0,0
2022-04-01T13:15-07:00,57.868927001953125,0,0
2022-04-01T13:30-07:00,57.555694580078125,0,0
2022-04-01T13:45-07:00,58.09814453125,0,0
2022-04-01T14:00-07:00,58.38848876953125,0,0
2022-04-01T14:15-07:00,58.6024169921875,0,0
2022-04-01T14:30-07:00,59.0302734375,0,0
2022-04-01T14:45-07:00,59.05319213867188,0,0
2022-04-01T15:00-07:00,59.083740234375,0,0
2022-04-01T15:15-07:00,58.81634521484375,0,0
2022-04-01T15:30-07:00,59.72552490234375,0,0
