t,v,s,r
2022-03-31T23:45-07:00,49.3436279296875,0,0
2022-04-01T00:00-07:00,49.49615478515625,0,0
2022-04-01T00:15-07:00,49.55718994140625,0,0
2022-04-01T00:30-07:00,49.3436279296875,0,0
2022-04-01T00:45-07:00,49.41226196289063,0,0
2022-04-01T01:00-07:00,49.427520751953125,0,0
2022-04-01T01:15-07:00,49.49615478515625,0,0
2022-04-01T01:30-07:00,49.48092651367188,0,0
2022-04-01T01:45-07:00,49.49615478515625,0,0
2022-04-01T02:00-07:00,49.47329711914063,0,0
2022-04-01T02:15-07:00,49.435150146484375,0,0
2022-04-01T02:30-07:00,49.435150146484375,0,0
2022-04-01T02:45-07:00,49.381744384765625,0,0
2022-04-01T03:00-07:00,49.442779541015625,0,0
2022-04-01T03:15-07:00,49.41226196289063,0,0
2022-04-01T03:30-07:00,49.458038330078125,0,0
2022-04-01T03:45-07:00,49.25973510742188,0,0
2022-04-01T04:00-07:00,49.35125732421875,0,0
2022-04-01T04:15-07:00,49.14532470703125,0,0
2022-04-01T04:30-07:00,49.2825927734375,0,0
2022-04-01T04:45-07:00,49.221588134765625,0,0
2022-04-01T05:00-07:00,49.0614013671875,0,0
2022-04-01T05:15-07:00,49.27496337890625,0,0
2022-04-01T05:30-07:00,49.175811767578125,0,0
2022-04-01T05:45-07:00,49.14532470703125,0,0
2022-04-01T06:00-07:00,49.0614013671875,0,0
2022-04-01T06:15-07:00,49.000396728515625,0,0
2022-04-01T06:30-07:00,49.1376953125,0,0
2022-04-01T06:45-07:00,49.08428955078125,0,0
2022-04-01T07:00-07:00,49.06903076171875,0,0
2022-04-01T07:15-07:00,49.19107055664063,0,0
2022-04-01T07:30-07:00,49.07666015625,0,0
2022-04-01T07:45-07:00,49.213958740234375,0,0
2022-04-01T08:00-07:00,49.236846923828125,0,0
2022-04-01T08:15-07:00,49.663970947265625,0,0
2022-04-01T08:30-07:00,49.61056518554688,0,0
2022-04-01T08:45-07:00,49.91567993164063,0,0
2022-04-01T09:00-07:00,49.92330932617188,0,0
2022-04-01T09:15-07:00,50.052978515625,0,0
2022-04-01T09:30-07:00,50.2283935546875,0,0
2022-04-01T09:45-07:00,50.51821899414063,0,0
2022-04-01T10:00-07:00,50.312286376953125,0,0
2022-04-01T10:15-07:00,50.4190673828125,0,0
2022-04-01T10:30-07:00,50.2589111328125,0,0
2022-04-01T10:45-07:00,50.388580322265625,0,0
2022-04-01T11:00-07:00,50.5106201171875,0,0
2022-04-01T11:15-07:00,50.44195556640625,0,0
2022-04-01T11:30-07:00,50.4190673828125,0,0
2022-04-01T11:45-07:00,50.26654052734375,0,0
2022-04-01T12:00-07:00,50.50299072265625,0,0
2022-04-01T12:15-07:00,50.655517578125,0,0
2022-04-01T12:30-07:00,50.85382080078125,0,0
2022-04-01T12:45-07:00,51.12078857421875,0,0
2022-04-01T13:00-07:00,51.12078857421875,0,0
2022-04-01T13:15-07:00,51.34197998046875,0,0
2022-04-01T13:30-07:00,51.7767333984375,0,0
2022-04-01T13:45-07:00,51.69284057617188,0,0
2022-04-01T14:00-07:00,51.761474609375,0,0
2022-04-01T14:15-07:00,51.83013916015625,0,0
2022-04-01T14:30-07:00,52.29541015625,0,0
2022-04-01T14:45-07:00,52.371673583984375,0,0
2022-04-01T15:00-07:00,52.592864990234375,0,0
2022-04-01T15:15-07:00,52.60812377929688,0,0
2022-04-01T15:30-07:00,52.5166015625,0,0
2022-04-01T15:45-07:00,52.379302978515625,0,0
2022-04-01T16:00-07:00,52.27252197265625,0,0
2022-04-01T16:15-07:00,52.13522338867188,0,0
2022-04-01T16:30-07:00,51.959808349609375,0,0
2022-04-01T16:45-07:00,51.75387573242188,0,0
2022-04-01T17:00-07:00,51.78436279296875,0,0
2022-04-01T17:15-07:00,51.41827392578125,0,0
2022-04-01T17:30-07:00,50.975860595703125,0,0
2022-04-01T17:45-07:00,50.6707763671875,0,0
2022-04-01T18:00-07:00,50.88433837890625,0,0
2022-04-01T18:15-07:00,50.47247314453125,0,0
2022-04-01T18:30-07:00,50.4190673828125,0,0
2022-04-01T18:45-07:00,50.373321533203125,0,0
2022-04-01T19:00-07:00,50.289398193359375,0,0
2022-04-01T19:15-07:00,49.740234375,0,0
2022-04-01T19:30-07:00,49.67160034179688,0,0
2022-04-01T19:45-07:00,49.61056518554688,0,0
2022-04-01T20:00-07:00,49.442779541015625,0,0
2022-04-01T20:15-07:00,49.5343017578125,0,0
2022-04-01T20:30-07:00,49.328369140625,0,0
2022-04-01T20:45-07:00,49.618194580078125,0,0
2022-04-01T21:00-07:00,49.580078125,0,0
2022-04-01T21:15-07:00,49.35125732421875,0,0
2022-04-01T21:30-07:00,49.38937377929688,0,0
2022-04-01T21:45-07:00,49.427520751953125,0,0
2022-04-01T22:00-07:00,49.3741455078125,0,0
2022-04-01T22:15-07:00,49.58770751953125,0,0
2022-04-01T22:30-07:00,49.5037841796875,0,0
2022-04-01T22:45-07:00,49.54193115234375,0,0
2022-04-01T23:00-07:00,49.38937377929688,0,0
2022-04-01T23:15-07:00,49.33599853515625,0,0
2022-04-01T23:30-07:00,49.397003173828125,0,0
2022-04-01T23:45-07:00,49.27496337890625,0,0
2022-04-02T00:00-07:00,49.32073974609375,0,0
2022-04-02T00:15-07:00,49.404632568359375,0,0
2022-04-02T00:30-07:00,49.435150146484375,0,0
2022-04-02T00:45-07:00,49.35125732421875,0,0
2022-04-02T01:00-07:00,49.3131103515625,0,0
2022-04-02T01:15-07:00,49.397003173828125,0,0
2022-04-02T01:30-07:00,49.54193115234375,0,0
2022-04-02T01:45-07:00,49.32073974609375,0,0
2022-04-02T02:00-07:00,49.3741455078125,0,0
2022-04-02T02:15-07:00,49.206329345703125,0,0
2022-04-02T02:30-07:00,49.19107055664063,0,0
2022-04-02T02:45-07:00,49.13006591796875,0,0
2022-04-02T03:00-07:00,49.023284912109375,0,0
2022-04-02T03:15-07:00,49.05377197265625,0,0
2022-04-02T03:30-07:00,49.19107055664063,0,0
2022-04-02T03:45-07:00,49.14532470703125,0,0
2022-04-02T04:00-07:00,49.107177734375,0,0
2022-04-02T04:15-07:00,49.07666015625,0,0
2022-04-02T04:30-07:00,49.19107055664063,0,0
