t,v,s,r
2022-03-31T23:45-07:00,42.90679931640625,0,0
2022-04-01T00:00-07:00,42.937255859375,0,0
2022-04-01T00:15-07:00,42.861175537109375,0,0
2022-04-01T00:30-07:00,42.861175537109375,0,0
2022-04-01T00:45-07:00,42.8231201171875,0,0
2022-04-01T01:00-07:00,42.8687744140625,0,0
2022-04-01T01:15-07:00,42.83834838867188,0,0
2022-04-01T01:30-07:00,42.92202758789063,0,0
2022-04-01T01:45-07:00,42.876373291015625,0,0
2022-04-01T02:00-07:00,42.92202758789063,0,0
2022-04-01T02:15-07:00,42.8916015625,0,0
2022-04-01T02:30-07:00,42.876373291015625,0,0
2022-04-01T02:45-07:00,42.899200439453125,0,0
2022-04-01T03:00-07:00,42.80029296875,0,0
2022-04-01T03:15-07:00,42.8687744140625,0,0
2022-04-01T03:30-07:00,42.937255859375,0,0
2022-04-01T03:45-07:00,42.8231201171875,0,0
2022-04-01T04:00-07:00,42.845947265625,0,0
2022-04-01T04:15-07:00,42.88400268554688,0,0
2022-04-01T04:30-07:00,42.80029296875,0,0
2022-04-01T04:45-07:00,42.83071899414063,0,0
2022-04-01T05:00-07:00,42.899200439453125,0,0
2022-04-01T05:15-07:00,42.80029296875,0,0
2022-04-01T05:30-07:00,42.83071899414063,0,0
2022-04-01T05:45-07:00,42.8687744140625,0,0
2022-04-01T06:00-07:00,42.845947265625,0,0
2022-04-01T06:15-07:00,42.8231201171875,0,0
2022-04-01T06:30-07:00,42.9144287109375,0,0
2022-04-01T06:45-07:00,42.92962646484375,0,0
2022-04-01T07:00-07:00,42.899200439453125,0,0
2022-04-01T07:15-07:00,42.92202758789063,0,0
2022-04-01T07:30-07:00,42.967681884765625,0,0
2022-04-01T07:45-07:00,42.754638671875,0,0
2022-04-01T08:00-07:00,42.92962646484375,0,0
2022-04-01T08:15-07:00,42.8916015625,0,0
2022-04-01T08:30-07:00,43.02853393554688,0,0
2022-04-01T08:45-07:00,43.02093505859375,0,0
2022-04-01T09:00-07:00,43.036163330078125,0,0
2022-04-01T09:15-07:00,43.051361083984375,0,0
2022-04-01T09:30-07:00,43.058990478515625,0,0
2022-04-01T09:45-07:00,43.01333618164063,0,0
2022-04-01T10:00-07:00,42.990509033203125,0,0
2022-04-01T10:15-07:00,42.9600830078125,0,0
2022-04-01T10:30-07:00,43.058990478515625,0,0
2022-04-01T10:45-07:00,42.98291015625,0,0
2022-04-01T11:00-07:00,42.97528076171875,0,0
2022-04-01T11:15-07:00,42.92202758789063,0,0
2022-04-01T11:30-07:00,42.95245361328125,0,0
2022-04-01T11:45-07:00,42.937255859375,0,0
2022-04-01T12:00-07:00,43.036163330078125,0,0
