t,v,s,r
2022-03-31T23:45-07:00,244.9917755126953,0,0
2022-04-01T00:00-07:00,246.01541137695312,0,0
2022-04-01T00:15-07:00,248.06271362304688,0,0
2022-04-01T00:30-07:00,248.74513244628903,0,0
2022-04-01T00:45-07:00,246.3566436767578,0,0
2022-04-01T01:00-07:00,248.40391540527344,0,0
2022-04-01T01:15-07:00,243.28570556640625,0,0
2022-04-01T01:30-07:00,247.38026428222656,0,0
2022-04-01T01:45-07:00,244.3093414306641,0,0
2022-04-01T02:00-07:00,248.74513244628903,0,0
2022-04-01T02:15-07:00,247.0390625,0,0
2022-04-01T02:30-07:00,243.96812438964844,0,0
2022-04-01T02:45-07:00,247.0390625,0,0
2022-04-01T03:00-07:00,241.9208526611328,0,0
2022-04-01T03:15-07:00,241.23843383789065,0,0
2022-04-01T03:30-07:00,249.76878356933597,0,0
2022-04-01T03:45-07:00,242.26205444335935,0,0
2022-04-01T04:00-07:00,237.8262939453125,0,0
2022-04-01T04:15-07:00,240.5559844970703,0,0
2022-04-01T04:30-07:00,237.1438446044922,0,0
2022-04-01T04:45-07:00,241.5796356201172,0,0
2022-04-01T05:00-07:00,361.3457946777344,0,0
2022-04-01T05:15-07:00,500.5611572265625,0,0
2022-04-01T05:30-07:00,502.2672424316406,0,0
2022-04-01T05:45-07:00,495.7841796875,0,0
2022-04-01T06:00-07:00,497.83148193359375,0,0
2022-04-01T06:15-07:00,501.9260559082031,0,0
2022-04-01T06:30-07:00,506.7030334472656,0,0
2022-04-01T06:45-07:00,507.7266845703125,0,0
2022-04-01T07:00-07:00,489.9835510253906,0,0
2022-04-01T07:15-07:00,515.2333984375,0,0
2022-04-01T07:30-07:00,513.8685302734375,0,0
2022-04-01T07:45-07:00,491.348388671875,0,0
2022-04-01T08:00-07:00,511.1388244628906,0,0
2022-04-01T08:15-07:00,521.7164916992188,0,0
2022-04-01T08:30-07:00,556.5203247070312,0,0
2022-04-01T08:45-07:00,571.1925659179688,0,0
2022-04-01T09:00-07:00,585.1823120117188,0,0
2022-04-01T09:15-07:00,589.9592895507812,0,0
2022-04-01T09:30-07:00,633.2935180664062,0,0
2022-04-01T09:45-07:00,665.3676147460938,0,0
2022-04-01T10:00-07:00,729.1746826171875,0,0
2022-04-01T10:15-07:00,708.0194091796875,0,0
2022-04-01T10:30-07:00,743.8468627929688,0,0
2022-04-01T10:45-07:00,739.0698852539062,0,0
2022-04-01T11:00-07:00,738.0462646484375,0,0
2022-04-01T11:15-07:00,744.1881103515625,0,0
2022-04-01T11:30-07:00,740.4347534179688,0,0
2022-04-01T11:45-07:00,771.826416015625,0,0
2022-04-01T12:00-07:00,757.836669921875,0,0
2022-04-01T12:15-07:00,789.9107666015625,0,0
2022-04-01T12:30-07:00,822.6673583984375,0,0
2022-04-01T12:45-07:00,829.4916381835938,0,0
2022-04-01T13:00-07:00,804.2417602539062,0,0
2022-04-01T13:15-07:00,836.31591796875,0,0
2022-04-01T13:30-07:00,832.90380859375,0,0
2022-04-01T13:45-07:00,846.2111206054688,0,0
2022-04-01T14:00-07:00,845.5286865234375,0,0
2022-04-01T14:15-07:00,869.4136962890625,0,0
2022-04-01T14:30-07:00,859.8596801757812,0,0
2022-04-01T14:45-07:00,846.8935546875,0,0
2022-04-01T15:00-07:00,855.4238891601562,0,0
2022-04-01T15:15-07:00,844.5050659179688,0,0
2022-04-01T15:30-07:00,854.741455078125,0,0
2022-04-01T15:45-07:00,851.6705932617188,0,0
2022-04-01T16:00-07:00,839.3868408203125,0,0
2022-04-01T16:15-07:00,823.6910400390625,0,0
2022-04-01T16:30-07:00,825.3970947265625,0,0
2022-04-01T16:45-07:00,840.4105224609375,0,0
2022-04-01T17:00-07:00,821.9849243164062,0,0
2022-04-01T17:15-07:00,779.3331909179688,0,0
2022-04-01T17:30-07:00,792.6405029296875,0,0
2022-04-01T17:45-07:00,796.7350463867188,0,0
2022-04-01T18:00-07:00,772.5089111328125,0,0
2022-04-01T18:15-07:00,807.6539306640625,0,0
2022-04-01T18:30-07:00,769.0967407226562,0,0
2022-04-01T18:45-07:00,759.2015380859375,0,0
2022-04-01T19:00-07:00,296.5151062011719,0,0
2022-04-01T19:15-07:00,262.052490234375,0,0
2022-04-01T19:30-07:00,246.01541137695312,0,0
2022-04-01T19:45-07:00,250.1099853515625,0,0
2022-04-01T20:00-07:00,252.83969116210935,0,0
2022-04-01T20:15-07:00,246.6978454589844,0,0
2022-04-01T20:30-07:00,249.76878356933597,0,0
2022-04-01T20:45-07:00,248.06271362304688,0,0
2022-04-01T21:00-07:00,251.474853515625,0,0
2022-04-01T21:15-07:00,248.74513244628903,0,0
2022-04-01T21:30-07:00,249.76878356933597,0,0
2022-04-01T21:45-07:00,248.74513244628903,0,0
2022-04-01T22:00-07:00,251.474853515625,0,0
2022-04-01T22:15-07:00,248.74513244628903,0,0
2022-04-01T22:30-07:00,250.7924041748047,0,0
2022-04-01T22:45-07:00,248.06271362304688,0,0
2022-04-01T23:00-07:00,245.3329925537109,0,0
2022-04-01T23:15-07:00,247.0390625,0,0
2022-04-01T23:30-07:00,247.38026428222656,0,0
2022-04-01T23:45-07:00,245.6741943359375,0,0
2022-04-02T00:00-07:00,244.65057373046875,0,0
2022-04-02T00:15-07:00,243.62692260742188,0,0
2022-04-02T00:30-07:00,244.9917755126953,0,0
2022-04-02T00:45-07:00,246.6978454589844,0,0
2022-04-02T01:00-07:00,247.38026428222656,0,0
2022-04-02T01:15-07:00,246.01541137695312,0,0
2022-04-02T01:30-07:00,246.3566436767578,0,0
2022-04-02T01:45-07:00,244.3093414306641,0,0
2022-04-02T02:00-07:00,239.5323638916016,0,0
2022-04-02T02:15-07:00,243.28570556640625,0,0
2022-04-02T02:30-07:00,240.5559844970703,0,0
2022-04-02T02:45-07:00,238.16749572753903,0,0
2022-04-02T03:00-07:00,238.16749572753903,0,0
2022-04-02T03:15-07:00,236.46142578125,0,0
2022-04-02T03:30-07:00,240.21478271484372,0,0
2022-04-02T03:45-07:00,237.48504638671875,0,0
2022-04-02T04:00-07:00,243.96812438964844,0,0
2022-04-02T04:15-07:00,234.7553558349609,0,0
2022-04-02T04:30-07:00,235.43777465820312,0,0
2022-04-02T04:45-07:00,243.28570556640625,0,0
2022-04-02T05:00-07:00,391.7138671875,0,0
2022-04-02T05:15-07:00,483.8417053222656,0,0
2022-04-02T05:30-07:00,488.2774963378906,0,0
2022-04-02T05:45-07:00,495.1017761230469,0,0
2022-04-02T06:00-07:00,497.83148193359375,0,0
2022-04-02T06:15-07:00,509.0915222167969,0,0
2022-04-02T06:30-07:00,499.8787536621094,0,0
2022-04-02T06:45-07:00,500.219970703125,0,0
2022-04-02T07:00-07:00,498.8551025390625,0,0
2022-04-02T07:15-07:00,508.4090881347656,0,0
2022-04-02T07:30-07:00,517.963134765625,0,0
2022-04-02T07:45-07:00,502.2672424316406,0,0
2022-04-02T08:00-07:00,505.6793823242188,0,0
2022-04-02T08:15-07:00,497.1490173339844,0,0
2022-04-02T08:30-07:00,506.3618469238281,0,0
2022-04-02T08:45-07:00,515.2333984375,0,0
2022-04-02T09:00-07:00,519.3279418945312,0,0
2022-04-02T09:15-07:00,528.540771484375,0,0
2022-04-02T09:30-07:00,553.108154296875,0,0
2022-04-02T09:45-07:00,588.9356689453125,0,0
2022-04-02T10:00-07:00,589.27685546875,0,0
2022-04-02T10:15-07:00,576.9931640625,0,0
2022-04-02T10:30-07:00,595.418701171875,0,0
2022-04-02T10:45-07:00,632.611083984375,0,0
2022-04-02T11:00-07:00,652.74267578125,0,0
2022-04-02T11:15-07:00,652.74267578125,0,0
2022-04-02T11:30-07:00,670.8270874023438,0,0
2022-04-02T11:45-07:00,660.5906372070312,0,0
2022-04-02T12:00-07:00,682.4283447265625,0,0
2022-04-02T12:15-07:00,672.19189453125,0,0
2022-04-02T12:30-07:00,697.782958984375,0,0
2022-04-02T12:45-07:00,675.2628784179688,0,0
2022-04-02T13:00-07:00,637.7293090820312,0,0
2022-04-02T13:15-07:00,663.6615600585938,0,0
2022-04-02T13:30-07:00,791.9580688476562,0,0
2022-04-02T13:45-07:00,812.7721557617188,0,0
2022-04-02T14:00-07:00,776.26220703125,0,0
2022-04-02T14:15-07:00,772.1676635742188,0,0
2022-04-02T14:30-07:00,787.5222778320312,0,0
2022-04-02T14:45-07:00,783.427734375,0,0
2022-04-02T15:00-07:00,765.0021362304688,0,0
2022-04-02T15:15-07:00,790.9344482421875,0,0
2022-04-02T15:30-07:00,798.441162109375,0,0
2022-04-02T15:45-07:00,769.0967407226562,0,0
2022-04-02T16:00-07:00,777.9683227539062,0,0
2022-04-02T16:15-07:00,776.26220703125,0,0
2022-04-02T16:30-07:00,770.120361328125,0,0
2022-04-02T16:45-07:00,796.3938598632812,0,0
2022-04-02T17:00-07:00,792.2992553710938,0,0
2022-04-02T17:15-07:00,778.991943359375,0,0
2022-04-02T17:30-07:00,743.8468627929688,0,0
2022-04-02T17:45-07:00,744.1881103515625,0,0
2022-04-02T18:00-07:00,746.9178466796875,0,0
2022-04-02T18:15-07:00,722.6915893554688,0,0
2022-04-02T18:30-07:00,712.1139526367188,0,0
2022-04-02T18:45-07:00,709.38427734375,0,0
2022-04-02T19:00-07:00,300.60968017578125,0,0
2022-04-02T19:15-07:00,251.474853515625,0,0
2022-04-02T19:30-07:00,244.65057373046875,0,0
2022-04-02T19:45-07:00,237.48504638671875,0,0
2022-04-02T20:00-07:00,248.06271362304688,0,0
2022-04-02T20:15-07:00,237.48504638671875,0,0
2022-04-02T20:30-07:00,247.0390625,0,0
2022-04-02T20:45-07:00,241.5796356201172,0,0
2022-04-02T21:00-07:00,246.3566436767578,0,0
2022-04-02T21:15-07:00,235.7789764404297,0,0
2022-04-02T21:30-07:00,238.16749572753903,0,0
2022-04-02T21:45-07:00,241.5796356201172,0,0
