t,v,s,r
2022-03-31T23:45-07:00,521.7164916992188,0,0
2022-04-01T00:00-07:00,567.097900390625,0,0
2022-04-01T00:15-07:00,486.91259765625,0,0
2022-04-01T00:30-07:00,495.7841796875,0,0
2022-04-01T00:45-07:00,492.0308227539063,0,0
2022-04-01T01:00-07:00,467.4634094238281,0,0
2022-04-01T01:15-07:00,460.2979431152344,0,0
2022-04-01T01:30-07:00,498.1726684570313,0,0
2022-04-01T01:45-07:00,541.1657104492188,0,0
2022-04-01T02:00-07:00,563.0033569335938,0,0
2022-04-01T02:15-07:00,558.2263793945312,0,0
2022-04-01T02:30-07:00,491.0072021484375,0,0
2022-04-01T02:45-07:00,469.1694641113281,0,0
2022-04-01T03:00-07:00,461.321533203125,0,0
2022-04-01T03:15-07:00,462.0039978027344,0,0
2022-04-01T03:30-07:00,506.7030334472656,0,0
2022-04-01T03:45-07:00,502.94970703125,0,0
2022-04-01T04:00-07:00,473.9465026855469,0,0
2022-04-01T04:15-07:00,392.3963012695313,0,0
2022-04-01T04:30-07:00,433.3419799804688,0,0
2022-04-01T04:45-07:00,413.8927917480469,0,0
2022-04-01T05:00-07:00,433.3419799804688,0,0
2022-04-01T05:15-07:00,479.4059143066406,0,0
2022-04-01T05:30-07:00,455.1797180175781,0,0
2022-04-01T05:45-07:00,413.2103576660156,0,0
2022-04-01T06:00-07:00,407.75091552734375,0,0
2022-04-01T06:15-07:00,393.0787353515625,0,0
2022-04-01T06:30-07:00,359.6397399902344,0,0
2022-04-01T06:45-07:00,376.3592224121094,0,0
2022-04-01T07:00-07:00,406.3860778808594,0,0
2022-04-01T07:15-07:00,429.2474365234375,0,0
2022-04-01T07:30-07:00,390.6902160644531,0,0
2022-04-01T07:45-07:00,421.0582885742188,0,0
2022-04-01T08:00-07:00,377.38287353515625,0,0
2022-04-01T08:15-07:00,448.0142211914063,0,0
2022-04-01T08:30-07:00,455.1797180175781,0,0
2022-04-01T08:45-07:00,463.3688354492188,0,0
2022-04-01T09:00-07:00,550.7196655273438,0,0
