t,v,s,r
2022-03-31T23:45-07:00,359.20001220703125,0,0
2022-04-01T00:00-07:00,359.3999938964844,0,0
2022-04-01T00:15-07:00,359.5,0,0
2022-04-01T00:30-07:00,359.6000061035156,0,0
2022-04-01T00:45-07:00,359.70001220703125,0,0
2022-04-01T01:00-07:00,359.8999938964844,0,0
2022-04-01T01:15-07:00,360.0,0,0
2022-04-01T01:30-07:00,360.1000061035156,0,0
2022-04-01T01:45-07:00,360.2999877929688,0,0
2022-04-01T02:00-07:00,360.3999938964844,0,0
2022-04-01T02:15-07:00,360.5,0,0
2022-04-01T02:30-07:00,360.6000061035156,0,0
2022-04-01T02:45-07:00,360.7999877929688,0,0
2022-04-01T03:00-07:00,360.8999938964844,0,0
2022-04-01T03:15-07:00,361.0,0,0
2022-04-01T03:30-07:00,361.1000061035156,0,0
2022-04-01T03:45-07:00,361.2000122070313,0,0
2022-04-01T04:00-07:00,361.3999938964844,0,0
2022-04-01T04:15-07:00,361.5,0,0
2022-04-01T04:30-07:00,361.6000061035156,0,0
2022-04-01T04:45-07:00,361.7000122070313,0,0
2022-04-01T05:00-07:00,361.7999877929688,0,0
2022-04-01T05:15-07:00,361.8999938964844,0,0
2022-04-01T05:30-07:00,362.0,0,0
2022-04-01T05:45-07:00,362.1000061035156,0,0
2022-04-01T06:00-07:00,362.2999877929688,0,0
2022-04-01T06:15-07:00,362.3999938964844,0,0
2022-04-01T06:30-07:00,362.5,0,0
2022-04-01T06:45-07:00,362.6000061035156,0,0
2022-04-01T07:00-07:00,362.7000122070313,0,0
2022-04-01T07:15-07:00,362.7999877929688,0,0
2022-04-01T07:30-07:00,362.8999938964844,0,0
2022-04-01T07:45-07:00,363.0,0,0
2022-04-01T08:00-07:00,363.1000061035156,0,0
2022-04-01T08:15-07:00,363.2000122070313,0,0
2022-04-01T08:30-07:00,363.2999877929688,0,0
2022-04-01T08:45-07:00,363.3999938964844,0,0
2022-04-01T09:00-07:00,363.5,0,0
2022-04-01T09:15-07:00,363.7000122070313,0,0
2022-04-01T09:30-07:00,363.7999877929688,0,0
2022-04-01T09:45-07:00,363.8999938964844,0,0
2022-04-01T10:00-07:00,364.1000061035156,0,0
2022-04-01T10:15-07:00,364.2000122070313,0,0
2022-04-01T10:30-07:00,364.3999938964844,0,0
2022-04-01T10:45-07:00,364.6000061035156,0,0
2022-04-01T11:00-07:00,364.7999877929688,0,0
2022-04-01T11:15-07:00,364.8999938964844,0,0
2022-04-01T11:30-07:00,365.1000061035156,0,0
2022-04-01T11:45-07:00,365.2999877929688,0,0
2022-04-01T12:00-07:00,365.5,0,0
2022-04-01T12:15-07:00,365.7000122070313,0,0
2022-04-01T12:30-07:00,365.8999938964844,0,0
2022-04-01T12:45-07:00,366.2000122070313,0,0
2022-04-01T13:00-07:00,366.3999938964844,0,0
2022-04-01T13:15-07:00,366.6000061035156,0,0
2022-04-01T13:30-07:00,366.8999938964844,0,0
2022-04-01T13:45-07:00,367.2000122070313,0,0
2022-04-01T14:00-07:00,367.5,0,0
2022-04-01T14:15-07:00,367.7999877929688,0,0
2022-04-01T14:30-07:00,368.0,0,0
2022-04-01T14:45-07:00,368.3999938964844,0,0
2022-04-01T15:00-07:00,368.7000122070313,0,0
2022-04-01T15:15-07:00,369.0,0,0
2022-04-01T15:30-07:00,369.2999877929688,0,0
2022-04-01T15:45-07:00,369.7000122070313,0,0
2022-04-01T16:00-07:00,370.0,0,0
2022-04-01T16:15-07:00,370.2999877929688,0,0
2022-04-01T16:30-07:00,370.6000061035156,0,0
2022-04-01T16:45-07:00,370.8999938964844,0,0
2022-04-01T17:00-07:00,371.2000122070313,0,0
2022-04-01T17:15-07:00,371.5,0,0
2022-04-01T17:30-07:00,371.7999877929688,0,0
2022-04-01T17:45-07:00,372.1000061035156,0,0
2022-04-01T18:00-07:00,372.3999938964844,0,0
2022-04-01T18:15-07:00,372.6000061035156,0,0
2022-04-01T18:30-07:00,372.8999938964844,0,0
2022-04-01T18:45-07:00,373.1000061035156,0,0
2022-04-01T19:00-07:00,373.2999877929688,0,0
2022-04-01T19:15-07:00,373.5,0,0
2022-04-01T19:30-07:00,373.7000122070313,0,0
2022-04-01T19:45-07:00,373.8999938964844,0,0
2022-04-01T20:00-07:00,374.1000061035156,0,0
2022-04-01T20:15-07:00,374.2999877929688,0,0
2022-04-01T20:30-07:00,374.3999938964844,0,0
2022-04-01T20:45-07:00,374.6000061035156,0,0
2022-04-01T21:00-07:00,374.7000122070313,0,0
2022-04-01T21:15-07:00,374.8999938964844,0,0
2022-04-01T21:30-07:00,375.0,0,0
2022-04-01T21:45-07:00,375.1000061035156,0,0
2022-04-01T22:00-07:00,375.2999877929688,0,0
2022-04-01T22:15-07:00,375.3999938964844,0,0
2022-04-01T22:30-07:00,375.5,0,0
2022-04-01T22:45-07:00,375.7000122070313,0,0
2022-04-01T23:00-07:00,375.7999877929688,0,0
2022-04-01T23:15-07:00,375.8999938964844,0,0
2022-04-01T23:30-07:00,376.1000061035156,0,0
2022-04-01T23:45-07:00,376.2000122070313,0,0
2022-04-02T00:00-07:00,376.2999877929688,0,0
2022-04-02T00:15-07:00,376.3999938964844,0,0
2022-04-02T00:30-07:00,376.6000061035156,0,0
2022-04-02T00:45-07:00,376.7000122070313,0,0
2022-04-02T01:00-07:00,376.7999877929688,0,0
2022-04-02T01:15-07:00,376.8999938964844,0,0
2022-04-02T01:30-07:00,377.0,0,0
2022-04-02T01:45-07:00,377.2000122070313,0,0
2022-04-02T02:00-07:00,377.2999877929688,0,0
2022-04-02T02:15-07:00,377.3999938964844,0,0
2022-04-02T02:30-07:00,377.5,0,0
2022-04-02T02:45-07:00,377.7000122070313,0,0
2022-04-02T03:00-07:00,377.7999877929688,0,0
2022-04-02T03:15-07:00,377.8999938964844,0,0
2022-04-02T03:30-07:00,378.0,0,0
2022-04-02T03:45-07:00,378.1000061035156,0,0
2022-04-02T04:00-07:00,378.2000122070313,0,0
2022-04-02T04:15-07:00,378.2999877929688,0,0
2022-04-02T04:30-07:00,378.5,0,0
2022-04-02T04:45-07:00,378.6000061035156,0,0
2022-04-02T05:00-07:00,378.7000122070313,0,0
