t,v,s,r
2022-03-31T23:45-07:00,54.6953125,0,0
2022-04-01T00:00-07:00,54.86328125,0,0
2022-04-01T00:15-07:00,54.74874877929688,0,0
2022-04-01T00:30-07:00,54.557861328125,0,0
2022-04-01T00:45-07:00,54.756378173828125,0,0
2022-04-01T01:00-07:00,54.27532958984375,0,0
2022-04-01T01:15-07:00,54.473876953125,0,0
2022-04-01T01:30-07:00,54.611328125,0,0
2022-04-01T01:45-07:00,54.282989501953125,0,0
2022-04-01T02:00-07:00,54.22189331054688,0,0
2022-04-01T02:15-07:00,54.02337646484375,0,0
2022-04-01T02:30-07:00,54.58078002929688,0,0
2022-04-01T02:45-07:00,53.94699096679688,0,0
2022-04-01T03:00-07:00,53.58050537109375,0,0
2022-04-01T03:15-07:00,53.67974853515625,0,0
2022-04-01T03:30-07:00,53.67974853515625,0,0
2022-04-01T03:45-07:00,53.412506103515625,0,0
2022-04-01T04:00-07:00,53.145263671875,0,0
2022-04-01T04:15-07:00,54.588409423828125,0,0
2022-04-01T04:30-07:00,53.5194091796875,0,0
2022-04-01T04:45-07:00,53.786651611328125,0,0
2022-04-01T05:00-07:00,54.10736083984375,0,0
2022-04-01T05:15-07:00,54.428070068359375,0,0
2022-04-01T05:30-07:00,54.008087158203125,0,0
2022-04-01T05:45-07:00,53.50411987304688,0,0
2022-04-01T06:00-07:00,54.74874877929688,0,0
2022-04-01T06:15-07:00,54.015716552734375,0,0
2022-04-01T06:30-07:00,54.198974609375,0,0
2022-04-01T06:45-07:00,54.16842651367188,0,0
2022-04-01T07:00-07:00,54.298248291015625,0,0
2022-04-01T07:15-07:00,53.90118408203125,0,0
2022-04-01T07:30-07:00,52.771087646484375,0,0
2022-04-01T07:45-07:00,53.66448974609375,0,0
2022-04-01T08:00-07:00,54.473876953125,0,0
2022-04-01T08:15-07:00,54.916748046875,0,0
2022-04-01T08:30-07:00,54.680023193359375,0,0
2022-04-01T08:45-07:00,55.084716796875,0,0
2022-04-01T09:00-07:00,54.90911865234375,0,0
2022-04-01T09:15-07:00,56.886749267578125,0,0
2022-04-01T09:30-07:00,55.443603515625,0,0
2022-04-01T09:45-07:00,59.33782958984375,0,0
2022-04-01T10:00-07:00,59.742523193359375,0,0
2022-04-01T10:15-07:00,59.6356201171875,0,0
2022-04-01T10:30-07:00,57.36016845703125,0,0
2022-04-01T10:45-07:00,56.40570068359375,0,0
2022-04-01T11:00-07:00,57.41363525390625,0,0
2022-04-01T11:15-07:00,57.65032958984375,0,0
2022-04-01T11:30-07:00,60.414459228515625,0,0
2022-04-01T11:45-07:00,59.93341064453125,0,0
