t,v,s,r
2022-03-31T23:45-07:00,54.071197509765625,0,0
2022-04-01T00:00-07:00,52.61880493164063,0,0
2022-04-01T00:15-07:00,52.69525146484375,0,0
2022-04-01T00:30-07:00,53.05450439453125,0,0
2022-04-01T00:45-07:00,52.435333251953125,0,0
2022-04-01T01:00-07:00,53.849517822265625,0,0
2022-04-01T01:15-07:00,52.045501708984375,0,0
2022-04-01T01:30-07:00,52.932220458984375,0,0
2022-04-01T01:45-07:00,53.566680908203125,0,0
2022-04-01T02:00-07:00,51.86203002929688,0,0
2022-04-01T02:15-07:00,52.84811401367188,0,0
2022-04-01T02:30-07:00,52.725830078125,0,0
2022-04-01T02:45-07:00,52.41241455078125,0,0
2022-04-01T03:00-07:00,53.84185791015625,0,0
2022-04-01T03:15-07:00,52.63409423828125,0,0
2022-04-01T03:30-07:00,52.3206787109375,0,0
2022-04-01T03:45-07:00,53.05450439453125,0,0
2022-04-01T04:00-07:00,53.345001220703125,0,0
2022-04-01T04:15-07:00,51.892608642578125,0,0
2022-04-01T04:30-07:00,51.839111328125,0,0
2022-04-01T04:45-07:00,51.09762573242188,0,0
2022-04-01T05:00-07:00,51.235198974609375,0,0
2022-04-01T05:15-07:00,51.64035034179688,0,0
2022-04-01T05:30-07:00,51.2122802734375,0,0
2022-04-01T05:45-07:00,51.29635620117188,0,0
2022-04-01T06:00-07:00,51.3116455078125,0,0
2022-04-01T06:15-07:00,51.227569580078125,0,0
2022-04-01T06:30-07:00,51.013519287109375,0,0
2022-04-01T06:45-07:00,51.19699096679688,0,0
2022-04-01T07:00-07:00,51.19699096679688,0,0
2022-04-01T07:15-07:00,51.0517578125,0,0
2022-04-01T07:30-07:00,51.62506103515625,0,0
2022-04-01T07:45-07:00,51.380462646484375,0,0
2022-04-01T08:00-07:00,51.28872680664063,0,0
2022-04-01T08:15-07:00,51.51803588867188,0,0
2022-04-01T08:30-07:00,53.63546752929688,0,0
2022-04-01T08:45-07:00,52.69525146484375,0,0
2022-04-01T09:00-07:00,53.169189453125,0,0
2022-04-01T09:15-07:00,53.23797607421875,0,0
2022-04-01T09:30-07:00,54.84326171875,0,0
2022-04-01T09:45-07:00,54.96554565429688,0,0
2022-04-01T10:00-07:00,55.31719970703125,0,0
2022-04-01T10:15-07:00,55.2254638671875,0,0
2022-04-01T10:30-07:00,55.35540771484375,0,0
2022-04-01T10:45-07:00,54.575714111328125,0,0
2022-04-01T11:00-07:00,55.340118408203125,0,0
2022-04-01T11:15-07:00,55.118438720703125,0,0
2022-04-01T11:30-07:00,55.592376708984375,0,0
2022-04-01T11:45-07:00,55.67645263671875,0,0
2022-04-01T12:00-07:00,55.622955322265625,0,0
2022-04-01T12:15-07:00,55.814056396484375,0,0
2022-04-01T12:30-07:00,56.64727783203125,0,0
2022-04-01T12:45-07:00,56.39501953125,0,0
2022-04-01T13:00-07:00,56.792510986328125,0,0
2022-04-01T13:15-07:00,56.26507568359375,0,0
2022-04-01T13:30-07:00,56.4332275390625,0,0
2022-04-01T13:45-07:00,57.5416259765625,0,0
2022-04-01T14:00-07:00,56.975982666015625,0,0
2022-04-01T14:15-07:00,58.39776611328125,0,0
2022-04-01T14:30-07:00,57.06005859375,0,0
2022-04-01T14:45-07:00,57.15179443359375,0,0
2022-04-01T15:00-07:00,57.235870361328125,0,0
2022-04-01T15:15-07:00,57.266448974609375,0,0
2022-04-01T15:30-07:00,57.72509765625,0,0
2022-04-01T15:45-07:00,56.960693359375,0,0
2022-04-01T16:00-07:00,56.84600830078125,0,0
2022-04-01T16:15-07:00,57.3428955078125,0,0
2022-04-01T16:30-07:00,56.46380615234375,0,0
2022-04-01T16:45-07:00,56.2115478515625,0,0
2022-04-01T17:00-07:00,56.028106689453125,0,0
2022-04-01T17:15-07:00,55.82171630859375,0,0
2022-04-01T17:30-07:00,56.0128173828125,0,0
2022-04-01T17:45-07:00,55.94400024414063,0,0
2022-04-01T18:00-07:00,55.92108154296875,0,0
2022-04-01T18:15-07:00,55.5465087890625,0,0
2022-04-01T18:30-07:00,55.164306640625,0,0
2022-04-01T18:45-07:00,55.2025146484375,0,0
2022-04-01T19:00-07:00,55.1260986328125,0,0
2022-04-01T19:15-07:00,54.705657958984375,0,0
2022-04-01T19:30-07:00,53.95654296875,0,0
2022-04-01T19:45-07:00,54.41519165039063,0,0
2022-04-01T20:00-07:00,54.30816650390625,0,0
2022-04-01T20:15-07:00,54.02532958984375,0,0
2022-04-01T20:30-07:00,52.702880859375,0,0
2022-04-01T20:45-07:00,53.7501220703125,0,0
2022-04-01T21:00-07:00,53.6507568359375,0,0
2022-04-01T21:15-07:00,53.64312744140625,0,0
2022-04-01T21:30-07:00,52.84048461914063,0,0
2022-04-01T21:45-07:00,53.2073974609375,0,0
2022-04-01T22:00-07:00,52.603515625,0,0
2022-04-01T22:15-07:00,54.1552734375,0,0
2022-04-01T22:30-07:00,52.458282470703125,0,0
2022-04-01T22:45-07:00,53.7501220703125,0,0
2022-04-01T23:00-07:00,52.31304931640625,0,0
2022-04-01T23:15-07:00,53.597259521484375,0,0
2022-04-01T23:30-07:00,52.35125732421875,0,0
2022-04-01T23:45-07:00,52.9857177734375,0,0
2022-04-02T00:00-07:00,51.991973876953125,0,0
