t,v,s,r
2022-03-31T23:45-07:00,41920.5,0,0
2022-04-01T00:00-07:00,41920.59765625,0,0
2022-04-01T00:15-07:00,41920.69921875,0,0
2022-04-01T00:30-07:00,41920.796875,0,0
2022-04-01T00:45-07:00,41920.90234375,0,0
2022-04-01T01:00-07:00,41920.90234375,0,0
2022-04-01T01:15-07:00,41921.0,0,0
2022-04-01T01:30-07:00,41921.1015625,0,0
2022-04-01T01:45-07:00,41921.19921875,0,0
2022-04-01T02:00-07:00,41921.296875,0,0
2022-04-01T02:15-07:00,41921.40234375,0,0
2022-04-01T02:30-07:00,41921.5,0,0
2022-04-01T02:45-07:00,41921.5,0,0
2022-04-01T03:00-07:00,41921.6015625,0,0
2022-04-01T03:15-07:00,41921.69921875,0,0
2022-04-01T03:30-07:00,41921.796875,0,0
2022-04-01T03:45-07:00,41921.90234375,0,0
2022-04-01T04:00-07:00,41922.0,0,0
2022-04-01T04:15-07:00,41922.0,0,0
2022-04-01T04:30-07:00,41922.1015625,0,0
2022-04-01T04:45-07:00,41922.19921875,0,0
2022-04-01T05:00-07:00,41922.19921875,0,0
2022-04-01T05:15-07:00,41922.30078125,0,0
2022-04-01T05:30-07:00,41922.3984375,0,0
2022-04-01T05:45-07:00,41922.3984375,0,0
2022-04-01T06:00-07:00,41922.5,0,0
2022-04-01T06:15-07:00,41922.6015625,0,0
2022-04-01T06:30-07:00,41922.6015625,0,0
2022-04-01T06:45-07:00,41922.69921875,0,0
2022-04-01T07:00-07:00,41922.80078125,0,0
2022-04-01T07:15-07:00,41922.80078125,0,0
2022-04-01T07:30-07:00,41922.8984375,0,0
2022-04-01T07:45-07:00,41922.8984375,0,0
2022-04-01T08:00-07:00,41923.0,0,0
2022-04-01T08:15-07:00,41923.1015625,0,0
2022-04-01T08:30-07:00,41923.19921875,0,0
2022-04-01T08:45-07:00,41923.19921875,0,0
2022-04-01T09:00-07:00,41923.30078125,0,0
2022-04-01T09:15-07:00,41923.3984375,0,0
2022-04-01T09:30-07:00,41923.49609375,0,0
2022-04-01T09:45-07:00,41923.69921875,0,0
2022-04-01T10:00-07:00,41923.80078125,0,0
2022-04-01T10:15-07:00,41923.8984375,0,0
2022-04-01T10:30-07:00,41924.1015625,0,0
2022-04-01T10:45-07:00,41924.19921875,0,0
2022-04-01T11:00-07:00,41924.30078125,0,0
2022-04-01T11:15-07:00,41924.5,0,0
2022-04-01T11:30-07:00,41924.6015625,0,0
2022-04-01T11:45-07:00,41924.80078125,0,0
2022-04-01T12:00-07:00,41925.0,0,0
2022-04-01T12:15-07:00,41925.09765625,0,0
2022-04-01T12:30-07:00,41925.30078125,0,0
2022-04-01T12:45-07:00,41925.5,0,0
2022-04-01T13:00-07:00,41925.703125,0,0
2022-04-01T13:15-07:00,41925.8984375,0,0
2022-04-01T13:30-07:00,41926.09765625,0,0
2022-04-01T13:45-07:00,41926.30078125,0,0
2022-04-01T14:00-07:00,41926.59765625,0,0
2022-04-01T14:15-07:00,41926.80078125,0,0
2022-04-01T14:30-07:00,41927.09765625,0,0
2022-04-01T14:45-07:00,41927.40234375,0,0
2022-04-01T15:00-07:00,41927.69921875,0,0
2022-04-01T15:15-07:00,41927.90234375,0,0
2022-04-01T15:30-07:00,41928.19921875,0,0
2022-04-01T15:45-07:00,41928.5,0,0
2022-04-01T16:00-07:00,41928.796875,0,0
2022-04-01T16:15-07:00,41929.1015625,0,0
2022-04-01T16:30-07:00,41929.30078125,0,0
2022-04-01T16:45-07:00,41929.6015625,0,0
2022-04-01T17:00-07:00,41929.80078125,0,0
2022-04-01T17:15-07:00,41930.1015625,0,0
2022-04-01T17:30-07:00,41930.30078125,0,0
2022-04-01T17:45-07:00,41930.5,0,0
2022-04-01T18:00-07:00,41930.69921875,0,0
2022-04-01T18:15-07:00,41930.8984375,0,0
2022-04-01T18:30-07:00,41931.1015625,0,0
2022-04-01T18:45-07:00,41931.19921875,0,0
2022-04-01T19:00-07:00,41931.3984375,0,0
2022-04-01T19:15-07:00,41931.5,0,0
2022-04-01T19:30-07:00,41931.69921875,0,0
2022-04-01T19:45-07:00,41931.80078125,0,0
2022-04-01T20:00-07:00,41932.0,0,0
2022-04-01T20:15-07:00,41932.09765625,0,0
2022-04-01T20:30-07:00,41932.203125,0,0
2022-04-01T20:45-07:00,41932.30078125,0,0
2022-04-01T21:00-07:00,41932.3984375,0,0
2022-04-01T21:15-07:00,41932.5,0,0
2022-04-01T21:30-07:00,41932.59765625,0,0
