t,v,s,r
2022-03-31T23:45-07:00,43.21417236328125,0,0
2022-04-01T00:00-07:00,43.12277221679688,0,0
2022-04-01T00:15-07:00,43.1075439453125,0,0
2022-04-01T00:30-07:00,43.07708740234375,0,0
2022-04-01T00:45-07:00,43.11517333984375,0,0
2022-04-01T01:00-07:00,43.16845703125,0,0
2022-04-01T01:15-07:00,43.20654296875,0,0
2022-04-01T01:30-07:00,43.153228759765625,0,0
2022-04-01T01:45-07:00,43.1456298828125,0,0
2022-04-01T02:00-07:00,43.12277221679688,0,0
2022-04-01T02:15-07:00,43.1456298828125,0,0
2022-04-01T02:30-07:00,43.11517333984375,0,0
2022-04-01T02:45-07:00,43.08468627929688,0,0
2022-04-01T03:00-07:00,43.16085815429688,0,0
2022-04-01T03:15-07:00,43.130401611328125,0,0
2022-04-01T03:30-07:00,43.07708740234375,0,0
2022-04-01T03:45-07:00,43.09991455078125,0,0
2022-04-01T04:00-07:00,43.061859130859375,0,0
2022-04-01T04:15-07:00,43.061859130859375,0,0
2022-04-01T04:30-07:00,43.07708740234375,0,0
2022-04-01T04:45-07:00,43.092315673828125,0,0
2022-04-01T05:00-07:00,43.092315673828125,0,0
2022-04-01T05:15-07:00,43.092315673828125,0,0
2022-04-01T05:30-07:00,43.023773193359375,0,0
2022-04-01T05:45-07:00,43.08468627929688,0,0
2022-04-01T06:00-07:00,43.03900146484375,0,0
2022-04-01T06:15-07:00,43.061859130859375,0,0
2022-04-01T06:30-07:00,43.0694580078125,0,0
2022-04-01T06:45-07:00,43.1837158203125,0,0
2022-04-01T07:00-07:00,43.07708740234375,0,0
2022-04-01T07:15-07:00,43.07708740234375,0,0
2022-04-01T07:30-07:00,42.985687255859375,0,0
2022-04-01T07:45-07:00,43.13800048828125,0,0
2022-04-01T08:00-07:00,43.11517333984375,0,0
2022-04-01T08:15-07:00,43.25225830078125,0,0
2022-04-01T08:30-07:00,43.267486572265625,0,0
2022-04-01T08:45-07:00,43.23703002929688,0,0
2022-04-01T09:00-07:00,43.336029052734375,0,0
2022-04-01T09:15-07:00,43.328399658203125,0,0
2022-04-01T09:30-07:00,43.24462890625,0,0
2022-04-01T09:45-07:00,43.229400634765625,0,0
2022-04-01T10:00-07:00,43.16845703125,0,0
2022-04-01T10:15-07:00,43.336029052734375,0,0
