t,v,s,r
2022-03-31T23:45-07:00,9767.759765625,0,0
2022-04-01T00:00-07:00,9767.8701171875,0,0
2022-04-01T00:15-07:00,9767.98046875,0,0
2022-04-01T00:30-07:00,9768.08984375,0,0
2022-04-01T00:45-07:00,9768.2099609375,0,0
2022-04-01T01:00-07:00,9768.3203125,0,0
2022-04-01T01:15-07:00,9768.439453125,0,0
2022-04-01T01:30-07:00,9768.5400390625,0,0
2022-04-01T01:45-07:00,9768.6298828125,0,0
2022-04-01T02:00-07:00,9768.7294921875,0,0
2022-04-01T02:15-07:00,9768.8193359375,0,0
2022-04-01T02:30-07:00,9768.919921875,0,0
2022-04-01T02:45-07:00,9769.0205078125,0,0
2022-04-01T03:00-07:00,9769.1201171875,0,0
2022-04-01T03:15-07:00,9769.2197265625,0,0
2022-04-01T03:30-07:00,9769.310546875,0,0
2022-04-01T03:45-07:00,9769.4091796875,0,0
2022-04-01T04:00-07:00,9769.509765625,0,0
2022-04-01T04:15-07:00,9769.6103515625,0,0
2022-04-01T04:30-07:00,9769.7001953125,0,0
2022-04-01T04:45-07:00,9769.7900390625,0,0
2022-04-01T05:00-07:00,9769.8896484375,0,0
2022-04-01T05:15-07:00,9769.9794921875,0,0
2022-04-01T05:30-07:00,9770.080078125,0,0
2022-04-01T05:45-07:00,9770.169921875,0,0
2022-04-01T06:00-07:00,9770.26953125,0,0
2022-04-01T06:15-07:00,9770.3798828125,0,0
2022-04-01T06:30-07:00,9770.4794921875,0,0
2022-04-01T06:45-07:00,9770.580078125,0,0
2022-04-01T07:00-07:00,9770.6806640625,0,0
2022-04-01T07:15-07:00,9770.7900390625,0,0
2022-04-01T07:30-07:00,9770.8798828125,0,0
2022-04-01T07:45-07:00,9770.98046875,0,0
2022-04-01T08:00-07:00,9771.08984375,0,0
2022-04-01T08:15-07:00,9771.1904296875,0,0
2022-04-01T08:30-07:00,9771.2998046875,0,0
2022-04-01T08:45-07:00,9771.419921875,0,0
2022-04-01T09:00-07:00,9771.5302734375,0,0
2022-04-01T09:15-07:00,9771.650390625,0,0
2022-04-01T09:30-07:00,9771.76953125,0,0
2022-04-01T09:45-07:00,9771.900390625,0,0
2022-04-01T10:00-07:00,9772.01953125,0,0
2022-04-01T10:15-07:00,9772.1298828125,0,0
2022-04-01T10:30-07:00,9772.25,0,0
2022-04-01T10:45-07:00,9772.3701171875,0,0
2022-04-01T11:00-07:00,9772.5,0,0
2022-04-01T11:15-07:00,9772.6201171875,0,0
2022-04-01T11:30-07:00,9772.73046875,0,0
2022-04-01T11:45-07:00,9772.8603515625,0,0
2022-04-01T12:00-07:00,9772.98046875,0,0
2022-04-01T12:15-07:00,9773.1103515625,0,0
