t,v,s,r
2022-03-31T23:45-07:00,43.24371337890625,0,0
2022-04-01T00:00-07:00,43.236114501953125,0,0
2022-04-01T00:15-07:00,43.205841064453125,0,0
2022-04-01T00:30-07:00,43.16796875,0,0
2022-04-01T00:45-07:00,43.130126953125,0,0
2022-04-01T01:00-07:00,43.10739135742188,0,0
2022-04-01T01:15-07:00,43.1376953125,0,0
2022-04-01T01:30-07:00,43.190704345703125,0,0
2022-04-01T01:45-07:00,43.220977783203125,0,0
2022-04-01T02:00-07:00,43.213409423828125,0,0
2022-04-01T02:15-07:00,43.183135986328125,0,0
2022-04-01T02:30-07:00,43.160400390625,0,0
2022-04-01T02:45-07:00,43.160400390625,0,0
2022-04-01T03:00-07:00,43.130126953125,0,0
2022-04-01T03:15-07:00,43.160400390625,0,0
2022-04-01T03:30-07:00,43.190704345703125,0,0
2022-04-01T03:45-07:00,43.183135986328125,0,0
2022-04-01T04:00-07:00,43.160400390625,0,0
2022-04-01T04:15-07:00,43.1376953125,0,0
2022-04-01T04:30-07:00,43.11495971679688,0,0
2022-04-01T04:45-07:00,43.130126953125,0,0
2022-04-01T05:00-07:00,43.12255859375,0,0
2022-04-01T05:15-07:00,43.145263671875,0,0
2022-04-01T05:30-07:00,43.1376953125,0,0
2022-04-01T05:45-07:00,43.130126953125,0,0
2022-04-01T06:00-07:00,43.16796875,0,0
2022-04-01T06:15-07:00,43.145263671875,0,0
2022-04-01T06:30-07:00,43.145263671875,0,0
2022-04-01T06:45-07:00,43.16796875,0,0
2022-04-01T07:00-07:00,43.220977783203125,0,0
2022-04-01T07:15-07:00,43.190704345703125,0,0
2022-04-01T07:30-07:00,43.160400390625,0,0
2022-04-01T07:45-07:00,43.1376953125,0,0
2022-04-01T08:00-07:00,43.11495971679688,0,0
2022-04-01T08:15-07:00,43.205841064453125,0,0
2022-04-01T08:30-07:00,43.28912353515625,0,0
2022-04-01T08:45-07:00,43.349700927734375,0,0
2022-04-01T09:00-07:00,43.334564208984375,0,0
2022-04-01T09:15-07:00,43.3875732421875,0,0
2022-04-01T09:30-07:00,43.4102783203125,0,0
2022-04-01T09:45-07:00,43.4027099609375,0,0
2022-04-01T10:00-07:00,43.342132568359375,0,0
2022-04-01T10:15-07:00,43.3648681640625,0,0
2022-04-01T10:30-07:00,43.326995849609375,0,0
2022-04-01T10:45-07:00,43.349700927734375,0,0
2022-04-01T11:00-07:00,43.342132568359375,0,0
2022-04-01T11:15-07:00,43.27398681640625,0,0
2022-04-01T11:30-07:00,43.24371337890625,0,0
2022-04-01T11:45-07:00,43.28155517578125,0,0
2022-04-01T12:00-07:00,43.3648681640625,0,0
2022-04-01T12:15-07:00,43.4102783203125,0,0
2022-04-01T12:30-07:00,43.3800048828125,0,0
2022-04-01T12:45-07:00,43.4254150390625,0,0
2022-04-01T13:00-07:00,43.3951416015625,0,0
2022-04-01T13:15-07:00,43.4254150390625,0,0
2022-04-01T13:30-07:00,43.3875732421875,0,0
2022-04-01T13:45-07:00,43.44058227539063,0,0
2022-04-01T14:00-07:00,43.4102783203125,0,0
2022-04-01T14:15-07:00,43.3951416015625,0,0
2022-04-01T14:30-07:00,43.3800048828125,0,0
2022-04-01T14:45-07:00,43.3951416015625,0,0
2022-04-01T15:00-07:00,43.45571899414063,0,0
2022-04-01T15:15-07:00,43.4102783203125,0,0
2022-04-01T15:30-07:00,43.4027099609375,0,0
2022-04-01T15:45-07:00,43.4178466796875,0,0
2022-04-01T16:00-07:00,43.3951416015625,0,0
2022-04-01T16:15-07:00,43.334564208984375,0,0
2022-04-01T16:30-07:00,43.29669189453125,0,0
2022-04-01T16:45-07:00,43.24371337890625,0,0
2022-04-01T17:00-07:00,43.183135986328125,0,0
2022-04-01T17:15-07:00,43.228546142578125,0,0
2022-04-01T17:30-07:00,43.25885009765625,0,0
2022-04-01T17:45-07:00,43.205841064453125,0,0
2022-04-01T18:00-07:00,43.175537109375,0,0
2022-04-01T18:15-07:00,43.16796875,0,0
2022-04-01T18:30-07:00,43.130126953125,0,0
2022-04-01T18:45-07:00,43.1376953125,0,0
2022-04-01T19:00-07:00,43.10739135742188,0,0
2022-04-01T19:15-07:00,43.10739135742188,0,0
2022-04-01T19:30-07:00,43.12255859375,0,0
2022-04-01T19:45-07:00,43.1376953125,0,0
2022-04-01T20:00-07:00,43.15283203125,0,0
2022-04-01T20:15-07:00,43.130126953125,0,0
2022-04-01T20:30-07:00,43.09225463867188,0,0
2022-04-01T20:45-07:00,43.11495971679688,0,0
