t,v,s,r
2022-03-31T23:45-07:00,3188.31005859375,0,0
2022-04-01T00:00-07:00,3188.320068359375,0,0
2022-04-01T00:15-07:00,3188.340087890625,0,0
2022-04-01T00:30-07:00,3188.349853515625,0,0
2022-04-01T00:45-07:00,3188.369873046875,0,0
2022-04-01T01:00-07:00,3188.3798828125,0,0
2022-04-01T01:15-07:00,3188.389892578125,0,0
2022-04-01T01:30-07:00,3188.41015625,0,0
2022-04-01T01:45-07:00,3188.420166015625,0,0
2022-04-01T02:00-07:00,3188.440185546875,0,0
2022-04-01T02:15-07:00,3188.449951171875,0,0
2022-04-01T02:30-07:00,3188.469970703125,0,0
2022-04-01T02:45-07:00,3188.47998046875,0,0
2022-04-01T03:00-07:00,3188.489990234375,0,0
2022-04-01T03:15-07:00,3188.510009765625,0,0
2022-04-01T03:30-07:00,3188.52001953125,0,0
2022-04-01T03:45-07:00,3188.539794921875,0,0
2022-04-01T04:00-07:00,3188.5498046875,0,0
2022-04-01T04:15-07:00,3188.570068359375,0,0
2022-04-01T04:30-07:00,3188.580078125,0,0
2022-04-01T04:45-07:00,3188.590087890625,0,0
2022-04-01T05:00-07:00,3188.610107421875,0,0
2022-04-01T05:15-07:00,3188.6201171875,0,0
2022-04-01T05:30-07:00,3188.639892578125,0,0
2022-04-01T05:45-07:00,3188.64990234375,0,0
2022-04-01T06:00-07:00,3188.669921875,0,0
2022-04-01T06:15-07:00,3188.679931640625,0,0
2022-04-01T06:30-07:00,3188.68994140625,0,0
2022-04-01T06:45-07:00,3188.7099609375,0,0
2022-04-01T07:00-07:00,3188.72021484375,0,0
2022-04-01T07:15-07:00,3188.739990234375,0,0
2022-04-01T07:30-07:00,3188.75,0,0
2022-04-01T07:45-07:00,3188.760009765625,0,0
2022-04-01T08:00-07:00,3188.780029296875,0,0
2022-04-01T08:15-07:00,3188.7900390625,0,0
2022-04-01T08:30-07:00,3188.800048828125,0,0
2022-04-01T08:45-07:00,3188.81005859375,0,0
2022-04-01T09:00-07:00,3188.820068359375,0,0
2022-04-01T09:15-07:00,3188.829833984375,0,0
2022-04-01T09:30-07:00,3188.83984375,0,0
2022-04-01T09:45-07:00,3188.849853515625,0,0
2022-04-01T10:00-07:00,3188.85986328125,0,0
2022-04-01T10:15-07:00,3188.869873046875,0,0
2022-04-01T10:30-07:00,3188.880126953125,0,0
2022-04-01T10:45-07:00,3188.89013671875,0,0
2022-04-01T11:00-07:00,3188.91015625,0,0
2022-04-01T11:15-07:00,3188.920166015625,0,0
2022-04-01T11:30-07:00,3188.929931640625,0,0
2022-04-01T11:45-07:00,3188.93994140625,0,0
2022-04-01T12:00-07:00,3188.949951171875,0,0
2022-04-01T12:15-07:00,3188.9599609375,0,0
2022-04-01T12:30-07:00,3188.969970703125,0,0
2022-04-01T12:45-07:00,3188.989990234375,0,0
2022-04-01T13:00-07:00,3189.0,0,0
2022-04-01T13:15-07:00,3189.02001953125,0,0
2022-04-01T13:30-07:00,3189.02978515625,0,0
2022-04-01T13:45-07:00,3189.050048828125,0,0
2022-04-01T14:00-07:00,3189.06005859375,0,0
2022-04-01T14:15-07:00,3189.080078125,0,0
2022-04-01T14:30-07:00,3189.10009765625,0,0
2022-04-01T14:45-07:00,3189.110107421875,0,0
2022-04-01T15:00-07:00,3189.1298828125,0,0
2022-04-01T15:15-07:00,3189.139892578125,0,0
2022-04-01T15:30-07:00,3189.159912109375,0,0
2022-04-01T15:45-07:00,3189.169921875,0,0
2022-04-01T16:00-07:00,3189.18994140625,0,0
2022-04-01T16:15-07:00,3189.2001953125,0,0
2022-04-01T16:30-07:00,3189.22021484375,0,0
2022-04-01T16:45-07:00,3189.239990234375,0,0
2022-04-01T17:00-07:00,3189.25,0,0
2022-04-01T17:15-07:00,3189.27001953125,0,0
2022-04-01T17:30-07:00,3189.280029296875,0,0
2022-04-01T17:45-07:00,3189.300048828125,0,0
2022-04-01T18:00-07:00,3189.31005859375,0,0
2022-04-01T18:15-07:00,3189.329833984375,0,0
2022-04-01T18:30-07:00,3189.33984375,0,0
2022-04-01T18:45-07:00,3189.360107421875,0,0
2022-04-01T19:00-07:00,3189.3701171875,0,0
2022-04-01T19:15-07:00,3189.39013671875,0,0
2022-04-01T19:30-07:00,3189.400146484375,0,0
2022-04-01T19:45-07:00,3189.419921875,0,0
2022-04-01T20:00-07:00,3189.429931640625,0,0
2022-04-01T20:15-07:00,3189.449951171875,0,0
2022-04-01T20:30-07:00,3189.4599609375,0,0
2022-04-01T20:45-07:00,3189.47998046875,0,0
2022-04-01T21:00-07:00,3189.489990234375,0,0
2022-04-01T21:15-07:00,3189.510009765625,0,0
2022-04-01T21:30-07:00,3189.52001953125,0,0
2022-04-01T21:45-07:00,3189.5400390625,0,0
2022-04-01T22:00-07:00,3189.550048828125,0,0
2022-04-01T22:15-07:00,3189.56005859375,0,0
2022-04-01T22:30-07:00,3189.580078125,0,0
2022-04-01T22:45-07:00,3189.590087890625,0,0
2022-04-01T23:00-07:00,3189.60986328125,0,0
2022-04-01T23:15-07:00,3189.619873046875,0,0
2022-04-01T23:30-07:00,3189.639892578125,0,0
2022-04-01T23:45-07:00,3189.64990234375,0,0
2022-04-02T00:00-07:00,3189.669921875,0,0
2022-04-02T00:15-07:00,3189.68017578125,0,0
2022-04-02T00:30-07:00,3189.7001953125,0,0
2022-04-02T00:45-07:00,3189.7099609375,0,0
2022-04-02T01:00-07:00,3189.719970703125,0,0
2022-04-02T01:15-07:00,3189.739990234375,0,0
2022-04-02T01:30-07:00,3189.75,0,0
2022-04-02T01:45-07:00,3189.77001953125,0,0
2022-04-02T02:00-07:00,3189.780029296875,0,0
2022-04-02T02:15-07:00,3189.800048828125,0,0
2022-04-02T02:30-07:00,3189.809814453125,0,0
2022-04-02T02:45-07:00,3189.829833984375,0,0
2022-04-02T03:00-07:00,3189.840087890625,0,0
2022-04-02T03:15-07:00,3189.860107421875,0,0
2022-04-02T03:30-07:00,3189.8701171875,0,0
2022-04-02T03:45-07:00,3189.89013671875,0,0
2022-04-02T04:00-07:00,3189.900146484375,0,0
2022-04-02T04:15-07:00,3189.919921875,0,0
2022-04-02T04:30-07:00,3189.929931640625,0,0
2022-04-02T04:45-07:00,3189.93994140625,0,0
2022-04-02T05:00-07:00,3189.9599609375,0,0
2022-04-02T05:15-07:00,3189.969970703125,0,0
2022-04-02T05:30-07:00,3189.989990234375,0,0
2022-04-02T05:45-07:00,3190.000244140625,0,0
2022-04-02T06:00-07:00,3190.02001953125,0,0
2022-04-02T06:15-07:00,3190.030029296875,0,0
2022-04-02T06:30-07:00,3190.050048828125,0,0
2022-04-02T06:45-07:00,3190.06005859375,0,0
2022-04-02T07:00-07:00,3190.080078125,0,0
2022-04-02T07:15-07:00,3190.090087890625,0,0
2022-04-02T07:30-07:00,3190.10986328125,0,0
2022-04-02T07:45-07:00,3190.119873046875,0,0
2022-04-02T08:00-07:00,3190.139892578125,0,0
2022-04-02T08:15-07:00,3190.14990234375,0,0
2022-04-02T08:30-07:00,3190.16015625,0,0
