t,v,s,r
2022-03-31T23:45-07:00,43.011474609375,0,0
2022-04-01T00:00-07:00,42.9962158203125,0,0
2022-04-01T00:15-07:00,42.97335815429688,0,0
2022-04-01T00:30-07:00,42.93524169921875,0,0
2022-04-01T00:45-07:00,42.89712524414063,0,0
2022-04-01T01:00-07:00,42.881866455078125,0,0
2022-04-01T01:15-07:00,42.912353515625,0,0
2022-04-01T01:30-07:00,42.95050048828125,0,0
2022-04-01T01:45-07:00,42.988616943359375,0,0
2022-04-01T02:00-07:00,42.980987548828125,0,0
2022-04-01T02:15-07:00,42.94287109375,0,0
2022-04-01T02:30-07:00,42.9276123046875,0,0
2022-04-01T02:45-07:00,42.91998291015625,0,0
2022-04-01T03:00-07:00,42.889495849609375,0,0
2022-04-01T03:15-07:00,42.912353515625,0,0
2022-04-01T03:30-07:00,42.958099365234375,0,0
2022-04-01T03:45-07:00,42.94287109375,0,0
2022-04-01T04:00-07:00,42.9276123046875,0,0
2022-04-01T04:15-07:00,42.89712524414063,0,0
2022-04-01T04:30-07:00,42.87423706054688,0,0
2022-04-01T04:45-07:00,42.89712524414063,0,0
2022-04-01T05:00-07:00,42.889495849609375,0,0
2022-04-01T05:15-07:00,42.912353515625,0,0
2022-04-01T05:30-07:00,42.90475463867188,0,0
2022-04-01T05:45-07:00,42.89712524414063,0,0
2022-04-01T06:00-07:00,42.93524169921875,0,0
2022-04-01T06:15-07:00,42.91998291015625,0,0
2022-04-01T06:30-07:00,42.912353515625,0,0
2022-04-01T06:45-07:00,42.93524169921875,0,0
2022-04-01T07:00-07:00,42.980987548828125,0,0
2022-04-01T07:15-07:00,42.95050048828125,0,0
2022-04-01T07:30-07:00,42.9276123046875,0,0
2022-04-01T07:45-07:00,42.90475463867188,0,0
2022-04-01T08:00-07:00,42.881866455078125,0,0
2022-04-01T08:15-07:00,42.965728759765625,0,0
2022-04-01T08:30-07:00,43.049591064453125,0,0
2022-04-01T08:45-07:00,43.11056518554688,0,0
2022-04-01T09:00-07:00,43.08770751953125,0,0
2022-04-01T09:15-07:00,43.15631103515625,0,0
2022-04-01T09:30-07:00,43.17156982421875,0,0
2022-04-01T09:45-07:00,43.1639404296875,0,0
2022-04-01T10:00-07:00,43.11056518554688,0,0
2022-04-01T10:15-07:00,43.125823974609375,0,0
2022-04-01T10:30-07:00,43.10296630859375,0,0
2022-04-01T10:45-07:00,43.11056518554688,0,0
2022-04-01T11:00-07:00,43.10296630859375,0,0
2022-04-01T11:15-07:00,43.049591064453125,0,0
2022-04-01T11:30-07:00,43.01910400390625,0,0
2022-04-01T11:45-07:00,43.03433227539063,0,0
2022-04-01T12:00-07:00,43.14108276367188,0,0
2022-04-01T12:15-07:00,43.18682861328125,0,0
2022-04-01T12:30-07:00,43.148712158203125,0,0
2022-04-01T12:45-07:00,43.202056884765625,0,0
2022-04-01T13:00-07:00,43.17156982421875,0,0
2022-04-01T13:15-07:00,43.194427490234375,0,0
2022-04-01T13:30-07:00,43.17156982421875,0,0
2022-04-01T13:45-07:00,43.224945068359375,0,0
2022-04-01T14:00-07:00,43.202056884765625,0,0
2022-04-01T14:15-07:00,43.1639404296875,0,0
2022-04-01T14:30-07:00,43.1639404296875,0,0
2022-04-01T14:45-07:00,43.17156982421875,0,0
2022-04-01T15:00-07:00,43.247802734375,0,0
2022-04-01T15:15-07:00,43.17919921875,0,0
2022-04-01T15:30-07:00,43.194427490234375,0,0
2022-04-01T15:45-07:00,43.20968627929688,0,0
2022-04-01T16:00-07:00,43.18682861328125,0,0
2022-04-01T16:15-07:00,43.13345336914063,0,0
2022-04-01T16:30-07:00,43.07244873046875,0,0
2022-04-01T16:45-07:00,43.0267333984375,0,0
2022-04-01T17:00-07:00,42.958099365234375,0,0
2022-04-01T17:15-07:00,43.01910400390625,0,0
2022-04-01T17:30-07:00,43.0267333984375,0,0
2022-04-01T17:45-07:00,42.97335815429688,0,0
2022-04-01T18:00-07:00,42.94287109375,0,0
2022-04-01T18:15-07:00,42.93524169921875,0,0
2022-04-01T18:30-07:00,42.90475463867188,0,0
2022-04-01T18:45-07:00,42.91998291015625,0,0
2022-04-01T19:00-07:00,42.889495849609375,0,0
2022-04-01T19:15-07:00,42.889495849609375,0,0
2022-04-01T19:30-07:00,42.889495849609375,0,0
2022-04-01T19:45-07:00,42.90475463867188,0,0
2022-04-01T20:00-07:00,42.91998291015625,0,0
2022-04-01T20:15-07:00,42.90475463867188,0,0
2022-04-01T20:30-07:00,42.86663818359375,0,0
2022-04-01T20:45-07:00,42.889495849609375,0,0
2022-04-01T21:00-07:00,42.9276123046875,0,0
2022-04-01T21:15-07:00,42.889495849609375,0,0
2022-04-01T21:30-07:00,42.9276123046875,0,0
2022-04-01T21:45-07:00,42.94287109375,0,0
2022-04-01T22:00-07:00,42.94287109375,0,0
2022-04-01T22:15-07:00,42.889495849609375,0,0
2022-04-01T22:30-07:00,42.94287109375,0,0
2022-04-01T22:45-07:00,42.958099365234375,0,0
2022-04-01T23:00-07:00,42.912353515625,0,0
2022-04-01T23:15-07:00,42.91998291015625,0,0
2022-04-01T23:30-07:00,42.90475463867188,0,0
2022-04-01T23:45-07:00,42.889495849609375,0,0
2022-04-02T00:00-07:00,42.87423706054688,0,0
2022-04-02T00:15-07:00,42.988616943359375,0,0
2022-04-02T00:30-07:00,43.0267333984375,0,0
2022-04-02T00:45-07:00,42.97335815429688,0,0
2022-04-02T01:00-07:00,42.980987548828125,0,0
2022-04-02T01:15-07:00,43.0267333984375,0,0
2022-04-02T01:30-07:00,43.011474609375,0,0
2022-04-02T01:45-07:00,42.980987548828125,0,0
2022-04-02T02:00-07:00,42.95050048828125,0,0
2022-04-02T02:15-07:00,42.93524169921875,0,0
2022-04-02T02:30-07:00,42.95050048828125,0,0
2022-04-02T02:45-07:00,42.93524169921875,0,0
2022-04-02T03:00-07:00,42.90475463867188,0,0
2022-04-02T03:15-07:00,42.965728759765625,0,0
2022-04-02T03:30-07:00,42.93524169921875,0,0
2022-04-02T03:45-07:00,42.889495849609375,0,0
