t,v,s,r
2022-03-31T23:45-07:00,151.4736328125,0,0
2022-04-01T00:00-07:00,151.37432861328125,0,0
2022-04-01T00:15-07:00,151.66458129882812,0,0
2022-04-01T00:30-07:00,149.70159912109375,0,0
2022-04-01T00:45-07:00,150.41958618164062,0,0
2022-04-01T01:00-07:00,148.63992309570312,0,0
2022-04-01T01:15-07:00,150.12933349609375,0,0
2022-04-01T01:30-07:00,149.35025024414062,0,0
2022-04-01T01:45-07:00,151.78677368164062,0,0
2022-04-01T02:00-07:00,151.21392822265625,0,0
2022-04-01T02:15-07:00,151.03060913085938,0,0
2022-04-01T02:30-07:00,152.53530883789062,0,0
2022-04-01T02:45-07:00,150.45013427734375,0,0
2022-04-01T03:00-07:00,151.64166259765625,0,0
2022-04-01T03:15-07:00,149.35787963867188,0,0
2022-04-01T03:30-07:00,150.80911254882812,0,0
2022-04-01T03:45-07:00,149.23570251464844,0,0
2022-04-01T04:00-07:00,150.350830078125,0,0
2022-04-01T04:15-07:00,151.10699462890625,0,0
2022-04-01T04:30-07:00,150.8778839111328,0,0
2022-04-01T04:45-07:00,153.8719482421875,0,0
2022-04-01T05:00-07:00,153.00885009765625,0,0
2022-04-01T05:15-07:00,153.06231689453125,0,0
2022-04-01T05:30-07:00,151.76385498046875,0,0
2022-04-01T05:45-07:00,152.74154663085938,0,0
2022-04-01T06:00-07:00,154.09347534179688,0,0
2022-04-01T06:15-07:00,154.0858154296875,0,0
2022-04-01T06:30-07:00,154.46771240234375,0,0
2022-04-01T06:45-07:00,153.7574005126953,0,0
2022-04-01T07:00-07:00,154.46771240234375,0,0
2022-04-01T07:15-07:00,154.284423828125,0,0
2022-04-01T07:30-07:00,155.26971435546875,0,0
2022-04-01T07:45-07:00,156.7744140625,0,0
2022-04-01T08:00-07:00,156.62164306640625,0,0
2022-04-01T08:15-07:00,157.1104736328125,0,0
2022-04-01T08:30-07:00,154.79617309570312,0,0
2022-04-01T08:45-07:00,154.2767791748047,0,0
2022-04-01T09:00-07:00,153.5970001220703,0,0
2022-04-01T09:15-07:00,155.19332885742188,0,0
2022-04-01T09:30-07:00,154.8878173828125,0,0
2022-04-01T09:45-07:00,151.85552978515625,0,0
2022-04-01T10:00-07:00,150.57232666015625,0,0
2022-04-01T10:15-07:00,151.33612060546875,0,1
2022-04-01T10:30-07:00,149.48773193359375,0,0
2022-04-01T10:45-07:00,147.03591918945312,0,0
2022-04-01T11:00-07:00,148.06704711914062,0,0
2022-04-01T11:15-07:00,148.7315673828125,0,0
2022-04-01T11:30-07:00,146.76858520507812,0,0
2022-04-01T11:45-07:00,146.66165161132812,0,0
2022-04-01T12:00-07:00,145.050048828125,0,0
2022-04-01T12:15-07:00,146.8297119140625,0,0
2022-04-01T12:30-07:00,146.26449584960938,0,0
2022-04-01T12:45-07:00,144.82089233398438,0,0
2022-04-01T13:00-07:00,145.36318969726562,0,0
2022-04-01T13:15-07:00,145.66873168945312,0,0
2022-04-01T13:30-07:00,142.79681396484375,0,0
2022-04-01T13:45-07:00,142.05593872070312,0,0
2022-04-01T14:00-07:00,141.08590698242188,0,0
2022-04-01T14:15-07:00,142.76626586914062,0,0
2022-04-01T14:30-07:00,139.96310424804688,0,0
2022-04-01T14:45-07:00,139.48190307617188,0,0
2022-04-01T15:00-07:00,140.047119140625,0,0
2022-04-01T15:15-07:00,139.82562255859375,0,0
2022-04-01T15:30-07:00,140.29153442382812,0,0
2022-04-01T15:45-07:00,139.61941528320312,0,0
2022-04-01T16:00-07:00,139.3902587890625,0,0
2022-04-01T16:15-07:00,139.1611328125,0,0
2022-04-01T16:30-07:00,139.4971923828125,0,0
2022-04-01T16:45-07:00,138.8021240234375,0,0
2022-04-01T17:00-07:00,139.940185546875,0,0
2022-04-01T17:15-07:00,138.22164916992188,0,0
2022-04-01T17:30-07:00,139.81036376953125,0,0
2022-04-01T17:45-07:00,141.26922607421875,0,0
2022-04-01T18:00-07:00,142.19342041015625,0,0
2022-04-01T18:15-07:00,141.62820434570312,0,0
2022-04-01T18:30-07:00,141.06298828125,0,0
2022-04-01T18:45-07:00,142.47601318359375,0,0
2022-04-01T19:00-07:00,141.46780395507812,0,0
2022-04-01T19:15-07:00,143.01068115234375,0,0
2022-04-01T19:30-07:00,141.437255859375,0,0
2022-04-01T19:45-07:00,144.20986938476562,0,0
2022-04-01T20:00-07:00,143.95779418945312,0,0
2022-04-01T20:15-07:00,144.46954345703125,0,0
2022-04-01T20:30-07:00,144.88198852539062,0,0
2022-04-01T20:45-07:00,147.12759399414062,0,0
2022-04-01T21:00-07:00,147.03591918945312,0,0
2022-04-01T21:15-07:00,146.2950439453125,0,0
2022-04-01T21:30-07:00,148.60171508789062,0,0
2022-04-01T21:45-07:00,147.6622314453125,0,0
2022-04-01T22:00-07:00,148.91490173339844,0,0
2022-04-01T22:15-07:00,148.07472229003906,0,0
2022-04-01T22:30-07:00,150.78619384765625,0,0
2022-04-01T22:45-07:00,149.2738800048828,0,0
