t,v,s,r
2022-03-31T23:45-07:00,161.52291870117188,0,0
2022-04-01T00:00-07:00,158.96295166015625,0,0
2022-04-01T00:15-07:00,161.21817016601562,0,0
2022-04-01T00:30-07:00,160.28103637695312,0,0
2022-04-01T00:45-07:00,161.84292602539062,0,0
2022-04-01T01:00-07:00,161.21817016601562,0,0
2022-04-01T01:15-07:00,161.22576904296875,0,0
2022-04-01T01:30-07:00,162.4295654296875,0,0
2022-04-01T01:45-07:00,163.06195068359375,0,0
2022-04-01T02:00-07:00,159.10769653320312,0,0
2022-04-01T02:15-07:00,162.37625122070312,0,0
2022-04-01T02:30-07:00,162.15530395507812,0,0
2022-04-01T02:45-07:00,162.12481689453125,0,0
2022-04-01T03:00-07:00,159.580078125,0,0
2022-04-01T03:15-07:00,161.98007202148438,0,0
2022-04-01T03:30-07:00,161.6905517578125,0,0
2022-04-01T03:45-07:00,159.07725524902344,0,0
2022-04-01T04:00-07:00,162.45242309570312,0,0
2022-04-01T04:15-07:00,162.29244995117188,0,0
2022-04-01T04:30-07:00,165.15716552734375,0,0
2022-04-01T04:45-07:00,165.26382446289062,0,0
2022-04-01T05:00-07:00,161.29434204101562,0,0
2022-04-01T05:15-07:00,162.14004516601562,0,0
2022-04-01T05:30-07:00,164.32669067382812,0,0
2022-04-01T05:45-07:00,165.9952392578125,0,0
2022-04-01T06:00-07:00,166.62762451171875,0,0
2022-04-01T06:15-07:00,168.34188842773438,0,0
2022-04-01T06:30-07:00,167.52667236328125,0,0
2022-04-01T06:45-07:00,167.75521850585938,0,0
2022-04-01T07:00-07:00,167.1000213623047,0,0
2022-04-01T07:15-07:00,168.39523315429688,0,0
2022-04-01T07:30-07:00,167.13046264648438,0,0
2022-04-01T07:45-07:00,170.67327880859375,0,0
2022-04-01T08:00-07:00,162.24673461914062,0,0
2022-04-01T08:15-07:00,167.35903930664062,0,0
2022-04-01T08:30-07:00,164.77621459960938,0,0
2022-04-01T08:45-07:00,165.45431518554688,0,0
2022-04-01T09:00-07:00,165.86572265625,0,0
2022-04-01T09:15-07:00,166.58953857421875,0,0
2022-04-01T09:30-07:00,162.33053588867188,0,0
2022-04-01T09:45-07:00,162.4143524169922,0,0
2022-04-01T10:00-07:00,163.12289428710938,0,0
2022-04-01T10:15-07:00,161.0962677001953,0,0
2022-04-01T10:30-07:00,157.05819702148438,0,0
2022-04-01T10:45-07:00,158.83343505859375,0,0
2022-04-01T11:00-07:00,159.04676818847656,0,0
2022-04-01T11:15-07:00,158.33056640625,0,0
2022-04-01T11:30-07:00,155.87725830078125,0,0
2022-04-01T11:45-07:00,155.90774536132812,0,0
