t,v,s,r
2022-03-31T23:45-07:00,159.8844757080078,0,0
2022-04-01T00:00-07:00,164.524658203125,0,0
2022-04-01T00:15-07:00,160.88424682617188,0,0
2022-04-01T00:30-07:00,159.23574829101562,0,0
2022-04-01T00:45-07:00,163.34170532226562,0,0
2022-04-01T01:00-07:00,160.32711791992188,0,0
2022-04-01T01:15-07:00,159.5562744140625,0,0
2022-04-01T01:30-07:00,164.50177001953125,0,0
2022-04-01T01:45-07:00,161.39556884765625,0,0
2022-04-01T02:00-07:00,160.14395141601562,0,0
2022-04-01T02:15-07:00,164.10488891601562,0,0
2022-04-01T02:30-07:00,161.25057983398438,0,0
2022-04-01T02:45-07:00,160.38815307617188,0,0
2022-04-01T03:00-07:00,162.91433715820312,0,0
2022-04-01T03:15-07:00,159.82339477539062,0,0
2022-04-01T03:30-07:00,162.090087890625,0,0
2022-04-01T03:45-07:00,162.84564208984375,0,0
2022-04-01T04:00-07:00,159.45706176757812,0,0
2022-04-01T04:15-07:00,163.34933471679688,0,0
2022-04-01T04:30-07:00,165.95947265625,0,0
2022-04-01T04:45-07:00,161.61691284179688,0,0
2022-04-01T05:00-07:00,163.81488037109375,0,0
2022-04-01T05:15-07:00,165.69998168945312,0,0
2022-04-01T05:30-07:00,163.84542846679688,0,0
2022-04-01T05:45-07:00,166.0815887451172,0,0
2022-04-01T06:00-07:00,164.84518432617188,0,0
2022-04-01T06:15-07:00,166.0205078125,0,0
2022-04-01T06:30-07:00,163.13565063476562,0,0
2022-04-01T06:45-07:00,167.867431640625,0,0
2022-04-01T07:00-07:00,166.42501831054688,0,0
2022-04-01T07:15-07:00,167.02792358398438,0,0
2022-04-01T07:30-07:00,167.95901489257812,0,0
2022-04-01T07:45-07:00,164.67730712890625,0,0
2022-04-01T08:00-07:00,169.10382080078125,0,0
2022-04-01T08:15-07:00,167.16531372070312,0,0
2022-04-01T08:30-07:00,161.85350036621094,0,0
2022-04-01T08:45-07:00,166.1502685546875,0,0
2022-04-01T09:00-07:00,163.9827880859375,0,0
2022-04-01T09:15-07:00,164.23464965820312,0,0
2022-04-01T09:30-07:00,162.59378051757812,0,0
2022-04-01T09:45-07:00,163.15090942382812,0,0
2022-04-01T10:00-07:00,158.94573974609375,0,0
2022-04-01T10:15-07:00,162.96774291992188,0,0
2022-04-01T10:30-07:00,154.17578125,0,0
2022-04-01T10:45-07:00,159.80050659179688,0,0
2022-04-01T11:00-07:00,158.0299072265625,0,0
2022-04-01T11:15-07:00,155.93875122070312,0,0
2022-04-01T11:30-07:00,156.79351806640625,0,0
2022-04-01T11:45-07:00,155.877685546875,0,0
2022-04-01T12:00-07:00,155.26715087890625,0,0
2022-04-01T12:15-07:00,157.8772735595703,0,0
2022-04-01T12:30-07:00,150.55825805664062,0,0
2022-04-01T12:45-07:00,156.579833984375,0,0
2022-04-01T13:00-07:00,151.39013671875,0,0
2022-04-01T13:15-07:00,155.671630859375,0,0
