t,v,s,r
2022-03-31T23:45-07:00,3814.7744140625,0,0
2022-04-01T00:00-07:00,3680.677490234375,0,0
2022-04-01T00:15-07:00,3740.73095703125,0,0
2022-04-01T00:30-07:00,3638.36669921875,0,0
2022-04-01T00:45-07:00,3779.629638671875,0,0
2022-04-01T01:00-07:00,3666.687255859375,0,0
2022-04-01T01:15-07:00,3920.55078125,0,0
2022-04-01T01:30-07:00,3792.25439453125,0,0
2022-04-01T01:45-07:00,4001.418701171875,0,0
2022-04-01T02:00-07:00,3807.60888671875,0,0
2022-04-01T02:15-07:00,3906.56103515625,0,0
2022-04-01T02:30-07:00,3813.068359375,0,0
2022-04-01T02:45-07:00,3731.51806640625,0,0
2022-04-01T03:00-07:00,3680.677490234375,0,0
2022-04-01T03:15-07:00,3707.633056640625,0,0
2022-04-01T03:30-07:00,3872.78076171875,0,0
2022-04-01T03:45-07:00,3735.271728515625,0,0
2022-04-01T04:00-07:00,3924.6455078125,0,0
2022-04-01T04:15-07:00,3803.5146484375,0,0
2022-04-01T04:30-07:00,4077.850341796875,0,0
2022-04-01T04:45-07:00,4185.3330078125,0,0
2022-04-01T05:00-07:00,3877.557861328125,0,0
2022-04-01T05:15-07:00,4063.178466796875,0,0
2022-04-01T05:30-07:00,4090.816650390625,0,0
2022-04-01T05:45-07:00,3962.520263671875,0,0
2022-04-01T06:00-07:00,4158.03564453125,0,0
2022-04-01T06:15-07:00,4133.12744140625,0,0
2022-04-01T06:30-07:00,3967.638427734375,0,0
2022-04-01T06:45-07:00,4141.65771484375,0,0
2022-04-01T07:00-07:00,4234.4677734375,0,0
2022-04-01T07:15-07:00,4102.41796875,0,0
2022-04-01T07:30-07:00,4009.607666015625,0,0
2022-04-01T07:45-07:00,3942.729736328125,0,0
2022-04-01T08:00-07:00,4021.208984375,0,0
2022-04-01T08:15-07:00,3951.942626953125,0,0
2022-04-01T08:30-07:00,3904.172607421875,0,0
2022-04-01T08:45-07:00,4079.21533203125,0,0
2022-04-01T09:00-07:00,3862.885498046875,0,0
2022-04-01T09:15-07:00,4000.736083984375,0,0
2022-04-01T09:30-07:00,3853.331787109375,0,0
2022-04-01T09:45-07:00,3666.005126953125,0,0
2022-04-01T10:00-07:00,3916.456298828125,0,0
2022-04-01T10:15-07:00,3734.589111328125,0,0
2022-04-01T10:30-07:00,3243.923095703125,0,0
2022-04-01T10:45-07:00,3556.475341796875,0,0
2022-04-01T11:00-07:00,3672.829345703125,0,0
2022-04-01T11:15-07:00,3630.85986328125,0,0
2022-04-01T11:30-07:00,3485.843994140625,0,0
2022-04-01T11:45-07:00,3296.47021484375,0,0
2022-04-01T12:00-07:00,3515.1884765625,0,0
2022-04-01T12:15-07:00,3390.303955078125,0,0
2022-04-01T12:30-07:00,3229.933349609375,0,0
2022-04-01T12:45-07:00,3527.813232421875,0,0
2022-04-01T13:00-07:00,3452.40478515625,0,0
2022-04-01T13:15-07:00,3151.795166015625,0,0
2022-04-01T13:30-07:00,2942.97216796875,0,0
2022-04-01T13:45-07:00,2990.7421875,0,0
2022-04-01T14:00-07:00,3022.1337890625,0,0
2022-04-01T14:15-07:00,3017.015625,0,0
2022-04-01T14:30-07:00,2894.178466796875,0,0
2022-04-01T14:45-07:00,3085.94091796875,0,0
2022-04-01T15:00-07:00,3241.53466796875,0,0
2022-04-01T15:15-07:00,3267.467041015625,0,0
2022-04-01T15:30-07:00,3233.686767578125,0,0
2022-04-01T15:45-07:00,3066.150634765625,0,0
2022-04-01T16:00-07:00,3135.4169921875,0,0
2022-04-01T16:15-07:00,3155.889892578125,0,0
2022-04-01T16:30-07:00,3239.14599609375,0,0
2022-04-01T16:45-07:00,3060.349853515625,0,0
2022-04-01T17:00-07:00,3108.119873046875,0,0
2022-04-01T17:15-07:00,3288.96337890625,0,0
2022-04-01T17:30-07:00,3416.918701171875,0,0
2022-04-01T17:45-07:00,3337.415771484375,0,0
2022-04-01T18:00-07:00,3347.993408203125,0,0
2022-04-01T18:15-07:00,3327.179443359375,0,0
2022-04-01T18:30-07:00,3453.769775390625,0,0
2022-04-01T18:45-07:00,3454.452392578125,0,0
2022-04-01T19:00-07:00,3404.293701171875,0,0
2022-04-01T19:15-07:00,3534.978759765625,0,0
2022-04-01T19:30-07:00,3658.49853515625,0,0
2022-04-01T19:45-07:00,3323.767333984375,0,0
2022-04-01T20:00-07:00,3425.107666015625,0,0
2022-04-01T20:15-07:00,3613.799072265625,0,0
2022-04-01T20:30-07:00,3925.6689453125,0,0
2022-04-01T20:45-07:00,3646.21435546875,0,0
2022-04-01T21:00-07:00,3797.031494140625,0,0
2022-04-01T21:15-07:00,3717.869384765625,0,0
2022-04-01T21:30-07:00,3932.152099609375,0,0
2022-04-01T21:45-07:00,3652.015380859375,0,0
2022-04-01T22:00-07:00,3891.206298828125,0,0
2022-04-01T22:15-07:00,3807.949951171875,0,0
2022-04-01T22:30-07:00,3832.517822265625,0,0
2022-04-01T22:45-07:00,3807.949951171875,0,0
2022-04-01T23:00-07:00,3734.247802734375,0,0
2022-04-01T23:15-07:00,4091.15771484375,0,0
2022-04-01T23:30-07:00,3530.88427734375,0,0
2022-04-01T23:45-07:00,3691.937255859375,0,0
2022-04-02T00:00-07:00,3590.255615234375,0,0
2022-04-02T00:15-07:00,4045.43505859375,0,0
2022-04-02T00:30-07:00,3787.818359375,0,0
2022-04-02T00:45-07:00,3868.686279296875,0,0
2022-04-02T01:00-07:00,4078.874267578125,0,0
2022-04-02T01:15-07:00,3679.653564453125,0,0
2022-04-02T01:30-07:00,4023.59765625,0,0
2022-04-02T01:45-07:00,3830.12890625,0,0
2022-04-02T02:00-07:00,3668.05224609375,0,0
2022-04-02T02:15-07:00,4008.242919921875,0,0
2022-04-02T02:30-07:00,3805.220703125,0,0
2022-04-02T02:45-07:00,3950.9189453125,0,0
2022-04-02T03:00-07:00,4189.7685546875,0,0
2022-04-02T03:15-07:00,3776.21728515625,0,0
2022-04-02T03:30-07:00,4103.44140625,0,0
2022-04-02T03:45-07:00,4058.742431640625,0,0
2022-04-02T04:00-07:00,3648.603271484375,0,0
2022-04-02T04:15-07:00,4210.5830078125,0,0
2022-04-02T04:30-07:00,3918.162353515625,0,0
2022-04-02T04:45-07:00,3717.869384765625,0,0
2022-04-02T05:00-07:00,4155.98828125,0,0
2022-04-02T05:15-07:00,3968.661865234375,0,0
2022-04-02T05:30-07:00,3941.36474609375,0,0
2022-04-02T05:45-07:00,4053.624267578125,0,0
2022-04-02T06:00-07:00,4144.728515625,0,0
2022-04-02T06:15-07:00,3998.68896484375,0,0
2022-04-02T06:30-07:00,3726.741455078125,0,0
2022-04-02T06:45-07:00,4123.5732421875,0,0
2022-04-02T07:00-07:00,4240.60986328125,0,0
2022-04-02T07:15-07:00,3801.808349609375,0,0
2022-04-02T07:30-07:00,3886.088134765625,0,0
2022-04-02T07:45-07:00,4063.860595703125,0,0
2022-04-02T08:00-07:00,3897.689453125,0,0
2022-04-02T08:15-07:00,3708.65673828125,0,0
2022-04-02T08:30-07:00,4143.705078125,0,0
2022-04-02T08:45-07:00,3937.270263671875,0,0
2022-04-02T09:00-07:00,3712.751220703125,0,0
2022-04-02T09:15-07:00,4028.7158203125,0,0
2022-04-02T09:30-07:00,3953.30712890625,0,0
2022-04-02T09:45-07:00,3688.8662109375,0,0
2022-04-02T10:00-07:00,4047.82373046875,0,0
2022-04-02T10:15-07:00,4174.75537109375,0,0
2022-04-02T10:30-07:00,3672.829345703125,0,0
2022-04-02T10:45-07:00,3931.128173828125,0,0
2022-04-02T11:00-07:00,3895.642333984375,0,0
2022-04-02T11:15-07:00,3719.234375,0,0
2022-04-02T11:30-07:00,3914.750244140625,0,0
2022-04-02T11:45-07:00,3882.3349609375,0,0
2022-04-02T12:00-07:00,3685.795654296875,0,0
2022-04-02T12:15-07:00,4011.6552734375,0,0
2022-04-02T12:30-07:00,3632.56591796875,0,0
2022-04-02T12:45-07:00,3590.596923828125,0,0
2022-04-02T13:00-07:00,3723.67041015625,0,0
