t,v,s,r
2022-03-31T23:45-07:00,110.84176635742188,0,0
2022-04-01T00:00-07:00,110.69674682617188,0,0
2022-04-01T00:15-07:00,110.95623016357422,0,0
2022-04-01T00:30-07:00,110.4983139038086,0,0
2022-04-01T00:45-07:00,110.19305419921876,0,0
2022-04-01T01:00-07:00,109.9640884399414,0,0
2022-04-01T01:15-07:00,110.02513885498048,0,0
2022-04-01T01:30-07:00,110.20068359375,0,0
2022-04-01T01:45-07:00,110.50595092773438,0,0
2022-04-01T02:00-07:00,110.72726440429688,0,0
2022-04-01T02:15-07:00,110.66622924804688,0,0
2022-04-01T02:30-07:00,110.92572021484376,0,0
2022-04-01T02:45-07:00,110.75017547607422,0,0
2022-04-01T03:00-07:00,110.95623016357422,0,0
2022-04-01T03:15-07:00,110.75017547607422,0,0
2022-04-01T03:30-07:00,110.73492431640624,0,0
2022-04-01T03:45-07:00,110.74254608154295,0,0
2022-04-01T04:00-07:00,110.60515594482422,0,0
2022-04-01T04:15-07:00,110.60515594482422,0,0
2022-04-01T04:30-07:00,111.09359741210938,0,0
2022-04-01T04:45-07:00,112.01705932617188,0,0
2022-04-01T05:00-07:00,111.9941635131836,0,0
2022-04-01T05:15-07:00,111.74230194091795,0,0
2022-04-01T05:30-07:00,112.58185577392578,0,0
2022-04-01T05:45-07:00,112.55130767822266,0,0
2022-04-01T06:00-07:00,112.77264404296876,0,0
2022-04-01T06:15-07:00,113.44424438476562,0,0
2022-04-01T06:30-07:00,113.5587158203125,0,0
2022-04-01T06:45-07:00,113.74950408935548,0,0
2022-04-01T07:00-07:00,113.86397552490234,0,0
2022-04-01T07:15-07:00,113.95556640625,0,0
2022-04-01T07:30-07:00,114.3448257446289,0,0
2022-04-01T07:45-07:00,114.89431762695312,0,0
2022-04-01T08:00-07:00,115.40563201904295,0,0
2022-04-01T08:15-07:00,115.26065063476562,0,0
2022-04-01T08:30-07:00,114.69586181640624,0,0
2022-04-01T08:45-07:00,114.26085662841795,0,0
2022-04-01T09:00-07:00,113.95556640625,0,0
2022-04-01T09:15-07:00,113.84872436523438,0,0
2022-04-01T09:30-07:00,112.87185668945312,0,0
2022-04-01T09:45-07:00,111.63545989990234,0,0
2022-04-01T10:00-07:00,111.2538833618164,0,0
2022-04-01T10:15-07:00,111.16229248046876,0,0
2022-04-01T10:30-07:00,109.10167694091795,0,0
2022-04-01T10:45-07:00,107.72793579101562,0,0
2022-04-01T11:00-07:00,107.15554809570312,0,0
2022-04-01T11:15-07:00,106.97238159179688,0,0
2022-04-01T11:30-07:00,106.39237213134766,0,0
2022-04-01T11:45-07:00,105.5223159790039,0,0
2022-04-01T12:00-07:00,105.37731170654295,0,0
2022-04-01T12:15-07:00,105.34677124023438,0,0
2022-04-01T12:30-07:00,104.92703247070312,0,0
2022-04-01T12:45-07:00,104.1943588256836,0,0
2022-04-01T13:00-07:00,103.93487548828124,0,0
2022-04-01T13:15-07:00,103.68301391601562,0,0
2022-04-01T13:30-07:00,102.99615478515624,0,0
2022-04-01T13:45-07:00,101.92767333984376,0,0
2022-04-01T14:00-07:00,101.41635131835938,0,0
2022-04-01T14:15-07:00,101.27133178710938,0,0
2022-04-01T14:30-07:00,101.11105346679688,0,0
2022-04-01T14:45-07:00,100.50051879882812,0,0
2022-04-01T15:00-07:00,100.12655639648438,0,0
2022-04-01T15:15-07:00,99.6915283203125,0,0
2022-04-01T15:30-07:00,99.69915771484376,0,0
2022-04-01T15:45-07:00,99.50836181640624,0,0
2022-04-01T16:00-07:00,99.66864013671876,0,0
2022-04-01T16:15-07:00,99.89759063720705,0,0
2022-04-01T16:30-07:00,100.11129760742188,0,0
2022-04-01T16:45-07:00,100.01971435546876,0,0
2022-04-01T17:00-07:00,100.01971435546876,0,0
2022-04-01T17:15-07:00,99.81362915039062,0,0
2022-04-01T17:30-07:00,99.98916625976562,0,0
