t,v,s,r
2022-03-31T23:45-07:00,126.10369873046876,0,0
2022-04-01T00:00-07:00,126.70507049560548,0,0
2022-04-01T00:15-07:00,126.26358032226562,0,0
2022-04-01T00:30-07:00,126.2787857055664,0,0
2022-04-01T00:45-07:00,126.52236938476562,0,0
2022-04-01T01:00-07:00,126.52999877929688,0,0
2022-04-01T01:15-07:00,125.5023422241211,0,0
2022-04-01T01:30-07:00,126.46908569335938,0,0
2022-04-01T01:45-07:00,126.2787857055664,0,0
2022-04-01T02:00-07:00,126.46148681640624,0,0
2022-04-01T02:15-07:00,125.41860961914062,0,0
2022-04-01T02:30-07:00,126.37773895263672,0,0
2022-04-01T02:45-07:00,125.96671295166016,0,0
2022-04-01T03:00-07:00,126.29400634765624,0,0
2022-04-01T03:15-07:00,126.11132049560548,0,0
2022-04-01T03:30-07:00,125.03040313720705,0,0
2022-04-01T03:45-07:00,125.7459487915039,0,0
2022-04-01T04:00-07:00,125.15982818603516,0,0
2022-04-01T04:15-07:00,124.96187591552734,0,0
2022-04-01T04:30-07:00,124.82489013671876,0,0
2022-04-01T04:45-07:00,124.51278686523438,0,0
2022-04-01T05:00-07:00,124.8020248413086,0,0
2022-04-01T05:15-07:00,124.61172485351562,0,0
2022-04-01T05:30-07:00,124.42903900146484,0,0
2022-04-01T05:45-07:00,124.42903900146484,0,0
2022-04-01T06:00-07:00,124.32247161865234,0,0
2022-04-01T06:15-07:00,124.26156616210938,0,0
2022-04-01T06:30-07:00,135.0936279296875,0,0
2022-04-01T06:45-07:00,125.06844329833984,0,0
2022-04-01T07:00-07:00,124.21590423583984,0,0
2022-04-01T07:15-07:00,124.20828247070312,0,0
2022-04-01T07:30-07:00,124.22351837158205,0,0
2022-04-01T07:45-07:00,124.42144775390624,0,0
2022-04-01T08:00-07:00,124.51278686523438,0,0
2022-04-01T08:15-07:00,126.25595092773438,0,0
2022-04-01T08:30-07:00,126.01236724853516,0,0
2022-04-01T08:45-07:00,126.52236938476562,0,0
2022-04-01T09:00-07:00,126.52999877929688,0,0
2022-04-01T09:15-07:00,126.99432373046876,0,0
2022-04-01T09:30-07:00,128.33407592773438,0,0
2022-04-01T09:45-07:00,128.46347045898438,0,0
2022-04-01T10:00-07:00,126.86492156982422,0,0
2022-04-01T10:15-07:00,126.48430633544922,0,0
2022-04-01T10:30-07:00,126.52236938476562,0,0
2022-04-01T10:45-07:00,126.78118896484376,0,0
2022-04-01T11:00-07:00,126.92581939697266,0,0
2022-04-01T11:15-07:00,126.91057586669922,0,0
2022-04-01T11:30-07:00,128.31884765625,0,0
2022-04-01T11:45-07:00,128.21987915039062,0,0
2022-04-01T12:00-07:00,128.75271606445312,0,0
2022-04-01T12:15-07:00,129.43780517578125,0,0
2022-04-01T12:30-07:00,128.54721069335938,0,0
2022-04-01T12:45-07:00,129.5291748046875,0,0
2022-04-01T13:00-07:00,131.21145629882812,0,0
2022-04-01T13:15-07:00,132.2086181640625,0,0
2022-04-01T13:30-07:00,132.04876708984375,0,0
2022-04-01T13:45-07:00,132.87850952148438,0,0
2022-04-01T14:00-07:00,133.3123779296875,0,0
2022-04-01T14:15-07:00,132.68057250976562,0,0
2022-04-01T14:30-07:00,132.84042358398438,0,0
2022-04-01T14:45-07:00,133.16775512695312,0,0
2022-04-01T15:00-07:00,133.28195190429688,0,0
2022-04-01T15:15-07:00,132.74908447265625,0,0
2022-04-01T15:30-07:00,132.43698120117188,0,0
2022-04-01T15:45-07:00,132.3760986328125,0,0
2022-04-01T16:00-07:00,133.23626708984375,0,0
2022-04-01T16:15-07:00,133.36566162109375,0,0
2022-04-01T16:30-07:00,132.84042358398438,0,0
2022-04-01T16:45-07:00,132.22384643554688,0,0
2022-04-01T17:00-07:00,131.92697143554688,0,0
2022-04-01T17:15-07:00,132.23907470703125,0,0
2022-04-01T17:30-07:00,131.80517578125,0,0
2022-04-01T17:45-07:00,130.21426391601562,0,0
2022-04-01T18:00-07:00,130.11529541015625,0,0
2022-04-01T18:15-07:00,130.57965087890625,0,0
2022-04-01T18:30-07:00,129.18661499023438,0,0
2022-04-01T18:45-07:00,129.75753784179688,0,0
2022-04-01T19:00-07:00,129.22467041015625,0,0
2022-04-01T19:15-07:00,129.17901611328125,0,0
2022-04-01T19:30-07:00,128.59286499023438,0,0
2022-04-01T19:45-07:00,128.6385498046875,0,0
2022-04-01T20:00-07:00,127.26837921142578,0,0
2022-04-01T20:15-07:00,127.27597045898438,0,0
2022-04-01T20:30-07:00,127.16181182861328,0,0
2022-04-01T20:45-07:00,127.51956176757812,0,0
2022-04-01T21:00-07:00,127.28359985351562,0,0
2022-04-01T21:15-07:00,127.07805633544922,0,0
2022-04-01T21:30-07:00,125.88296508789062,0,0
2022-04-01T21:45-07:00,126.46908569335938,0,0
2022-04-01T22:00-07:00,126.5528335571289,0,0
2022-04-01T22:15-07:00,126.40057373046876,0,0
2022-04-01T22:30-07:00,125.98953247070312,0,0
2022-04-01T22:45-07:00,125.79161834716795,0,0
2022-04-01T23:00-07:00,126.3016357421875,0,0
2022-04-01T23:15-07:00,125.7459487915039,0,0
2022-04-01T23:30-07:00,125.47189331054688,0,0
2022-04-01T23:45-07:00,125.814453125,0,0
2022-04-02T00:00-07:00,125.2816162109375,0,0
2022-04-02T00:15-07:00,125.50997924804688,0,0
2022-04-02T00:30-07:00,125.26639556884766,0,0
2022-04-02T00:45-07:00,125.26639556884766,0,0
2022-04-02T01:00-07:00,124.91622161865234,0,0
2022-04-02T01:15-07:00,125.26639556884766,0,0
2022-04-02T01:30-07:00,124.81726837158205,0,0
2022-04-02T01:45-07:00,125.17501068115234,0,0
2022-04-02T02:00-07:00,125.15219116210938,0,0
2022-04-02T02:15-07:00,125.14459228515624,0,0
2022-04-02T02:30-07:00,124.21590423583984,0,0
2022-04-02T02:45-07:00,124.13217163085938,0,0
2022-04-02T03:00-07:00,124.03319549560548,0,0
2022-04-02T03:15-07:00,123.67544555664062,0,0
2022-04-02T03:30-07:00,123.87334442138672,0,0
2022-04-02T03:45-07:00,123.89620208740234,0,0
2022-04-02T04:00-07:00,124.07888793945312,0,0
2022-04-02T04:15-07:00,124.40621948242188,0,0
2022-04-02T04:30-07:00,123.89620208740234,0,0
2022-04-02T04:45-07:00,123.23394012451172,0,0
2022-04-02T05:00-07:00,124.04843139648438,0,0
2022-04-02T05:15-07:00,124.07888793945312,0,0
2022-04-02T05:30-07:00,123.95709991455078,0,0
2022-04-02T05:45-07:00,123.61456298828124,0,0
2022-04-02T06:00-07:00,123.47754669189452,0,0
2022-04-02T06:15-07:00,123.48513793945312,0,0
2022-04-02T06:30-07:00,123.43948364257812,0,0
2022-04-02T06:45-07:00,123.53842163085938,0,0
2022-04-02T07:00-07:00,123.62216186523438,0,0
2022-04-02T07:15-07:00,123.2034912109375,0,0
2022-04-02T07:30-07:00,123.91903686523438,0,0
2022-04-02T07:45-07:00,123.89620208740234,0,0
2022-04-02T08:00-07:00,124.20068359375,0,0
2022-04-02T08:15-07:00,124.23114776611328,0,0
2022-04-02T08:30-07:00,124.29965209960938,0,0
2022-04-02T08:45-07:00,124.81726837158205,0,0
2022-04-02T09:00-07:00,124.49756622314452,0,0
2022-04-02T09:15-07:00,125.29682159423828,0,0
2022-04-02T09:30-07:00,125.06844329833984,0,0
2022-04-02T09:45-07:00,125.57086181640624,0,0
2022-04-02T10:00-07:00,125.73833465576172,0,0
2022-04-02T10:15-07:00,127.00955200195312,0,0
2022-04-02T10:30-07:00,126.69744110107422,0,0
2022-04-02T10:45-07:00,127.298828125,0,0
2022-04-02T11:00-07:00,128.22747802734375,0,0
2022-04-02T11:15-07:00,128.62332153320312,0,0
2022-04-02T11:30-07:00,128.28079223632812,0,0
2022-04-02T11:45-07:00,128.02197265625,0,0
2022-04-02T12:00-07:00,128.70706176757812,0,0
2022-04-02T12:15-07:00,128.03720092773438,0,0
2022-04-02T12:30-07:00,128.76034545898438,0,0
2022-04-02T12:45-07:00,127.35971069335938,0,0
2022-04-02T13:00-07:00,128.88973999023438,0,0
2022-04-02T13:15-07:00,129.29318237304688,0,0
2022-04-02T13:30-07:00,129.03436279296875,0,0
2022-04-02T13:45-07:00,128.9810791015625,0,0
2022-04-02T14:00-07:00,129.27035522460938,0,0
2022-04-02T14:15-07:00,129.71185302734375,0,0
2022-04-02T14:30-07:00,129.0419921875,0,0
2022-04-02T14:45-07:00,129.97067260742188,0,0
2022-04-02T15:00-07:00,129.978271484375,0,0
2022-04-02T15:15-07:00,129.7423095703125,0,0
2022-04-02T15:30-07:00,130.41976928710938,0,0
2022-04-02T15:45-07:00,130.40457153320312,0,0
2022-04-02T16:00-07:00,130.05441284179688,0,0
2022-04-02T16:15-07:00,129.11050415039062,0,0
2022-04-02T16:30-07:00,129.92498779296875,0,0
2022-04-02T16:45-07:00,129.99349975585938,0,0
2022-04-02T17:00-07:00,129.6357421875,0,0
2022-04-02T17:15-07:00,129.67379760742188,0,0
2022-04-02T17:30-07:00,128.828857421875,0,0
2022-04-02T17:45-07:00,128.64614868164062,0,0
2022-04-02T18:00-07:00,128.3416748046875,0,0
2022-04-02T18:15-07:00,128.69943237304688,0,0
2022-04-02T18:30-07:00,127.54238891601562,0,0
2022-04-02T18:45-07:00,127.20745849609376,0,0
2022-04-02T19:00-07:00,127.27597045898438,0,0
2022-04-02T19:15-07:00,127.83926391601562,0,0
2022-04-02T19:30-07:00,127.4053955078125,0,0
2022-04-02T19:45-07:00,126.9410400390625,0,0
2022-04-02T20:00-07:00,126.88775634765624,0,0
2022-04-02T20:15-07:00,127.20745849609376,0,0
2022-04-02T20:30-07:00,126.72030639648438,0,0
2022-04-02T20:45-07:00,126.79641723632812,0,0
2022-04-02T21:00-07:00,127.10089111328124,0,0
2022-04-02T21:15-07:00,126.81163787841795,0,0
2022-04-02T21:30-07:00,126.43865203857422,0,0
2022-04-02T21:45-07:00,126.43865203857422,0,0
2022-04-02T22:00-07:00,126.07328033447266,0,0
2022-04-02T22:15-07:00,126.37773895263672,0,0
2022-04-02T22:30-07:00,126.20266723632812,0,0
2022-04-02T22:45-07:00,126.42343139648438,0,0
2022-04-02T23:00-07:00,126.48430633544922,0,0
2022-04-02T23:15-07:00,125.09890747070312,0,0
2022-04-02T23:30-07:00,126.1341552734375,0,0
2022-04-02T23:45-07:00,126.41580200195312,0,0
2022-04-03T00:00-07:00,126.7888069152832,0,2
2022-04-03T00:15-07:00,127.16181182861328,0,0
2022-04-03T00:30-07:00,125.48712158203124,0,0
2022-04-03T00:45-07:00,125.1217269897461,0,0
2022-04-03T01:00-07:00,125.50997924804688,0,0
2022-04-03T01:15-07:00,126.47671508789062,0,0
2022-04-03T01:30-07:00,125.98189544677734,0,0
2022-04-03T01:45-07:00,125.76116943359376,0,0
2022-04-03T02:00-07:00,124.79443359375,0,0
2022-04-03T02:15-07:00,124.20828247070312,0,0
2022-04-03T02:30-07:00,124.34530639648438,0,0
2022-04-03T02:45-07:00,125.03040313720705,0,0
2022-04-03T03:00-07:00,125.814453125,0,0
2022-04-03T03:15-07:00,126.65178680419922,0,0
2022-04-03T03:30-07:00,126.14938354492188,0,0
2022-04-03T03:45-07:00,125.8220443725586,0,0
2022-04-03T04:00-07:00,125.0151596069336,0,0
2022-04-03T04:15-07:00,124.27680206298828,0,0
2022-04-03T04:30-07:00,123.8809814453125,0,0
2022-04-03T04:45-07:00,124.88577270507812,0,0
2022-04-03T05:00-07:00,125.76116943359376,0,0
2022-04-03T05:15-07:00,125.89818572998048,0,0
2022-04-03T05:30-07:00,125.68505096435548,0,0
2022-04-03T05:45-07:00,124.66500854492188,0,0
2022-04-03T06:00-07:00,124.13976287841795,0,0
2022-04-03T06:15-07:00,124.40621948242188,0,0
2022-04-03T06:30-07:00,123.6297607421875,0,0
2022-04-03T06:45-07:00,124.4823226928711,0,0
2022-04-03T07:00-07:00,125.59368896484376,0,0
2022-04-03T07:15-07:00,125.86773681640624,0,0
2022-04-03T07:30-07:00,126.1722183227539,0,0
2022-04-03T07:45-07:00,125.29682159423828,0,0
2022-04-03T08:00-07:00,124.99234008789062,0,0
2022-04-03T08:15-07:00,124.29965209960938,0,0
2022-04-03T08:30-07:00,124.55084991455078,0,0
2022-04-03T08:45-07:00,125.9286117553711,0,0
2022-04-03T09:00-07:00,126.25595092773438,0,0
2022-04-03T09:15-07:00,126.83447265625,0,0
2022-04-03T09:30-07:00,126.27117156982422,0,0
2022-04-03T09:45-07:00,125.4110107421875,0,0
2022-04-03T10:00-07:00,125.6393814086914,0,0
2022-04-03T10:15-07:00,126.64415740966795,0,0
2022-04-03T10:30-07:00,127.77838134765624,0,0
