t,v,s,r
2022-03-31T23:45-07:00,41043.0,0,0
2022-04-01T00:00-07:00,41043.203125,0,0
2022-04-01T00:15-07:00,41043.30078125,0,0
2022-04-01T00:30-07:00,41043.3984375,0,0
2022-04-01T00:45-07:00,41043.59765625,0,0
2022-04-01T01:00-07:00,41043.703125,0,0
2022-04-01T01:15-07:00,41043.80078125,0,0
2022-04-01T01:30-07:00,41044.0,0,0
2022-04-01T01:45-07:00,41044.09765625,0,0
2022-04-01T02:00-07:00,41044.30078125,0,0
2022-04-01T02:15-07:00,41044.3984375,0,0
2022-04-01T02:30-07:00,41044.5,0,0
2022-04-01T02:45-07:00,41044.703125,0,0
2022-04-01T03:00-07:00,41044.80078125,0,0
2022-04-01T03:15-07:00,41044.90234375,0,0
2022-04-01T03:30-07:00,41045.09765625,0,0
2022-04-01T03:45-07:00,41045.19921875,0,0
2022-04-01T04:00-07:00,41045.40234375,0,0
2022-04-01T04:15-07:00,41045.5,0,0
2022-04-01T04:30-07:00,41045.59765625,0,0
2022-04-01T04:45-07:00,41045.80078125,0,0
2022-04-01T05:00-07:00,41045.90234375,0,0
2022-04-01T05:15-07:00,41046.1015625,0,0
2022-04-01T05:30-07:00,41046.19921875,0,0
2022-04-01T05:45-07:00,41046.40234375,0,0
2022-04-01T06:00-07:00,41046.5,0,0
2022-04-01T06:15-07:00,41046.69921875,0,0
2022-04-01T06:30-07:00,41046.796875,0,0
2022-04-01T06:45-07:00,41047.0,0,0
2022-04-01T07:00-07:00,41047.1015625,0,0
2022-04-01T07:15-07:00,41047.296875,0,0
2022-04-01T07:30-07:00,41047.40234375,0,0
2022-04-01T07:45-07:00,41047.6015625,0,0
2022-04-01T08:00-07:00,41047.69921875,0,0
2022-04-01T08:15-07:00,41047.8984375,0,0
2022-04-01T08:30-07:00,41048.0,0,0
2022-04-01T08:45-07:00,41048.19921875,0,0
2022-04-01T09:00-07:00,41048.30078125,0,0
2022-04-01T09:15-07:00,41048.3984375,0,0
2022-04-01T09:30-07:00,41048.6015625,0,0
2022-04-01T09:45-07:00,41048.69921875,0,0
2022-04-01T10:00-07:00,41048.80078125,0,0
2022-04-01T10:15-07:00,41048.8984375,0,0
2022-04-01T10:30-07:00,41049.1015625,0,0
2022-04-01T10:45-07:00,41049.19921875,0,0
2022-04-01T11:00-07:00,41049.30078125,0,0
2022-04-01T11:15-07:00,41049.5,0,0
2022-04-01T11:30-07:00,41049.6015625,0,0
2022-04-01T11:45-07:00,41049.80078125,0,0
2022-04-01T12:00-07:00,41049.8984375,0,0
2022-04-01T12:15-07:00,41050.0,0,0
2022-04-01T12:30-07:00,41050.1015625,0,0
2022-04-01T12:45-07:00,41050.30078125,0,0
2022-04-01T13:00-07:00,41050.3984375,0,0
2022-04-01T13:15-07:00,41050.5,0,0
2022-04-01T13:30-07:00,41050.703125,0,0
2022-04-01T13:45-07:00,41050.80078125,0,0
2022-04-01T14:00-07:00,41050.8984375,0,0
2022-04-01T14:15-07:00,41051.09765625,0,0
2022-04-01T14:30-07:00,41051.203125,0,0
2022-04-01T14:45-07:00,41051.30078125,0,0
2022-04-01T15:00-07:00,41051.5,0,0
2022-04-01T15:15-07:00,41051.59765625,0,0
2022-04-01T15:30-07:00,41051.703125,0,0
2022-04-01T15:45-07:00,41051.90234375,0,0
2022-04-01T16:00-07:00,41052.0,0,0
2022-04-01T16:15-07:00,41052.09765625,0,0
2022-04-01T16:30-07:00,41052.30078125,0,0
2022-04-01T16:45-07:00,41052.40234375,0,0
2022-04-01T17:00-07:00,41052.5,0,0
2022-04-01T17:15-07:00,41052.69921875,0,0
2022-04-01T17:30-07:00,41052.80078125,0,0
2022-04-01T17:45-07:00,41053.0,0,0
2022-04-01T18:00-07:00,41053.09765625,0,0
2022-04-01T18:15-07:00,41053.19921875,0,0
2022-04-01T18:30-07:00,41053.40234375,0,0
2022-04-01T18:45-07:00,41053.5,0,0
2022-04-01T19:00-07:00,41053.6015625,0,0
2022-04-01T19:15-07:00,41053.796875,0,0
2022-04-01T19:30-07:00,41053.90234375,0,0
2022-04-01T19:45-07:00,41054.1015625,0,0
2022-04-01T20:00-07:00,41054.19921875,0,0
2022-04-01T20:15-07:00,41054.40234375,0,0
2022-04-01T20:30-07:00,41054.5,0,0
2022-04-01T20:45-07:00,41054.6015625,0,0
2022-04-01T21:00-07:00,41054.69921875,0,0
2022-04-01T21:15-07:00,41054.8984375,0,0
2022-04-01T21:30-07:00,41055.0,0,0
