t,v,s,r
2022-03-31T23:45-07:00,7140.66015625,0,0
2022-04-01T00:00-07:00,7140.7001953125,0,0
2022-04-01T00:15-07:00,7140.72998046875,0,0
2022-04-01T00:30-07:00,7140.77001953125,0,0
2022-04-01T00:45-07:00,7140.7998046875,0,0
2022-04-01T01:00-07:00,7140.830078125,0,0
2022-04-01T01:15-07:00,7140.8701171875,0,0
2022-04-01T01:30-07:00,7140.89990234375,0,0
2022-04-01T01:45-07:00,7140.93994140625,0,0
2022-04-01T02:00-07:00,7140.97021484375,0,0
2022-04-01T02:15-07:00,7141.009765625,0,0
2022-04-01T02:30-07:00,7141.0400390625,0,0
2022-04-01T02:45-07:00,7141.080078125,0,0
2022-04-01T03:00-07:00,7141.10986328125,0,0
2022-04-01T03:15-07:00,7141.150390625,0,0
2022-04-01T03:30-07:00,7141.18994140625,0,0
2022-04-01T03:45-07:00,7141.2197265625,0,0
2022-04-01T04:00-07:00,7141.259765625,0,0
2022-04-01T04:15-07:00,7141.30029296875,0,0
2022-04-01T04:30-07:00,7141.330078125,0,0
2022-04-01T04:45-07:00,7141.36962890625,0,0
2022-04-01T05:00-07:00,7141.419921875,0,0
2022-04-01T05:15-07:00,7141.4501953125,0,0
2022-04-01T05:30-07:00,7141.47021484375,0,0
2022-04-01T05:45-07:00,7141.490234375,0,0
2022-04-01T06:00-07:00,7141.52001953125,0,0
2022-04-01T06:15-07:00,7141.55029296875,0,0
2022-04-01T06:30-07:00,7141.57958984375,0,0
2022-04-01T06:45-07:00,7141.60986328125,0,0
2022-04-01T07:00-07:00,7141.64013671875,0,0
2022-04-01T07:15-07:00,7141.669921875,0,0
2022-04-01T07:30-07:00,7141.7001953125,0,0
2022-04-01T07:45-07:00,7141.72998046875,0,0
2022-04-01T08:00-07:00,7141.75,0,0
2022-04-01T08:15-07:00,7141.7900390625,0,0
2022-04-01T08:30-07:00,7141.81005859375,0,0
2022-04-01T08:45-07:00,7141.83984375,0,0
2022-04-01T09:00-07:00,7141.85986328125,0,0
2022-04-01T09:15-07:00,7141.89013671875,0,0
2022-04-01T09:30-07:00,7141.91015625,0,0
2022-04-01T09:45-07:00,7141.93017578125,0,0
2022-04-01T10:00-07:00,7141.9501953125,0,0
2022-04-01T10:15-07:00,7141.9697265625,0,0
2022-04-01T10:30-07:00,7141.98974609375,0,0
2022-04-01T10:45-07:00,7142.009765625,0,0
2022-04-01T11:00-07:00,7142.02978515625,0,0
2022-04-01T11:15-07:00,7142.0498046875,0,0
2022-04-01T11:30-07:00,7142.080078125,0,0
2022-04-01T11:45-07:00,7142.09033203125,0,0
2022-04-01T12:00-07:00,7142.1103515625,0,0
2022-04-01T12:15-07:00,7142.13037109375,0,0
2022-04-01T12:30-07:00,7142.14990234375,0,0
2022-04-01T12:45-07:00,7142.169921875,0,0
2022-04-01T13:00-07:00,7142.18994140625,0,0
2022-04-01T13:15-07:00,7142.19970703125,0,0
2022-04-01T13:30-07:00,7142.2197265625,0,0
2022-04-01T13:45-07:00,7142.240234375,0,0
2022-04-01T14:00-07:00,7142.25,0,0
2022-04-01T14:15-07:00,7142.27001953125,0,0
2022-04-01T14:30-07:00,7142.30029296875,0,0
2022-04-01T14:45-07:00,7142.31005859375,0,0
2022-04-01T15:00-07:00,7142.349609375,0,0
2022-04-01T15:15-07:00,7142.35986328125,0,0
2022-04-01T15:30-07:00,7142.4501953125,0,0
2022-04-01T15:45-07:00,7142.4599609375,0,0
2022-04-01T16:00-07:00,7142.4599609375,0,0
2022-04-01T16:15-07:00,7142.47998046875,0,0
2022-04-01T16:30-07:00,7142.47998046875,0,0
2022-04-01T16:45-07:00,7142.5,0,0
2022-04-01T17:00-07:00,7142.5302734375,0,0
2022-04-01T17:15-07:00,7142.5498046875,0,0
2022-04-01T17:30-07:00,7142.58984375,0,0
2022-04-01T17:45-07:00,7142.64013671875,0,0
2022-04-01T18:00-07:00,7142.669921875,0,0
2022-04-01T18:15-07:00,7142.72021484375,0,0
2022-04-01T18:30-07:00,7142.759765625,0,0
2022-04-01T18:45-07:00,7142.81982421875,0,0
2022-04-01T19:00-07:00,7142.8701171875,0,0
2022-04-01T19:15-07:00,7142.92041015625,0,0
2022-04-01T19:30-07:00,7142.9599609375,0,0
2022-04-01T19:45-07:00,7143.009765625,0,0
2022-04-01T20:00-07:00,7143.1103515625,0,0
2022-04-01T20:15-07:00,7143.15966796875,0,0
2022-04-01T20:30-07:00,7143.240234375,0,0
2022-04-01T20:45-07:00,7143.2900390625,0,0
2022-04-01T21:00-07:00,7143.349609375,0,0
2022-04-01T21:15-07:00,7143.3798828125,0,0
2022-04-01T21:30-07:00,7143.4501953125,0,0
2022-04-01T21:45-07:00,7143.5,0,0
2022-04-01T22:00-07:00,7143.52001953125,0,0
2022-04-01T22:15-07:00,7143.56982421875,0,0
2022-04-01T22:30-07:00,7143.60009765625,0,0
2022-04-01T22:45-07:00,7143.64013671875,0,0
2022-04-01T23:00-07:00,7143.68017578125,0,0
2022-04-01T23:15-07:00,7143.7197265625,0,0
2022-04-01T23:30-07:00,7143.759765625,0,0
2022-04-01T23:45-07:00,7143.7900390625,0,0
2022-04-02T00:00-07:00,7143.84033203125,0,0
2022-04-02T00:15-07:00,7143.8701171875,0,0
2022-04-02T00:30-07:00,7143.919921875,0,0
2022-04-02T00:45-07:00,7143.9599609375,0,0
2022-04-02T01:00-07:00,7144.01025390625,0,0
2022-04-02T01:15-07:00,7144.06005859375,0,0
2022-04-02T01:30-07:00,7144.10986328125,0,0
2022-04-02T01:45-07:00,7144.169921875,0,0
2022-04-02T02:00-07:00,7144.2099609375,0,0
2022-04-02T02:15-07:00,7144.26025390625,0,0
2022-04-02T02:30-07:00,7144.3095703125,0,0
2022-04-02T02:45-07:00,7144.35009765625,0,0
2022-04-02T03:00-07:00,7144.41015625,0,0
2022-04-02T03:15-07:00,7144.43994140625,0,0
2022-04-02T03:30-07:00,7144.5,0,0
2022-04-02T03:45-07:00,7144.5400390625,0,0
2022-04-02T04:00-07:00,7144.60986328125,0,0
2022-04-02T04:15-07:00,7144.67041015625,0,0
2022-04-02T04:30-07:00,7144.7099609375,0,0
2022-04-02T04:45-07:00,7144.77001953125,0,0
2022-04-02T05:00-07:00,7144.830078125,0,0
2022-04-02T05:15-07:00,7144.89990234375,0,0
2022-04-02T05:30-07:00,7144.93994140625,0,0
2022-04-02T05:45-07:00,7144.97021484375,0,0
