t,v,s,r
2022-03-31T23:45-07:00,114.51744842529295,0,0
2022-04-01T00:00-07:00,114.79918670654295,0,0
2022-04-01T00:15-07:00,114.89057159423828,0,0
2022-04-01T00:30-07:00,114.83724975585938,0,0
2022-04-01T00:45-07:00,114.85247039794922,0,0
2022-04-01T01:00-07:00,114.77633666992188,0,0
2022-04-01T01:15-07:00,114.822021484375,0,0
2022-04-01T01:30-07:00,114.7611083984375,0,0
2022-04-01T01:45-07:00,114.6773681640625,0,0
2022-04-01T02:00-07:00,114.7535171508789,0,0
2022-04-01T02:15-07:00,114.76873779296876,0,0
2022-04-01T02:30-07:00,114.822021484375,0,0
2022-04-01T02:45-07:00,114.7611083984375,0,0
2022-04-01T03:00-07:00,114.79918670654295,0,0
2022-04-01T03:15-07:00,114.77633666992188,0,0
2022-04-01T03:30-07:00,115.12661743164062,0,0
2022-04-01T03:45-07:00,114.89057159423828,0,0
2022-04-01T04:00-07:00,114.84487915039062,0,0
2022-04-01T04:15-07:00,114.86770629882812,0,0
2022-04-01T04:30-07:00,115.02001190185548,0,0
2022-04-01T04:45-07:00,114.80680084228516,0,0
2022-04-01T05:00-07:00,114.91339111328124,0,0
2022-04-01T05:15-07:00,114.86770629882812,0,0
2022-04-01T05:30-07:00,114.9210205078125,0,0
2022-04-01T05:45-07:00,114.88294219970705,0,0
2022-04-01T06:00-07:00,114.95147705078124,0,0
2022-04-01T06:15-07:00,114.9743423461914,0,0
2022-04-01T06:30-07:00,116.1317138671875,0,0
2022-04-01T06:45-07:00,111.82195281982422,0,0
2022-04-01T07:00-07:00,111.71536254882812,0,0
2022-04-01T07:15-07:00,112.31688690185548,0,0
2022-04-01T07:30-07:00,112.2407455444336,0,0
2022-04-01T07:45-07:00,111.90572357177734,0,0
2022-04-01T08:00-07:00,112.2178955078125,0,0
2022-04-01T08:15-07:00,112.30929565429688,0,0
2022-04-01T08:30-07:00,113.13162231445312,0,0
2022-04-01T08:45-07:00,113.8321533203125,0,0
2022-04-01T09:00-07:00,111.2508773803711,0,0
2022-04-01T09:15-07:00,113.4514389038086,0,0
2022-04-01T09:30-07:00,113.63418579101562,0,0
2022-04-01T09:45-07:00,112.13416290283205,0,0
2022-04-01T10:00-07:00,111.97425079345705,0,0
2022-04-01T10:15-07:00,111.5630874633789,0,0
2022-04-01T10:30-07:00,111.29656982421876,0,0
2022-04-01T10:45-07:00,111.26611328125,0,0
2022-04-01T11:00-07:00,111.38793182373048,0,0
2022-04-01T11:15-07:00,111.31939697265624,0,0
2022-04-01T11:30-07:00,112.97174072265624,0,0
2022-04-01T11:45-07:00,112.52249145507812,0,0
2022-04-01T12:00-07:00,112.30929565429688,0,0
2022-04-01T12:15-07:00,112.75853729248048,0,0
2022-04-01T12:30-07:00,112.9412841796875,0,0
2022-04-01T12:45-07:00,115.21798706054688,0,0
2022-04-01T13:00-07:00,114.822021484375,0,0
2022-04-01T13:15-07:00,114.57836151123048,0,0
2022-04-01T13:30-07:00,115.4464111328125,0,0
2022-04-01T13:45-07:00,115.46927642822266,0,0
2022-04-01T14:00-07:00,114.88294219970705,0,0
2022-04-01T14:15-07:00,115.86519622802734,0,0
2022-04-01T14:30-07:00,114.13674926757812,0,0
2022-04-01T14:45-07:00,115.06570434570312,0,0
2022-04-01T15:00-07:00,115.4311752319336,0,0
2022-04-01T15:15-07:00,113.51235961914062,0,0
2022-04-01T15:30-07:00,113.84738159179688,0,0
2022-04-01T15:45-07:00,114.10628509521484,0,0
2022-04-01T16:00-07:00,115.56063842773438,0,0
2022-04-01T16:15-07:00,115.5225601196289,0,0
2022-04-01T16:30-07:00,115.45403289794922,0,0
2022-04-01T16:45-07:00,115.38550567626952,0,0
2022-04-01T17:00-07:00,114.60883331298828,0,0
2022-04-01T17:15-07:00,114.11389923095705,0,0
2022-04-01T17:30-07:00,114.79155731201172,0,0
2022-04-01T17:45-07:00,114.63168334960938,0,0
2022-04-01T18:00-07:00,114.54031372070312,0,0
2022-04-01T18:15-07:00,115.667236328125,0,0
2022-04-01T18:30-07:00,115.5910873413086,0,0
2022-04-01T18:45-07:00,115.64437103271484,0,0
2022-04-01T19:00-07:00,115.50731658935548,0,0
2022-04-01T19:15-07:00,115.79666900634766,0,0
2022-04-01T19:30-07:00,115.53018188476562,0,0
2022-04-01T19:45-07:00,115.45403289794922,0,0
2022-04-01T20:00-07:00,115.01238250732422,0,0
2022-04-01T20:15-07:00,114.822021484375,0,0
2022-04-01T20:30-07:00,114.85247039794922,0,0
2022-04-01T20:45-07:00,114.7535171508789,0,0
2022-04-01T21:00-07:00,114.80680084228516,0,0
2022-04-01T21:15-07:00,114.29662322998048,0,0
2022-04-01T21:30-07:00,114.25858306884766,0,0
2022-04-01T21:45-07:00,113.93115234375,0,0
2022-04-01T22:00-07:00,114.81442260742188,0,0
2022-04-01T22:15-07:00,114.84487915039062,0,0
2022-04-01T22:30-07:00,114.73827362060548,0,0
2022-04-01T22:45-07:00,115.05807495117188,0,0
2022-04-01T23:00-07:00,114.89816284179688,0,0
2022-04-01T23:15-07:00,114.65450286865234,0,0
2022-04-01T23:30-07:00,114.30425262451172,0,0
2022-04-01T23:45-07:00,114.33472442626952,0,0
2022-04-02T00:00-07:00,114.052978515625,0,0
2022-04-02T00:15-07:00,113.94637298583984,0,0
2022-04-02T00:30-07:00,114.30425262451172,0,0
2022-04-02T00:45-07:00,114.17481231689452,0,0
2022-04-02T01:00-07:00,114.091064453125,0,0
2022-04-02T01:15-07:00,113.91592407226562,0,0
2022-04-02T01:30-07:00,114.04534912109376,0,0
2022-04-02T01:45-07:00,113.75601959228516,0,0
2022-04-02T02:00-07:00,113.27630615234376,0,0
2022-04-02T02:15-07:00,113.26871490478516,0,0
2022-04-02T02:30-07:00,113.18494415283205,0,0
2022-04-02T02:45-07:00,113.3905258178711,0,0
2022-04-02T03:00-07:00,113.83979034423828,0,0
2022-04-02T03:15-07:00,113.78646850585938,0,0
2022-04-02T03:30-07:00,113.8321533203125,0,0
2022-04-02T03:45-07:00,113.84738159179688,0,0
2022-04-02T04:00-07:00,113.6875,0,0
2022-04-02T04:15-07:00,113.7027359008789,0,0
2022-04-02T04:30-07:00,113.74078369140624,0,0
2022-04-02T04:45-07:00,113.80931854248048,0,0
2022-04-02T05:00-07:00,113.93115234375,0,0
