t,v,s,r
2022-03-31T23:45-07:00,255.6490936279297,0,0
2022-04-01T00:00-07:00,250.0191802978516,0,0
2022-04-01T00:15-07:00,230.12261962890625,0,0
2022-04-01T00:30-07:00,279.6806335449219,0,0
2022-04-01T00:45-07:00,202.36666870117188,0,0
2022-04-01T01:00-07:00,203.55337524414065,0,0
2022-04-01T01:15-07:00,351.7803955078125,0,0
2022-04-01T01:30-07:00,203.4186248779297,0,0
2022-04-01T01:45-07:00,245.83811950683597,0,0
2022-04-01T02:00-07:00,227.48097229003903,0,0
2022-04-01T02:15-07:00,209.3983612060547,0,0
2022-04-01T02:30-07:00,215.88800048828125,0,0
2022-04-01T02:45-07:00,241.44192504882807,0,0
2022-04-01T03:00-07:00,220.7054901123047,0,0
2022-04-01T03:15-07:00,269.3531494140625,0,0
2022-04-01T03:30-07:00,209.5158843994141,0,0
2022-04-01T03:45-07:00,241.5632476806641,0,0
2022-04-01T04:00-07:00,191.26612854003903,0,0
2022-04-01T04:15-07:00,198.1419982910156,0,0
2022-04-01T04:30-07:00,192.91018676757807,0,0
2022-04-01T04:45-07:00,197.2363739013672,0,0
2022-04-01T05:00-07:00,174.52880859375,0,0
2022-04-01T05:15-07:00,199.5162811279297,0,0
2022-04-01T05:30-07:00,160.83099365234375,0,0
2022-04-01T05:45-07:00,200.57797241210935,0,0
2022-04-01T06:00-07:00,209.1865692138672,0,0
2022-04-01T06:15-07:00,157.07920837402344,0,0
2022-04-01T06:30-07:00,169.85800170898438,0,0
2022-04-01T06:45-07:00,198.8494110107422,0,0
2022-04-01T07:00-07:00,155.79917907714844,0,0
2022-04-01T07:15-07:00,202.35064697265625,0,0
2022-04-01T07:30-07:00,167.30075073242188,0,0
2022-04-01T07:45-07:00,222.4200134277344,0,0
2022-04-01T08:00-07:00,211.3729553222656,0,0
2022-04-01T08:15-07:00,223.2616424560547,0,0
2022-04-01T08:30-07:00,246.85589599609372,0,0
2022-04-01T08:45-07:00,250.8311462402344,0,0
2022-04-01T09:00-07:00,288.9078369140625,0,0
2022-04-01T09:15-07:00,254.26010131835935,0,0
2022-04-01T09:30-07:00,307.2250671386719,0,0
2022-04-01T09:45-07:00,357.32421875,0,0
2022-04-01T10:00-07:00,310.9857788085937,0,0
2022-04-01T10:15-07:00,265.9813232421875,0,0
2022-04-01T10:30-07:00,234.9915313720703,0,0
2022-04-01T10:45-07:00,286.2402648925781,0,0
2022-04-01T11:00-07:00,311.7781982421875,0,0
2022-04-01T11:15-07:00,275.8494873046875,0,0
2022-04-01T11:30-07:00,285.3422241210937,0,0
2022-04-01T11:45-07:00,320.5621032714844,0,0
2022-04-01T12:00-07:00,271.66510009765625,0,0
2022-04-01T12:15-07:00,397.1213684082031,0,0
2022-04-01T12:30-07:00,383.1370544433594,0,0
2022-04-01T12:45-07:00,372.6168823242188,0,0
2022-04-01T13:00-07:00,456.7530212402344,0,0
2022-04-01T13:15-07:00,425.86962890625,0,0
2022-04-01T13:30-07:00,440.6351623535156,0,0
2022-04-01T13:45-07:00,580.4135131835938,0,0
2022-04-01T14:00-07:00,478.6524963378906,0,0
2022-04-01T14:15-07:00,538.3920288085938,0,0
2022-04-01T14:30-07:00,540.3771362304688,0,0
2022-04-01T14:45-07:00,562.1580810546875,0,0
2022-04-01T15:00-07:00,599.3867797851562,0,0
2022-04-01T15:15-07:00,592.9458618164062,0,0
2022-04-01T15:30-07:00,413.2156982421875,0,0
2022-04-01T15:45-07:00,534.5305786132812,0,0
2022-04-01T16:00-07:00,547.4580078125,0,0
2022-04-01T16:15-07:00,463.0513000488281,0,0
2022-04-01T16:30-07:00,483.62396240234375,0,0
2022-04-01T16:45-07:00,396.01318359375,0,0
2022-04-01T17:00-07:00,511.3831481933594,0,0
2022-04-01T17:15-07:00,551.6414794921875,0,0
2022-04-01T17:30-07:00,335.0205078125,0,0
2022-04-01T17:45-07:00,391.7283630371094,0,0
2022-04-01T18:00-07:00,426.1170654296875,0,0
2022-04-01T18:15-07:00,360.2633056640625,0,0
2022-04-01T18:30-07:00,351.6808166503906,0,0
2022-04-01T18:45-07:00,347.5741882324219,0,0
2022-04-01T19:00-07:00,288.3175964355469,0,0
2022-04-01T19:15-07:00,285.5750732421875,0,0
2022-04-01T19:30-07:00,356.734375,0,0
2022-04-01T19:45-07:00,255.8848876953125,0,0
2022-04-01T20:00-07:00,214.7030487060547,0,0
2022-04-01T20:15-07:00,239.7266540527344,0,0
2022-04-01T20:30-07:00,233.209228515625,0,0
2022-04-01T20:45-07:00,201.59425354003903,0,0
2022-04-01T21:00-07:00,250.1924743652344,0,0
2022-04-01T21:15-07:00,230.72311401367188,0,0
2022-04-01T21:30-07:00,212.11705017089844,0,0
2022-04-01T21:45-07:00,263.8611755371094,0,0
2022-04-01T22:00-07:00,202.76898193359372,0,0
2022-04-01T22:15-07:00,235.0149078369141,0,0
2022-04-01T22:30-07:00,227.36279296875,0,0
2022-04-01T22:45-07:00,194.7338409423828,0,0
2022-04-01T23:00-07:00,240.7323760986328,0,0
2022-04-01T23:15-07:00,221.749267578125,0,0
2022-04-01T23:30-07:00,204.1262664794922,0,0
2022-04-01T23:45-07:00,193.3091583251953,0,0
2022-04-02T00:00-07:00,208.7216644287109,0,0
2022-04-02T00:15-07:00,195.32286071777344,0,0
2022-04-02T00:30-07:00,184.21353149414065,0,0
2022-04-02T00:45-07:00,167.85540771484375,0,0
2022-04-02T01:00-07:00,235.89468383789065,0,0
2022-04-02T01:15-07:00,195.81634521484372,0,0
2022-04-02T01:30-07:00,190.5677490234375,0,0
2022-04-02T01:45-07:00,214.036376953125,0,0
2022-04-02T02:00-07:00,207.39791870117188,0,0
2022-04-02T02:15-07:00,192.0665283203125,0,0
2022-04-02T02:30-07:00,205.47808837890625,0,0
2022-04-02T02:45-07:00,181.1859130859375,0,0
2022-04-02T03:00-07:00,171.9092254638672,0,0
2022-04-02T03:15-07:00,192.4801788330078,0,0
2022-04-02T03:30-07:00,254.42210388183597,0,0
2022-04-02T03:45-07:00,173.60781860351562,0,0
2022-04-02T04:00-07:00,185.08572387695312,0,0
2022-04-02T04:15-07:00,200.1139068603516,0,0
2022-04-02T04:30-07:00,193.4362335205078,0,0
2022-04-02T04:45-07:00,276.7593688964844,0,0
2022-04-02T05:00-07:00,233.96917724609372,0,0
2022-04-02T05:15-07:00,211.5977020263672,0,0
