t,v,s,r
2022-03-31T23:45-07:00,42.76559066772461,0,0
2022-04-01T00:00-07:00,42.761009216308594,0,0
2022-04-01T00:15-07:00,42.71674728393555,0,0
2022-04-01T00:30-07:00,42.67400741577149,0,0
2022-04-01T00:45-07:00,42.78237915039063,0,0
2022-04-01T01:00-07:00,42.761009216308594,0,0
2022-04-01T01:15-07:00,42.780853271484375,0,0
2022-04-01T01:30-07:00,42.77322006225586,0,0
2022-04-01T01:45-07:00,42.76711654663086,0,0
2022-04-01T02:00-07:00,42.73200988769531,0,0
2022-04-01T02:15-07:00,42.73506164550781,0,0
2022-04-01T02:30-07:00,42.70911407470703,0,0
2022-04-01T02:45-07:00,42.75948333740234,0,0
2022-04-01T03:00-07:00,42.76559066772461,0,0
2022-04-01T03:15-07:00,42.72285079956055,0,0
2022-04-01T03:30-07:00,42.79611587524414,0,0
2022-04-01T03:45-07:00,42.75948333740234,0,0
2022-04-01T04:00-07:00,42.74422073364258,0,0
2022-04-01T04:15-07:00,42.62363815307617,0,0
2022-04-01T04:30-07:00,42.681640625,0,0
2022-04-01T04:45-07:00,42.78237915039063,0,0
2022-04-01T05:00-07:00,42.757957458496094,0,0
2022-04-01T05:15-07:00,42.73658752441406,0,0
2022-04-01T05:30-07:00,42.779327392578125,0,0
2022-04-01T05:45-07:00,42.71063995361328,0,0
2022-04-01T06:00-07:00,42.71063995361328,0,0
2022-04-01T06:15-07:00,42.70606231689453,0,0
2022-04-01T06:30-07:00,42.72590637207031,0,0
2022-04-01T06:45-07:00,42.81137847900391,0,0
2022-04-01T07:00-07:00,42.79000854492188,0,0
2022-04-01T07:15-07:00,42.75948333740234,0,0
2022-04-01T07:30-07:00,42.67400741577149,0,0
2022-04-01T07:45-07:00,42.79916763305664,0,0
2022-04-01T08:00-07:00,42.86938095092773,0,0
2022-04-01T08:15-07:00,42.9212760925293,0,0
2022-04-01T08:30-07:00,42.89227294921875,0,0
2022-04-01T08:45-07:00,42.93196105957031,0,0
2022-04-01T09:00-07:00,42.96859359741211,0,0
2022-04-01T09:15-07:00,42.98385620117188,0,0
2022-04-01T09:30-07:00,42.90143203735352,0,0
2022-04-01T09:45-07:00,42.94264602661133,0,0
2022-04-01T10:00-07:00,42.89227294921875,0,0
2022-04-01T10:15-07:00,42.94722366333008,0,0
2022-04-01T10:30-07:00,42.90143203735352,0,0
2022-04-01T10:45-07:00,42.85869598388672,0,0
2022-04-01T11:00-07:00,42.82206344604492,0,0
2022-04-01T11:15-07:00,42.878536224365234,0,0
2022-04-01T11:30-07:00,42.91669464111328,0,0
2022-04-01T11:45-07:00,42.97469711303711,0,0
2022-04-01T12:00-07:00,42.88311767578125,0,0
2022-04-01T12:15-07:00,42.96859359741211,0,0
2022-04-01T12:30-07:00,42.993011474609375,0,0
2022-04-01T12:45-07:00,42.982330322265625,0,0
2022-04-01T13:00-07:00,42.9243278503418,0,0
2022-04-01T13:15-07:00,42.93653869628906,0,0
2022-04-01T13:30-07:00,42.991485595703125,0,0
2022-04-01T13:45-07:00,42.85717010498047,0,0
2022-04-01T14:00-07:00,42.87701034545898,0,0
2022-04-01T14:15-07:00,42.893802642822266,0,0
2022-04-01T14:30-07:00,42.98843383789063,0,0
2022-04-01T14:45-07:00,42.92890930175781,0,0
2022-04-01T15:00-07:00,42.99606704711914,0,0
2022-04-01T15:15-07:00,42.91211700439453,0,0
2022-04-01T15:30-07:00,42.89532852172852,0,0
2022-04-01T15:45-07:00,42.76864242553711,0,0
2022-04-01T16:00-07:00,42.82511520385742,0,0
2022-04-01T16:15-07:00,42.74879837036133,0,0
2022-04-01T16:30-07:00,42.69385147094727,0,0
2022-04-01T16:45-07:00,42.73200988769531,0,0
2022-04-01T17:00-07:00,42.74269485473633,0,0
2022-04-01T17:15-07:00,42.70606231689453,0,0
2022-04-01T17:30-07:00,42.6450080871582,0,0
2022-04-01T17:45-07:00,42.70758819580078,0,0
2022-04-01T18:00-07:00,42.64348220825195,0,0
2022-04-01T18:15-07:00,42.68316650390625,0,0
2022-04-01T18:30-07:00,42.699954986572266,0,0
2022-04-01T18:45-07:00,42.74879837036133,0,0
2022-04-01T19:00-07:00,42.69385147094727,0,0
2022-04-01T19:15-07:00,42.76559066772461,0,0
2022-04-01T19:30-07:00,42.73353576660156,0,0
2022-04-01T19:45-07:00,42.66179656982422,0,0
2022-04-01T20:00-07:00,42.69537734985352,0,0
2022-04-01T20:15-07:00,42.73200988769531,0,0
2022-04-01T20:30-07:00,42.73658752441406,0,0
2022-04-01T20:45-07:00,42.698429107666016,0,0
2022-04-01T21:00-07:00,42.74269485473633,0,0
2022-04-01T21:15-07:00,42.77169418334961,0,0
2022-04-01T21:30-07:00,42.73353576660156,0,0
2022-04-01T21:45-07:00,42.64348220825195,0,0
2022-04-01T22:00-07:00,42.76559066772461,0,0
2022-04-01T22:15-07:00,42.7549057006836,0,0
2022-04-01T22:30-07:00,42.68316650390625,0,0
2022-04-01T22:45-07:00,42.7152214050293,0,0
2022-04-01T23:00-07:00,42.71369171142578,0,0
2022-04-01T23:15-07:00,42.68316650390625,0,0
2022-04-01T23:30-07:00,42.68621826171875,0,0
2022-04-01T23:45-07:00,42.85411834716797,0,0
2022-04-02T00:00-07:00,42.82969665527344,0,0
2022-04-02T00:15-07:00,42.765586853027344,0,0
2022-04-02T00:30-07:00,42.805274963378906,0,0
2022-04-02T00:45-07:00,42.83885192871094,0,0
2022-04-02T01:00-07:00,42.84953689575195,0,0
2022-04-02T01:15-07:00,42.81595993041992,0,0
2022-04-02T01:30-07:00,42.809852600097656,0,0
2022-04-02T01:45-07:00,42.77016830444336,0,0
2022-04-02T02:00-07:00,42.80069351196289,0,0
2022-04-02T02:15-07:00,42.753379821777344,0,0
2022-04-02T02:30-07:00,42.71674728393555,0,0
2022-04-02T02:45-07:00,42.780853271484375,0,0
2022-04-02T03:00-07:00,42.74574661254883,0,0
2022-04-02T03:15-07:00,42.7182731628418,0,0
2022-04-02T03:30-07:00,42.66027069091797,0,0
2022-04-02T03:45-07:00,42.6480598449707,0,0
2022-04-02T04:00-07:00,42.76253509521485,0,0
2022-04-02T04:15-07:00,42.81595993041992,0,0
2022-04-02T04:30-07:00,42.90753936767578,0,0
2022-04-02T04:45-07:00,42.82664489746094,0,0
2022-04-02T05:00-07:00,42.85564422607422,0,0
2022-04-02T05:15-07:00,42.870906829833984,0,0
2022-04-02T05:30-07:00,42.73506164550781,0,0
2022-04-02T05:45-07:00,42.74269485473633,0,0
2022-04-02T06:00-07:00,42.765586853027344,0,0
2022-04-02T06:15-07:00,42.765586853027344,0,0
2022-04-02T06:30-07:00,42.71979904174805,0,0
2022-04-02T06:45-07:00,42.71063995361328,0,0
2022-04-02T07:00-07:00,42.75185394287109,0,0
2022-04-02T07:15-07:00,42.73963928222656,0,0
2022-04-02T07:30-07:00,42.68316650390625,0,0
2022-04-02T07:45-07:00,42.70606231689453,0,0
2022-04-02T08:00-07:00,42.76559066772461,0,0
2022-04-02T08:15-07:00,42.77322006225586,0,0
2022-04-02T08:30-07:00,42.79153823852539,0,0
2022-04-02T08:45-07:00,42.893802642822266,0,0
2022-04-02T09:00-07:00,42.94722366333008,0,0
2022-04-02T09:15-07:00,42.96553802490234,0,0
2022-04-02T09:30-07:00,42.986907958984375,0,0
2022-04-02T09:45-07:00,42.93196105957031,0,0
