t,v,s,r
2022-03-31T23:45-07:00,30924.9921875,0,0
2022-04-01T00:00-07:00,30925.052734375,0,0
2022-04-01T00:15-07:00,30925.1171875,0,0
2022-04-01T00:30-07:00,30925.177734375,0,0
2022-04-01T00:45-07:00,30925.234375,0,0
2022-04-01T01:00-07:00,30925.294921875,0,0
2022-04-01T01:15-07:00,30925.357421875,0,0
2022-04-01T01:30-07:00,30925.4140625,0,0
2022-04-01T01:45-07:00,30925.470703125,0,0
2022-04-01T02:00-07:00,30925.5234375,0,0
2022-04-01T02:15-07:00,30925.58203125,0,0
2022-04-01T02:30-07:00,30925.642578125,0,0
2022-04-01T02:45-07:00,30925.697265625,0,0
2022-04-01T03:00-07:00,30925.75390625,0,0
2022-04-01T03:15-07:00,30925.810546875,0,0
2022-04-01T03:30-07:00,30925.87109375,0,0
2022-04-01T03:45-07:00,30925.923828125,0,0
2022-04-01T04:00-07:00,30925.978515625,0,0
2022-04-01T04:15-07:00,30926.029296875,0,0
2022-04-01T04:30-07:00,30926.080078125,0,0
2022-04-01T04:45-07:00,30926.1328125,0,0
2022-04-01T05:00-07:00,30926.185546875,0,0
2022-04-01T05:15-07:00,30926.232421875,0,0
2022-04-01T05:30-07:00,30926.279296875,0,0
2022-04-01T05:45-07:00,30926.32421875,0,0
2022-04-01T06:00-07:00,30926.3671875,0,0
2022-04-01T06:15-07:00,30926.41796875,0,0
2022-04-01T06:30-07:00,30926.462890625,0,0
2022-04-01T06:45-07:00,30926.505859375,0,0
2022-04-01T07:00-07:00,30926.548828125,0,0
2022-04-01T07:15-07:00,30926.58984375,0,0
2022-04-01T07:30-07:00,30926.638671875,0,0
2022-04-01T07:45-07:00,30926.6875,0,0
2022-04-01T08:00-07:00,30926.740234375,0,0
2022-04-01T08:15-07:00,30926.7890625,0,0
2022-04-01T08:30-07:00,30926.8515625,0,0
2022-04-01T08:45-07:00,30926.916015625,0,0
2022-04-01T09:00-07:00,30926.98046875,0,0
2022-04-01T09:15-07:00,30927.05078125,0,0
2022-04-01T09:30-07:00,30927.1171875,0,0
2022-04-01T09:45-07:00,30927.19921875,0,0
2022-04-01T10:00-07:00,30927.275390625,0,0
2022-04-01T10:15-07:00,30927.349609375,0,0
2022-04-01T10:30-07:00,30927.421875,0,0
2022-04-01T10:45-07:00,30927.49609375,0,0
2022-04-01T11:00-07:00,30927.5625,0,0
2022-04-01T11:15-07:00,30927.6328125,0,0
2022-04-01T11:30-07:00,30927.701171875,0,0
2022-04-01T11:45-07:00,30927.779296875,0,0
2022-04-01T12:00-07:00,30927.857421875,0,0
2022-04-01T12:15-07:00,30927.93359375,0,0
2022-04-01T12:30-07:00,30928.029296875,0,0
2022-04-01T12:45-07:00,30928.13671875,0,0
2022-04-01T13:00-07:00,30928.23046875,0,0
2022-04-01T13:15-07:00,30928.33984375,0,0
