t,v,s,r
2022-03-31T23:45-07:00,1.3636581862745882e-39,0,0
2022-04-01T00:00-07:00,1.3636623901699811e-39,0,0
2022-04-01T00:15-07:00,0.462530106306076,0,0
2022-04-01T00:30-07:00,1.3636609888715168e-39,0,0
2022-04-01T00:45-07:00,1.3636539823791952e-39,0,0
2022-04-01T01:00-07:00,0.3365296423435211,0,0
2022-04-01T01:15-07:00,1.3636567849761238e-39,0,0
2022-04-01T01:30-07:00,1.3636539823791952e-39,0,0
2022-04-01T01:45-07:00,1.3636623901699811e-39,0,0
2022-04-01T02:00-07:00,1.3636609888715168e-39,0,0
2022-04-01T02:15-07:00,0.3465281724929809,0,0
2022-04-01T02:30-07:00,1.3636553836776595e-39,0,0
2022-04-01T02:45-07:00,1.3577755353213526e-39,0,0
2022-04-01T03:00-07:00,1.3636609888715168e-39,0,0
2022-04-01T03:15-07:00,1.3636525810807309e-39,0,0
2022-04-01T03:30-07:00,1.3636567849761238e-39,0,0
2022-04-01T03:45-07:00,1.3636609888715168e-39,0,0
2022-04-01T04:00-07:00,1.3577755353213526e-39,0,0
2022-04-01T04:15-07:00,0.4620302319526672,0,0
2022-04-01T04:30-07:00,1.3636581862745882e-39,0,0
2022-04-01T04:45-07:00,1.3636623901699811e-39,0,0
2022-04-01T05:00-07:00,1.3636623901699811e-39,0,0
2022-04-01T05:15-07:00,1.3636623901699811e-39,0,0
2022-04-01T05:30-07:00,1.3577755353213526e-39,0,0
2022-04-01T05:45-07:00,0.4620302617549896,0,0
2022-04-01T06:00-07:00,0.4625303149223327,0,0
2022-04-01T06:15-07:00,0.2432649135589599,0,0
2022-04-01T06:30-07:00,1.3636567849761238e-39,0,0
2022-04-01T06:45-07:00,1.3577797392167456e-39,0,0
2022-04-01T07:00-07:00,1.3342603457915178e-39,0,0
2022-04-01T07:15-07:00,1.2931182228789412e-39,0,0
2022-04-01T07:30-07:00,1.3460242463995248e-39,0,0
2022-04-01T07:45-07:00,1.3048751169946264e-39,0,0
2022-04-01T08:00-07:00,1.3283833000321395e-39,0,0
2022-04-01T08:15-07:00,1.351901292158903e-39,0,0
2022-04-01T08:30-07:00,1.3283903065244612e-39,0,0
2022-04-01T08:45-07:00,1.3401401941478248e-39,0,0
2022-04-01T09:00-07:00,1.3636609888715168e-39,0,0
2022-04-01T09:15-07:00,0.2452646940946579,0,0
2022-04-01T09:30-07:00,1.3283973130167828e-39,0,0
2022-04-01T09:45-07:00,1.3577797392167456e-39,0,0
2022-04-01T10:00-07:00,1.316641820199562e-39,0,0
2022-04-01T10:15-07:00,0.2442638874053955,0,0
