t,v,s,r
2022-03-31T23:45-07:00,435.4770202636719,0,0
2022-04-01T00:00-07:00,410.6991271972656,0,0
2022-04-01T00:15-07:00,395.90625,0,0
2022-04-01T00:30-07:00,427.954833984375,0,0
2022-04-01T00:45-07:00,381.0333862304688,0,0
2022-04-01T01:00-07:00,403.9015502929688,0,0
2022-04-01T01:15-07:00,392.8265686035156,0,0
2022-04-01T01:30-07:00,405.01019287109375,0,0
2022-04-01T01:45-07:00,404.2303466796875,0,0
2022-04-01T02:00-07:00,399.9400634765625,0,0
2022-04-01T02:15-07:00,453.1494140625,0,0
2022-04-01T02:30-07:00,403.8167114257813,0,0
2022-04-01T02:45-07:00,393.0505981445313,0,0
2022-04-01T03:00-07:00,407.7833862304688,0,0
2022-04-01T03:15-07:00,443.8045043945313,0,0
2022-04-01T03:30-07:00,421.1626586914063,0,0
2022-04-01T03:45-07:00,402.5829772949219,0,0
2022-04-01T04:00-07:00,401.23388671875,0,0
2022-04-01T04:15-07:00,465.3489990234375,0,0
2022-04-01T04:30-07:00,398.6014099121094,0,0
2022-04-01T04:45-07:00,401.1005859375,0,0
2022-04-01T05:00-07:00,415.32568359375,0,0
2022-04-01T05:15-07:00,395.5455932617188,0,0
2022-04-01T05:30-07:00,421.888427734375,0,0
2022-04-01T05:45-07:00,392.7525329589844,0,0
2022-04-01T06:00-07:00,482.9784851074219,0,0
2022-04-01T06:15-07:00,490.68988037109375,0,0
2022-04-01T06:30-07:00,418.63323974609375,0,0
2022-04-01T06:45-07:00,447.807373046875,0,0
2022-04-01T07:00-07:00,431.6295776367188,0,0
2022-04-01T07:15-07:00,448.3010559082031,0,0
2022-04-01T07:30-07:00,430.5720825195313,0,0
2022-04-01T07:45-07:00,439.4743347167969,0,0
2022-04-01T08:00-07:00,441.1389465332031,0,0
2022-04-01T08:15-07:00,458.6158752441406,0,0
2022-04-01T08:30-07:00,442.4801635742188,0,0
2022-04-01T08:45-07:00,519.7962036132812,0,0
2022-04-01T09:00-07:00,457.8689880371094,0,0
