t,v,s,r
2022-03-31T23:45-07:00,489.5198059082031,0,0
2022-04-01T00:00-07:00,489.5398559570313,0,0
2022-04-01T00:15-07:00,489.7186584472656,0,0
2022-04-01T00:30-07:00,489.4161987304688,0,0
2022-04-01T00:45-07:00,490.0744018554688,0,0
2022-04-01T01:00-07:00,489.2231140136719,0,0
2022-04-01T01:15-07:00,489.6756591796875,0,0
2022-04-01T01:30-07:00,489.76080322265625,0,0
2022-04-01T01:45-07:00,489.5857849121094,0,0
2022-04-01T02:00-07:00,489.3919982910156,0,0
2022-04-01T02:15-07:00,489.2044067382813,0,0
2022-04-01T02:30-07:00,489.84228515625,0,0
2022-04-01T02:45-07:00,489.4387512207031,0,0
2022-04-01T03:00-07:00,489.5155334472656,0,0
2022-04-01T03:15-07:00,489.3265075683594,0,0
2022-04-01T03:30-07:00,489.66510009765625,0,0
2022-04-01T03:45-07:00,489.55316162109375,0,0
2022-04-01T04:00-07:00,489.8499755859375,0,0
2022-04-01T04:15-07:00,489.0993041992188,0,0
2022-04-01T04:30-07:00,489.7889404296875,0,0
2022-04-01T04:45-07:00,489.871826171875,0,0
2022-04-01T05:00-07:00,489.7825927734375,0,0
2022-04-01T05:15-07:00,489.7950439453125,0,0
2022-04-01T05:30-07:00,489.7434387207031,0,0
2022-04-01T05:45-07:00,490.0238037109375,0,0
2022-04-01T06:00-07:00,489.1856384277344,0,0
2022-04-01T06:15-07:00,489.1026916503906,0,0
2022-04-01T06:30-07:00,489.8031921386719,0,0
2022-04-01T06:45-07:00,490.019287109375,0,0
2022-04-01T07:00-07:00,489.4602966308594,0,0
2022-04-01T07:15-07:00,489.7346801757813,0,0
2022-04-01T07:30-07:00,489.9776916503906,0,0
2022-04-01T07:45-07:00,489.7043762207031,0,0
2022-04-01T08:00-07:00,489.9558715820313,0,0
2022-04-01T08:15-07:00,489.5637817382813,0,0
2022-04-01T08:30-07:00,490.08782958984375,0,0
2022-04-01T08:45-07:00,488.9747619628906,0,0
2022-04-01T09:00-07:00,489.585205078125,0,0
2022-04-01T09:15-07:00,489.6878662109375,0,0
2022-04-01T09:30-07:00,489.2945251464844,0,0
2022-04-01T09:45-07:00,489.7383117675781,0,0
2022-04-01T10:00-07:00,488.9034118652344,0,0
2022-04-01T10:15-07:00,489.3455505371094,0,0
2022-04-01T10:30-07:00,489.5850524902344,0,0
2022-04-01T10:45-07:00,489.5654602050781,0,0
2022-04-01T11:00-07:00,488.8391723632813,0,0
2022-04-01T11:15-07:00,489.5255432128906,0,0
2022-04-01T11:30-07:00,489.0392456054688,0,0
2022-04-01T11:45-07:00,489.40625,0,0
2022-04-01T12:00-07:00,489.0363464355469,0,0
2022-04-01T12:15-07:00,489.8049926757813,0,0
2022-04-01T12:30-07:00,489.1205139160156,0,0
2022-04-01T12:45-07:00,489.3270263671875,0,0
2022-04-01T13:00-07:00,488.4977111816406,0,0
2022-04-01T13:15-07:00,488.7923278808594,0,0
2022-04-01T13:30-07:00,489.4442138671875,0,0
2022-04-01T13:45-07:00,488.8935241699219,0,0
2022-04-01T14:00-07:00,488.6175537109375,0,0
2022-04-01T14:15-07:00,488.9250183105469,0,0
2022-04-01T14:30-07:00,489.0725708007813,0,0
2022-04-01T14:45-07:00,489.1744384765625,0,0
2022-04-01T15:00-07:00,488.8589782714844,0,0
2022-04-01T15:15-07:00,488.6101989746094,0,0
2022-04-01T15:30-07:00,489.0637512207031,0,0
2022-04-01T15:45-07:00,489.0611572265625,0,0
2022-04-01T16:00-07:00,489.0798950195313,0,0
2022-04-01T16:15-07:00,488.7620544433594,0,0
2022-04-01T16:30-07:00,488.7994079589844,0,0
2022-04-01T16:45-07:00,489.1795654296875,0,0
2022-04-01T17:00-07:00,488.8781127929688,0,0
2022-04-01T17:15-07:00,489.0931091308594,0,0
2022-04-01T17:30-07:00,488.6475830078125,0,0
2022-04-01T17:45-07:00,489.3153991699219,0,0
2022-04-01T18:00-07:00,489.297119140625,0,0
2022-04-01T18:15-07:00,489.3985290527344,0,0
2022-04-01T18:30-07:00,489.2911071777344,0,0
2022-04-01T18:45-07:00,489.15130615234375,0,0
2022-04-01T19:00-07:00,489.33111572265625,0,0
2022-04-01T19:15-07:00,489.0657348632813,0,0
2022-04-01T19:30-07:00,488.8627014160156,0,0
2022-04-01T19:45-07:00,488.53900146484375,0,0
2022-04-01T20:00-07:00,488.82421875,0,0
2022-04-01T20:15-07:00,489.35296630859375,0,0
2022-04-01T20:30-07:00,489.3349304199219,0,0
2022-04-01T20:45-07:00,489.1092529296875,0,0
2022-04-01T21:00-07:00,489.3655700683594,4,0
2022-04-01T21:15-07:00,489.73724365234375,0,0
2022-04-01T21:30-07:00,489.3705139160156,0,0
2022-04-01T21:45-07:00,489.6181335449219,0,0
2022-04-01T22:00-07:00,489.7287292480469,0,0
2022-04-01T22:15-07:00,489.2810668945313,0,0
2022-04-01T22:30-07:00,489.6380615234375,0,0
2022-04-01T22:45-07:00,489.3974304199219,0,0
2022-04-01T23:00-07:00,489.6171875,0,0
2022-04-01T23:15-07:00,489.6958618164063,0,0
2022-04-01T23:30-07:00,489.5438232421875,0,0
2022-04-01T23:45-07:00,489.8050537109375,0,0
2022-04-02T00:00-07:00,489.6336669921875,0,0
2022-04-02T00:15-07:00,489.9146423339844,0,0
2022-04-02T00:30-07:00,489.9810485839844,0,0
2022-04-02T00:45-07:00,489.5160827636719,0,0
2022-04-02T01:00-07:00,489.5035705566406,0,0
2022-04-02T01:15-07:00,489.220458984375,0,0
2022-04-02T01:30-07:00,489.5331115722656,0,0
2022-04-02T01:45-07:00,489.7642517089844,0,0
2022-04-02T02:00-07:00,489.3707580566406,0,0
2022-04-02T02:15-07:00,489.57220458984375,0,0
2022-04-02T02:30-07:00,489.4827575683594,0,0
2022-04-02T02:45-07:00,489.3599548339844,0,0
2022-04-02T03:00-07:00,489.4995422363281,0,0
2022-04-02T03:15-07:00,489.2737426757813,0,0
2022-04-02T03:30-07:00,489.5158996582031,0,0
2022-04-02T03:45-07:00,489.7289733886719,0,0
2022-04-02T04:00-07:00,489.3680419921875,4,0
2022-04-02T04:15-07:00,489.5972290039063,0,0
2022-04-02T04:30-07:00,489.5665588378906,0,0
2022-04-02T04:45-07:00,489.5581970214844,0,0
2022-04-02T05:00-07:00,489.6507873535156,0,0
2022-04-02T05:15-07:00,489.7461242675781,0,0
2022-04-02T05:30-07:00,489.8204345703125,0,0
2022-04-02T05:45-07:00,489.6967468261719,0,0
2022-04-02T06:00-07:00,489.9992980957031,0,0
2022-04-02T06:15-07:00,489.6366882324219,0,0
2022-04-02T06:30-07:00,489.0264892578125,0,0
2022-04-02T06:45-07:00,489.57568359375,0,0
2022-04-02T07:00-07:00,489.8590698242188,0,0
2022-04-02T07:15-07:00,489.46197509765625,0,0
2022-04-02T07:30-07:00,489.7773132324219,0,0
2022-04-02T07:45-07:00,489.7197570800781,0,0
2022-04-02T08:00-07:00,489.6351623535156,0,0
2022-04-02T08:15-07:00,489.775146484375,0,0
2022-04-02T08:30-07:00,489.9380187988281,0,0
2022-04-02T08:45-07:00,489.720703125,0,0
2022-04-02T09:00-07:00,490.0587463378906,0,0
2022-04-02T09:15-07:00,488.9044189453125,0,0
2022-04-02T09:30-07:00,489.7890319824219,0,0
2022-04-02T09:45-07:00,489.3518676757813,0,0
2022-04-02T10:00-07:00,489.5546875,0,0
2022-04-02T10:15-07:00,489.718017578125,0,0
2022-04-02T10:30-07:00,489.4418029785156,0,0
2022-04-02T10:45-07:00,489.6483459472656,0,0
2022-04-02T11:00-07:00,489.3251953125,0,0
2022-04-02T11:15-07:00,489.5858154296875,0,0
2022-04-02T11:30-07:00,489.2693176269531,0,0
2022-04-02T11:45-07:00,489.2282409667969,0,0
2022-04-02T12:00-07:00,489.4558715820313,0,0
2022-04-02T12:15-07:00,489.9675598144531,0,0
2022-04-02T12:30-07:00,489.5064086914063,0,0
2022-04-02T12:45-07:00,489.4677734375,0,0
2022-04-02T13:00-07:00,489.74951171875,0,0
2022-04-02T13:15-07:00,489.1897277832031,0,0
2022-04-02T13:30-07:00,489.7826232910156,0,0
2022-04-02T13:45-07:00,489.2056274414063,0,0
2022-04-02T14:00-07:00,489.6446533203125,0,0
2022-04-02T14:15-07:00,489.3493347167969,0,0
2022-04-02T14:30-07:00,489.27972412109375,0,0
2022-04-02T14:45-07:00,489.4945983886719,0,0
2022-04-02T15:00-07:00,489.2243041992188,0,0
