t,v,s,r
2022-03-31T23:45-07:00,489.9383239746094,0,0
2022-04-01T00:00-07:00,490.2919616699219,0,0
2022-04-01T00:15-07:00,490.312744140625,0,0
2022-04-01T00:30-07:00,490.00689697265625,0,0
2022-04-01T00:45-07:00,490.3363037109375,0,0
2022-04-01T01:00-07:00,490.31451416015625,0,0
2022-04-01T01:15-07:00,490.4350891113281,0,0
2022-04-01T01:30-07:00,490.3616638183594,0,0
2022-04-01T01:45-07:00,490.3820190429688,0,0
2022-04-01T02:00-07:00,490.3115234375,0,0
2022-04-01T02:15-07:00,489.8909912109375,0,0
2022-04-01T02:30-07:00,490.4183349609375,0,0
2022-04-01T02:45-07:00,490.2037048339844,0,0
2022-04-01T03:00-07:00,490.2161560058594,0,0
2022-04-01T03:15-07:00,489.76068115234375,0,0
2022-04-01T03:30-07:00,490.05767822265625,0,0
2022-04-01T03:45-07:00,490.1827697753906,0,0
2022-04-01T04:00-07:00,489.9850769042969,0,0
2022-04-01T04:15-07:00,489.37408447265625,0,0
2022-04-01T04:30-07:00,490.2486267089844,0,0
2022-04-01T04:45-07:00,490.2186584472656,0,0
2022-04-01T05:00-07:00,490.0769958496094,0,0
2022-04-01T05:15-07:00,490.2023620605469,0,0
2022-04-01T05:30-07:00,490.3198852539063,0,0
2022-04-01T05:45-07:00,490.3905334472656,0,0
2022-04-01T06:00-07:00,489.9058227539063,0,0
2022-04-01T06:15-07:00,488.8199462890625,0,0
2022-04-01T06:30-07:00,490.06878662109375,0,0
2022-04-01T06:45-07:00,489.9832763671875,0,0
2022-04-01T07:00-07:00,490.5266723632813,0,0
2022-04-01T07:15-07:00,490.0230102539063,0,0
2022-04-01T07:30-07:00,490.2589416503906,0,0
2022-04-01T07:45-07:00,490.5439758300781,0,0
2022-04-01T08:00-07:00,490.3549499511719,0,0
2022-04-01T08:15-07:00,490.0304870605469,0,0
2022-04-01T08:30-07:00,489.9507141113281,0,0
2022-04-01T08:45-07:00,490.0190734863281,0,0
2022-04-01T09:00-07:00,489.9374084472656,0,0
2022-04-01T09:15-07:00,490.0010681152344,0,0
2022-04-01T09:30-07:00,489.71630859375,0,0
2022-04-01T09:45-07:00,489.8641052246094,0,0
2022-04-01T10:00-07:00,489.7462463378906,0,0
2022-04-01T10:15-07:00,489.8702087402344,0,0
2022-04-01T10:30-07:00,490.0776977539063,0,0
2022-04-01T10:45-07:00,489.5984802246094,0,0
2022-04-01T11:00-07:00,489.8247985839844,0,0
2022-04-01T11:15-07:00,489.6902465820313,0,0
2022-04-01T11:30-07:00,489.5344543457031,0,0
2022-04-01T11:45-07:00,489.96771240234375,0,0
2022-04-01T12:00-07:00,489.6061401367188,0,0
2022-04-01T12:15-07:00,490.2472229003906,0,0
