t,v,s,r
2022-03-31T23:45-07:00,17.176485061645508,0,0
2022-04-01T00:00-07:00,14.82317352294922,0,0
2022-04-01T00:15-07:00,17.527053833007812,0,0
2022-04-01T00:30-07:00,14.493712425231934,0,0
2022-04-01T00:45-07:00,14.68348789215088,0,0
2022-04-01T01:00-07:00,14.46397876739502,0,0
2022-04-01T01:15-07:00,14.443693161010742,0,0
2022-04-01T01:30-07:00,14.452354431152344,0,0
2022-04-01T01:45-07:00,14.456619262695312,0,0
2022-04-01T02:00-07:00,14.649978637695312,0,0
2022-04-01T02:15-07:00,14.60046100616455,0,0
2022-04-01T02:30-07:00,14.594526290893556,0,0
2022-04-01T02:45-07:00,14.786949157714844,0,0
2022-04-01T03:00-07:00,14.495436668395996,0,0
2022-04-01T03:15-07:00,14.561739921569824,0,0
2022-04-01T03:30-07:00,14.601483345031738,0,0
2022-04-01T03:45-07:00,14.6137056350708,0,0
2022-04-01T04:00-07:00,14.75164794921875,0,0
2022-04-01T04:15-07:00,14.84579372406006,0,0
2022-04-01T04:30-07:00,14.558116912841797,0,0
2022-04-01T04:45-07:00,15.018720626831056,0,0
2022-04-01T05:00-07:00,14.399615287780762,0,0
2022-04-01T05:15-07:00,14.520997047424316,0,0
2022-04-01T05:30-07:00,14.719071388244627,0,0
2022-04-01T05:45-07:00,14.594664573669434,0,0
2022-04-01T06:00-07:00,14.649578094482422,0,0
2022-04-01T06:15-07:00,14.441296577453612,0,0
2022-04-01T06:30-07:00,16.299297332763672,0,0
2022-04-01T06:45-07:00,15.053289413452148,0,0
2022-04-01T07:00-07:00,14.716083526611328,0,0
2022-04-01T07:15-07:00,16.913782119750977,0,0
2022-04-01T07:30-07:00,16.115644454956055,0,0
2022-04-01T07:45-07:00,16.00682830810547,0,0
2022-04-01T08:00-07:00,14.911603927612305,0,0
2022-04-01T08:15-07:00,14.841253280639648,0,0
2022-04-01T08:30-07:00,14.530455589294434,0,0
2022-04-01T08:45-07:00,14.584568977355955,0,0
2022-04-01T09:00-07:00,14.797090530395508,0,0
2022-04-01T09:15-07:00,14.83508586883545,0,0
2022-04-01T09:30-07:00,14.704096794128418,0,0
2022-04-01T09:45-07:00,15.518108367919922,0,0
2022-04-01T10:00-07:00,14.754487991333008,0,0
2022-04-01T10:15-07:00,16.58442497253418,0,0
2022-04-01T10:30-07:00,16.112598419189453,0,0
2022-04-01T10:45-07:00,19.342729568481445,0,0
