t,v,s,r
2022-03-31T23:45-07:00,481.3018493652344,0,0
2022-04-01T00:00-07:00,481.86663818359375,0,0
2022-04-01T00:15-07:00,482.1816101074219,0,0
2022-04-01T00:30-07:00,482.5749206542969,0,0
2022-04-01T00:45-07:00,479.72210693359375,0,0
2022-04-01T01:00-07:00,479.1834106445313,0,0
2022-04-01T01:15-07:00,480.0891418457031,0,0
2022-04-01T01:30-07:00,480.2216491699219,0,0
2022-04-01T01:45-07:00,480.89495849609375,0,0
2022-04-01T02:00-07:00,480.3375244140625,0,0
2022-04-01T02:15-07:00,480.5472412109375,0,0
2022-04-01T02:30-07:00,481.2272644042969,0,0
2022-04-01T02:45-07:00,481.0392761230469,0,0
2022-04-01T03:00-07:00,480.6817626953125,0,0
2022-04-01T03:15-07:00,480.9141540527344,0,0
2022-04-01T03:30-07:00,480.2484130859375,0,0
2022-04-01T03:45-07:00,480.4391174316406,0,0
2022-04-01T04:00-07:00,479.44677734375,0,0
2022-04-01T04:15-07:00,482.9166870117188,0,0
2022-04-01T04:30-07:00,482.713134765625,0,0
2022-04-01T04:45-07:00,482.2760925292969,0,0
2022-04-01T05:00-07:00,481.8921508789063,0,0
2022-04-01T05:15-07:00,483.7988586425781,0,0
2022-04-01T05:30-07:00,481.1498718261719,0,0
2022-04-01T05:45-07:00,481.14794921875,0,0
2022-04-01T06:00-07:00,478.3347778320313,0,0
2022-04-01T06:15-07:00,482.1043395996094,0,0
2022-04-01T06:30-07:00,479.9239501953125,0,0
2022-04-01T06:45-07:00,480.4819641113281,0,0
2022-04-01T07:00-07:00,480.4859008789063,0,0
2022-04-01T07:15-07:00,479.28216552734375,0,0
2022-04-01T07:30-07:00,481.7555541992188,0,0
2022-04-01T07:45-07:00,479.0570983886719,0,0
2022-04-01T08:00-07:00,481.5989685058594,0,0
2022-04-01T08:15-07:00,481.2104187011719,0,0
2022-04-01T08:30-07:00,482.6894226074219,0,0
2022-04-01T08:45-07:00,481.2449340820313,0,0
2022-04-01T09:00-07:00,481.14556884765625,0,0
2022-04-01T09:15-07:00,480.8160400390625,0,0
2022-04-01T09:30-07:00,483.5549926757813,0,0
2022-04-01T09:45-07:00,484.1043395996094,0,0
2022-04-01T10:00-07:00,483.2902526855469,0,0
2022-04-01T10:15-07:00,480.9168395996094,0,0
2022-04-01T10:30-07:00,480.270751953125,0,0
2022-04-01T10:45-07:00,480.0679016113281,0,0
2022-04-01T11:00-07:00,479.8968505859375,0,0
2022-04-01T11:15-07:00,479.8975524902344,0,0
2022-04-01T11:30-07:00,483.3844909667969,0,0
2022-04-01T11:45-07:00,482.6784973144531,0,0
2022-04-01T12:00-07:00,481.4704895019531,0,0
2022-04-01T12:15-07:00,483.6231689453125,0,0
2022-04-01T12:30-07:00,483.6341857910156,0,0
2022-04-01T12:45-07:00,483.4293823242188,0,0
2022-04-01T13:00-07:00,483.3663635253906,0,0
2022-04-01T13:15-07:00,483.3175354003906,0,0
2022-04-01T13:30-07:00,482.8386840820313,0,0
2022-04-01T13:45-07:00,482.6316528320313,0,0
2022-04-01T14:00-07:00,482.0982971191406,0,0
2022-04-01T14:15-07:00,481.5019226074219,0,0
2022-04-01T14:30-07:00,481.9027404785156,0,0
2022-04-01T14:45-07:00,480.91400146484375,0,0
2022-04-01T15:00-07:00,480.6026916503906,0,0
2022-04-01T15:15-07:00,481.36468505859375,0,0
2022-04-01T15:30-07:00,480.75885009765625,0,0
2022-04-01T15:45-07:00,480.635986328125,0,0
2022-04-01T16:00-07:00,480.657470703125,0,0
2022-04-01T16:15-07:00,480.72662353515625,0,0
2022-04-01T16:30-07:00,480.8298950195313,0,0
2022-04-01T16:45-07:00,481.1013488769531,0,0
2022-04-01T17:00-07:00,480.9131774902344,0,0
2022-04-01T17:15-07:00,481.1152648925781,0,0
2022-04-01T17:30-07:00,480.5567626953125,0,0
2022-04-01T17:45-07:00,480.0757751464844,0,0
2022-04-01T18:00-07:00,481.0657043457031,0,0
2022-04-01T18:15-07:00,479.0107727050781,0,0
2022-04-01T18:30-07:00,477.6588439941406,0,0
2022-04-01T18:45-07:00,480.2229614257813,0,0
2022-04-01T19:00-07:00,480.2903442382813,0,0
2022-04-01T19:15-07:00,478.8618774414063,0,0
2022-04-01T19:30-07:00,478.64154052734375,0,0
2022-04-01T19:45-07:00,478.4840393066406,0,0
2022-04-01T20:00-07:00,478.8569946289063,0,0
2022-04-01T20:15-07:00,479.17529296875,0,0
2022-04-01T20:30-07:00,479.7043151855469,0,0
2022-04-01T20:45-07:00,480.3136291503906,0,0
2022-04-01T21:00-07:00,481.5470886230469,0,0
2022-04-01T21:15-07:00,481.4854736328125,0,0
2022-04-01T21:30-07:00,481.4060668945313,0,0
2022-04-01T21:45-07:00,481.6748046875,0,0
2022-04-01T22:00-07:00,482.4420776367188,0,0
2022-04-01T22:15-07:00,481.7259826660156,0,0
2022-04-01T22:30-07:00,481.5854797363281,0,0
2022-04-01T22:45-07:00,481.2496337890625,0,0
2022-04-01T23:00-07:00,481.0625305175781,0,0
2022-04-01T23:15-07:00,481.0166931152344,0,0
2022-04-01T23:30-07:00,481.2068481445313,0,0
2022-04-01T23:45-07:00,481.74420166015625,0,0
2022-04-02T00:00-07:00,481.8932800292969,0,0
2022-04-02T00:15-07:00,482.027587890625,0,0
2022-04-02T00:30-07:00,481.7403564453125,0,0
2022-04-02T00:45-07:00,481.7995300292969,0,0
2022-04-02T01:00-07:00,482.2257385253906,0,0
2022-04-02T01:15-07:00,482.3763732910156,0,0
2022-04-02T01:30-07:00,482.5777282714844,0,0
2022-04-02T01:45-07:00,481.19873046875,0,0
2022-04-02T02:00-07:00,481.547119140625,0,0
2022-04-02T02:15-07:00,481.8070983886719,0,0
2022-04-02T02:30-07:00,482.1793518066406,0,0
2022-04-02T02:45-07:00,482.36322021484375,0,0
2022-04-02T03:00-07:00,481.6643676757813,0,0
2022-04-02T03:15-07:00,481.8609008789063,0,0
2022-04-02T03:30-07:00,481.7476806640625,0,0
2022-04-02T03:45-07:00,481.5835571289063,0,0
2022-04-02T04:00-07:00,481.5303955078125,0,0
2022-04-02T04:15-07:00,481.5354309082031,0,0
2022-04-02T04:30-07:00,482.5938415527344,0,0
2022-04-02T04:45-07:00,482.39495849609375,0,0
2022-04-02T05:00-07:00,481.37542724609375,0,0
2022-04-02T05:15-07:00,480.09613037109375,0,0
2022-04-02T05:30-07:00,479.7174072265625,0,0
2022-04-02T05:45-07:00,479.94146728515625,0,0
2022-04-02T06:00-07:00,479.6939392089844,0,0
2022-04-02T06:15-07:00,478.9435729980469,0,0
2022-04-02T06:30-07:00,479.3381652832031,0,0
2022-04-02T06:45-07:00,479.1878051757813,0,0
2022-04-02T07:00-07:00,478.74365234375,0,0
2022-04-02T07:15-07:00,481.6047973632813,0,0
2022-04-02T07:30-07:00,482.41204833984375,0,0
2022-04-02T07:45-07:00,481.5986633300781,0,0
2022-04-02T08:00-07:00,479.95404052734375,0,0
2022-04-02T08:15-07:00,481.4222106933594,0,0
2022-04-02T08:30-07:00,480.0381164550781,0,0
2022-04-02T08:45-07:00,481.606689453125,0,0
2022-04-02T09:00-07:00,481.1336364746094,0,0
2022-04-02T09:15-07:00,483.5946350097656,0,0
2022-04-02T09:30-07:00,484.774658203125,0,0
2022-04-02T09:45-07:00,482.5831298828125,0,0
2022-04-02T10:00-07:00,482.2263793945313,0,0
2022-04-02T10:15-07:00,482.5472412109375,0,0
2022-04-02T10:30-07:00,484.6263427734375,0,0
2022-04-02T10:45-07:00,484.4067687988281,0,0
2022-04-02T11:00-07:00,484.3970642089844,0,0
2022-04-02T11:15-07:00,482.4775695800781,0,0
