t,v,s,r
2022-03-31T23:45-07:00,56.18119812011719,0,0
2022-04-01T00:00-07:00,54.42551040649414,0,0
2022-04-01T00:15-07:00,69.27254486083984,0,0
2022-04-01T00:30-07:00,56.43696212768555,0,0
2022-04-01T00:45-07:00,58.270904541015625,0,0
2022-04-01T01:00-07:00,57.28296661376953,0,0
2022-04-01T01:15-07:00,58.627925872802734,0,0
2022-04-01T01:30-07:00,64.47516632080078,0,0
2022-04-01T01:45-07:00,64.69111633300781,0,0
2022-04-01T02:00-07:00,83.30316162109375,0,0
2022-04-01T02:15-07:00,57.688602447509766,0,0
2022-04-01T02:30-07:00,82.90092468261719,0,0
2022-04-01T02:45-07:00,59.88371658325195,0,0
2022-04-01T03:00-07:00,56.83563995361328,0,0
2022-04-01T03:15-07:00,58.01764678955078,0,0
2022-04-01T03:30-07:00,56.88154602050781,0,0
2022-04-01T03:45-07:00,60.78837585449219,0,0
2022-04-01T04:00-07:00,48.20367431640625,0,0
2022-04-01T04:15-07:00,47.480411529541016,0,0
2022-04-01T04:30-07:00,46.684532165527344,0,0
2022-04-01T04:45-07:00,49.212669372558594,0,0
2022-04-01T05:00-07:00,53.90813446044922,0,0
2022-04-01T05:15-07:00,57.489593505859375,0,0
2022-04-01T05:30-07:00,60.19232940673828,0,0
2022-04-01T05:45-07:00,57.96601867675781,0,0
2022-04-01T06:00-07:00,62.35806655883789,0,0
2022-04-01T06:15-07:00,64.67903137207031,0,0
2022-04-01T06:30-07:00,65.92223358154297,0,0
2022-04-01T06:45-07:00,62.36422729492188,0,0
2022-04-01T07:00-07:00,89.20806121826172,0,0
2022-04-01T07:15-07:00,63.602447509765625,0,0
2022-04-01T07:30-07:00,62.31959533691406,0,0
2022-04-01T07:45-07:00,47.97146224975586,0,0
2022-04-01T08:00-07:00,51.500370025634766,0,0
2022-04-01T08:15-07:00,49.50959777832031,0,0
2022-04-01T08:30-07:00,41.01723861694336,0,0
2022-04-01T08:45-07:00,74.87141418457031,0,0
2022-04-01T09:00-07:00,38.36053466796875,0,0
2022-04-01T09:15-07:00,26.01129531860352,0,0
2022-04-01T09:30-07:00,28.421974182128903,0,0
2022-04-01T09:45-07:00,33.48750686645508,0,0
2022-04-01T10:00-07:00,32.74188995361328,0,0
2022-04-01T10:15-07:00,57.97785949707031,0,0
2022-04-01T10:30-07:00,59.233642578125,0,0
2022-04-01T10:45-07:00,56.73285675048828,0,0
2022-04-01T11:00-07:00,46.47040939331055,0,0
2022-04-01T11:15-07:00,42.9205436706543,0,0
2022-04-01T11:30-07:00,31.82727813720703,0,0
2022-04-01T11:45-07:00,27.49881935119629,0,0
2022-04-01T12:00-07:00,21.65785026550293,0,0
2022-04-01T12:15-07:00,39.52397918701172,0,0
2022-04-01T12:30-07:00,23.244796752929688,0,0
2022-04-01T12:45-07:00,37.6301383972168,0,0
2022-04-01T13:00-07:00,41.72704315185547,0,0
2022-04-01T13:15-07:00,36.15324401855469,0,0
2022-04-01T13:30-07:00,43.65803146362305,0,0
2022-04-01T13:45-07:00,43.74771881103516,0,0
2022-04-01T14:00-07:00,41.22593307495117,6,0
2022-04-01T14:15-07:00,37.21597671508789,0,0
2022-04-01T14:30-07:00,39.086910247802734,0,0
2022-04-01T14:45-07:00,31.54762077331543,0,0
2022-04-01T15:00-07:00,35.192874908447266,0,0
2022-04-01T15:15-07:00,28.7840576171875,0,0
2022-04-01T15:30-07:00,35.05104064941406,0,0
2022-04-01T15:45-07:00,24.26799964904785,0,0
2022-04-01T16:00-07:00,26.71266746520996,0,0
2022-04-01T16:15-07:00,31.902217864990234,0,0
2022-04-01T16:30-07:00,52.92765808105469,0,0
2022-04-01T16:45-07:00,36.89394378662109,0,0
2022-04-01T17:00-07:00,35.88460159301758,0,0
2022-04-01T17:15-07:00,34.548343658447266,0,0
2022-04-01T17:30-07:00,62.73934555053711,0,0
2022-04-01T17:45-07:00,41.807525634765625,0,0
2022-04-01T18:00-07:00,51.28458786010742,0,0
2022-04-01T18:15-07:00,53.745941162109375,0,0
2022-04-01T18:30-07:00,58.69662857055664,0,0
2022-04-01T18:45-07:00,56.995567321777344,0,0
2022-04-01T19:00-07:00,57.87810134887695,0,0
2022-04-01T19:15-07:00,89.8739242553711,0,0
2022-04-01T19:30-07:00,69.8287582397461,0,0
2022-04-01T19:45-07:00,68.43928527832031,0,0
2022-04-01T20:00-07:00,63.3022689819336,0,0
2022-04-01T20:15-07:00,60.8155517578125,0,0
2022-04-01T20:30-07:00,61.69282913208008,0,0
2022-04-01T20:45-07:00,67.0541763305664,0,0
2022-04-01T21:00-07:00,60.694862365722656,0,0
2022-04-01T21:15-07:00,60.76173782348633,0,0
2022-04-01T21:30-07:00,57.97883605957031,0,0
2022-04-01T21:45-07:00,60.19544982910156,0,0
2022-04-01T22:00-07:00,62.77505493164063,0,0
2022-04-01T22:15-07:00,88.33406829833984,0,0
2022-04-01T22:30-07:00,69.04373931884766,0,0
2022-04-01T22:45-07:00,61.1112174987793,0,0
2022-04-01T23:00-07:00,56.25151443481445,0,0
2022-04-01T23:15-07:00,62.05780792236328,0,0
2022-04-01T23:30-07:00,59.72934722900391,0,0
2022-04-01T23:45-07:00,60.55754470825195,0,0
2022-04-02T00:00-07:00,68.75032806396484,0,0
2022-04-02T00:15-07:00,58.131534576416016,0,0
2022-04-02T00:30-07:00,56.90077972412109,0,0
2022-04-02T00:45-07:00,85.33699798583984,0,0
2022-04-02T01:00-07:00,56.97726821899414,0,0
2022-04-02T01:15-07:00,57.85814666748047,0,0
2022-04-02T01:30-07:00,56.17704772949219,0,0
2022-04-02T01:45-07:00,67.56623840332031,0,0
2022-04-02T02:00-07:00,82.07402801513672,0,0
2022-04-02T02:15-07:00,84.27409362792969,0,0
2022-04-02T02:30-07:00,53.849910736083984,0,0
2022-04-02T02:45-07:00,53.42662811279297,0,0
2022-04-02T03:00-07:00,61.95296859741211,0,0
2022-04-02T03:15-07:00,56.39420700073242,0,0
2022-04-02T03:30-07:00,57.48946380615234,0,0
