t,v,s,r
2022-03-31T23:45-07:00,207.76806640625,0,0
2022-04-01T00:00-07:00,208.1869201660156,0,0
2022-04-01T00:15-07:00,208.27066040039065,0,0
2022-04-01T00:30-07:00,208.504638671875,0,0
2022-04-01T00:45-07:00,207.35202026367188,0,0
2022-04-01T01:00-07:00,207.00103759765625,0,0
2022-04-01T01:15-07:00,207.41604614257807,0,0
2022-04-01T01:30-07:00,207.80682373046875,0,0
2022-04-01T01:45-07:00,208.1082305908203,0,0
2022-04-01T02:00-07:00,207.86441040039065,0,0
2022-04-01T02:15-07:00,208.0716094970703,0,0
2022-04-01T02:30-07:00,208.3580017089844,0,0
2022-04-01T02:45-07:00,207.9937286376953,0,0
2022-04-01T03:00-07:00,208.1223602294922,0,0
2022-04-01T03:15-07:00,208.13771057128903,0,0
2022-04-01T03:30-07:00,207.8986358642578,0,0
2022-04-01T03:45-07:00,207.84490966796875,0,0
2022-04-01T04:00-07:00,207.530029296875,0,0
2022-04-01T04:15-07:00,209.0187225341797,0,0
2022-04-01T04:30-07:00,209.2730865478516,0,0
2022-04-01T04:45-07:00,208.8014678955078,0,0
2022-04-01T05:00-07:00,208.75819396972656,0,0
2022-04-01T05:15-07:00,209.26353454589844,0,0
2022-04-01T05:30-07:00,208.43753051757807,0,0
2022-04-01T05:45-07:00,208.23797607421875,0,0
2022-04-01T06:00-07:00,206.41099548339844,0,0
2022-04-01T06:15-07:00,208.1277618408203,0,0
2022-04-01T06:30-07:00,207.27365112304688,0,0
2022-04-01T06:45-07:00,207.53219604492188,0,0
2022-04-01T07:00-07:00,207.63211059570312,0,0
2022-04-01T07:15-07:00,207.0790252685547,0,0
2022-04-01T07:30-07:00,208.2953948974609,0,0
2022-04-01T07:45-07:00,207.0628967285156,0,0
2022-04-01T08:00-07:00,208.13070678710935,0,0
2022-04-01T08:15-07:00,207.5558013916016,0,0
2022-04-01T08:30-07:00,208.5149688720703,0,0
2022-04-01T08:45-07:00,207.7987823486328,0,0
2022-04-01T09:00-07:00,207.6159210205078,0,0
2022-04-01T09:15-07:00,207.14828491210935,0,0
2022-04-01T09:30-07:00,208.6356506347656,0,0
2022-04-01T09:45-07:00,209.02243041992188,0,0
2022-04-01T10:00-07:00,208.42984008789065,0,0
2022-04-01T10:15-07:00,207.32568359375,0,0
2022-04-01T10:30-07:00,206.66189575195312,0,0
2022-04-01T10:45-07:00,206.6189117431641,0,0
2022-04-01T11:00-07:00,206.7490692138672,0,0
2022-04-01T11:15-07:00,207.26329040527344,0,0
2022-04-01T11:30-07:00,208.16909790039065,0,0
2022-04-01T11:45-07:00,207.89259338378903,0,0
2022-04-01T12:00-07:00,207.74728393554688,0,0
2022-04-01T12:15-07:00,208.7684326171875,0,0
2022-04-01T12:30-07:00,208.20167541503903,0,0
2022-04-01T12:45-07:00,208.2111968994141,0,0
2022-04-01T13:00-07:00,207.89132690429688,0,0
2022-04-01T13:15-07:00,208.5253448486328,0,0
2022-04-01T13:30-07:00,207.6774444580078,0,0
2022-04-01T13:45-07:00,208.03433227539065,0,0
2022-04-01T14:00-07:00,207.23231506347656,0,0
2022-04-01T14:15-07:00,206.07669067382807,0,0
2022-04-01T14:30-07:00,207.5988006591797,0,0
2022-04-01T14:45-07:00,206.6439666748047,0,0
2022-04-01T15:00-07:00,207.1202087402344,0,0
2022-04-01T15:15-07:00,207.22789001464844,0,0
2022-04-01T15:30-07:00,206.75704956054688,0,0
2022-04-01T15:45-07:00,206.7716827392578,0,0
2022-04-01T16:00-07:00,206.8620758056641,0,0
2022-04-01T16:15-07:00,206.8539276123047,0,0
2022-04-01T16:30-07:00,207.11708068847656,0,0
2022-04-01T16:45-07:00,206.79676818847656,0,0
2022-04-01T17:00-07:00,206.8971710205078,0,0
2022-04-01T17:15-07:00,207.0887451171875,0,0
2022-04-01T17:30-07:00,207.01397705078125,0,0
2022-04-01T17:45-07:00,206.26632690429688,0,0
2022-04-01T18:00-07:00,207.23959350585935,0,0
2022-04-01T18:15-07:00,206.23760986328125,0,0
2022-04-01T18:30-07:00,205.62049865722656,0,0
2022-04-01T18:45-07:00,206.7373962402344,0,0
2022-04-01T19:00-07:00,206.90042114257807,0,0
2022-04-01T19:15-07:00,206.24169921875,0,0
2022-04-01T19:30-07:00,205.99484252929688,0,0
2022-04-01T19:45-07:00,205.83883666992188,0,0
2022-04-01T20:00-07:00,206.18341064453125,0,0
2022-04-01T20:15-07:00,206.34288024902344,0,0
2022-04-01T20:30-07:00,206.5244598388672,0,0
2022-04-01T20:45-07:00,206.87619018554688,0,0
2022-04-01T21:00-07:00,207.66574096679688,0,0
2022-04-01T21:15-07:00,207.6197967529297,0,0
2022-04-01T21:30-07:00,207.76480102539065,0,0
2022-04-01T21:45-07:00,207.9043426513672,0,0
2022-04-01T22:00-07:00,208.1399383544922,0,0
2022-04-01T22:15-07:00,207.8803253173828,0,0
2022-04-01T22:30-07:00,207.8367156982422,0,0
2022-04-01T22:45-07:00,207.66619873046875,0,0
2022-04-01T23:00-07:00,207.8832855224609,0,0
2022-04-01T23:15-07:00,207.59808349609372,0,0
2022-04-01T23:30-07:00,207.79502868652344,0,0
2022-04-01T23:45-07:00,207.85501098632807,0,0
2022-04-02T00:00-07:00,208.0494537353516,0,0
2022-04-02T00:15-07:00,208.10011291503903,0,0
2022-04-02T00:30-07:00,207.99095153808597,0,0
2022-04-02T00:45-07:00,208.0108642578125,0,0
2022-04-02T01:00-07:00,208.1722412109375,0,0
2022-04-02T01:15-07:00,208.4028778076172,0,0
2022-04-02T01:30-07:00,208.4177398681641,0,0
2022-04-02T01:45-07:00,207.93409729003903,0,0
2022-04-02T02:00-07:00,208.28843688964844,0,0
2022-04-02T02:15-07:00,208.5633544921875,0,0
2022-04-02T02:30-07:00,208.5021514892578,0,0
2022-04-02T02:45-07:00,208.62301635742188,0,0
2022-04-02T03:00-07:00,208.2469024658203,0,0
2022-04-02T03:15-07:00,208.4071350097656,0,0
2022-04-02T03:30-07:00,208.32313537597656,0,0
2022-04-02T03:45-07:00,208.482177734375,0,0
2022-04-02T04:00-07:00,208.3972625732422,0,0
2022-04-02T04:15-07:00,208.3578338623047,0,0
2022-04-02T04:30-07:00,208.5606689453125,0,0
2022-04-02T04:45-07:00,208.5308990478516,0,0
2022-04-02T05:00-07:00,208.36993408203125,0,0
2022-04-02T05:15-07:00,207.7093048095703,0,0
2022-04-02T05:30-07:00,207.60153198242188,0,0
2022-04-02T05:45-07:00,207.6190185546875,0,0
2022-04-02T06:00-07:00,207.73275756835935,0,0
2022-04-02T06:15-07:00,207.2990875244141,0,0
2022-04-02T06:30-07:00,207.64341735839844,0,0
2022-04-02T06:45-07:00,207.16958618164065,0,0
2022-04-02T07:00-07:00,206.7704162597656,0,0
2022-04-02T07:15-07:00,208.09033203125,0,0
2022-04-02T07:30-07:00,208.4272003173828,0,0
2022-04-02T07:45-07:00,208.12142944335935,0,0
2022-04-02T08:00-07:00,207.72251892089844,0,0
2022-04-02T08:15-07:00,208.04681396484372,0,0
2022-04-02T08:30-07:00,207.3600006103516,0,0
2022-04-02T08:45-07:00,207.8000640869141,0,0
2022-04-02T09:00-07:00,208.0025634765625,0,0
2022-04-02T09:15-07:00,208.66033935546875,0,0
2022-04-02T09:30-07:00,209.09149169921875,0,0
2022-04-02T09:45-07:00,207.7410125732422,0,0
2022-04-02T10:00-07:00,208.14138793945312,0,0
2022-04-02T10:15-07:00,208.1689300537109,0,0
2022-04-02T10:30-07:00,209.0876007080078,0,0
2022-04-02T10:45-07:00,209.15142822265625,0,0
2022-04-02T11:00-07:00,208.9444580078125,0,0
2022-04-02T11:15-07:00,208.22039794921875,0,0
2022-04-02T11:30-07:00,208.627685546875,0,0
2022-04-02T11:45-07:00,209.0145721435547,0,0
2022-04-02T12:00-07:00,208.88548278808597,0,0
2022-04-02T12:15-07:00,207.75955200195312,0,0
2022-04-02T12:30-07:00,208.2261657714844,0,0
2022-04-02T12:45-07:00,208.67469787597656,0,0
2022-04-02T13:00-07:00,209.25680541992188,0,0
2022-04-02T13:15-07:00,208.41680908203125,0,0
2022-04-02T13:30-07:00,208.14816284179688,0,0
2022-04-02T13:45-07:00,208.1703643798828,0,0
2022-04-02T14:00-07:00,208.2416229248047,0,0
2022-04-02T14:15-07:00,208.49517822265625,0,0
2022-04-02T14:30-07:00,208.3512725830078,0,0
2022-04-02T14:45-07:00,208.78948974609372,0,0
2022-04-02T15:00-07:00,208.95140075683597,0,0
2022-04-02T15:15-07:00,208.5538024902344,0,0
2022-04-02T15:30-07:00,208.3458251953125,0,0
2022-04-02T15:45-07:00,208.4112243652344,0,0
2022-04-02T16:00-07:00,208.07215881347656,0,0
2022-04-02T16:15-07:00,207.79421997070312,0,0
2022-04-02T16:30-07:00,207.5966644287109,0,0
2022-04-02T16:45-07:00,208.4623565673828,0,0
2022-04-02T17:00-07:00,208.0370330810547,0,0
2022-04-02T17:15-07:00,208.0186767578125,0,0
2022-04-02T17:30-07:00,208.19607543945312,0,0
2022-04-02T17:45-07:00,207.67855834960935,0,0
2022-04-02T18:00-07:00,207.72691345214844,0,0
2022-04-02T18:15-07:00,207.19908142089844,0,0
2022-04-02T18:30-07:00,207.61671447753903,0,0
2022-04-02T18:45-07:00,207.73361206054688,0,0
2022-04-02T19:00-07:00,207.48851013183597,0,0
2022-04-02T19:15-07:00,207.2072906494141,0,0
2022-04-02T19:30-07:00,206.40956115722656,0,0
2022-04-02T19:45-07:00,207.3221740722656,0,0
2022-04-02T20:00-07:00,208.36279296875,0,0
2022-04-02T20:15-07:00,206.0504150390625,0,0
2022-04-02T20:30-07:00,206.64520263671875,0,0
2022-04-02T20:45-07:00,206.8982696533203,0,0
2022-04-02T21:00-07:00,207.29928588867188,0,0
2022-04-02T21:15-07:00,207.46481323242188,0,0
2022-04-02T21:30-07:00,207.6102752685547,0,0
2022-04-02T21:45-07:00,207.20318603515625,0,0
2022-04-02T22:00-07:00,207.4026031494141,0,0
2022-04-02T22:15-07:00,207.1465759277344,0,0
2022-04-02T22:30-07:00,207.39111328125,0,0
2022-04-02T22:45-07:00,207.6872711181641,0,0
2022-04-02T23:00-07:00,208.25526428222656,0,0
2022-04-02T23:15-07:00,206.71926879882807,0,0
2022-04-02T23:30-07:00,207.0009307861328,0,0
2022-04-02T23:45-07:00,207.15640258789065,0,0
2022-04-03T00:00-07:00,207.36795043945312,0,0
2022-04-03T00:15-07:00,208.0405731201172,0,0
2022-04-03T00:30-07:00,207.0035400390625,0,0
2022-04-03T00:45-07:00,206.6845245361328,0,0
2022-04-03T01:00-07:00,207.04856872558597,0,0
2022-04-03T01:15-07:00,207.2221527099609,0,0
2022-04-03T01:30-07:00,207.19747924804688,0,0
2022-04-03T01:45-07:00,207.48159790039065,0,0
2022-04-03T02:00-07:00,207.98291015625,0,0
2022-04-03T02:15-07:00,208.07449340820312,0,0
2022-04-03T02:30-07:00,208.21029663085935,0,0
2022-04-03T02:45-07:00,208.14447021484372,0,0
2022-04-03T03:00-07:00,208.52896118164065,0,0
2022-04-03T03:15-07:00,208.05845642089844,0,0
2022-04-03T03:30-07:00,208.4893798828125,0,0
2022-04-03T03:45-07:00,208.5020904541016,0,0
2022-04-03T04:00-07:00,207.9373779296875,0,0
2022-04-03T04:15-07:00,207.7803955078125,0,0
2022-04-03T04:30-07:00,207.65223693847656,0,0
2022-04-03T04:45-07:00,207.60833740234372,0,0
2022-04-03T05:00-07:00,207.68548583984372,0,0
2022-04-03T05:15-07:00,208.1150360107422,0,0
2022-04-03T05:30-07:00,208.1280975341797,0,0
2022-04-03T05:45-07:00,208.155517578125,0,0
2022-04-03T06:00-07:00,208.05838012695312,0,0
2022-04-03T06:15-07:00,207.91424560546875,0,0
2022-04-03T06:30-07:00,208.0596160888672,0,0
2022-04-03T06:45-07:00,208.2705993652344,0,0
2022-04-03T07:00-07:00,208.0371551513672,0,0
2022-04-03T07:15-07:00,208.3929748535156,0,0
2022-04-03T07:30-07:00,208.17518615722656,0,0
2022-04-03T07:45-07:00,208.0594787597656,0,0
2022-04-03T08:00-07:00,208.0132598876953,0,0
2022-04-03T08:15-07:00,207.8433990478516,0,0
2022-04-03T08:30-07:00,207.6020355224609,0,0
2022-04-03T08:45-07:00,209.1376190185547,0,0
2022-04-03T09:00-07:00,208.83639526367188,0,0
2022-04-03T09:15-07:00,208.81922912597656,0,0
2022-04-03T09:30-07:00,208.5714874267578,0,0
2022-04-03T09:45-07:00,208.7054748535156,0,0
2022-04-03T10:00-07:00,208.07647705078125,0,0
2022-04-03T10:15-07:00,208.26437377929688,0,0
2022-04-03T10:30-07:00,208.39535522460935,0,0
2022-04-03T10:45-07:00,208.1998748779297,0,0
2022-04-03T11:00-07:00,208.45346069335935,0,0
2022-04-03T11:15-07:00,208.4742584228516,0,0
2022-04-03T11:30-07:00,208.4849548339844,0,0
2022-04-03T11:45-07:00,208.58041381835935,0,0
2022-04-03T12:00-07:00,208.82693481445312,0,0
2022-04-03T12:15-07:00,208.68411254882807,0,0
2022-04-03T12:30-07:00,208.8077850341797,0,0
2022-04-03T12:45-07:00,208.3037872314453,0,0
2022-04-03T13:00-07:00,208.4984130859375,0,0
2022-04-03T13:15-07:00,208.20887756347656,0,0
2022-04-03T13:30-07:00,208.48220825195312,0,0
2022-04-03T13:45-07:00,208.13812255859372,0,0
2022-04-03T14:00-07:00,207.9914703369141,0,0
2022-04-03T14:15-07:00,208.6231231689453,0,0
2022-04-03T14:30-07:00,208.45346069335935,0,0
2022-04-03T14:45-07:00,208.10760498046875,0,0
2022-04-03T15:00-07:00,208.4125061035156,0,0
2022-04-03T15:15-07:00,208.90452575683597,0,0
2022-04-03T15:30-07:00,208.20957946777344,0,0
2022-04-03T15:45-07:00,207.85647583007807,0,0
2022-04-03T16:00-07:00,208.35960388183597,0,0
2022-04-03T16:15-07:00,207.70689392089844,0,0
2022-04-03T16:30-07:00,207.4415435791016,0,0
2022-04-03T16:45-07:00,208.16265869140625,0,0
2022-04-03T17:00-07:00,208.76339721679688,0,0
2022-04-03T17:15-07:00,208.06460571289065,0,0
2022-04-03T17:30-07:00,207.9955902099609,0,0
2022-04-03T17:45-07:00,208.04489135742188,0,0
2022-04-03T18:00-07:00,208.26956176757807,0,0
2022-04-03T18:15-07:00,207.77447509765625,0,0
2022-04-03T18:30-07:00,207.7785797119141,0,0
