t,v,s,r
2022-03-31T23:45-07:00,207.14064025878903,0,0
2022-04-01T00:00-07:00,207.5613555908203,0,0
2022-04-01T00:15-07:00,207.52554321289065,0,0
2022-04-01T00:30-07:00,207.560302734375,0,0
2022-04-01T00:45-07:00,206.25851440429688,0,0
2022-04-01T01:00-07:00,206.1759796142578,0,0
2022-04-01T01:15-07:00,206.6524810791016,0,0
2022-04-01T01:30-07:00,206.9396209716797,0,0
2022-04-01T01:45-07:00,207.50433349609372,0,0
2022-04-01T02:00-07:00,207.2477569580078,0,0
2022-04-01T02:15-07:00,207.17420959472656,0,0
2022-04-01T02:30-07:00,207.6125640869141,0,0
2022-04-01T02:45-07:00,207.5469207763672,0,0
2022-04-01T03:00-07:00,207.24855041503903,0,0
2022-04-01T03:15-07:00,207.29444885253903,0,0
2022-04-01T03:30-07:00,207.0029296875,0,0
2022-04-01T03:45-07:00,207.0258331298828,0,0
2022-04-01T04:00-07:00,206.5665740966797,0,0
2022-04-01T04:15-07:00,208.21641540527344,0,0
2022-04-01T04:30-07:00,208.22352600097656,0,0
2022-04-01T04:45-07:00,208.1138458251953,0,0
2022-04-01T05:00-07:00,207.72792053222656,0,0
2022-04-01T05:15-07:00,208.56134033203125,0,0
2022-04-01T05:30-07:00,207.21800231933597,0,0
2022-04-01T05:45-07:00,207.49478149414065,0,0
2022-04-01T06:00-07:00,205.5846405029297,0,0
2022-04-01T06:15-07:00,207.43577575683597,0,0
2022-04-01T06:30-07:00,206.41966247558597,0,0
2022-04-01T06:45-07:00,206.6371917724609,0,0
2022-04-01T07:00-07:00,206.66036987304688,0,0
2022-04-01T07:15-07:00,206.19537353515625,0,0
2022-04-01T07:30-07:00,207.3741912841797,0,0
2022-04-01T07:45-07:00,206.1668701171875,0,0
2022-04-01T08:00-07:00,207.2996063232422,0,0
2022-04-01T08:15-07:00,206.59564208984372,0,0
2022-04-01T08:30-07:00,207.7055511474609,0,0
2022-04-01T08:45-07:00,206.84182739257807,0,0
2022-04-01T09:00-07:00,206.97967529296875,0,0
2022-04-01T09:15-07:00,206.6489715576172,0,0
2022-04-01T09:30-07:00,207.9963836669922,0,0
2022-04-01T09:45-07:00,208.26150512695312,0,0
2022-04-01T10:00-07:00,207.89175415039065,0,0
2022-04-01T10:15-07:00,206.80560302734372,0,0
2022-04-01T10:30-07:00,205.92906188964844,0,0
2022-04-01T10:45-07:00,205.9198760986328,0,0
2022-04-01T11:00-07:00,206.0704803466797,0,0
2022-04-01T11:15-07:00,206.5008850097656,0,0
2022-04-01T11:30-07:00,207.53369140625,0,0
2022-04-01T11:45-07:00,207.2696533203125,0,0
2022-04-01T12:00-07:00,207.03567504882807,0,0
2022-04-01T12:15-07:00,208.03884887695312,0,0
2022-04-01T12:30-07:00,207.5462188720703,0,0
2022-04-01T12:45-07:00,207.6427459716797,0,0
2022-04-01T13:00-07:00,207.4468994140625,0,0
