t,v,s,r
2022-03-31T23:45-07:00,34.007652282714844,0,0
2022-04-01T00:00-07:00,31.322629928588867,0,0
2022-04-01T00:15-07:00,32.263362884521484,0,0
2022-04-01T00:30-07:00,34.73191452026367,0,0
2022-04-01T00:45-07:00,35.437870025634766,0,0
2022-04-01T01:00-07:00,33.08893203735352,0,0
2022-04-01T01:15-07:00,33.25004959106445,0,0
2022-04-01T01:30-07:00,20.550691604614254,0,0
2022-04-01T01:45-07:00,20.380491256713867,0,0
2022-04-01T02:00-07:00,19.670454025268555,0,0
2022-04-01T02:15-07:00,21.75617408752441,0,0
2022-04-01T02:30-07:00,19.134078979492188,0,0
2022-04-01T02:45-07:00,23.07182502746582,0,0
2022-04-01T03:00-07:00,21.835567474365234,0,0
2022-04-01T03:15-07:00,22.95196914672852,0,0
2022-04-01T03:30-07:00,23.039918899536133,0,0
2022-04-01T03:45-07:00,23.651464462280277,0,0
2022-04-01T04:00-07:00,21.826290130615234,0,0
2022-04-01T04:15-07:00,21.61686515808105,0,0
2022-04-01T04:30-07:00,18.73262023925781,0,0
2022-04-01T04:45-07:00,20.57389640808105,0,0
2022-04-01T05:00-07:00,20.20963287353516,0,0
2022-04-01T05:15-07:00,23.38613510131836,0,0
2022-04-01T05:30-07:00,22.88298797607422,0,0
2022-04-01T05:45-07:00,22.321365356445312,0,0
2022-04-01T06:00-07:00,39.85246276855469,0,0
2022-04-01T06:15-07:00,36.67108154296875,0,0
2022-04-01T06:30-07:00,39.222312927246094,0,0
2022-04-01T06:45-07:00,37.69493103027344,0,0
2022-04-01T07:00-07:00,37.86016845703125,0,0
2022-04-01T07:15-07:00,34.27106094360352,0,0
2022-04-01T07:30-07:00,32.95480728149414,0,0
2022-04-01T07:45-07:00,32.04712677001953,0,0
2022-04-01T08:00-07:00,30.945518493652344,0,0
2022-04-01T08:15-07:00,35.21195983886719,0,0
2022-04-01T08:30-07:00,36.5464096069336,0,0
2022-04-01T08:45-07:00,37.11254501342773,0,0
2022-04-01T09:00-07:00,34.156856536865234,0,0
2022-04-01T09:15-07:00,38.198516845703125,0,0
2022-04-01T09:30-07:00,39.423587799072266,0,0
2022-04-01T09:45-07:00,33.828121185302734,0,0
2022-04-01T10:00-07:00,37.15560531616211,0,0
2022-04-01T10:15-07:00,38.20685577392578,0,0
2022-04-01T10:30-07:00,39.71920394897461,0,0
2022-04-01T10:45-07:00,37.75136947631836,0,0
2022-04-01T11:00-07:00,43.31036376953125,0,0
2022-04-01T11:15-07:00,41.08927917480469,0,0
2022-04-01T11:30-07:00,35.80237579345703,0,0
2022-04-01T11:45-07:00,38.61205673217773,0,0
2022-04-01T12:00-07:00,39.96977615356445,0,0
2022-04-01T12:15-07:00,35.87639617919922,0,0
2022-04-01T12:30-07:00,36.07876968383789,0,0
2022-04-01T12:45-07:00,37.26884460449219,0,0
2022-04-01T13:00-07:00,52.1717529296875,0,0
2022-04-01T13:15-07:00,34.4380989074707,0,0
2022-04-01T13:30-07:00,39.95793533325195,0,0
2022-04-01T13:45-07:00,41.00438690185547,0,0
2022-04-01T14:00-07:00,41.21117401123047,0,0
2022-04-01T14:15-07:00,58.25701904296875,0,0
2022-04-01T14:30-07:00,41.5022087097168,0,0
2022-04-01T14:45-07:00,43.31442260742188,0,0
2022-04-01T15:00-07:00,40.46002960205078,0,0
2022-04-01T15:15-07:00,43.8784408569336,0,0
2022-04-01T15:30-07:00,44.72492218017578,0,0
2022-04-01T15:45-07:00,43.06238555908203,0,0
2022-04-01T16:00-07:00,43.55879211425781,0,0
2022-04-01T16:15-07:00,44.47870635986328,0,0
2022-04-01T16:30-07:00,44.40456008911133,0,0
2022-04-01T16:45-07:00,56.769752502441406,0,0
2022-04-01T17:00-07:00,48.12426376342773,0,0
2022-04-01T17:15-07:00,48.67679977416992,0,0
2022-04-01T17:30-07:00,44.93393707275391,0,0
2022-04-01T17:45-07:00,54.612091064453125,0,0
2022-04-01T18:00-07:00,43.28424453735352,0,0
2022-04-01T18:15-07:00,47.47784423828125,0,0
2022-04-01T18:30-07:00,45.8990478515625,0,0
2022-04-01T18:45-07:00,44.942115783691406,0,0
2022-04-01T19:00-07:00,44.79677963256836,0,0
2022-04-01T19:15-07:00,44.37276077270508,0,0
2022-04-01T19:30-07:00,42.13786315917969,0,0
2022-04-01T19:45-07:00,45.455963134765625,0,0
2022-04-01T20:00-07:00,42.27025985717773,0,0
2022-04-01T20:15-07:00,45.595890045166016,0,0
2022-04-01T20:30-07:00,43.74498748779297,0,0
2022-04-01T20:45-07:00,45.075008392333984,0,0
2022-04-01T21:00-07:00,42.52857208251953,0,0
2022-04-01T21:15-07:00,39.839603424072266,0,0
2022-04-01T21:30-07:00,30.53839492797852,0,0
2022-04-01T21:45-07:00,31.332706451416016,0,0
2022-04-01T22:00-07:00,32.025108337402344,0,0
2022-04-01T22:15-07:00,33.78780746459961,0,0
2022-04-01T22:30-07:00,33.13331985473633,0,0
2022-04-01T22:45-07:00,32.70654296875,0,0
2022-04-01T23:00-07:00,31.775165557861328,0,0
2022-04-01T23:15-07:00,33.45756912231445,0,0
2022-04-01T23:30-07:00,35.638668060302734,0,0
2022-04-01T23:45-07:00,34.095741271972656,0,0
2022-04-02T00:00-07:00,33.20011138916016,0,0
2022-04-02T00:15-07:00,32.538936614990234,0,0
2022-04-02T00:30-07:00,36.11862564086914,0,0
2022-04-02T00:45-07:00,33.36310577392578,0,0
2022-04-02T01:00-07:00,33.863895416259766,0,0
2022-04-02T01:15-07:00,34.126007080078125,0,0
2022-04-02T01:30-07:00,27.13473892211914,0,0
2022-04-02T01:45-07:00,23.95228385925293,0,0
2022-04-02T02:00-07:00,21.845050811767575,0,0
2022-04-02T02:15-07:00,20.08240127563477,0,0
2022-04-02T02:30-07:00,22.832862854003903,0,0
2022-04-02T02:45-07:00,23.383649826049805,0,0
2022-04-02T03:00-07:00,21.74364852905273,0,0
2022-04-02T03:15-07:00,23.861825942993164,0,0
2022-04-02T03:30-07:00,20.34239959716797,0,0
2022-04-02T03:45-07:00,20.93813133239746,0,0
2022-04-02T04:00-07:00,18.360353469848636,0,0
2022-04-02T04:15-07:00,18.815757751464844,0,0
2022-04-02T04:30-07:00,19.90748786926269,0,0
2022-04-02T04:45-07:00,23.8134708404541,0,0
2022-04-02T05:00-07:00,19.66119384765625,0,0
2022-04-02T05:15-07:00,21.76142883300781,0,0
2022-04-02T05:30-07:00,22.39813995361328,0,0
2022-04-02T05:45-07:00,21.424152374267575,0,0
2022-04-02T06:00-07:00,21.87317657470703,0,0
2022-04-02T06:15-07:00,23.626916885375977,0,0
2022-04-02T06:30-07:00,22.266437530517575,0,0
2022-04-02T06:45-07:00,38.20396041870117,0,0
2022-04-02T07:00-07:00,38.56881332397461,0,0
2022-04-02T07:15-07:00,36.39006805419922,0,0
2022-04-02T07:30-07:00,37.120079040527344,0,0
2022-04-02T07:45-07:00,34.648529052734375,0,0
2022-04-02T08:00-07:00,35.63895797729492,0,0
2022-04-02T08:15-07:00,36.30096054077149,0,0
2022-04-02T08:30-07:00,35.84488296508789,0,0
2022-04-02T08:45-07:00,39.88970947265625,0,0
2022-04-02T09:00-07:00,39.06401443481445,0,0
2022-04-02T09:15-07:00,38.68911361694336,0,0
2022-04-02T09:30-07:00,38.58731460571289,0,0
2022-04-02T09:45-07:00,52.412933349609375,0,0
2022-04-02T10:00-07:00,41.34630584716797,0,0
2022-04-02T10:15-07:00,36.08445358276367,0,0
2022-04-02T10:30-07:00,41.66043472290039,0,0
2022-04-02T10:45-07:00,36.1071891784668,0,0
2022-04-02T11:00-07:00,39.43587493896485,0,0
2022-04-02T11:15-07:00,36.2485237121582,0,0
2022-04-02T11:30-07:00,35.87407684326172,0,0
2022-04-02T11:45-07:00,35.79108428955078,0,0
2022-04-02T12:00-07:00,36.2193603515625,0,0
2022-04-02T12:15-07:00,37.071266174316406,0,0
2022-04-02T12:30-07:00,36.025028228759766,0,0
2022-04-02T12:45-07:00,35.53071212768555,0,0
2022-04-02T13:00-07:00,48.89329147338867,0,0
2022-04-02T13:15-07:00,35.85636901855469,0,0
2022-04-02T13:30-07:00,34.45496368408203,0,0
2022-04-02T13:45-07:00,37.47110366821289,0,0
2022-04-02T14:00-07:00,36.600582122802734,0,0
2022-04-02T14:15-07:00,35.39078140258789,0,0
2022-04-02T14:30-07:00,34.8040657043457,0,0
2022-04-02T14:45-07:00,35.3773078918457,0,0
2022-04-02T15:00-07:00,32.21293640136719,0,0
2022-04-02T15:15-07:00,36.47168350219727,0,0
2022-04-02T15:30-07:00,36.40117263793945,0,0
2022-04-02T15:45-07:00,33.444183349609375,0,0
2022-04-02T16:00-07:00,32.783382415771484,0,0
2022-04-02T16:15-07:00,41.83674240112305,0,0
2022-04-02T16:30-07:00,41.07912063598633,0,0
2022-04-02T16:45-07:00,38.24658966064453,0,0
2022-04-02T17:00-07:00,49.63542556762695,0,0
2022-04-02T17:15-07:00,38.7845344543457,0,0
2022-04-02T17:30-07:00,39.63598251342773,0,0
2022-04-02T17:45-07:00,53.03107070922852,0,0
2022-04-02T18:00-07:00,36.658424377441406,0,0
2022-04-02T18:15-07:00,37.701751708984375,0,0
2022-04-02T18:30-07:00,36.11262512207031,0,0
2022-04-02T18:45-07:00,38.91289520263672,0,0
2022-04-02T19:00-07:00,38.43897247314453,0,0
2022-04-02T19:15-07:00,40.248085021972656,0,0
2022-04-02T19:30-07:00,40.1796989440918,0,0
2022-04-02T19:45-07:00,41.80341339111328,0,0
2022-04-02T20:00-07:00,32.547019958496094,0,0
2022-04-02T20:15-07:00,36.70956039428711,0,0
2022-04-02T20:30-07:00,34.0183219909668,0,0
2022-04-02T20:45-07:00,21.97562789916992,0,0
2022-04-02T21:00-07:00,36.97529602050781,0,0
2022-04-02T21:15-07:00,38.08464813232422,0,0
2022-04-02T21:30-07:00,35.92958068847656,0,0
2022-04-02T21:45-07:00,49.773536682128906,0,0
2022-04-02T22:00-07:00,53.21002197265625,0,0
2022-04-02T22:15-07:00,38.08590698242188,0,0
2022-04-02T22:30-07:00,37.501731872558594,0,0
2022-04-02T22:45-07:00,32.03790664672852,0,0
2022-04-02T23:00-07:00,36.1002197265625,0,0
2022-04-02T23:15-07:00,33.632083892822266,0,0
2022-04-02T23:30-07:00,34.01629638671875,0,0
2022-04-02T23:45-07:00,30.33160400390625,0,0
2022-04-03T00:00-07:00,30.459741592407227,0,0
2022-04-03T00:15-07:00,32.82805252075195,0,0
2022-04-03T00:30-07:00,33.86936569213867,0,0
2022-04-03T00:45-07:00,34.50639724731445,0,0
2022-04-03T01:00-07:00,32.71744537353516,0,0
2022-04-03T01:15-07:00,32.241981506347656,0,0
2022-04-03T01:30-07:00,33.98294448852539,0,0
2022-04-03T01:45-07:00,34.08854293823242,0,0
2022-04-03T02:00-07:00,32.761260986328125,0,0
2022-04-03T02:15-07:00,35.607181549072266,0,0
2022-04-03T02:30-07:00,35.44272994995117,0,0
2022-04-03T02:45-07:00,36.31853485107422,0,0
2022-04-03T03:00-07:00,31.585817337036133,0,0
2022-04-03T03:15-07:00,34.71438980102539,0,0
2022-04-03T03:30-07:00,32.295631408691406,0,0
2022-04-03T03:45-07:00,31.37130355834961,0,0
2022-04-03T04:00-07:00,31.85046768188477,0,0
2022-04-03T04:15-07:00,30.37348175048828,0,0
2022-04-03T04:30-07:00,33.625362396240234,0,0
2022-04-03T04:45-07:00,34.183101654052734,0,0
2022-04-03T05:00-07:00,32.659515380859375,0,0
2022-04-03T05:15-07:00,32.64921569824219,0,0
2022-04-03T05:30-07:00,33.5152702331543,0,0
2022-04-03T05:45-07:00,35.09368896484375,0,0
2022-04-03T06:00-07:00,34.505184173583984,0,0
2022-04-03T06:15-07:00,33.69324493408203,0,0
2022-04-03T06:30-07:00,33.00438690185547,0,0
2022-04-03T06:45-07:00,35.753910064697266,0,0
2022-04-03T07:00-07:00,33.68674850463867,0,0
2022-04-03T07:15-07:00,31.15304183959961,0,0
2022-04-03T07:30-07:00,31.56471443176269,0,0
2022-04-03T07:45-07:00,30.9919376373291,0,0
2022-04-03T08:00-07:00,29.578203201293945,0,0
2022-04-03T08:15-07:00,33.525516510009766,0,0
2022-04-03T08:30-07:00,33.8547477722168,0,0
2022-04-03T08:45-07:00,36.06284713745117,0,0
2022-04-03T09:00-07:00,32.12808990478516,0,0
2022-04-03T09:15-07:00,35.675662994384766,0,0
2022-04-03T09:30-07:00,32.39214324951172,0,0
2022-04-03T09:45-07:00,33.2509880065918,0,0
2022-04-03T10:00-07:00,38.7365608215332,0,0
2022-04-03T10:15-07:00,33.21686553955078,0,0
2022-04-03T10:30-07:00,30.9058780670166,0,0
2022-04-03T10:45-07:00,30.445293426513672,0,0
2022-04-03T11:00-07:00,32.22533416748047,0,0
2022-04-03T11:15-07:00,35.50950241088867,0,0
2022-04-03T11:30-07:00,33.255271911621094,0,0
2022-04-03T11:45-07:00,35.68135452270508,0,0
2022-04-03T12:00-07:00,30.4482364654541,0,0
2022-04-03T12:15-07:00,34.1827507019043,0,0
2022-04-03T12:30-07:00,34.16252899169922,0,0
2022-04-03T12:45-07:00,33.46415710449219,0,0
2022-04-03T13:00-07:00,32.22412872314453,0,0
2022-04-03T13:15-07:00,32.75993347167969,0,0
2022-04-03T13:30-07:00,32.749263763427734,0,0
