t,v,s,r
2022-03-31T23:45-07:00,74.27671813964844,0,0
2022-04-01T00:00-07:00,51.82675552368164,0,0
2022-04-01T00:15-07:00,70.53214263916016,0,0
2022-04-01T00:30-07:00,100.77872467041016,0,0
2022-04-01T00:45-07:00,76.25029754638672,0,0
2022-04-01T01:00-07:00,74.88531494140625,0,0
2022-04-01T01:15-07:00,101.95378112792967,0,0
2022-04-01T01:30-07:00,76.81631469726562,0,0
2022-04-01T01:45-07:00,75.74684143066406,0,0
2022-04-01T02:00-07:00,76.19434356689453,0,0
2022-04-01T02:15-07:00,79.09686279296875,0,0
2022-04-01T02:30-07:00,76.81552124023438,0,0
2022-04-01T02:45-07:00,79.41896057128906,0,0
2022-04-01T03:00-07:00,74.38736724853516,0,0
2022-04-01T03:15-07:00,64.21839904785156,0,0
2022-04-01T03:30-07:00,84.23779296875,0,0
2022-04-01T03:45-07:00,50.90154266357422,0,0
2022-04-01T04:00-07:00,84.88480377197266,0,0
2022-04-01T04:15-07:00,73.35392761230469,0,0
2022-04-01T04:30-07:00,103.08177947998048,0,0
2022-04-01T04:45-07:00,80.12162780761719,0,0
2022-04-01T05:00-07:00,93.3121109008789,0,0
2022-04-01T05:15-07:00,76.00379943847656,0,0
2022-04-01T05:30-07:00,74.12399291992188,0,0
2022-04-01T05:45-07:00,77.26944732666016,0,0
2022-04-01T06:00-07:00,89.6694564819336,0,0
2022-04-01T06:15-07:00,75.20681762695312,0,0
2022-04-01T06:30-07:00,73.54470825195312,0,0
2022-04-01T06:45-07:00,85.30793762207031,0,0
2022-04-01T07:00-07:00,67.49073028564453,0,0
2022-04-01T07:15-07:00,74.02775573730469,0,0
2022-04-01T07:30-07:00,75.61320495605469,0,0
2022-04-01T07:45-07:00,60.75909805297852,0,0
2022-04-01T08:00-07:00,58.76290512084961,0,0
2022-04-01T08:15-07:00,65.41686248779297,0,0
2022-04-01T08:30-07:00,32.93906021118164,0,0
2022-04-01T08:45-07:00,56.28231048583984,0,0
2022-04-01T09:00-07:00,73.51239776611328,0,0
2022-04-01T09:15-07:00,75.26754760742188,0,0
2022-04-01T09:30-07:00,61.9300651550293,0,0
2022-04-01T09:45-07:00,63.66767120361328,0,0
2022-04-01T10:00-07:00,69.45538330078125,0,0
2022-04-01T10:15-07:00,68.28230285644531,0,0
2022-04-01T10:30-07:00,45.42267990112305,0,0
2022-04-01T10:45-07:00,90.77156066894533,0,0
2022-04-01T11:00-07:00,75.78142547607422,0,0
2022-04-01T11:15-07:00,72.62688446044922,0,0
2022-04-01T11:30-07:00,73.30490112304688,0,0
2022-04-01T11:45-07:00,66.55990600585938,0,0
2022-04-01T12:00-07:00,83.87537384033203,0,0
2022-04-01T12:15-07:00,88.19100189208984,0,0
2022-04-01T12:30-07:00,66.25531005859375,0,0
2022-04-01T12:45-07:00,71.31900787353516,0,0
2022-04-01T13:00-07:00,74.53873443603516,0,0
2022-04-01T13:15-07:00,77.12896728515625,0,0
2022-04-01T13:30-07:00,76.86151885986328,0,0
2022-04-01T13:45-07:00,73.19344329833984,0,0
2022-04-01T14:00-07:00,81.33895111083984,0,0
2022-04-01T14:15-07:00,73.99235534667969,0,0
2022-04-01T14:30-07:00,76.33815002441406,0,0
2022-04-01T14:45-07:00,77.1163330078125,0,0
2022-04-01T15:00-07:00,78.86544799804688,0,0
2022-04-01T15:15-07:00,81.09139251708984,0,0
2022-04-01T15:30-07:00,77.15345764160156,0,0
2022-04-01T15:45-07:00,75.55516815185547,0,0
2022-04-01T16:00-07:00,76.18395233154297,0,0
2022-04-01T16:15-07:00,73.58446502685547,0,0
2022-04-01T16:30-07:00,71.54588317871094,0,0
2022-04-01T16:45-07:00,78.98664093017578,0,0
2022-04-01T17:00-07:00,68.43203735351562,0,0
