t,v,s,r
2022-03-31T23:45-07:00,60.01940155029297,0,0
2022-04-01T00:00-07:00,60.01403427124024,0,0
2022-04-01T00:15-07:00,60.01138305664063,0,0
2022-04-01T00:30-07:00,60.01299285888672,0,0
2022-04-01T00:45-07:00,60.01423645019531,0,0
2022-04-01T01:00-07:00,59.945106506347656,0,0
2022-04-01T01:15-07:00,60.01580429077149,0,0
2022-04-01T01:30-07:00,59.95370101928711,0,0
2022-04-01T01:45-07:00,59.98456954956055,0,0
2022-04-01T02:00-07:00,59.975433349609375,0,0
2022-04-01T02:15-07:00,59.97740936279297,0,0
2022-04-01T02:30-07:00,60.01458358764648,0,0
2022-04-01T02:45-07:00,60.0138053894043,0,0
2022-04-01T03:00-07:00,59.93943786621094,0,0
2022-04-01T03:15-07:00,60.0114860534668,0,0
2022-04-01T03:30-07:00,60.01089859008789,0,0
2022-04-01T03:45-07:00,60.0161247253418,0,0
2022-04-01T04:00-07:00,60.01351547241211,0,0
2022-04-01T04:15-07:00,59.9774284362793,0,0
2022-04-01T04:30-07:00,60.01452255249024,0,0
2022-04-01T04:45-07:00,59.94878005981445,0,0
2022-04-01T05:00-07:00,60.013553619384766,0,0
2022-04-01T05:15-07:00,60.01264572143555,0,0
2022-04-01T05:30-07:00,59.97585678100586,0,0
2022-04-01T05:45-07:00,60.009071350097656,0,0
2022-04-01T06:00-07:00,60.0132942199707,0,0
2022-04-01T06:15-07:00,59.98306274414063,0,0
2022-04-01T06:30-07:00,60.0052604675293,0,0
2022-04-01T06:45-07:00,60.01512145996094,0,0
2022-04-01T07:00-07:00,60.01398849487305,0,0
2022-04-01T07:15-07:00,59.9768180847168,0,0
2022-04-01T07:30-07:00,59.9870719909668,0,0
2022-04-01T07:45-07:00,60.01304626464844,0,0
2022-04-01T08:00-07:00,60.02469253540039,0,0
2022-04-01T08:15-07:00,59.93159484863281,0,0
2022-04-01T08:30-07:00,60.014915466308594,0,0
2022-04-01T08:45-07:00,60.0168342590332,0,0
2022-04-01T09:00-07:00,59.98686599731445,0,0
2022-04-01T09:15-07:00,60.01287460327149,0,0
2022-04-01T09:30-07:00,60.0166244506836,0,0
2022-04-01T09:45-07:00,60.01187515258789,0,0
2022-04-01T10:00-07:00,60.01551055908203,0,0
2022-04-01T10:15-07:00,59.98863220214844,0,0
2022-04-01T10:30-07:00,60.01457595825195,0,0
2022-04-01T10:45-07:00,60.014610290527344,0,0
2022-04-01T11:00-07:00,59.99691390991211,0,0
2022-04-01T11:15-07:00,60.01079559326172,0,0
2022-04-01T11:30-07:00,59.96271133422852,0,0
2022-04-01T11:45-07:00,60.006622314453125,0,0
2022-04-01T12:00-07:00,59.93003082275391,0,0
2022-04-01T12:15-07:00,60.01480865478516,0,0
2022-04-01T12:30-07:00,60.0107536315918,0,0
2022-04-01T12:45-07:00,60.011356353759766,0,0
2022-04-01T13:00-07:00,59.9439582824707,0,0
2022-04-01T13:15-07:00,60.01079177856445,0,0
2022-04-01T13:30-07:00,59.998573303222656,0,0
2022-04-01T13:45-07:00,59.99941635131836,0,0
2022-04-01T14:00-07:00,60.01413345336914,0,0
2022-04-01T14:15-07:00,60.01383972167969,0,0
2022-04-01T14:30-07:00,59.93374633789063,0,0
2022-04-01T14:45-07:00,59.98910903930664,0,0
2022-04-01T15:00-07:00,59.941497802734375,0,0
2022-04-01T15:15-07:00,59.929969787597656,0,0
2022-04-01T15:30-07:00,59.93183898925781,0,0
2022-04-01T15:45-07:00,59.992462158203125,0,0
2022-04-01T16:00-07:00,60.01445770263672,0,0
2022-04-01T16:15-07:00,60.013214111328125,0,0
2022-04-01T16:30-07:00,59.92935180664063,0,0
2022-04-01T16:45-07:00,59.927467346191406,0,0
2022-04-01T17:00-07:00,59.97522735595703,0,0
2022-04-01T17:15-07:00,59.96068572998047,0,0
2022-04-01T17:30-07:00,59.99288177490234,0,0
2022-04-01T17:45-07:00,59.93268203735352,0,0
2022-04-01T18:00-07:00,59.96474456787109,0,0
2022-04-01T18:15-07:00,60.01507186889648,0,0
2022-04-01T18:30-07:00,59.97998809814453,0,0
2022-04-01T18:45-07:00,60.012962341308594,0,0
2022-04-01T19:00-07:00,60.015045166015625,0,0
2022-04-01T19:15-07:00,60.014915466308594,0,0
2022-04-01T19:30-07:00,60.01638412475586,0,0
2022-04-01T19:45-07:00,60.016021728515625,0,0
2022-04-01T20:00-07:00,59.93165588378906,0,0
2022-04-01T20:15-07:00,60.01451873779297,0,0
2022-04-01T20:30-07:00,60.01439666748047,0,0
2022-04-01T20:45-07:00,59.93600082397461,0,0
2022-04-01T21:00-07:00,60.01310729980469,0,0
2022-04-01T21:15-07:00,60.013214111328125,0,0
2022-04-01T21:30-07:00,60.01277160644531,0,0
2022-04-01T21:45-07:00,60.01236343383789,0,0
2022-04-01T22:00-07:00,60.01165390014648,0,0
2022-04-01T22:15-07:00,60.013668060302734,0,0
2022-04-01T22:30-07:00,60.03507995605469,0,0
2022-04-01T22:45-07:00,60.01408386230469,0,0
2022-04-01T23:00-07:00,60.01457977294922,0,0
2022-04-01T23:15-07:00,60.01367950439453,0,0
2022-04-01T23:30-07:00,59.99289321899414,0,0
2022-04-01T23:45-07:00,60.01604843139648,0,0
2022-04-02T00:00-07:00,59.97356033325195,0,0
2022-04-02T00:15-07:00,60.02574920654297,0,0
2022-04-02T00:30-07:00,60.015018463134766,0,0
2022-04-02T00:45-07:00,60.013816833496094,0,0
2022-04-02T01:00-07:00,60.00152206420898,0,0
2022-04-02T01:15-07:00,60.016300201416016,0,0
2022-04-02T01:30-07:00,60.0075798034668,0,0
2022-04-02T01:45-07:00,59.94092559814453,0,0
2022-04-02T02:00-07:00,60.01131439208984,0,0
2022-04-02T02:15-07:00,60.00299453735352,0,0
2022-04-02T02:30-07:00,59.94099044799805,0,0
2022-04-02T02:45-07:00,60.0157356262207,0,0
2022-04-02T03:00-07:00,59.96253204345703,0,0
2022-04-02T03:15-07:00,60.01602554321289,0,0
2022-04-02T03:30-07:00,59.94056701660156,0,0
2022-04-02T03:45-07:00,59.97470474243164,0,0
2022-04-02T04:00-07:00,59.960880279541016,0,0
2022-04-02T04:15-07:00,59.931373596191406,0,0
2022-04-02T04:30-07:00,60.013973236083984,0,0
2022-04-02T04:45-07:00,60.00363540649414,0,0
2022-04-02T05:00-07:00,60.00606918334961,0,0
2022-04-02T05:15-07:00,59.97830581665039,0,0
2022-04-02T05:30-07:00,60.01453399658203,0,0
