t,v,s,r
2022-03-31T23:45-07:00,21.78339385986328,0,0
2022-04-01T00:00-07:00,21.491342544555664,0,0
2022-04-01T00:15-07:00,23.313655853271484,0,0
2022-04-01T00:30-07:00,24.2368106842041,0,0
2022-04-01T00:45-07:00,21.60999298095703,0,0
2022-04-01T01:00-07:00,21.980995178222656,0,0
2022-04-01T01:15-07:00,18.166128158569336,0,0
2022-04-01T01:30-07:00,23.35054588317871,0,0
2022-04-01T01:45-07:00,21.760290145874023,0,0
2022-04-01T02:00-07:00,21.94626235961914,0,0
2022-04-01T02:15-07:00,21.47251510620117,0,0
2022-04-01T02:30-07:00,22.746273040771484,0,0
2022-04-01T02:45-07:00,23.51749610900879,0,0
2022-04-01T03:00-07:00,21.424999237060547,0,0
2022-04-01T03:15-07:00,22.84363174438477,0,0
2022-04-01T03:30-07:00,22.21267890930176,0,0
2022-04-01T03:45-07:00,23.55203437805176,0,0
2022-04-01T04:00-07:00,21.60825729370117,0,0
2022-04-01T04:15-07:00,22.24015235900879,0,0
2022-04-01T04:30-07:00,25.69806671142578,0,0
2022-04-01T04:45-07:00,22.0672664642334,0,0
2022-04-01T05:00-07:00,23.870529174804688,0,0
2022-04-01T05:15-07:00,21.86886405944824,0,0
2022-04-01T05:30-07:00,22.23461151123047,0,0
2022-04-01T05:45-07:00,22.287229537963867,0,0
2022-04-01T06:00-07:00,22.79958915710449,0,0
2022-04-01T06:15-07:00,21.68605232238769,0,0
2022-04-01T06:30-07:00,23.743446350097656,0,0
2022-04-01T06:45-07:00,24.14358329772949,0,0
2022-04-01T07:00-07:00,21.618661880493164,0,0
2022-04-01T07:15-07:00,21.46731185913086,0,0
2022-04-01T07:30-07:00,22.073318481445312,0,0
2022-04-01T07:45-07:00,22.35137176513672,0,0
2022-04-01T08:00-07:00,21.044660568237305,0,0
2022-04-01T08:15-07:00,24.138952255249023,0,0
2022-04-01T08:30-07:00,25.175031661987305,0,0
2022-04-01T08:45-07:00,22.350624084472656,0,0
2022-04-01T09:00-07:00,22.55238151550293,0,0
2022-04-01T09:15-07:00,23.49123764038086,0,0
2022-04-01T09:30-07:00,26.13833236694336,0,0
2022-04-01T09:45-07:00,22.690452575683597,0,0
2022-04-01T10:00-07:00,24.200061798095703,0,0
2022-04-01T10:15-07:00,22.58453369140625,0,0
2022-04-01T10:30-07:00,19.851219177246094,0,0
2022-04-01T10:45-07:00,24.10832023620605,0,0
2022-04-01T11:00-07:00,23.231910705566406,0,0
2022-04-01T11:15-07:00,24.75933837890625,0,0
2022-04-01T11:30-07:00,22.977256774902344,0,0
2022-04-01T11:45-07:00,22.006248474121094,0,0
2022-04-01T12:00-07:00,24.96443748474121,0,0
2022-04-01T12:15-07:00,22.59946823120117,0,0
2022-04-01T12:30-07:00,22.457332611083984,0,0
2022-04-01T12:45-07:00,21.37550926208496,0,0
2022-04-01T13:00-07:00,21.9289608001709,0,0
2022-04-01T13:15-07:00,24.968982696533203,0,0
2022-04-01T13:30-07:00,22.700613021850582,0,0
2022-04-01T13:45-07:00,22.75166130065918,0,0
2022-04-01T14:00-07:00,22.521663665771484,0,0
2022-04-01T14:15-07:00,21.84680557250977,0,0
2022-04-01T14:30-07:00,22.548158645629883,0,0
2022-04-01T14:45-07:00,21.846492767333984,0,0
2022-04-01T15:00-07:00,22.421253204345703,0,0
2022-04-01T15:15-07:00,22.657615661621094,0,0
2022-04-01T15:30-07:00,22.62991714477539,0,0
2022-04-01T15:45-07:00,21.76484489440918,0,0
2022-04-01T16:00-07:00,20.964738845825195,0,0
2022-04-01T16:15-07:00,21.609975814819336,0,0
2022-04-01T16:30-07:00,21.518529891967773,0,0
2022-04-01T16:45-07:00,21.99043846130371,0,0
2022-04-01T17:00-07:00,22.14467430114746,0,0
2022-04-01T17:15-07:00,23.277423858642575,0,0
2022-04-01T17:30-07:00,22.59207344055176,0,0
2022-04-01T17:45-07:00,22.55136108398437,0,0
2022-04-01T18:00-07:00,22.36806869506836,0,0
2022-04-01T18:15-07:00,22.24748039245605,0,0
2022-04-01T18:30-07:00,22.0550479888916,0,0
2022-04-01T18:45-07:00,21.21617317199707,0,0
2022-04-01T19:00-07:00,23.249744415283203,0,0
2022-04-01T19:15-07:00,23.04563331604004,0,0
2022-04-01T19:30-07:00,18.137195587158203,0,0
2022-04-01T19:45-07:00,32.16532897949219,0,0
2022-04-01T20:00-07:00,22.507041931152344,0,0
2022-04-01T20:15-07:00,21.546491622924805,0,0
2022-04-01T20:30-07:00,23.316850662231445,0,0
2022-04-01T20:45-07:00,20.568941116333008,0,0
2022-04-01T21:00-07:00,21.756166458129883,0,0
2022-04-01T21:15-07:00,20.621261596679688,0,0
2022-04-01T21:30-07:00,24.194114685058597,0,0
2022-04-01T21:45-07:00,22.61920738220215,0,0
2022-04-01T22:00-07:00,21.485002517700195,0,0
2022-04-01T22:15-07:00,14.949701309204102,0,0
2022-04-01T22:30-07:00,21.58617210388184,0,0
2022-04-01T22:45-07:00,25.98980712890625,0,0
2022-04-01T23:00-07:00,20.787822723388672,0,0
2022-04-01T23:15-07:00,21.324359893798828,0,0
2022-04-01T23:30-07:00,23.082712173461918,0,0
2022-04-01T23:45-07:00,22.45924186706543,0,0
2022-04-02T00:00-07:00,21.6888427734375,0,0
2022-04-02T00:15-07:00,26.00566673278809,0,0
2022-04-02T00:30-07:00,19.470090866088867,0,0
2022-04-02T00:45-07:00,18.341136932373047,0,0
2022-04-02T01:00-07:00,22.10008430480957,0,0
2022-04-02T01:15-07:00,15.496112823486328,0,0
2022-04-02T01:30-07:00,21.90346908569336,0,0
2022-04-02T01:45-07:00,23.30190658569336,0,0
2022-04-02T02:00-07:00,21.417503356933597,0,0
2022-04-02T02:15-07:00,20.99313163757324,0,0
2022-04-02T02:30-07:00,21.853981018066406,0,0
2022-04-02T02:45-07:00,22.73343086242676,0,0
2022-04-02T03:00-07:00,23.176023483276367,0,0
2022-04-02T03:15-07:00,14.543445587158203,0,0
2022-04-02T03:30-07:00,22.523426055908203,0,0
2022-04-02T03:45-07:00,21.62394142150879,0,0
2022-04-02T04:00-07:00,21.38817405700684,0,0
2022-04-02T04:15-07:00,23.07857322692871,0,0
2022-04-02T04:30-07:00,23.77134132385254,0,0
2022-04-02T04:45-07:00,21.351476669311523,0,0
2022-04-02T05:00-07:00,23.2541561126709,0,0
2022-04-02T05:15-07:00,21.580270767211918,0,0
2022-04-02T05:30-07:00,21.441802978515625,0,0
2022-04-02T05:45-07:00,22.67647933959961,0,0
2022-04-02T06:00-07:00,21.9179744720459,0,0
2022-04-02T06:15-07:00,21.21990966796875,0,0
2022-04-02T06:30-07:00,21.910022735595703,0,0
2022-04-02T06:45-07:00,20.95005989074707,0,0
2022-04-02T07:00-07:00,23.554033279418945,0,0
2022-04-02T07:15-07:00,21.0662899017334,0,0
2022-04-02T07:30-07:00,21.343812942504883,0,0
2022-04-02T07:45-07:00,22.147878646850582,0,0
2022-04-02T08:00-07:00,21.324249267578125,0,0
2022-04-02T08:15-07:00,22.22316169738769,0,0
2022-04-02T08:30-07:00,17.84684944152832,0,0
2022-04-02T08:45-07:00,27.616355895996094,0,0
2022-04-02T09:00-07:00,21.5573787689209,0,0
2022-04-02T09:15-07:00,21.41538619995117,0,0
2022-04-02T09:30-07:00,23.53485679626465,0,0
2022-04-02T09:45-07:00,21.550182342529297,0,0
2022-04-02T10:00-07:00,17.580379486083984,0,0
2022-04-02T10:15-07:00,21.75975799560547,0,0
2022-04-02T10:30-07:00,21.80462646484375,0,0
2022-04-02T10:45-07:00,21.81398582458496,0,0
2022-04-02T11:00-07:00,19.897016525268555,0,0
2022-04-02T11:15-07:00,21.03281593322754,0,0
2022-04-02T11:30-07:00,21.06333923339844,0,0
2022-04-02T11:45-07:00,23.579853057861328,0,0
2022-04-02T12:00-07:00,23.385555267333984,0,0
2022-04-02T12:15-07:00,20.267831802368164,0,0
2022-04-02T12:30-07:00,22.120037078857425,0,0
2022-04-02T12:45-07:00,25.53843688964844,0,0
2022-04-02T13:00-07:00,22.5452823638916,0,0
2022-04-02T13:15-07:00,21.441484451293945,0,0
2022-04-02T13:30-07:00,20.991395950317383,0,0
2022-04-02T13:45-07:00,18.370506286621094,0,0
2022-04-02T14:00-07:00,21.09506225585937,0,0
2022-04-02T14:15-07:00,21.242280960083008,0,0
2022-04-02T14:30-07:00,21.023605346679688,0,0
2022-04-02T14:45-07:00,23.82573509216309,0,0
2022-04-02T15:00-07:00,21.74833297729492,0,0
2022-04-02T15:15-07:00,22.683080673217773,0,0
2022-04-02T15:30-07:00,21.330547332763672,0,0
2022-04-02T15:45-07:00,21.42086601257324,0,0
2022-04-02T16:00-07:00,20.557825088500977,0,0
