t,v,s,r
2022-03-31T23:45-07:00,0.8116000294685364,0,0
2022-04-01T00:00-07:00,0.8305000066757202,0,0
2022-04-01T00:15-07:00,0.8892999887466431,0,0
2022-04-01T00:30-07:00,0.8119999766349792,0,0
2022-04-01T00:45-07:00,0.8051000237464905,0,0
2022-04-01T01:00-07:00,0.8701000213623047,0,0
2022-04-01T01:15-07:00,0.8805000185966492,0,0
2022-04-01T01:30-07:00,0.8185999989509583,0,0
2022-04-01T01:45-07:00,0.828499972820282,0,0
2022-04-01T02:00-07:00,0.792900025844574,0,0
2022-04-01T02:15-07:00,0.8741000294685364,0,0
2022-04-01T02:30-07:00,0.7851999998092651,0,0
2022-04-01T02:45-07:00,0.8827000260353088,0,0
2022-04-01T03:00-07:00,0.8607000112533569,0,0
2022-04-01T03:15-07:00,0.7953000068664551,0,0
2022-04-01T03:30-07:00,0.8797000050544739,0,0
2022-04-01T03:45-07:00,0.8700000047683716,0,0
2022-04-01T04:00-07:00,0.824400007724762,0,0
2022-04-01T04:15-07:00,0.8806999921798706,0,0
2022-04-01T04:30-07:00,0.8607000112533569,0,0
2022-04-01T04:45-07:00,0.8294000029563904,0,0
2022-04-01T05:00-07:00,0.8377000093460083,0,0
2022-04-01T05:15-07:00,0.8309000134468079,0,0
2022-04-01T05:30-07:00,0.8227999806404114,0,0
2022-04-01T05:45-07:00,0.8158000111579895,0,0
2022-04-01T06:00-07:00,0.8795999884605408,0,0
2022-04-01T06:15-07:00,0.8665000200271606,0,0
2022-04-01T06:30-07:00,0.8082000017166138,0,0
2022-04-01T06:45-07:00,0.864300012588501,0,0
2022-04-01T07:00-07:00,0.8539000153541565,0,0
2022-04-01T07:15-07:00,0.862500011920929,0,0
2022-04-01T07:30-07:00,0.8809999823570251,0,0
2022-04-01T07:45-07:00,0.8223000168800354,0,0
2022-04-01T08:00-07:00,0.8170999884605408,0,0
2022-04-01T08:15-07:00,0.8824999928474426,0,0
2022-04-01T08:30-07:00,0.8122000098228455,0,0
2022-04-01T08:45-07:00,0.8108000159263611,0,0
2022-04-01T09:00-07:00,0.8371000289916992,0,0
2022-04-01T09:15-07:00,0.819100022315979,0,0
2022-04-01T09:30-07:00,0.7957000136375427,0,0
2022-04-01T09:45-07:00,0.8532000184059143,0,0
2022-04-01T10:00-07:00,0.7922000288963318,0,0
2022-04-01T10:15-07:00,0.8634999990463257,0,0
2022-04-01T10:30-07:00,0.8098999857902527,0,0
2022-04-01T10:45-07:00,0.7860000133514404,0,0
2022-04-01T11:00-07:00,0.8109999895095825,0,0
2022-04-01T11:15-07:00,0.8245000243186951,0,0
2022-04-01T11:30-07:00,0.8561000227928162,0,0
2022-04-01T11:45-07:00,0.8568999767303467,0,0
2022-04-01T12:00-07:00,0.8378999829292297,0,0
2022-04-01T12:15-07:00,0.8517000079154968,0,0
2022-04-01T12:30-07:00,0.7985000014305115,0,0
2022-04-01T12:45-07:00,0.8723999857902527,0,0
2022-04-01T13:00-07:00,0.7603999972343445,0,0
2022-04-01T13:15-07:00,0.883400022983551,0,0
2022-04-01T13:30-07:00,0.8709999918937683,0,0
2022-04-01T13:45-07:00,0.8398000001907349,0,0
2022-04-01T14:00-07:00,0.8377000093460083,0,0
2022-04-01T14:15-07:00,0.8015000224113464,0,0
2022-04-01T14:30-07:00,0.854200005531311,0,0
2022-04-01T14:45-07:00,0.8014000058174133,0,0
2022-04-01T15:00-07:00,0.8621000051498413,0,0
2022-04-01T15:15-07:00,0.8417999744415283,0,0
2022-04-01T15:30-07:00,0.8598999977111816,0,0
2022-04-01T15:45-07:00,0.7943000197410583,0,0
2022-04-01T16:00-07:00,0.8169999718666077,0,0
2022-04-01T16:15-07:00,0.8597000241279602,0,0
2022-04-01T16:30-07:00,0.8585000038146973,0,0
2022-04-01T16:45-07:00,0.8587999939918518,0,0
2022-04-01T17:00-07:00,0.8105999827384949,0,0
2022-04-01T17:15-07:00,0.8191999793052673,0,0
2022-04-01T17:30-07:00,0.8309999704360962,0,0
2022-04-01T17:45-07:00,0.8515999913215637,0,0
2022-04-01T18:00-07:00,0.8181999921798706,0,0
2022-04-01T18:15-07:00,0.8694999814033508,0,0
2022-04-01T18:30-07:00,0.8672999739646912,0,0
2022-04-01T18:45-07:00,0.8485000133514404,0,0
