t,v,s,r
2022-03-31T23:45-07:00,-1.9675869941711424,0,0
2022-04-01T00:00-07:00,-1.8820350170135496,0,0
2022-04-01T00:15-07:00,-1.940768003463745,0,0
2022-04-01T00:30-07:00,-1.871701002120972,0,0
2022-04-01T00:45-07:00,-1.937811017036438,0,0
2022-04-01T01:00-07:00,-1.869709014892578,0,0
2022-04-01T01:15-07:00,-1.966002941131592,0,0
2022-04-01T01:30-07:00,-1.9426430463790891,0,0
2022-04-01T01:45-07:00,-1.939376950263977,0,0
2022-04-01T02:00-07:00,-1.9383389949798584,0,0
2022-04-01T02:15-07:00,-1.9395090341567995,0,0
2022-04-01T02:30-07:00,-1.964393973350525,0,0
2022-04-01T02:45-07:00,-1.8684560060501096,0,0
2022-04-01T03:00-07:00,-1.94127094745636,0,0
2022-04-01T03:15-07:00,-1.934973955154419,0,0
2022-04-01T03:30-07:00,-1.940755009651184,0,0
2022-04-01T03:45-07:00,-1.938755989074707,0,0
2022-04-01T04:00-07:00,-1.9630110263824463,0,0
2022-04-01T04:15-07:00,-1.7763090133666992,0,0
2022-04-01T04:30-07:00,-1.9370139837265012,0,0
2022-04-01T04:45-07:00,-1.939527988433838,0,0
2022-04-01T05:00-07:00,-1.876950025558472,0,0
2022-04-01T05:15-07:00,-1.9610799551010127,0,0
2022-04-01T05:30-07:00,-1.9847899675369265,0,0
2022-04-01T05:45-07:00,-1.7855780124664309,0,0
2022-04-01T06:00-07:00,-1.9239699840545652,0,0
2022-04-01T06:15-07:00,-1.92782199382782,0,0
2022-04-01T06:30-07:00,-1.92322301864624,0,0
2022-04-01T06:45-07:00,-1.9474469423294067,0,0
2022-04-01T07:00-07:00,-0.0407540015876293,0,0
2022-04-01T07:15-07:00,-1.9203590154647827,0,0
2022-04-01T07:30-07:00,-0.0411840006709098,0,0
2022-04-01T07:45-07:00,-1.917935013771057,0,0
2022-04-01T08:00-07:00,-1.7503210306167605,0,0
2022-04-01T08:15-07:00,-1.9425259828567505,0,0
2022-04-01T08:30-07:00,-1.8126649856567385,0,0
2022-04-01T08:45-07:00,-0.0346609987318515,0,0
2022-04-01T09:00-07:00,-0.0391490012407302,0,0
2022-04-01T09:15-07:00,-1.8903189897537231,0,0
2022-04-01T09:30-07:00,-1.8856669664382932,0,0
2022-04-01T09:45-07:00,-1.9475679397583008,0,0
2022-04-01T10:00-07:00,-1.9274369478225708,0,0
2022-04-01T10:15-07:00,0.0,16,1
2022-04-01T10:30-07:00,-1.9030330181121824,0,0
2022-04-01T10:45-07:00,-0.0318120010197162,0,0
2022-04-01T11:00-07:00,-1.934749960899353,0,0
2022-04-01T11:15-07:00,-1.9483449459075928,0,0
2022-04-01T11:30-07:00,-1.9340070486068728,0,0
2022-04-01T11:45-07:00,-1.8705240488052368,0,0
2022-04-01T12:00-07:00,-1.895890951156616,0,0
2022-04-01T12:15-07:00,-1.946465015411377,0,0
2022-04-01T12:30-07:00,-1.8880289793014529,0,0
2022-04-01T12:45-07:00,-1.9380559921264648,0,0
2022-04-01T13:00-07:00,-1.912850022315979,0,0
2022-04-01T13:15-07:00,-1.8556870222091677,0,0
2022-04-01T13:30-07:00,-1.910838961601257,0,0
2022-04-01T13:45-07:00,-1.850793957710266,0,0
2022-04-01T14:00-07:00,-1.9147759675979612,0,0
2022-04-01T14:15-07:00,-1.8574860095977783,0,0
2022-04-01T14:30-07:00,-1.80390202999115,0,0
2022-04-01T14:45-07:00,-1.9125150442123413,0,0
2022-04-01T15:00-07:00,-1.9126310348510744,0,0
2022-04-01T15:15-07:00,-1.862851977348328,0,0
2022-04-01T15:30-07:00,-0.0309689994901418,0,0
2022-04-01T15:45-07:00,-1.949455976486206,0,0
2022-04-01T16:00-07:00,-1.9317530393600464,0,0
2022-04-01T16:15-07:00,-1.9291150569915767,0,0
2022-04-01T16:30-07:00,-1.941051006317139,0,0
2022-04-01T16:45-07:00,-1.950817942619324,0,0
2022-04-01T17:00-07:00,-1.9476239681243896,0,0
2022-04-01T17:15-07:00,-1.9124870300292969,0,0
2022-04-01T17:30-07:00,-0.032659001648426,0,0
2022-04-01T17:45-07:00,-1.92677104473114,0,0
2022-04-01T18:00-07:00,-1.87943696975708,0,0
2022-04-01T18:15-07:00,-1.9296510219573972,0,0
2022-04-01T18:30-07:00,-1.9318879842758176,0,0
2022-04-01T18:45-07:00,-1.9398380517959597,0,0
2022-04-01T19:00-07:00,-1.9345920085906985,0,0
2022-04-01T19:15-07:00,-1.9497870206832888,0,0
2022-04-01T19:30-07:00,-0.2321120053529739,0,0
2022-04-01T19:45-07:00,-1.9163730144500728,0,0
2022-04-01T20:00-07:00,-0.0944119989871978,0,0
2022-04-01T20:15-07:00,-0.1023890003561973,0,0
2022-04-01T20:30-07:00,-1.9163910150527956,0,0
2022-04-01T20:45-07:00,-1.917762041091919,0,0
2022-04-01T21:00-07:00,-0.1111610010266304,0,0
2022-04-01T21:15-07:00,-0.077574998140335,0,0
2022-04-01T21:30-07:00,-1.9175560474395752,0,0
2022-04-01T21:45-07:00,-0.0929120033979415,0,0
2022-04-01T22:00-07:00,-0.0864560008049011,0,0
2022-04-01T22:15-07:00,-1.9718830585479736,0,0
2022-04-01T22:30-07:00,-1.9182579517364504,0,0
2022-04-01T22:45-07:00,-0.1006669998168945,0,0
2022-04-01T23:00-07:00,-0.1069890037178993,0,0
2022-04-01T23:15-07:00,-0.2446790039539337,0,0
2022-04-01T23:30-07:00,-0.1093169972300529,0,0
2022-04-01T23:45-07:00,-0.1002459973096847,0,0
2022-04-02T00:00-07:00,-1.917711973190308,0,0
2022-04-02T00:15-07:00,-1.9777430295944212,0,0
2022-04-02T00:30-07:00,-0.0962760001420974,0,0
2022-04-02T00:45-07:00,-0.1059200018644332,0,0
2022-04-02T01:00-07:00,-0.1000619977712631,0,0
2022-04-02T01:15-07:00,-0.0928670018911361,0,0
2022-04-02T01:30-07:00,-0.10207399725914,0,0
2022-04-02T01:45-07:00,-0.1057170033454895,0,0
2022-04-02T02:00-07:00,-1.978590965270996,0,0
2022-04-02T02:15-07:00,-0.2669180035591125,0,0
2022-04-02T02:30-07:00,-1.9168429374694824,0,0
2022-04-02T02:45-07:00,-0.1011909991502761,0,0
2022-04-02T03:00-07:00,-0.1016369983553886,0,0
2022-04-02T03:15-07:00,-0.2464510053396225,0,0
2022-04-02T03:30-07:00,-1.9882609844207764,0,0
2022-04-02T03:45-07:00,-0.1119080036878585,0,0
2022-04-02T04:00-07:00,-0.1062429994344711,0,0
2022-04-02T04:15-07:00,-0.1158090010285377,0,0
2022-04-02T04:30-07:00,-0.2426799982786178,0,0
2022-04-02T04:45-07:00,-0.1069940030574798,0,0
2022-04-02T05:00-07:00,-0.1023179963231086,0,0
2022-04-02T05:15-07:00,-0.1039789989590644,0,0
2022-04-02T05:30-07:00,-0.1192110031843185,0,0
2022-04-02T05:45-07:00,-0.2385009974241256,0,0
2022-04-02T06:00-07:00,-0.1053979992866516,0,0
2022-04-02T06:15-07:00,-0.1051340028643608,0,0
2022-04-02T06:30-07:00,-0.1098460033535957,0,0
2022-04-02T06:45-07:00,-0.1462740004062652,0,0
2022-04-02T07:00-07:00,-0.113147996366024,0,0
2022-04-02T07:15-07:00,-0.2503660023212433,0,0
2022-04-02T07:30-07:00,-1.977869987487793,0,0
2022-04-02T07:45-07:00,-1.9728740453720093,0,0
2022-04-02T08:00-07:00,-0.1017009988427162,0,0
2022-04-02T08:15-07:00,-0.0468229986727237,0,0
2022-04-02T08:30-07:00,-0.1042400002479553,0,0
2022-04-02T08:45-07:00,-1.9863920211791992,0,0
2022-04-02T09:00-07:00,-0.1052960008382797,0,0
2022-04-02T09:15-07:00,-0.1057669967412948,0,0
2022-04-02T09:30-07:00,-0.09408800303936,0,0
2022-04-02T09:45-07:00,-0.1036859974265098,0,0
2022-04-02T10:00-07:00,-0.0981990024447441,0,0
2022-04-02T10:15-07:00,-0.1035450026392936,0,0
2022-04-02T10:30-07:00,-0.0884130001068115,0,0
2022-04-02T10:45-07:00,-0.0983460023999214,0,0
2022-04-02T11:00-07:00,-0.2205449938774109,0,0
2022-04-02T11:15-07:00,-0.0902979969978332,0,0
2022-04-02T11:30-07:00,-0.1011599972844123,0,0
2022-04-02T11:45-07:00,-0.097351998090744,0,0
2022-04-02T12:00-07:00,-1.9761940240859983,0,0
2022-04-02T12:15-07:00,-0.0877730026841163,0,0
2022-04-02T12:30-07:00,-0.1040180027484893,0,0
2022-04-02T12:45-07:00,-1.912858009338379,0,0
2022-04-02T13:00-07:00,-0.1039490029215812,0,0
2022-04-02T13:15-07:00,-0.1025670021772384,0,0
2022-04-02T13:30-07:00,-1.917593002319336,0,0
2022-04-02T13:45-07:00,-0.1087960004806518,0,0
2022-04-02T14:00-07:00,-0.0988629981875419,0,0
2022-04-02T14:15-07:00,-0.0874990001320838,0,0
2022-04-02T14:30-07:00,-0.1061590015888214,0,0
2022-04-02T14:45-07:00,-0.1010899990797042,0,0
2022-04-02T15:00-07:00,-1.9147089719772337,0,0
2022-04-02T15:15-07:00,-1.9459730386734009,0,0
2022-04-02T15:30-07:00,-0.0975039973855018,0,0
2022-04-02T15:45-07:00,-0.1393640041351318,0,0
2022-04-02T16:00-07:00,-0.1131850033998489,0,0
2022-04-02T16:15-07:00,-0.1084569990634918,0,0
2022-04-02T16:30-07:00,-0.0953169986605644,0,0
2022-04-02T16:45-07:00,-0.0981789976358413,0,0
2022-04-02T17:00-07:00,-1.9812159538269043,0,0
2022-04-02T17:15-07:00,-0.1019150018692016,0,0
2022-04-02T17:30-07:00,-0.101342998445034,0,0
2022-04-02T17:45-07:00,-0.1003139987587928,0,0
2022-04-02T18:00-07:00,-0.1056490018963813,0,0
2022-04-02T18:15-07:00,-0.0992560014128685,0,0
2022-04-02T18:30-07:00,-1.979364991188049,0,0
2022-04-02T18:45-07:00,-0.1062389984726905,0,0
2022-04-02T19:00-07:00,-0.1180389970541,0,0
2022-04-02T19:15-07:00,-0.1003139987587928,0,0
2022-04-02T19:30-07:00,-1.91798198223114,0,0
2022-04-02T19:45-07:00,-0.0908190011978149,0,0
2022-04-02T20:00-07:00,-0.1031839996576309,0,0
2022-04-02T20:15-07:00,-0.1215829998254776,0,0
2022-04-02T20:30-07:00,-0.0944380015134811,0,0
2022-04-02T20:45-07:00,-0.1041920036077499,0,0
2022-04-02T21:00-07:00,-0.0990459993481636,0,0
2022-04-02T21:15-07:00,-1.977745056152344,0,0
2022-04-02T21:30-07:00,-1.979390025138855,0,0
2022-04-02T21:45-07:00,-0.0968960002064704,0,0
2022-04-02T22:00-07:00,-0.1003250032663345,0,0
2022-04-02T22:15-07:00,-0.1270129978656768,0,0
2022-04-02T22:30-07:00,-1.9129250049591064,0,0
2022-04-02T22:45-07:00,-1.9202359914779663,0,0
2022-04-02T23:00-07:00,-0.103811003267765,0,0
2022-04-02T23:15-07:00,-0.2344720065593719,0,0
2022-04-02T23:30-07:00,-0.099772997200489,0,0
2022-04-02T23:45-07:00,-1.946010947227478,0,0
2022-04-03T00:00-07:00,-0.0859699994325637,0,0
2022-04-03T00:15-07:00,-0.1062740013003349,0,0
2022-04-03T00:30-07:00,-0.2271399945020675,0,0
2022-04-03T00:45-07:00,-0.1016289964318275,0,0
2022-04-03T01:00-07:00,-1.9799410104751587,0,0
2022-04-03T01:15-07:00,-0.1032650023698806,0,0
2022-04-03T01:30-07:00,-0.101451002061367,0,0
2022-04-03T01:45-07:00,-1.978011965751648,0,0
2022-04-03T02:00-07:00,-0.0938649997115135,0,0
2022-04-03T02:15-07:00,-0.0905800014734268,0,0
2022-04-03T02:30-07:00,-0.0957340002059936,0,0
2022-04-03T02:45-07:00,-0.1007409989833831,0,0
2022-04-03T03:00-07:00,-0.1041600033640861,0,0
2022-04-03T03:15-07:00,-0.1021879985928535,0,0
2022-04-03T03:30-07:00,-0.0973429977893829,0,0
2022-04-03T03:45-07:00,-0.1070590019226074,0,0
2022-04-03T04:00-07:00,-1.9794830083847048,0,0
2022-04-03T04:15-07:00,-0.0825719982385635,0,0
2022-04-03T04:30-07:00,-0.1089370027184486,0,0
2022-04-03T04:45-07:00,-1.9779399633407595,0,0
2022-04-03T05:00-07:00,-1.9800390005111692,0,0
2022-04-03T05:15-07:00,-0.1192969977855682,0,0
2022-04-03T05:30-07:00,-0.1009190008044242,0,0
2022-04-03T05:45-07:00,-0.0999220013618469,0,0
2022-04-03T06:00-07:00,-0.0983989983797073,0,0
2022-04-03T06:15-07:00,-0.0984169989824295,0,0
2022-04-03T06:30-07:00,-1.9233109951019287,0,0
2022-04-03T06:45-07:00,-0.0958139970898628,0,0
2022-04-03T07:00-07:00,-0.2406039983034134,0,0
2022-04-03T07:15-07:00,-0.0981189981102943,0,0
2022-04-03T07:30-07:00,-0.1084000021219253,0,0
2022-04-03T07:45-07:00,-0.099930003285408,0,0
2022-04-03T08:00-07:00,-0.0950319990515708,0,0
2022-04-03T08:15-07:00,-1.9818919897079468,0,0
2022-04-03T08:30-07:00,-1.9785100221633911,0,0
2022-04-03T08:45-07:00,-0.1283349990844726,0,0
2022-04-03T09:00-07:00,-1.980625033378601,0,0
2022-04-03T09:15-07:00,-0.0968279987573623,0,0
2022-04-03T09:30-07:00,-0.0952749997377395,0,0
2022-04-03T09:45-07:00,-0.1039649993181228,0,0
2022-04-03T10:00-07:00,-1.979449987411499,0,0
2022-04-03T10:15-07:00,-0.0960400030016899,0,0
2022-04-03T10:30-07:00,-0.1214649975299835,0,0
2022-04-03T10:45-07:00,-0.1016319990158081,0,0
2022-04-03T11:00-07:00,-0.0236969999969005,0,0
2022-04-03T11:15-07:00,-1.9819879531860352,0,0
2022-04-03T11:30-07:00,-0.1025739982724189,0,0
2022-04-03T11:45-07:00,-0.0871229991316795,0,0
2022-04-03T12:00-07:00,-1.9786139726638796,0,0
2022-04-03T12:15-07:00,-1.91417396068573,0,0
2022-04-03T12:30-07:00,-0.0997319966554641,0,0
2022-04-03T12:45-07:00,-0.1045230031013488,0,0
2022-04-03T13:00-07:00,-1.9190659523010252,0,0
2022-04-03T13:15-07:00,-0.0937810018658638,0,0
2022-04-03T13:30-07:00,-0.104202002286911,0,0
2022-04-03T13:45-07:00,-1.9809370040893557,0,0
2022-04-03T14:00-07:00,-1.9788659811019895,0,0
2022-04-03T14:15-07:00,-1.9808390140533447,0,0
2022-04-03T14:30-07:00,-0.092299997806549,0,0
2022-04-03T14:45-07:00,-0.2148489952087402,0,0
2022-04-03T15:00-07:00,-0.1026820018887519,0,0
2022-04-03T15:15-07:00,-1.917891025543213,0,0
2022-04-03T15:30-07:00,-0.0950950011610984,0,0
2022-04-03T15:45-07:00,-0.0872849971055984,0,0
2022-04-03T16:00-07:00,-0.095888003706932,0,0
2022-04-03T16:15-07:00,-0.0900930017232894,0,0
2022-04-03T16:30-07:00,-1.919590950012207,0,0
2022-04-03T16:45-07:00,-0.1064850017428398,0,0
2022-04-03T17:00-07:00,-0.1036119982600212,0,0
2022-04-03T17:15-07:00,-1.9802420139312744,0,0
2022-04-03T17:30-07:00,-0.0991130024194717,0,0
2022-04-03T17:45-07:00,-1.9205340147018437,0,0
2022-04-03T18:00-07:00,-0.2216220051050186,0,0
2022-04-03T18:15-07:00,-0.1006160005927085,0,0
2022-04-03T18:30-07:00,-0.0981570035219192,0,0
2022-04-03T18:45-07:00,-0.100611999630928,0,0
2022-04-03T19:00-07:00,-1.979956030845642,0,0
2022-04-03T19:15-07:00,-0.0865980014204979,0,0
2022-04-03T19:30-07:00,-0.1189220026135444,0,0
2022-04-03T19:45-07:00,-0.0947349965572357,0,0
2022-04-03T20:00-07:00,-0.1014159992337226,0,0
2022-04-03T20:15-07:00,-0.0966100022196769,0,0
2022-04-03T20:30-07:00,-0.1003680005669593,0,0
2022-04-03T20:45-07:00,-0.0949850007891655,0,0
2022-04-03T21:00-07:00,-1.9531480073928835,0,0
2022-04-03T21:15-07:00,-1.978961944580078,0,0
2022-04-03T21:30-07:00,-0.103921003639698,0,0
2022-04-03T21:45-07:00,-0.0947170034050941,0,0
2022-04-03T22:00-07:00,-0.1040199995040893,0,0
2022-04-03T22:15-07:00,-1.922461986541748,0,0
2022-04-03T22:30-07:00,-0.1872989982366562,0,0
2022-04-03T22:45-07:00,-1.9777790307998655,0,0
2022-04-03T23:00-07:00,-0.0913729965686798,0,0
2022-04-03T23:15-07:00,-0.1079400032758712,0,0
2022-04-03T23:30-07:00,-1.9795089960098269,0,0
2022-04-03T23:45-07:00,-0.2263620048761367,0,0
2022-04-04T00:00-07:00,-0.0956860035657882,0,0
2022-04-04T00:15-07:00,-0.1050280034542083,0,0
2022-04-04T00:30-07:00,-0.1037539988756179,0,0
2022-04-04T00:45-07:00,-0.1043779999017715,0,0
2022-04-04T01:00-07:00,-0.0985430032014846,0,0
2022-04-04T01:15-07:00,-1.9813220500946045,0,0
2022-04-04T01:30-07:00,-1.9785490036010744,0,0
2022-04-04T01:45-07:00,-0.1334740072488784,0,0
2022-04-04T02:00-07:00,-0.1045920029282569,0,0
2022-04-04T02:15-07:00,-0.1047030016779899,0,0
2022-04-04T02:30-07:00,-0.2289769947528839,0,0
2022-04-04T02:45-07:00,-0.0970890000462532,0,0
2022-04-04T03:00-07:00,-0.1122990027070045,0,0
2022-04-04T03:15-07:00,-0.0963039994239807,0,0
2022-04-04T03:30-07:00,-0.1066609993577003,0,0
2022-04-04T03:45-07:00,-0.1053460016846656,0,0
2022-04-04T04:00-07:00,-0.1043490022420883,0,0
2022-04-04T04:15-07:00,-0.1059169992804527,0,0
2022-04-04T04:30-07:00,-0.1030270010232925,0,0
2022-04-04T04:45-07:00,-0.1024969965219497,0,0
2022-04-04T05:00-07:00,-0.0963969975709915,0,0
2022-04-04T05:15-07:00,-0.2235819995403289,0,0
2022-04-04T05:30-07:00,-0.1010989993810653,0,0
2022-04-04T05:45-07:00,-0.1032430008053779,0,0
2022-04-04T06:00-07:00,-0.1060279980301857,0,0
2022-04-04T06:15-07:00,-0.0916879996657371,0,0
2022-04-04T06:30-07:00,-1.8685389757156368,0,0
2022-04-04T06:45-07:00,-1.8406529426574707,0,0
2022-04-04T07:00-07:00,-1.83125901222229,0,0
2022-04-04T07:15-07:00,-0.0282160006463527,0,0
2022-04-04T07:30-07:00,-1.883741021156311,0,0
2022-04-04T07:45-07:00,-1.926391005516052,0,0
2022-04-04T08:00-07:00,-1.939811944961548,0,0
2022-04-04T08:15-07:00,-1.939121961593628,0,0
2022-04-04T08:30-07:00,-1.877194046974182,0,0
