t,v,s,r
2022-03-31T23:45-07:00,-0.0031544268131256,0,0
2022-04-01T00:00-07:00,-0.0042147189378738,0,0
2022-04-01T00:15-07:00,-0.0031025260686874,0,0
2022-04-01T00:30-07:00,-0.0040486603975296,0,0
2022-04-01T00:45-07:00,-0.003378078341484,0,0
2022-04-01T01:00-07:00,-0.0042001157999038,0,0
2022-04-01T01:15-07:00,-0.0034571886062622,0,0
2022-04-01T01:30-07:00,-0.003462329506874,0,0
2022-04-01T01:45-07:00,-0.0035559386014938,0,0
2022-04-01T02:00-07:00,-0.0034715235233306,0,0
2022-04-01T02:15-07:00,-0.003570482134819,0,0
2022-04-01T02:30-07:00,-0.0035084038972854,0,0
2022-04-01T02:45-07:00,-0.004332810640335,0,0
2022-04-01T03:00-07:00,-0.003593623638153,0,0
2022-04-01T03:15-07:00,-0.0034800171852111,0,0
2022-04-01T03:30-07:00,-0.0038154125213623,0,0
2022-04-01T03:45-07:00,-0.0037523359060287,0,0
2022-04-01T04:00-07:00,-0.0039024651050567,0,0
2022-04-01T04:15-07:00,-0.0049873888492584,0,0
2022-04-01T04:30-07:00,-0.0033880025148391,0,0
2022-04-01T04:45-07:00,-0.0037563294172286,0,0
2022-04-01T05:00-07:00,-0.0043668150901794,0,0
2022-04-01T05:15-07:00,-0.0038686394691467,0,0
2022-04-01T05:30-07:00,-0.0036864429712295,0,0
2022-04-01T05:45-07:00,-0.0051915943622589,0,0
2022-04-01T06:00-07:00,-0.003887802362442,0,0
2022-04-01T06:15-07:00,-0.0052020847797393,0,0
2022-04-01T06:30-07:00,-0.0063918083906173,0,0
2022-04-01T06:45-07:00,-0.0056160986423492,0,0
2022-04-01T07:00-07:00,-0.0059461593627929,0,0
2022-04-01T07:15-07:00,-0.0058801025152206,0,0
2022-04-01T07:30-07:00,-0.0057529956102371,0,0
2022-04-01T07:45-07:00,-0.0055170655250549,0,0
2022-04-01T08:00-07:00,-0.0088602751493453,0,0
2022-04-01T08:15-07:00,-0.0055179297924041,0,0
2022-04-01T08:30-07:00,-0.0076652318239212,0,0
2022-04-01T08:45-07:00,-0.0053323656320571,0,0
2022-04-01T09:00-07:00,-0.0054644495248794,0,0
2022-04-01T09:15-07:00,-0.0063672661781311,0,0
2022-04-01T09:30-07:00,-0.0066086649894714,0,0
2022-04-01T09:45-07:00,-0.0056126415729522,0,0
2022-04-01T10:00-07:00,-0.0055008381605148,0,0
2022-04-01T10:15-07:00,0.0,16,1
2022-04-01T10:30-07:00,-0.0064936876296997,0,0
2022-04-01T10:45-07:00,-0.0052161663770675,0,0
2022-04-01T11:00-07:00,-0.0049506276845932,0,0
2022-04-01T11:15-07:00,-0.0050863176584243,0,0
2022-04-01T11:30-07:00,-0.0049633085727691,0,0
2022-04-01T11:45-07:00,-0.006376102566719,0,0
2022-04-01T12:00-07:00,-0.0069053024053573,0,0
2022-04-01T12:15-07:00,-0.0049214363098144,0,0
2022-04-01T12:30-07:00,-0.006807193160057,0,0
2022-04-01T12:45-07:00,-0.0052209496498107,0,0
2022-04-01T13:00-07:00,-0.0063656121492385,0,0
2022-04-01T13:15-07:00,-0.0079308748245239,0,0
2022-04-01T13:30-07:00,-0.0074126720428466,0,0
2022-04-01T13:45-07:00,-0.0082404315471649,0,0
2022-04-01T14:00-07:00,-0.0062375217676162,0,0
2022-04-01T14:15-07:00,-0.0079819411039352,0,0
2022-04-01T14:30-07:00,-0.0092439651489257,0,0
2022-04-01T14:45-07:00,-0.0061638802289962,0,0
2022-04-01T15:00-07:00,-0.0063964575529098,0,0
2022-04-01T15:15-07:00,-0.007787212729454,0,0
2022-04-01T15:30-07:00,-0.0046580731868743,0,0
2022-04-01T15:45-07:00,-0.0047258734703063,0,0
2022-04-01T16:00-07:00,-0.006310611963272,0,0
2022-04-01T16:15-07:00,-0.0063470900058746,0,0
2022-04-01T16:30-07:00,-0.008059412240982,0,0
2022-04-01T16:45-07:00,-0.0050135999917984,0,0
2022-04-01T17:00-07:00,-0.0046892911195755,0,0
2022-04-01T17:15-07:00,-0.0072657763957977,0,0
2022-04-01T17:30-07:00,-0.0072811096906661,0,0
2022-04-01T17:45-07:00,-0.0068778395652771,0,0
2022-04-01T18:00-07:00,-0.0060940384864807,0,0
2022-04-01T18:15-07:00,-0.0082653164863586,0,0
2022-04-01T18:30-07:00,-0.006877064704895,0,0
2022-04-01T18:45-07:00,-0.0052565187215805,0,0
2022-04-01T19:00-07:00,-0.0042160302400588,0,0
2022-04-01T19:15-07:00,-0.0033395290374755,0,0
2022-04-01T19:30-07:00,-0.0023164749145507,0,0
2022-04-01T19:45-07:00,-0.0027545094490051,0,0
2022-04-01T20:00-07:00,-0.0019592121243476,0,0
2022-04-01T20:15-07:00,-0.0019293427467346,0,0
2022-04-01T20:30-07:00,-0.0027751103043556,0,0
2022-04-01T20:45-07:00,-0.0028729662299156,0,0
2022-04-01T21:00-07:00,-0.0018451511859893,0,0
2022-04-01T21:15-07:00,-0.0034183412790298,0,0
2022-04-01T21:30-07:00,-0.0028271973133087,0,0
2022-04-01T21:45-07:00,-0.0020299926400184,0,0
2022-04-01T22:00-07:00,-0.0018878430128097,0,0
2022-04-01T22:15-07:00,-0.0018667206168174,0,0
2022-04-01T22:30-07:00,-0.0028681010007858,0,0
2022-04-01T22:45-07:00,-0.0018560141324996,0,0
2022-04-01T23:00-07:00,-0.0018555894494056,0,0
2022-04-01T23:15-07:00,-0.0022515356540679,0,0
2022-04-01T23:30-07:00,-0.0019460991024971,0,0
2022-04-01T23:45-07:00,-0.0021197348833084,0,0
2022-04-02T00:00-07:00,-0.0028696283698081,0,0
2022-04-02T00:15-07:00,-0.0017784163355827,0,0
2022-04-02T00:30-07:00,-0.0021726340055465,0,0
2022-04-02T00:45-07:00,-0.0020060688257217,0,0
2022-04-02T01:00-07:00,-0.0021144598722457,0,0
2022-04-02T01:15-07:00,-0.001972772181034,0,0
2022-04-02T01:30-07:00,-0.0021735653281211,0,0
2022-04-02T01:45-07:00,-0.002081349492073,0,0
2022-04-02T02:00-07:00,-0.0020195022225379,0,0
2022-04-02T02:15-07:00,-0.0027028769254684,0,0
2022-04-02T02:30-07:00,-0.002854898571968,0,0
2022-04-02T02:45-07:00,-0.0021448731422424,0,0
2022-04-02T03:00-07:00,-0.0019643753767013,0,0
2022-04-02T03:15-07:00,-0.0022483468055725,0,0
2022-04-02T03:30-07:00,-0.0019974634051322,0,0
2022-04-02T03:45-07:00,-0.0020764470100402,0,0
2022-04-02T04:00-07:00,-0.002036727964878,0,0
2022-04-02T04:15-07:00,-0.0019677206873893,0,0
2022-04-02T04:30-07:00,-0.0025368183851242,0,0
2022-04-02T04:45-07:00,-0.0020136833190917,0,0
2022-04-02T05:00-07:00,-0.0020414739847183,0,0
2022-04-02T05:15-07:00,-0.0019936487078666,0,0
2022-04-02T05:30-07:00,-0.0018237009644508,0,0
2022-04-02T05:45-07:00,-0.0020783990621566,0,0
2022-04-02T06:00-07:00,-0.00189870595932,0,0
2022-04-02T06:15-07:00,-0.0019408389925956,0,0
2022-04-02T06:30-07:00,-0.0018519237637519,0,0
2022-04-02T06:45-07:00,-0.0022915974259376,0,0
2022-04-02T07:00-07:00,-0.0020278841257095,0,0
2022-04-02T07:15-07:00,-0.0021258890628814,0,0
2022-04-02T07:30-07:00,-0.002000480890274,0,0
2022-04-02T07:45-07:00,-0.0019279941916465,0,0
2022-04-02T08:00-07:00,-0.0020277127623558,0,0
2022-04-02T08:15-07:00,-0.0028488412499427,0,0
2022-04-02T08:30-07:00,-0.0018917098641395,0,0
2022-04-02T08:45-07:00,-0.0020073950290679,0,0
2022-04-02T09:00-07:00,-0.0021317675709724,0,0
2022-04-02T09:15-07:00,-0.0018423646688461,0,0
2022-04-02T09:30-07:00,-0.00190020352602,0,0
2022-04-02T09:45-07:00,-0.0019770264625549,0,0
2022-04-02T10:00-07:00,-0.0018930360674858,0,0
2022-04-02T10:15-07:00,-0.0017543882131576,0,0
2022-04-02T10:30-07:00,-0.0019088387489318,0,0
2022-04-02T10:45-07:00,-0.001638077199459,0,0
2022-04-02T11:00-07:00,-0.0017353445291519,0,0
2022-04-02T11:15-07:00,-0.0018710494041442,0,0
2022-04-02T11:30-07:00,-0.0018106624484062,0,0
2022-04-02T11:45-07:00,-0.0018232390284538,0,0
2022-04-02T12:00-07:00,-0.0019078031182289,0,0
2022-04-02T12:15-07:00,-0.0018146857619285,0,0
2022-04-02T12:30-07:00,-0.0018952414393424,0,0
2022-04-02T12:45-07:00,-0.0028875917196273,0,0
2022-04-02T13:00-07:00,-0.0020038038492202,0,0
2022-04-02T13:15-07:00,-0.0017297714948654,0,0
2022-04-02T13:30-07:00,-0.0029637441039085,0,0
2022-04-02T13:45-07:00,-0.0017630904912948,0,0
2022-04-02T14:00-07:00,-0.0019313693046569,0,0
2022-04-02T14:15-07:00,-0.0019406899809837,0,0
2022-04-02T14:30-07:00,-0.0019256025552749,0,0
2022-04-02T14:45-07:00,-0.0021841749548912,0,0
2022-04-02T15:00-07:00,-0.0030896589159965,0,0
2022-04-02T15:15-07:00,-0.0037307441234588,0,0
2022-04-02T15:30-07:00,-0.0018578767776489,0,0
2022-04-02T15:45-07:00,-0.0022735223174095,0,0
2022-04-02T16:00-07:00,-0.0021284520626068,0,0
2022-04-02T16:15-07:00,-0.0020136982202529,0,0
2022-04-02T16:30-07:00,-0.0019558668136596,0,0
2022-04-02T16:45-07:00,-0.0019176080822944,0,0
2022-04-02T17:00-07:00,-0.0018987357616424,0,0
2022-04-02T17:15-07:00,-0.0017961040139198,0,0
