t,v,s,r
2022-03-31T23:45-07:00,146.03387451171875,0,0
2022-04-01T00:00-07:00,153.72158813476562,0,0
2022-04-01T00:15-07:00,130.9718017578125,0,0
2022-04-01T00:30-07:00,147.77621459960938,0,0
2022-04-01T00:45-07:00,141.17367553710938,0,0
2022-04-01T01:00-07:00,145.30789184570312,0,0
2022-04-01T01:15-07:00,145.30789184570312,0,0
2022-04-01T01:30-07:00,154.1495361328125,0,0
2022-04-01T01:45-07:00,164.42782592773438,0,0
2022-04-01T02:00-07:00,169.57843017578125,0,0
2022-04-01T02:15-07:00,178.02267456054688,0,0
2022-04-01T02:30-07:00,137.84182739257812,0,0
2022-04-01T02:45-07:00,157.183349609375,0,0
2022-04-01T03:00-07:00,154.73794555664062,0,0
2022-04-01T03:15-07:00,163.45730590820312,0,0
2022-04-01T03:30-07:00,172.89498901367188,0,0
2022-04-01T03:45-07:00,171.42776489257812,0,0
2022-04-01T04:00-07:00,156.9923095703125,0,0
2022-04-01T04:15-07:00,140.27191162109375,0,0
2022-04-01T04:30-07:00,142.15182495117188,0,0
2022-04-01T04:45-07:00,168.9365234375,0,0
2022-04-01T05:00-07:00,138.94223022460938,0,0
2022-04-01T05:15-07:00,174.32403564453125,0,0
2022-04-01T05:30-07:00,153.9737548828125,0,0
2022-04-01T05:45-07:00,174.698486328125,0,0
2022-04-01T06:00-07:00,142.48806762695312,0,0
2022-04-01T06:15-07:00,141.21951293945312,0,0
2022-04-01T06:30-07:00,147.2183837890625,0,0
2022-04-01T06:45-07:00,142.65618896484375,0,0
2022-04-01T07:00-07:00,142.51861572265625,0,0
2022-04-01T07:15-07:00,150.2904052734375,0,0
2022-04-01T07:30-07:00,142.4727783203125,0,0
2022-04-01T07:45-07:00,154.54690551757812,0,0
2022-04-01T08:00-07:00,166.3612060546875,0,0
2022-04-01T08:15-07:00,138.60598754882812,0,0
2022-04-01T08:30-07:00,139.996826171875,0,0
2022-04-01T08:45-07:00,164.81756591796875,0,0
2022-04-01T09:00-07:00,170.46490478515625,0,0
2022-04-01T09:15-07:00,138.3843994140625,0,0
2022-04-01T09:30-07:00,165.306640625,0,0
2022-04-01T09:45-07:00,172.008544921875,0,0
2022-04-01T10:00-07:00,135.79379272460938,0,0
2022-04-01T10:15-07:00,135.50341796875,0,0
2022-04-01T10:30-07:00,124.51443481445312,0,0
2022-04-01T10:45-07:00,166.56753540039062,0,0
2022-04-01T11:00-07:00,173.101318359375,0,0
2022-04-01T11:15-07:00,120.45660400390624,0,0
2022-04-01T11:30-07:00,124.25460815429688,0,0
2022-04-01T11:45-07:00,132.76760864257812,0,0
2022-04-01T12:00-07:00,179.98663330078125,0,0
2022-04-01T12:15-07:00,185.00732421875,0,0
2022-04-01T12:30-07:00,145.26968383789062,0,0
2022-04-01T12:45-07:00,124.25460815429688,0,0
2022-04-01T13:00-07:00,133.89862060546875,0,0
2022-04-01T13:15-07:00,130.8724365234375,0,0
2022-04-01T13:30-07:00,124.62905883789062,0,0
2022-04-01T13:45-07:00,157.6036376953125,0,0
2022-04-01T14:00-07:00,129.11480712890625,0,0
2022-04-01T14:15-07:00,181.49972534179688,0,0
2022-04-01T14:30-07:00,144.01641845703125,0,0
2022-04-01T14:45-07:00,133.524169921875,0,0
2022-04-01T15:00-07:00,127.63995361328124,0,0
2022-04-01T15:15-07:00,144.32211303710938,0,0
2022-04-01T15:30-07:00,181.81304931640625,0,0
2022-04-01T15:45-07:00,127.33425903320312,0,0
2022-04-01T16:00-07:00,115.40533447265624,0,0
2022-04-01T16:15-07:00,178.81744384765625,0,0
2022-04-01T16:30-07:00,150.05349731445312,0,0
2022-04-01T16:45-07:00,114.916259765625,0,0
2022-04-01T17:00-07:00,178.68753051757812,0,0
2022-04-01T17:15-07:00,174.16354370117188,0,0
2022-04-01T17:30-07:00,163.18218994140625,0,0
2022-04-01T17:45-07:00,111.2099609375,0,0
2022-04-01T18:00-07:00,155.4715576171875,0,0
2022-04-01T18:15-07:00,159.68222045898438,0,0
2022-04-01T18:30-07:00,154.84494018554688,0,0
2022-04-01T18:45-07:00,121.79391479492188,0,0
2022-04-01T19:00-07:00,173.65155029296875,0,0
2022-04-01T19:15-07:00,177.49539184570312,0,0
2022-04-01T19:30-07:00,145.7740478515625,0,0
2022-04-01T19:45-07:00,120.12799072265624,0,0
2022-04-01T20:00-07:00,129.17596435546875,0,0
2022-04-01T20:15-07:00,170.04458618164062,0,0
2022-04-01T20:30-07:00,126.54714965820312,0,0
2022-04-01T20:45-07:00,124.361572265625,0,0
2022-04-01T21:00-07:00,137.35272216796875,0,0
2022-04-01T21:15-07:00,137.22280883789062,0,0
2022-04-01T21:30-07:00,130.02420043945312,0,0
2022-04-01T21:45-07:00,153.10260009765625,0,0
2022-04-01T22:00-07:00,127.08209228515624,0,0
2022-04-01T22:15-07:00,174.79782104492188,0,0
2022-04-01T22:30-07:00,171.90155029296875,0,0
2022-04-01T22:45-07:00,127.2655029296875,0,0
2022-04-01T23:00-07:00,175.9058837890625,0,0
2022-04-01T23:15-07:00,172.09259033203125,0,0
2022-04-01T23:30-07:00,143.82537841796875,0,0
2022-04-01T23:45-07:00,183.838134765625,0,0
2022-04-02T00:00-07:00,144.06991577148438,0,0
2022-04-02T00:15-07:00,138.47607421875,0,0
2022-04-02T00:30-07:00,151.58187866210938,0,0
2022-04-02T00:45-07:00,143.64962768554688,0,0
2022-04-02T01:00-07:00,152.8809814453125,0,0
2022-04-02T01:15-07:00,139.11801147460938,0,0
2022-04-02T01:30-07:00,150.57315063476562,0,0
2022-04-02T01:45-07:00,135.70208740234375,0,0
2022-04-02T02:00-07:00,133.14971923828125,0,0
2022-04-02T02:15-07:00,151.42901611328125,0,0
2022-04-02T02:30-07:00,178.73336791992188,0,0
2022-04-02T02:45-07:00,155.11239624023438,0,0
2022-04-02T03:00-07:00,172.10025024414062,0,0
2022-04-02T03:15-07:00,141.81558227539062,0,0
2022-04-02T03:30-07:00,158.91806030273438,0,0
2022-04-02T03:45-07:00,139.46188354492188,0,0
2022-04-02T04:00-07:00,142.182373046875,0,0
2022-04-02T04:15-07:00,166.83502197265625,0,0
2022-04-02T04:30-07:00,138.65185546875,0,0
2022-04-02T04:45-07:00,167.56863403320312,0,0
2022-04-02T05:00-07:00,166.34591674804688,0,0
2022-04-02T05:15-07:00,139.39309692382812,0,0
2022-04-02T05:30-07:00,180.1929626464844,0,0
2022-04-02T05:45-07:00,154.28707885742188,0,0
2022-04-02T06:00-07:00,171.32077026367188,0,0
2022-04-02T06:15-07:00,179.55868530273438,0,0
2022-04-02T06:30-07:00,145.59829711914062,0,0
2022-04-02T06:45-07:00,157.27505493164062,0,0
2022-04-02T07:00-07:00,142.58740234375,0,0
2022-04-02T07:15-07:00,141.15072631835938,0,0
2022-04-02T07:30-07:00,142.052490234375,0,0
2022-04-02T07:45-07:00,151.22268676757812,0,0
2022-04-02T08:00-07:00,141.67037963867188,0,0
2022-04-02T08:15-07:00,158.66586303710938,0,0
2022-04-02T08:30-07:00,169.29568481445312,0,0
2022-04-02T08:45-07:00,164.73348999023438,0,0
2022-04-02T09:00-07:00,136.83309936523438,0,0
2022-04-02T09:15-07:00,137.29159545898438,0,0
2022-04-02T09:30-07:00,158.65057373046875,0,0
2022-04-02T09:45-07:00,141.78500366210938,0,0
2022-04-02T10:00-07:00,153.06439208984375,0,0
2022-04-02T10:15-07:00,180.2235412597656,0,0
2022-04-02T10:30-07:00,150.19869995117188,0,0
2022-04-02T10:45-07:00,132.04165649414062,0,0
2022-04-02T11:00-07:00,122.87142944335938,0,0
2022-04-02T11:15-07:00,157.5501708984375,0,0
2022-04-02T11:30-07:00,149.56442260742188,0,0
2022-04-02T11:45-07:00,123.750244140625,0,0
2022-04-02T12:00-07:00,135.79379272460938,0,0
2022-04-02T12:15-07:00,164.02279663085938,0,0
2022-04-02T12:30-07:00,116.13894653320312,0,0
2022-04-02T12:45-07:00,177.96917724609375,0,0
2022-04-02T13:00-07:00,153.72158813476562,0,0
2022-04-02T13:15-07:00,119.49371337890624,0,0
2022-04-02T13:30-07:00,121.2513427734375,0,0
2022-04-02T13:45-07:00,146.86685180664062,0,0
2022-04-02T14:00-07:00,131.774169921875,0,0
2022-04-02T14:15-07:00,142.32757568359375,0,0
2022-04-02T14:30-07:00,185.83267211914065,0,0
2022-04-02T14:45-07:00,127.09738159179688,0,0
2022-04-02T15:00-07:00,119.9293212890625,0,0
2022-04-02T15:15-07:00,125.5155029296875,0,0
2022-04-02T15:30-07:00,159.49884033203125,0,0
2022-04-02T15:45-07:00,149.70962524414062,0,0
2022-04-02T16:00-07:00,127.10501098632812,0,0
2022-04-02T16:15-07:00,113.2044677734375,0,0
2022-04-02T16:30-07:00,165.78042602539062,0,0
2022-04-02T16:45-07:00,132.70648193359375,0,0
2022-04-02T17:00-07:00,127.9532470703125,0,0
2022-04-02T17:15-07:00,150.25982666015625,0,0
2022-04-02T17:30-07:00,187.81954956054688,0,0
2022-04-02T17:45-07:00,131.17047119140625,0,0
2022-04-02T18:00-07:00,129.67266845703125,0,0
2022-04-02T18:15-07:00,133.91390991210938,0,0
2022-04-02T18:30-07:00,119.87582397460938,0,0
2022-04-02T18:45-07:00,153.37005615234375,0,0
2022-04-02T19:00-07:00,119.004638671875,0,0
2022-04-02T19:15-07:00,131.30801391601562,0,0
2022-04-02T19:30-07:00,154.29473876953125,0,0
2022-04-02T19:45-07:00,127.54824829101562,0,0
2022-04-02T20:00-07:00,157.24447631835938,0,0
2022-04-02T20:15-07:00,131.93466186523438,0,0
2022-04-02T20:30-07:00,131.88882446289062,0,0
2022-04-02T20:45-07:00,147.47817993164062,0,0
2022-04-02T21:00-07:00,157.54251098632812,0,0
2022-04-02T21:15-07:00,156.97702026367188,0,0
2022-04-02T21:30-07:00,135.14422607421875,0,0
2022-04-02T21:45-07:00,141.4564208984375,0,0
2022-04-02T22:00-07:00,140.37890625,0,0
2022-04-02T22:15-07:00,136.39749145507812,0,0
2022-04-02T22:30-07:00,160.3699951171875,0,0
2022-04-02T22:45-07:00,178.25958251953125,0,0
2022-04-02T23:00-07:00,149.442138671875,0,0
2022-04-02T23:15-07:00,170.37319946289062,0,0
2022-04-02T23:30-07:00,162.62435913085938,0,0
2022-04-02T23:45-07:00,123.39871215820312,0,0
2022-04-03T00:00-07:00,168.39395141601562,0,0
2022-04-03T00:15-07:00,140.16494750976562,0,0
2022-04-03T00:30-07:00,154.7073974609375,0,0
2022-04-03T00:45-07:00,145.07101440429688,0,0
2022-04-03T01:00-07:00,135.32000732421875,0,0
2022-04-03T01:15-07:00,137.36038208007812,0,0
2022-04-03T01:30-07:00,162.158203125,0,0
2022-04-03T01:45-07:00,133.32546997070312,0,0
2022-04-03T02:00-07:00,160.56103515625,0,0
2022-04-03T02:15-07:00,167.66033935546875,0,0
2022-04-03T02:30-07:00,155.280517578125,0,0
2022-04-03T02:45-07:00,124.78189086914062,0,0
2022-04-03T03:00-07:00,128.82443237304688,0,0
2022-04-03T03:15-07:00,139.05685424804688,0,0
2022-04-03T03:30-07:00,141.07431030273438,0,0
2022-04-03T03:45-07:00,137.74246215820312,0,0
2022-04-03T04:00-07:00,166.27716064453125,0,0
2022-04-03T04:15-07:00,162.31103515625,0,0
2022-04-03T04:30-07:00,134.6781005859375,0,0
2022-04-03T04:45-07:00,136.29815673828125,0,0
2022-04-03T05:00-07:00,150.48907470703125,0,0
2022-04-03T05:15-07:00,141.418212890625,0,0
2022-04-03T05:30-07:00,156.02178955078125,0,0
2022-04-03T05:45-07:00,144.58956909179688,0,0
2022-04-03T06:00-07:00,135.44992065429688,0,0
2022-04-03T06:15-07:00,178.73336791992188,0,0
