t,v,s,r
2022-03-31T23:45-07:00,161.01995849609375,0,0
2022-04-01T00:00-07:00,162.20327758789062,0,0
2022-04-01T00:15-07:00,162.26434326171875,0,0
2022-04-01T00:30-07:00,160.49322509765625,0,0
2022-04-01T00:45-07:00,158.874755859375,0,0
2022-04-01T01:00-07:00,160.3023681640625,0,0
2022-04-01T01:15-07:00,162.08111572265625,0,0
2022-04-01T01:30-07:00,161.760498046875,0,0
2022-04-01T01:45-07:00,161.64596557617188,0,0
2022-04-01T02:00-07:00,161.06576538085938,0,0
2022-04-01T02:15-07:00,158.68389892578125,0,0
2022-04-01T02:30-07:00,159.439697265625,0,0
2022-04-01T02:45-07:00,160.47793579101562,0,0
2022-04-01T03:00-07:00,162.76821899414062,0,0
2022-04-01T03:15-07:00,160.85964965820312,0,0
2022-04-01T03:30-07:00,160.18020629882812,0,0
2022-04-01T03:45-07:00,158.80606079101562,0,0
2022-04-01T04:00-07:00,159.12667846679688,0,0
2022-04-01T04:15-07:00,159.0732421875,0,0
2022-04-01T04:30-07:00,160.85202026367188,0,0
2022-04-01T04:45-07:00,162.88272094726562,0,0
2022-04-01T05:00-07:00,159.2564697265625,0,0
2022-04-01T05:15-07:00,158.0960693359375,0,0
2022-04-01T05:30-07:00,160.44741821289062,0,0
2022-04-01T05:45-07:00,160.74514770507812,0,0
2022-04-01T06:00-07:00,161.34823608398438,0,0
2022-04-01T06:15-07:00,159.38626098632812,0,0
2022-04-01T06:30-07:00,161.07342529296875,0,0
2022-04-01T06:45-07:00,163.16519165039062,0,0
2022-04-01T07:00-07:00,160.95889282226562,0,0
2022-04-01T07:15-07:00,157.49298095703125,0,0
2022-04-01T07:30-07:00,160.9970703125,0,0
2022-04-01T07:45-07:00,163.21099853515625,0,0
2022-04-01T08:00-07:00,160.17257690429688,0,0
2022-04-01T08:15-07:00,158.41671752929688,0,0
2022-04-01T08:30-07:00,163.55453491210938,0,0
2022-04-01T08:45-07:00,159.86721801757812,0,0
2022-04-01T09:00-07:00,161.676513671875,0,0
2022-04-01T09:15-07:00,162.50100708007812,0,0
2022-04-01T09:30-07:00,158.48541259765625,0,0
2022-04-01T09:45-07:00,163.00485229492188,0,0
2022-04-01T10:00-07:00,157.92813110351562,0,0
2022-04-01T10:15-07:00,162.23379516601562,0,0
2022-04-01T10:30-07:00,161.86737060546875,0,0
2022-04-01T10:45-07:00,158.83657836914062,0,0
2022-04-01T11:00-07:00,160.09622192382812,0,0
2022-04-01T11:15-07:00,160.53900146484375,0,0
2022-04-01T11:30-07:00,160.32525634765625,0,0
2022-04-01T11:45-07:00,162.40939331054688,0,0
2022-04-01T12:00-07:00,157.85940551757812,0,0
2022-04-01T12:15-07:00,162.5697021484375,0,0
2022-04-01T12:30-07:00,159.00454711914062,0,0
2022-04-01T12:45-07:00,159.95880126953125,0,0
2022-04-01T13:00-07:00,162.46282958984375,0,0
2022-04-01T13:15-07:00,158.90530395507812,0,0
2022-04-01T13:30-07:00,162.40176391601562,0,0
2022-04-01T13:45-07:00,158.27166748046875,0,0
2022-04-01T14:00-07:00,161.0123291015625,0,0
2022-04-01T14:15-07:00,157.14178466796875,0,0
2022-04-01T14:30-07:00,164.08892822265625,0,0
2022-04-01T14:45-07:00,162.33306884765625,0,0
2022-04-01T15:00-07:00,159.76797485351562,0,0
2022-04-01T15:15-07:00,161.95135498046875,0,0
2022-04-01T15:30-07:00,158.3785400390625,0,0
2022-04-01T15:45-07:00,162.53155517578125,0,0
2022-04-01T16:00-07:00,158.18768310546875,0,0
2022-04-01T16:15-07:00,163.31024169921875,0,0
2022-04-01T16:30-07:00,158.84420776367188,0,0
2022-04-01T16:45-07:00,161.86737060546875,0,0
2022-04-01T17:00-07:00,162.31777954101562,0,0
2022-04-01T17:15-07:00,159.40151977539062,0,0
2022-04-01T17:30-07:00,161.68414306640625,0,0
2022-04-01T17:45-07:00,159.99697875976562,0,0
2022-04-01T18:00-07:00,162.99722290039062,0,0
2022-04-01T18:15-07:00,156.11117553710938,0,0
2022-04-01T18:30-07:00,161.07342529296875,0,0
2022-04-01T18:45-07:00,162.0887451171875,0,0
2022-04-01T19:00-07:00,158.9739990234375,0,0
2022-04-01T19:15-07:00,162.6536865234375,0,0
2022-04-01T19:30-07:00,161.0123291015625,0,0
2022-04-01T19:45-07:00,158.01971435546875,0,0
2022-04-01T20:00-07:00,158.2945556640625,0,0
2022-04-01T20:15-07:00,160.42449951171875,0,0
2022-04-01T20:30-07:00,161.33297729492188,0,0
2022-04-01T20:45-07:00,162.43231201171875,0,0
2022-04-01T21:00-07:00,161.92843627929688,0,0
2022-04-01T21:15-07:00,160.8138427734375,0,0
2022-04-01T21:30-07:00,157.85940551757812,0,0
2022-04-01T21:45-07:00,159.50839233398438,0,0
2022-04-01T22:00-07:00,159.523681640625,0,0
2022-04-01T22:15-07:00,160.69171142578125,0,0
2022-04-01T22:30-07:00,160.54666137695312,0,0
2022-04-01T22:45-07:00,160.28707885742188,0,0
2022-04-01T23:00-07:00,160.35580444335938,0,0
2022-04-01T23:15-07:00,160.74514770507812,0,0
2022-04-01T23:30-07:00,161.40167236328125,0,0
2022-04-01T23:45-07:00,159.20303344726562,0,0
2022-04-02T00:00-07:00,159.78323364257812,0,0
2022-04-02T00:15-07:00,160.46267700195312,0,0
2022-04-02T00:30-07:00,160.52374267578125,0,0
2022-04-02T00:45-07:00,161.3787841796875,0,0
2022-04-02T01:00-07:00,162.40176391601562,0,0
2022-04-02T01:15-07:00,160.01226806640625,0,0
2022-04-02T01:30-07:00,157.54641723632812,0,0
2022-04-02T01:45-07:00,159.23358154296875,0,0
2022-04-02T02:00-07:00,159.1724853515625,0,0
2022-04-02T02:15-07:00,160.56954956054688,0,0
2022-04-02T02:30-07:00,161.34060668945312,0,0
2022-04-02T02:45-07:00,161.47802734375,0,0
2022-04-02T03:00-07:00,162.09640502929688,0,0
2022-04-02T03:15-07:00,159.50076293945312,0,0
2022-04-02T03:30-07:00,159.752685546875,0,0
2022-04-02T03:45-07:00,159.60000610351562,0,0
2022-04-02T04:00-07:00,160.63827514648438,0,0
2022-04-02T04:15-07:00,160.58480834960938,0,0
2022-04-02T04:30-07:00,160.22601318359375,0,0
2022-04-02T04:45-07:00,159.60000610351562,0,0
2022-04-02T05:00-07:00,158.53884887695312,0,0
2022-04-02T05:15-07:00,159.79086303710938,0,0
2022-04-02T05:30-07:00,161.05050659179688,0,0
2022-04-02T05:45-07:00,162.58499145507812,0,0
2022-04-02T06:00-07:00,160.72222900390625,0,0
2022-04-02T06:15-07:00,158.44723510742188,0,0
2022-04-02T06:30-07:00,159.86721801757812,0,0
2022-04-02T06:45-07:00,163.0201416015625,0,0
2022-04-02T07:00-07:00,162.04296875,0,0
2022-04-02T07:15-07:00,160.83676147460938,0,0
2022-04-02T07:30-07:00,158.56939697265625,0,0
2022-04-02T07:45-07:00,162.157470703125,0,0
2022-04-02T08:00-07:00,162.92852783203125,0,0
2022-04-02T08:15-07:00,159.523681640625,0,0
2022-04-02T08:30-07:00,160.68405151367188,0,0
2022-04-02T08:45-07:00,159.19540405273438,0,0
2022-04-02T09:00-07:00,161.95135498046875,0,0
2022-04-02T09:15-07:00,159.50076293945312,0,0
2022-04-02T09:30-07:00,159.06561279296875,0,0
2022-04-02T09:45-07:00,162.89797973632812,0,0
2022-04-02T10:00-07:00,158.3785400390625,0,0
2022-04-02T10:15-07:00,160.79095458984375,0,0
2022-04-02T10:30-07:00,158.14950561523438,0,0
2022-04-02T10:45-07:00,161.6917724609375,0,0
2022-04-02T11:00-07:00,161.92843627929688,0,0
2022-04-02T11:15-07:00,159.01217651367188,0,0
2022-04-02T11:30-07:00,162.241455078125,0,0
2022-04-02T11:45-07:00,158.66864013671875,0,0
2022-04-02T12:00-07:00,162.76821899414062,0,0
2022-04-02T12:15-07:00,157.8975830078125,0,0
2022-04-02T12:30-07:00,161.82156372070312,0,0
2022-04-02T12:45-07:00,162.8369140625,0,0
2022-04-02T13:00-07:00,158.35562133789062,0,0
2022-04-02T13:15-07:00,160.77566528320312,0,0
2022-04-02T13:30-07:00,161.7757568359375,0,0
2022-04-02T13:45-07:00,162.76821899414062,0,0
2022-04-02T14:00-07:00,154.3018798828125,0,0
2022-04-02T14:15-07:00,161.22610473632812,0,0
2022-04-02T14:30-07:00,163.15756225585938,0,0
2022-04-02T14:45-07:00,159.89010620117188,0,0
2022-04-02T15:00-07:00,161.75286865234375,0,0
2022-04-02T15:15-07:00,158.92056274414062,0,0
2022-04-02T15:30-07:00,162.8216552734375,0,0
2022-04-02T15:45-07:00,160.58480834960938,0,0
2022-04-02T16:00-07:00,158.53121948242188,0,0
2022-04-02T16:15-07:00,162.8369140625,0,0
2022-04-02T16:30-07:00,157.98919677734375,0,0
2022-04-02T16:45-07:00,162.157470703125,0,0
2022-04-02T17:00-07:00,158.88238525390625,0,0
2022-04-02T17:15-07:00,162.44757080078125,0,0
2022-04-02T17:30-07:00,160.07333374023438,0,0
2022-04-02T17:45-07:00,158.958740234375,0,0
2022-04-02T18:00-07:00,161.08868408203125,0,0
2022-04-02T18:15-07:00,159.11141967773438,0,0
2022-04-02T18:30-07:00,161.72994995117188,0,0
2022-04-02T18:45-07:00,157.3021240234375,0,0
2022-04-02T19:00-07:00,162.94378662109375,0,0
2022-04-02T19:15-07:00,161.0123291015625,0,0
2022-04-02T19:30-07:00,160.203125,0,0
2022-04-02T19:45-07:00,158.14950561523438,0,0
2022-04-02T20:00-07:00,159.54656982421875,0,0
2022-04-02T20:15-07:00,160.37106323242188,0,0
2022-04-02T20:30-07:00,161.93606567382812,0,0
2022-04-02T20:45-07:00,162.1422119140625,0,0
2022-04-02T21:00-07:00,162.20327758789062,0,0
2022-04-02T21:15-07:00,161.83682250976562,0,0
2022-04-02T21:30-07:00,161.875,0,0
2022-04-02T21:45-07:00,160.47793579101562,0,0
2022-04-02T22:00-07:00,159.19540405273438,0,0
2022-04-02T22:15-07:00,158.61520385742188,0,0
2022-04-02T22:30-07:00,160.19546508789062,0,0
2022-04-02T22:45-07:00,161.22610473632812,0,0
2022-04-02T23:00-07:00,162.34832763671875,0,0
2022-04-02T23:15-07:00,160.3023681640625,0,0
2022-04-02T23:30-07:00,158.69915771484375,0,0
2022-04-02T23:45-07:00,160.27944946289062,0,0
2022-04-03T00:00-07:00,162.69186401367188,0,0
2022-04-03T00:15-07:00,160.50848388671875,0,0
2022-04-03T00:30-07:00,159.06561279296875,0,0
2022-04-03T00:45-07:00,159.58474731445312,0,0
2022-04-03T01:00-07:00,160.630615234375,0,0
2022-04-03T01:15-07:00,161.63070678710938,0,0
2022-04-03T01:30-07:00,161.8902587890625,0,0
2022-04-03T01:45-07:00,160.90545654296875,0,0
2022-04-03T02:00-07:00,160.66879272460938,0,0
2022-04-03T02:15-07:00,158.8900146484375,0,0
2022-04-03T02:30-07:00,158.8900146484375,0,0
2022-04-03T02:45-07:00,159.53131103515625,0,0
2022-04-03T03:00-07:00,160.62298583984375,0,0
2022-04-03T03:15-07:00,161.76812744140625,0,0
2022-04-03T03:30-07:00,162.47811889648438,0,0
2022-04-03T03:45-07:00,160.7298583984375,0,0
2022-04-03T04:00-07:00,158.67626953125,0,0
2022-04-03T04:15-07:00,159.21829223632812,0,0
2022-04-03T04:30-07:00,160.46267700195312,0,0
2022-04-03T04:45-07:00,160.8978271484375,0,0
2022-04-03T05:00-07:00,161.88262939453125,0,0
2022-04-03T05:15-07:00,159.8519287109375,0,0
2022-04-03T05:30-07:00,157.69146728515625,0,0
2022-04-03T05:45-07:00,159.41677856445312,0,0
2022-04-03T06:00-07:00,160.89019775390625,0,0
2022-04-03T06:15-07:00,159.81375122070312,0,0
2022-04-03T06:30-07:00,161.78338623046875,0,0
2022-04-03T06:45-07:00,162.0582275390625,0,0
2022-04-03T07:00-07:00,161.5772705078125,0,0
2022-04-03T07:15-07:00,159.3404541015625,0,0
2022-04-03T07:30-07:00,158.561767578125,0,0
2022-04-03T07:45-07:00,163.47817993164062,0,0
2022-04-03T08:00-07:00,161.78338623046875,0,0
2022-04-03T08:15-07:00,158.53884887695312,0,0
2022-04-03T08:30-07:00,162.73004150390625,0,0
2022-04-03T08:45-07:00,159.48550415039062,0,0
2022-04-03T09:00-07:00,162.12692260742188,0,0
2022-04-03T09:15-07:00,158.12661743164062,0,0
2022-04-03T09:30-07:00,160.05807495117188,0,0
2022-04-03T09:45-07:00,163.54690551757812,0,0
2022-04-03T10:00-07:00,157.912841796875,0,0
2022-04-03T10:15-07:00,162.50863647460938,0,0
2022-04-03T10:30-07:00,160.50848388671875,0,0
2022-04-03T10:45-07:00,161.05813598632812,0,0
2022-04-03T11:00-07:00,160.87490844726562,0,0
2022-04-03T11:15-07:00,158.92056274414062,0,0
2022-04-03T11:30-07:00,162.41702270507812,0,0
2022-04-03T11:45-07:00,158.20294189453125,0,0
