t,v,s,r
2022-03-31T23:45-07:00,45.26719665527344,0,0
2022-04-01T00:00-07:00,15.522747039794922,0,0
2022-04-01T00:15-07:00,0.0,0,0
2022-04-01T00:30-07:00,13.529712677001951,0,0
2022-04-01T00:45-07:00,41.078243255615234,0,0
2022-04-01T01:00-07:00,25.90781784057617,0,0
2022-04-01T01:15-07:00,0.0,0,0
2022-04-01T01:30-07:00,47.66096496582031,0,0
2022-04-01T01:45-07:00,42.56264877319336,0,0
2022-04-01T02:00-07:00,19.72005653381348,0,0
2022-04-01T02:15-07:00,0.0,0,0
2022-04-01T02:30-07:00,51.9797248840332,0,0
2022-04-01T02:45-07:00,20.987451553344727,0,0
2022-04-01T03:00-07:00,15.351654052734377,0,0
2022-04-01T03:15-07:00,11.572502136230469,0,0
2022-04-01T03:30-07:00,0.0,0,0
2022-04-01T03:45-07:00,2.877922773361206,0,0
2022-04-01T04:00-07:00,18.498924255371094,0,0
2022-04-01T04:15-07:00,34.736934661865234,0,0
2022-04-01T04:30-07:00,0.0,0,0
2022-04-01T04:45-07:00,89.19441223144531,0,0
2022-04-01T05:00-07:00,39.1010627746582,0,0
2022-04-01T05:15-07:00,28.09524726867676,0,0
2022-04-01T05:30-07:00,29.87373161315918,0,0
2022-04-01T05:45-07:00,29.417953491210938,0,0
2022-04-01T06:00-07:00,14.393593788146973,0,0
2022-04-01T06:15-07:00,0.0,0,0
2022-04-01T06:30-07:00,8.592240333557129,0,0
2022-04-01T06:45-07:00,27.98536872863769,0,0
2022-04-01T07:00-07:00,33.22858810424805,0,0
2022-04-01T07:15-07:00,32.681400299072266,0,0
2022-04-01T07:30-07:00,9.058517456054688,0,0
2022-04-01T07:45-07:00,0.0,0,0
2022-04-01T08:00-07:00,6.032320022583008,0,0
2022-04-01T08:15-07:00,18.23112297058105,0,0
2022-04-01T08:30-07:00,0.0,0,0
2022-04-01T08:45-07:00,57.8500862121582,0,0
2022-04-01T09:00-07:00,24.116601943969727,0,0
2022-04-01T09:15-07:00,0.0,0,0
2022-04-01T09:30-07:00,38.60833740234375,0,0
2022-04-01T09:45-07:00,0.0,0,0
2022-04-01T10:00-07:00,0.0,0,0
2022-04-01T10:15-07:00,0.0,0,0
2022-04-01T10:30-07:00,0.0,0,0
2022-04-01T10:45-07:00,0.0,0,0
2022-04-01T11:00-07:00,0.0,0,0
2022-04-01T11:15-07:00,0.0,0,0
2022-04-01T11:30-07:00,14.388005256652832,0,0
2022-04-01T11:45-07:00,0.0,0,0
2022-04-01T12:00-07:00,0.0,0,0
2022-04-01T12:15-07:00,0.0,0,0
2022-04-01T12:30-07:00,0.0,0,0
2022-04-01T12:45-07:00,0.0,0,0
2022-04-01T13:00-07:00,0.0,0,0
2022-04-01T13:15-07:00,0.0,0,0
2022-04-01T13:30-07:00,0.0,0,0
2022-04-01T13:45-07:00,0.0,0,0
2022-04-01T14:00-07:00,0.0,0,0
2022-04-01T14:15-07:00,0.0,0,0
2022-04-01T14:30-07:00,0.0,0,0
2022-04-01T14:45-07:00,0.0,0,0
2022-04-01T15:00-07:00,0.0,0,0
2022-04-01T15:15-07:00,0.0,0,0
2022-04-01T15:30-07:00,0.0,0,0
2022-04-01T15:45-07:00,0.0,0,0
2022-04-01T16:00-07:00,0.0,0,0
2022-04-01T16:15-07:00,0.0,0,0
2022-04-01T16:30-07:00,0.0,0,0
2022-04-01T16:45-07:00,0.0,0,0
2022-04-01T17:00-07:00,0.0,0,0
2022-04-01T17:15-07:00,0.0,0,0
2022-04-01T17:30-07:00,0.0,0,0
2022-04-01T17:45-07:00,0.0,0,0
2022-04-01T18:00-07:00,0.0,0,0
