t,v,s,r
2022-03-31T23:45-07:00,161.08360290527344,0,0
2022-04-01T00:00-07:00,153.6184539794922,0,0
2022-04-01T00:15-07:00,154.6555938720703,0,0
2022-04-01T00:30-07:00,159.4925994873047,0,0
2022-04-01T00:45-07:00,159.03627014160156,0,0
2022-04-01T01:00-07:00,155.71861267089844,0,0
2022-04-01T01:15-07:00,158.77122497558594,0,0
2022-04-01T01:30-07:00,154.4102783203125,0,0
2022-04-01T01:45-07:00,159.13668823242188,0,0
2022-04-01T02:00-07:00,157.1880645751953,0,0
2022-04-01T02:15-07:00,157.63510131835938,0,0
2022-04-01T02:30-07:00,152.55873107910156,0,0
2022-04-01T02:45-07:00,159.87985229492188,0,0
2022-04-01T03:00-07:00,159.35116577148438,0,0
2022-04-01T03:15-07:00,152.90443420410156,0,0
2022-04-01T03:30-07:00,155.5703582763672,0,0
2022-04-01T03:45-07:00,157.12135314941406,0,0
2022-04-01T04:00-07:00,158.33401489257812,0,0
2022-04-01T04:15-07:00,156.5355682373047,0,0
2022-04-01T04:30-07:00,159.40589904785156,0,0
2022-04-01T04:45-07:00,155.88963317871094,0,0
2022-04-01T05:00-07:00,155.63636779785156,0,0
2022-04-01T05:15-07:00,160.33660888671875,0,0
2022-04-01T05:30-07:00,157.1160888671875,0,0
2022-04-01T05:45-07:00,153.29541015625,0,0
2022-04-01T06:00-07:00,158.04757690429688,0,0
2022-04-01T06:15-07:00,158.06666564941406,0,0
2022-04-01T06:30-07:00,153.71881103515625,0,0
2022-04-01T06:45-07:00,160.48170471191406,0,0
2022-04-01T07:00-07:00,155.9105682373047,0,0
2022-04-01T07:15-07:00,153.9585418701172,0,0
2022-04-01T07:30-07:00,157.77745056152344,0,0
2022-04-01T07:45-07:00,157.95870971679688,0,0
2022-04-01T08:00-07:00,154.04373168945312,0,0
2022-04-01T08:15-07:00,162.4702911376953,0,0
2022-04-01T08:30-07:00,152.7484588623047,0,0
2022-04-01T08:45-07:00,153.5905303955078,0,0
2022-04-01T09:00-07:00,155.50332641601562,0,0
2022-04-01T09:15-07:00,163.66099548339844,0,0
2022-04-01T09:30-07:00,157.74114990234375,0,0
2022-04-01T09:45-07:00,152.23326110839844,0,0
2022-04-01T10:00-07:00,159.2362823486328,0,0
2022-04-01T10:15-07:00,154.71897888183594,0,0
2022-04-01T10:30-07:00,155.92965698242188,0,0
2022-04-01T10:45-07:00,164.90628051757812,0,0
2022-04-01T11:00-07:00,155.6953582763672,0,0
2022-04-01T11:15-07:00,153.949951171875,0,0
2022-04-01T11:30-07:00,157.9073944091797,0,0
2022-04-01T11:45-07:00,161.6443634033203,0,0
2022-04-01T12:00-07:00,158.0530242919922,0,0
2022-04-01T12:15-07:00,153.5911865234375,0,0
2022-04-01T12:30-07:00,163.66200256347656,0,0
2022-04-01T12:45-07:00,150.41624450683594,0,0
2022-04-01T13:00-07:00,154.0762481689453,0,0
2022-04-01T13:15-07:00,164.71559143066406,0,0
2022-04-01T13:30-07:00,160.4640655517578,0,0
2022-04-01T13:45-07:00,149.14527893066406,0,0
2022-04-01T14:00-07:00,159.9697723388672,0,0
2022-04-01T14:15-07:00,156.7528839111328,0,0
2022-04-01T14:30-07:00,160.8777618408203,0,0
2022-04-01T14:45-07:00,156.41696166992188,0,0
2022-04-01T15:00-07:00,154.1997833251953,0,0
2022-04-01T15:15-07:00,162.5966033935547,0,0
2022-04-01T15:30-07:00,154.15333557128906,0,0
2022-04-01T15:45-07:00,152.6834259033203,0,0
2022-04-01T16:00-07:00,159.6219024658203,0,0
2022-04-01T16:15-07:00,159.05886840820312,0,0
2022-04-01T16:30-07:00,151.7027130126953,0,0
2022-04-01T16:45-07:00,159.4423065185547,0,0
2022-04-01T17:00-07:00,161.52743530273438,0,0
2022-04-01T17:15-07:00,150.7454071044922,0,0
2022-04-01T17:30-07:00,157.36474609375,0,0
2022-04-01T17:45-07:00,161.07196044921875,0,0
2022-04-01T18:00-07:00,159.07566833496094,0,0
2022-04-01T18:15-07:00,153.5444793701172,0,0
2022-04-01T18:30-07:00,155.7685089111328,0,0
2022-04-01T18:45-07:00,156.06948852539062,0,0
2022-04-01T19:00-07:00,156.8069305419922,0,0
2022-04-01T19:15-07:00,150.64324951171875,0,0
2022-04-01T19:30-07:00,160.21824645996094,0,0
2022-04-01T19:45-07:00,159.75128173828125,0,0
2022-04-01T20:00-07:00,150.75457763671875,0,0
2022-04-01T20:15-07:00,158.32577514648438,0,0
2022-04-01T20:30-07:00,163.7792510986328,0,0
2022-04-01T20:45-07:00,148.2409210205078,0,0
2022-04-01T21:00-07:00,159.41543579101562,0,0
2022-04-01T21:15-07:00,162.49334716796875,0,0
2022-04-01T21:30-07:00,156.71656799316406,0,0
2022-04-01T21:45-07:00,152.21322631835938,0,0
2022-04-01T22:00-07:00,157.81239318847656,0,0
2022-04-01T22:15-07:00,161.93807983398438,0,0
2022-04-01T22:30-07:00,153.98638916015625,0,0
2022-04-01T22:45-07:00,163.58807373046875,0,0
2022-04-01T23:00-07:00,155.9921112060547,0,0
2022-04-01T23:15-07:00,152.64816284179688,0,0
2022-04-01T23:30-07:00,157.74671936035156,0,0
2022-04-01T23:45-07:00,156.39285278320312,0,0
2022-04-02T00:00-07:00,159.12164306640625,0,0
2022-04-02T00:15-07:00,157.2828826904297,0,0
2022-04-02T00:30-07:00,156.84483337402344,0,0
2022-04-02T00:45-07:00,153.17807006835938,0,0
2022-04-02T01:00-07:00,157.24693298339844,0,0
2022-04-02T01:15-07:00,156.35775756835938,0,0
2022-04-02T01:30-07:00,152.29835510253906,0,0
2022-04-02T01:45-07:00,162.72262573242188,0,0
2022-04-02T02:00-07:00,158.58990478515625,0,0
2022-04-02T02:15-07:00,156.36708068847656,0,0
2022-04-02T02:30-07:00,151.46018981933594,0,0
2022-04-02T02:45-07:00,161.6273651123047,0,0
2022-04-02T03:00-07:00,157.3687744140625,0,0
2022-04-02T03:15-07:00,153.98605346679688,0,0
2022-04-02T03:30-07:00,153.51625061035156,0,0
2022-04-02T03:45-07:00,158.9178466796875,0,0
2022-04-02T04:00-07:00,154.28343200683594,0,0
2022-04-02T04:15-07:00,154.35655212402344,0,0
2022-04-02T04:30-07:00,157.75119018554688,0,0
2022-04-02T04:45-07:00,154.07460021972656,0,0
2022-04-02T05:00-07:00,153.29029846191406,0,0
2022-04-02T05:15-07:00,162.37933349609375,0,0
2022-04-02T05:30-07:00,154.14320373535156,0,0
2022-04-02T05:45-07:00,160.4969024658203,0,0
2022-04-02T06:00-07:00,158.7090301513672,0,0
2022-04-02T06:15-07:00,151.97947692871094,0,0
2022-04-02T06:30-07:00,157.54635620117188,0,0
2022-04-02T06:45-07:00,158.6383056640625,0,0
2022-04-02T07:00-07:00,156.10914611816406,0,0
2022-04-02T07:15-07:00,155.9352569580078,0,0
2022-04-02T07:30-07:00,154.3574676513672,0,0
2022-04-02T07:45-07:00,161.72520446777344,0,0
2022-04-02T08:00-07:00,157.55340576171875,0,0
2022-04-02T08:15-07:00,154.87149047851562,0,0
2022-04-02T08:30-07:00,155.72840881347656,0,0
2022-04-02T08:45-07:00,157.27810668945312,0,0
2022-04-02T09:00-07:00,162.10386657714844,0,0
2022-04-02T09:15-07:00,158.7254638671875,0,0
2022-04-02T09:30-07:00,153.3726348876953,0,0
2022-04-02T09:45-07:00,152.4464111328125,0,0
2022-04-02T10:00-07:00,156.96389770507812,0,0
2022-04-02T10:15-07:00,153.51324462890625,0,0
2022-04-02T10:30-07:00,159.46556091308594,0,0
2022-04-02T10:45-07:00,158.10977172851562,0,0
2022-04-02T11:00-07:00,153.9776611328125,0,0
2022-04-02T11:15-07:00,161.8752899169922,0,0
2022-04-02T11:30-07:00,155.393798828125,0,0
2022-04-02T11:45-07:00,153.41079711914062,0,0
2022-04-02T12:00-07:00,159.6804962158203,0,0
2022-04-02T12:15-07:00,162.20635986328125,0,0
2022-04-02T12:30-07:00,154.6199493408203,0,0
2022-04-02T12:45-07:00,151.2261962890625,0,0
2022-04-02T13:00-07:00,166.23760986328125,0,0
2022-04-02T13:15-07:00,157.90802001953125,0,0
2022-04-02T13:30-07:00,155.92564392089844,0,0
2022-04-02T13:45-07:00,157.5913848876953,0,0
2022-04-02T14:00-07:00,156.1610565185547,0,0
2022-04-02T14:15-07:00,159.46676635742188,0,0
2022-04-02T14:30-07:00,150.00103759765625,0,0
2022-04-02T14:45-07:00,157.45394897460938,0,0
2022-04-02T15:00-07:00,160.56056213378906,0,0
2022-04-02T15:15-07:00,154.94845581054688,0,0
2022-04-02T15:30-07:00,152.1209716796875,0,0
2022-04-02T15:45-07:00,162.99859619140625,0,0
2022-04-02T16:00-07:00,152.05044555664062,0,0
2022-04-02T16:15-07:00,153.70205688476562,0,0
2022-04-02T16:30-07:00,159.82276916503906,0,0
2022-04-02T16:45-07:00,154.42007446289062,0,0
2022-04-02T17:00-07:00,157.3241729736328,0,0
2022-04-02T17:15-07:00,155.90585327148438,0,0
2022-04-02T17:30-07:00,155.95108032226562,0,0
2022-04-02T17:45-07:00,159.15838623046875,0,0
2022-04-02T18:00-07:00,158.6291961669922,0,0
2022-04-02T18:15-07:00,151.09889221191406,0,0
2022-04-02T18:30-07:00,153.7752227783203,0,0
2022-04-02T18:45-07:00,159.14630126953125,0,0
2022-04-02T19:00-07:00,159.0053253173828,0,0
2022-04-02T19:15-07:00,142.84243774414062,0,0
2022-04-02T19:30-07:00,165.86280822753906,0,0
2022-04-02T19:45-07:00,160.4811248779297,0,0
2022-04-02T20:00-07:00,145.7371368408203,0,0
2022-04-02T20:15-07:00,157.87135314941406,0,0
2022-04-02T20:30-07:00,165.01651000976562,0,0
2022-04-02T20:45-07:00,154.60166931152344,0,0
2022-04-02T21:00-07:00,149.04513549804688,0,0
2022-04-02T21:15-07:00,155.05194091796875,0,0
