t,v,s,r
2022-03-31T23:45-07:00,21666.35546875,0,0
2022-04-01T00:00-07:00,21666.525390625,0,0
2022-04-01T00:15-07:00,21666.69921875,0,0
2022-04-01T00:30-07:00,21666.876953125,0,0
2022-04-01T00:45-07:00,21667.05078125,0,0
2022-04-01T01:00-07:00,21667.224609375,0,0
2022-04-01T01:15-07:00,21667.3984375,0,0
2022-04-01T01:30-07:00,21667.572265625,0,0
2022-04-01T01:45-07:00,21667.74609375,0,0
2022-04-01T02:00-07:00,21667.91796875,0,0
2022-04-01T02:15-07:00,21668.095703125,0,0
2022-04-01T02:30-07:00,21668.271484375,0,0
2022-04-01T02:45-07:00,21668.4453125,0,0
2022-04-01T03:00-07:00,21668.6171875,0,0
2022-04-01T03:15-07:00,21668.787109375,0,0
2022-04-01T03:30-07:00,21668.96875,0,0
2022-04-01T03:45-07:00,21669.142578125,0,0
2022-04-01T04:00-07:00,21669.310546875,0,0
2022-04-01T04:15-07:00,21669.484375,0,0
2022-04-01T04:30-07:00,21669.66015625,0,0
2022-04-01T04:45-07:00,21669.830078125,0,0
2022-04-01T05:00-07:00,21670.005859375,0,0
2022-04-01T05:15-07:00,21670.1796875,0,0
2022-04-01T05:30-07:00,21670.359375,0,0
2022-04-01T05:45-07:00,21670.5390625,0,0
2022-04-01T06:00-07:00,21670.72265625,0,0
2022-04-01T06:15-07:00,21670.900390625,0,0
2022-04-01T06:30-07:00,21671.07421875,0,0
2022-04-01T06:45-07:00,21671.25390625,0,0
2022-04-01T07:00-07:00,21671.439453125,0,0
2022-04-01T07:15-07:00,21671.615234375,0,0
2022-04-01T07:30-07:00,21671.79296875,0,0
2022-04-01T07:45-07:00,21671.966796875,0,0
2022-04-01T08:00-07:00,21672.140625,0,0
2022-04-01T08:15-07:00,21672.31640625,0,0
2022-04-01T08:30-07:00,21672.490234375,0,0
2022-04-01T08:45-07:00,21672.662109375,0,0
2022-04-01T09:00-07:00,21672.83203125,0,0
2022-04-01T09:15-07:00,21672.998046875,0,0
2022-04-01T09:30-07:00,21673.171875,0,0
2022-04-01T09:45-07:00,21673.345703125,0,0
2022-04-01T10:00-07:00,21673.51953125,0,0
2022-04-01T10:15-07:00,21682.70703125,0,0
2022-04-01T10:30-07:00,21682.892578125,0,0
2022-04-01T10:45-07:00,21683.0625,0,0
2022-04-01T11:00-07:00,21683.23046875,0,0
2022-04-01T11:15-07:00,21683.396484375,0,0
2022-04-01T11:30-07:00,21683.556640625,0,0
2022-04-01T11:45-07:00,21689.3515625,0,0
2022-04-01T12:00-07:00,21689.474609375,0,0
2022-04-01T12:15-07:00,21689.67578125,0,0
2022-04-01T12:30-07:00,21689.84765625,0,0
2022-04-01T12:45-07:00,21690.01171875,0,0
2022-04-01T13:00-07:00,21698.208984375,0,0
2022-04-01T13:15-07:00,21698.3828125,0,0
2022-04-01T13:30-07:00,21698.546875,0,0
2022-04-01T13:45-07:00,21698.705078125,0,0
2022-04-01T14:00-07:00,21698.865234375,0,0
2022-04-01T14:15-07:00,21699.025390625,0,0
2022-04-01T14:30-07:00,21699.181640625,0,0
2022-04-01T14:45-07:00,21699.33984375,0,0
2022-04-01T15:00-07:00,21699.501953125,0,0
2022-04-01T15:15-07:00,21699.666015625,0,0
2022-04-01T15:30-07:00,21699.828125,0,0
2022-04-01T15:45-07:00,21699.994140625,0,0
2022-04-01T16:00-07:00,21700.16015625,0,0
2022-04-01T16:15-07:00,21700.32421875,0,0
2022-04-01T16:30-07:00,21700.494140625,0,0
2022-04-01T16:45-07:00,21700.66015625,0,0
2022-04-01T17:00-07:00,21700.826171875,0,0
2022-04-01T17:15-07:00,21700.9921875,0,0
2022-04-01T17:30-07:00,21701.16015625,0,0
2022-04-01T17:45-07:00,21701.326171875,0,0
2022-04-01T18:00-07:00,21701.494140625,0,0
2022-04-01T18:15-07:00,21701.66015625,0,0
2022-04-01T18:30-07:00,21701.828125,0,0
2022-04-01T18:45-07:00,21701.99609375,0,0
2022-04-01T19:00-07:00,21702.16015625,0,0
2022-04-01T19:15-07:00,21702.326171875,0,0
2022-04-01T19:30-07:00,21702.4921875,0,0
2022-04-01T19:45-07:00,21702.65625,0,0
2022-04-01T20:00-07:00,21702.8203125,0,0
2022-04-01T20:15-07:00,21702.986328125,0,0
2022-04-01T20:30-07:00,21703.150390625,0,0
2022-04-01T20:45-07:00,21703.3125,0,0
2022-04-01T21:00-07:00,21703.478515625,0,0
2022-04-01T21:15-07:00,21703.640625,0,0
2022-04-01T21:30-07:00,21703.80078125,0,0
