t,v,s,r
2022-03-10T20:09-07:00,0,128,1
2022-03-10T20:24-07:00,-1,0,3
2022-03-10T20:39-07:00,-1,0,3
2022-03-10T20:54-07:00,-1,0,3
2022-03-10T21:09-07:00,-1,0,3
2022-03-10T21:24-07:00,-1,0,3
2022-03-10T21:39-07:00,-1,0,3
2022-03-10T21:54-07:00,-1,0,3
2022-03-10T22:09-07:00,-1,0,3
2022-03-10T22:24-07:00,-1,0,3
2022-03-10T22:39-07:00,-1,0,3
2022-03-10T22:54-07:00,-1,0,3
2022-03-10T23:09-07:00,-1,0,3
2022-03-10T23:24-07:00,-1,0,3
2022-03-10T23:39-07:00,-1,0,3
2022-03-10T23:54-07:00,-1,0,3
2022-03-11T00:09-07:00,-1,0,3
2022-03-11T00:24-07:00,-1,0,3
2022-03-11T00:39-07:00,-1,0,3
2022-03-11T00:54-07:00,-1,0,3
2022-03-11T01:09-07:00,-1,0,3
2022-03-11T01:24-07:00,-1,0,3
2022-03-11T01:39-07:00,-1,0,3
2022-03-11T01:54-07:00,-1,0,3
2022-03-11T02:09-07:00,-1,0,3
2022-03-11T02:24-07:00,-1,0,3
2022-03-11T02:39-07:00,-1,0,3
2022-03-11T02:54-07:00,-1,0,3
2022-03-11T03:09-07:00,-1,0,3
2022-03-11T03:24-07:00,-1,0,3
2022-03-11T03:39-07:00,-1,0,3
2022-03-11T03:54-07:00,-1,0,3
2022-03-11T04:09-07:00,-1,0,3
2022-03-11T04:24-07:00,-1,0,3
2022-03-11T04:39-07:00,-1,0,3
2022-03-11T04:54-07:00,-1,0,3
2022-03-11T05:09-07:00,-1,0,3
2022-03-11T05:24-07:00,-1,0,3
2022-03-11T05:39-07:00,-1,0,3
2022-03-11T05:54-07:00,-1,0,3
2022-03-11T06:09-07:00,-1,0,3
2022-03-11T06:24-07:00,-1,0,3
2022-03-11T06:39-07:00,-1,0,3
2022-03-11T06:54-07:00,-1,0,3
2022-03-11T07:09-07:00,-1,0,3
2022-03-11T07:24-07:00,-1,0,3
2022-03-11T07:39-07:00,-1,0,3
2022-03-11T07:54-07:00,-1,0,3
2022-03-11T08:09-07:00,-1,0,3
2022-03-11T08:24-07:00,-1,0,3
2022-03-11T08:39-07:00,-1,0,3
2022-03-11T08:54-07:00,-1,0,3
