t,v,s,r
2022-03-31T23:45:09.778-07:00,540.824462890625,0,0
2022-04-01T00:00:09.716-07:00,541.5068969726562,0,0
2022-04-01T00:15:13.440-07:00,527.8582763671875,0,0
2022-04-01T00:30:09.111-07:00,543.55419921875,0,0
2022-04-01T00:45:09.845-07:00,552.7669677734375,0,0
2022-04-01T01:00:12.478-07:00,546.96630859375,0,0
2022-04-01T01:15:09.698-07:00,536.0474853515625,0,0
2022-04-01T01:30:10.904-07:00,524.7874145507812,0,0
2022-04-01T01:45:11.380-07:00,532.6353149414062,0,0
2022-04-01T02:00:01.310-07:00,537.0711059570312,0,0
2022-04-01T02:15:09.160-07:00,534.0001831054688,0,0
2022-04-01T02:30:09.010-07:00,556.1790771484375,0,0
2022-04-01T02:45:09.647-07:00,551.402099609375,0,0
2022-04-01T03:00:00.710-07:00,498.8551025390625,0,0
2022-04-01T03:15:09.200-07:00,539.80078125,0,0
2022-04-01T03:30:09.551-07:00,521.7164916992188,0,0
2022-04-01T03:45:08.693-07:00,504.6557922363281,0,0
2022-04-01T04:00:09.998-07:00,511.4800720214844,0,0
2022-04-01T04:15:09.344-07:00,516.5982666015625,0,0
2022-04-01T04:30:10.004-07:00,494.7605285644531,0,0
2022-04-01T04:45:00.759-07:00,510.7975769042969,0,0
2022-04-01T05:00:12.172-07:00,464.3924865722656,0,0
2022-04-01T05:15:09.537-07:00,472.2404479980469,0,0
2022-04-01T05:30:09.629-07:00,489.3011474609375,0,0
2022-04-01T05:45:01.063-07:00,505.67938232421875,0,0
2022-04-01T06:00:09.337-07:00,501.9260559082031,0,0
2022-04-01T06:15:09.206-07:00,476.6761779785156,0,0
2022-04-01T06:30:09.406-07:00,487.25384521484375,0,0
2022-04-01T06:45:09.787-07:00,477.0174255371094,0,0
2022-04-01T07:00:09.504-07:00,549.0136108398438,0,0
2022-04-01T07:15:09.704-07:00,519.3279418945312,0,0
2022-04-01T07:30:00.786-07:00,501.9260559082031,0,0
2022-04-01T07:45:09.298-07:00,505.67938232421875,0,0
2022-04-01T08:00:08.891-07:00,518.3043212890625,0,0
2022-04-01T08:15:10.233-07:00,552.42578125,0,0
2022-04-01T08:30:11.176-07:00,561.979736328125,0,0
2022-04-01T08:45:09.821-07:00,553.7905883789062,0,0
2022-04-01T09:00:09.368-07:00,575.6282958984375,0,0
2022-04-01T09:15:09.972-07:00,570.851318359375,0,0
2022-04-01T09:30:10.311-07:00,593.3714599609375,0,0
2022-04-01T09:45:10.499-07:00,584.8411254882812,0,0
2022-04-01T10:00:09.588-07:00,588.5944213867188,0,0
2022-04-01T10:15:09.227-07:00,593.712646484375,0,0
2022-04-01T10:30:10.311-07:00,612.1382446289062,0,0
2022-04-01T10:45:09.537-07:00,574.9458618164062,0,0
2022-04-01T11:00:08.814-07:00,587.57080078125,0,0
2022-04-01T11:15:09.393-07:00,591.6654052734375,0,0
2022-04-01T11:30:09.088-07:00,611.1145629882812,0,0
2022-04-01T11:45:09.689-07:00,604.9727172851562,0,0
2022-04-01T12:00:09.305-07:00,601.5606079101562,0,0
2022-04-01T12:15:09.199-07:00,646.600830078125,0,0
2022-04-01T12:30:09.555-07:00,630.2225341796875,0,0
2022-04-01T12:45:09.262-07:00,629.198974609375,0,0
2022-04-01T13:00:09.342-07:00,639.7765502929688,0,0
2022-04-01T13:15:09.172-07:00,654.1075439453125,0,0
2022-04-01T13:30:03.586-07:00,685.8404541015625,0,0
2022-04-01T13:45:09.419-07:00,684.8168334960938,0,0
2022-04-01T14:00:09.784-07:00,704.948486328125,0,0
2022-04-01T14:15:09.287-07:00,671.5094604492188,0,0
2022-04-01T14:30:00.738-07:00,676.9689331054688,0,0
2022-04-01T14:45:11.622-07:00,712.1139526367188,0,0
2022-04-01T15:00:09.725-07:00,700.5126953125,0,0
2022-04-01T15:15:09.223-07:00,708.7017822265625,0,0
2022-04-01T15:30:00.516-07:00,731.2219848632812,0,0
2022-04-01T15:45:09.506-07:00,729.8571166992188,0,0
2022-04-01T16:00:09.191-07:00,693.34716796875,0,0
2022-04-01T16:15:09.414-07:00,671.5094604492188,0,0
2022-04-01T16:30:01.310-07:00,691.9823608398438,0,0
2022-04-01T16:45:09.567-07:00,676.2864379882812,0,0
2022-04-01T17:00:08.785-07:00,665.3676147460938,0,0
2022-04-01T17:15:09.966-07:00,625.445556640625,0,0
2022-04-01T17:30:00.761-07:00,630.2225341796875,0,0
2022-04-01T17:45:10.617-07:00,664.0028076171875,0,0
2022-04-01T18:00:09.450-07:00,647.9656982421875,0,0
2022-04-01T18:15:09.244-07:00,638.4117431640625,0,0
2022-04-01T18:30:00.912-07:00,641.8238525390625,0,0
2022-04-01T18:45:09.492-07:00,600.5369262695312,0,0
2022-04-01T19:00:09.241-07:00,611.7969970703125,0,0
2022-04-01T19:15:09.837-07:00,579.3816528320312,0,0
2022-04-01T19:30:00.723-07:00,584.4998779296875,0,0
2022-04-01T19:45:09.296-07:00,593.3714599609375,0,0
2022-04-01T20:00:09.566-07:00,579.0404052734375,0,0
2022-04-01T20:15:09.043-07:00,574.263427734375,0,0
2022-04-01T20:30:00.734-07:00,594.0538940429688,0,0
2022-04-01T20:45:09.859-07:00,579.0404052734375,0,0
2022-04-01T21:00:08.851-07:00,587.2296142578125,0,0
2022-04-01T21:15:09.291-07:00,581.0877075195312,0,0
2022-04-01T21:30:09.849-07:00,569.145263671875,0,0
2022-04-01T21:45:09.917-07:00,577.3343505859375,0,0
2022-04-01T22:00:09.989-07:00,570.5100708007812,0,0
2022-04-01T22:15:09.589-07:00,563.3446044921875,0,0
2022-04-01T22:30:09.278-07:00,556.8615112304688,0,0
2022-04-01T22:45:09.745-07:00,563.0033569335938,0,0
2022-04-01T23:00:09.353-07:00,558.5675659179688,0,0
2022-04-01T23:15:09.295-07:00,539.80078125,0,0
2022-04-01T23:30:10.511-07:00,533.3177490234375,0,0
2022-04-01T23:45:10.367-07:00,573.5810546875,0,0
2022-04-02T00:00:09.799-07:00,558.5675659179688,0,0
2022-04-02T00:15:00.719-07:00,560.2736206054688,0,0
2022-04-02T00:30:09.172-07:00,571.1925659179688,0,0
2022-04-02T00:45:09.954-07:00,547.989990234375,0,0
2022-04-02T01:00:09.428-07:00,542.1893310546875,0,0
2022-04-02T01:15:09.863-07:00,545.9426879882812,0,0
2022-04-02T01:30:10.184-07:00,544.5778198242188,0,0
2022-04-02T01:45:09.727-07:00,554.1318359375,0,0
2022-04-02T02:00:10.713-07:00,564.7094116210938,0,0
2022-04-02T02:15:10.775-07:00,541.8480834960938,0,0
2022-04-02T02:30:09.768-07:00,569.82763671875,0,0
2022-04-02T02:45:09.326-07:00,543.2129516601562,0,0
2022-04-02T03:00:10.347-07:00,515.9158325195312,0,0
2022-04-02T03:15:09.070-07:00,521.0339965820312,0,0
2022-04-02T03:30:09.785-07:00,509.0915222167969,0,0
2022-04-02T03:45:09.136-07:00,522.0576782226562,0,0
2022-04-02T04:00:00.712-07:00,488.2774963378906,0,0
2022-04-02T04:15:08.897-07:00,551.7432861328125,0,0
2022-04-02T04:30:09.259-07:00,528.540771484375,0,0
2022-04-02T04:45:10.023-07:00,538.0947265625,0,0
2022-04-02T05:00:13.247-07:00,534.0001831054688,0,0
2022-04-02T05:15:09.050-07:00,517.6218872070312,0,0
2022-04-02T05:30:09.997-07:00,521.7164916992188,0,0
2022-04-02T05:45:07.329-07:00,532.6353149414062,0,0
2022-04-02T06:00:11.044-07:00,515.5746459960938,0,0
2022-04-02T06:15:10.403-07:00,542.530517578125,0,0
2022-04-02T06:30:08.936-07:00,531.9529418945312,0,0
2022-04-02T06:45:36.760-07:00,511.4800720214844,0,0
2022-04-02T07:00:09.111-07:00,522.39892578125,0,0
2022-04-02T07:15:09.700-07:00,507.0442810058594,0,0
2022-04-02T07:30:09.211-07:00,546.96630859375,0,0
2022-04-02T07:45:00.695-07:00,532.6353149414062,0,0
2022-04-02T08:00:08.935-07:00,546.2838745117188,0,0
2022-04-02T08:15:10.154-07:00,549.0136108398438,0,0
2022-04-02T08:30:08.949-07:00,503.63214111328125,0,0
2022-04-02T08:45:00.855-07:00,517.2807006835938,0,0
2022-04-02T09:00:09.975-07:00,545.6015014648438,0,0
2022-04-02T09:15:09.281-07:00,526.1522216796875,0,0
2022-04-02T09:30:08.532-07:00,589.9592895507812,0,0
2022-04-02T09:45:00.667-07:00,549.0136108398438,0,0
2022-04-02T10:00:09.192-07:00,570.5100708007812,0,0
2022-04-02T10:15:10.206-07:00,580.7465209960938,0,0
2022-04-02T10:30:10.423-07:00,584.8411254882812,0,0
2022-04-02T10:45:00.774-07:00,587.2296142578125,0,0
2022-04-02T11:00:09.607-07:00,581.0877075195312,0,0
2022-04-02T11:15:09.712-07:00,588.2532348632812,0,0
2022-04-02T11:30:09.201-07:00,578.016845703125,0,0
2022-04-02T11:45:00.648-07:00,589.9592895507812,0,0
2022-04-02T12:00:09.892-07:00,590.6417236328125,0,0
2022-04-02T12:15:09.801-07:00,637.3880615234375,0,0
2022-04-02T12:30:08.866-07:00,625.445556640625,0,0
2022-04-02T12:45:00.877-07:00,595.7599487304688,0,0
2022-04-02T13:00:09.168-07:00,636.3644409179688,0,0
2022-04-02T13:15:10.140-07:00,603.9490966796875,0,0
2022-04-02T13:30:09.018-07:00,585.5234985351562,0,0
2022-04-02T13:45:00.802-07:00,590.98291015625,0,0
2022-04-02T14:00:09.382-07:00,595.0775146484375,0,0
2022-04-02T14:15:09.637-07:00,608.3848876953125,0,0
2022-04-02T14:30:09.275-07:00,620.6685791015625,0,0
2022-04-02T14:45:10.385-07:00,640.8002319335938,0,0
2022-04-02T15:00:09.576-07:00,642.1650390625,0,0
2022-04-02T15:15:09.948-07:00,601.2193603515625,0,0
2022-04-02T15:30:09.941-07:00,632.2698364257812,0,0
2022-04-02T15:45:09.515-07:00,616.2327880859375,0,0
2022-04-02T16:00:10.160-07:00,669.8034057617188,0,0
2022-04-02T16:15:09.104-07:00,610.4321899414062,0,0
2022-04-02T16:30:09.620-07:00,644.5535888671875,0,0
2022-04-02T16:45:10.264-07:00,580.7465209960938,0,0
2022-04-02T17:00:09.515-07:00,546.2838745117188,0,0
2022-04-02T17:15:09.767-07:00,541.8480834960938,0,0
2022-04-02T17:30:11.158-07:00,535.0238037109375,0,0
2022-04-02T17:45:11.090-07:00,476.3349914550781,0,0
2022-04-02T18:00:10.413-07:00,511.8212585449219,0,0
2022-04-02T18:15:09.503-07:00,465.75732421875,0,0
2022-04-02T18:30:10.339-07:00,440.84869384765625,0,0
2022-04-02T18:45:10.681-07:00,437.77777099609375,0,0
2022-04-02T19:00:09.672-07:00,413.8927917480469,0,0
2022-04-02T19:15:09.696-07:00,490.6659851074219,0,0
2022-04-02T19:30:10.279-07:00,540.4832763671875,0,0
2022-04-02T19:45:09.797-07:00,541.5068969726562,0,0
2022-04-02T20:00:10.179-07:00,556.1790771484375,0,0
2022-04-02T20:15:09.333-07:00,556.5203247070312,0,0
2022-04-02T20:30:09.105-07:00,532.6353149414062,0,0
2022-04-02T20:45:09.255-07:00,522.7401123046875,0,0
2022-04-02T21:00:09.886-07:00,520.6928100585938,0,0
2022-04-02T21:15:09.075-07:00,561.2973022460938,0,0
2022-04-02T21:30:01.800-07:00,539.80078125,0,0
2022-04-02T21:45:09.305-07:00,526.1522216796875,0,0
2022-04-02T22:00:09.707-07:00,551.402099609375,0,0
2022-04-02T22:15:09.701-07:00,551.0608520507812,0,0
2022-04-02T22:30:00.711-07:00,545.26025390625,0,0
2022-04-02T22:45:08.777-07:00,542.8717651367188,0,0
2022-04-02T23:00:09.512-07:00,555.1554565429688,0,0
2022-04-02T23:15:09.909-07:00,549.3547973632812,0,0
2022-04-02T23:30:00.717-07:00,557.8851318359375,0,0
2022-04-02T23:45:09.401-07:00,570.851318359375,0,0
2022-04-03T00:00:09.858-07:00,560.9561157226562,0,0
2022-04-03T00:15:09.150-07:00,572.557373046875,0,0
2022-04-03T00:30:10.131-07:00,558.9088134765625,0,0
2022-04-03T00:45:10.084-07:00,582.7938232421875,0,0
2022-04-03T01:00:09.929-07:00,574.263427734375,0,0
2022-04-03T01:15:09.346-07:00,565.0506591796875,0,0
2022-04-03T01:30:09.555-07:00,549.3547973632812,0,0
2022-04-03T01:45:09.912-07:00,532.6353149414062,0,0
2022-04-03T02:00:09.990-07:00,536.7299194335938,0,0
2022-04-03T02:15:03.963-07:00,561.2973022460938,0,0
2022-04-03T02:30:09.510-07:00,529.5643920898438,0,0
2022-04-03T02:45:09.763-07:00,539.4595947265625,0,0
2022-04-03T03:00:09.442-07:00,550.3784790039062,0,0
2022-04-03T03:15:01.165-07:00,545.26025390625,0,0
2022-04-03T03:30:09.580-07:00,570.5100708007812,0,0
2022-04-03T03:45:09.129-07:00,554.4730224609375,0,0
2022-04-03T04:00:07.415-07:00,532.9765014648438,0,0
2022-04-03T04:15:00.574-07:00,575.6282958984375,0,0
2022-04-03T04:30:09.682-07:00,536.7299194335938,0,0
2022-04-03T04:45:09.197-07:00,574.263427734375,0,0
2022-04-03T05:00:12.201-07:00,572.8986206054688,0,0
2022-04-03T05:15:09.984-07:00,526.4934692382812,0,0
2022-04-03T05:30:09.103-07:00,569.82763671875,0,0
2022-04-03T05:45:09.137-07:00,559.5912475585938,0,0
2022-04-03T06:00:08.537-07:00,573.2398071289062,0,0
2022-04-03T06:15:09.753-07:00,586.2059326171875,0,0
2022-04-03T06:30:10.072-07:00,535.0238037109375,0,0
2022-04-03T06:45:09.275-07:00,549.0136108398438,0,0
2022-04-03T07:00:17.568-07:00,552.0845336914062,0,0
2022-04-03T07:15:09.205-07:00,542.8717651367188,0,0
2022-04-03T07:30:12.574-07:00,530.246826171875,0,0
2022-04-03T07:45:10.016-07:00,541.8480834960938,0,0
2022-04-03T08:00:00.832-07:00,559.5912475585938,0,0
2022-04-03T08:15:10.198-07:00,563.0033569335938,0,0
2022-04-03T08:30:09.421-07:00,525.81103515625,0,0
2022-04-03T08:45:09.033-07:00,524.4461669921875,0,0
2022-04-03T09:00:00.738-07:00,535.3650512695312,0,0
2022-04-03T09:15:10.018-07:00,559.9324340820312,0,0
2022-04-03T09:30:08.835-07:00,535.3650512695312,0,0
2022-04-03T09:45:10.105-07:00,539.80078125,0,0
2022-04-03T10:00:09.826-07:00,551.7432861328125,0,0
2022-04-03T10:15:09.853-07:00,538.7772216796875,0,0
2022-04-03T10:30:10.005-07:00,530.5880126953125,0,0
2022-04-03T10:45:09.147-07:00,586.8883666992188,0,0
2022-04-03T11:00:09.842-07:00,584.4998779296875,0,0
2022-04-03T11:15:10.187-07:00,556.1790771484375,0,0
2022-04-03T11:30:10.126-07:00,562.6621704101562,0,0
2022-04-03T11:45:16.910-07:00,594.0538940429688,0,0
2022-04-03T12:00:10.015-07:00,571.8749389648438,0,0
2022-04-03T12:15:10.414-07:00,590.98291015625,0,0
2022-04-03T12:30:09.865-07:00,612.1382446289062,0,0
2022-04-03T12:45:20.079-07:00,579.3816528320312,0,0
2022-04-03T13:00:09.974-07:00,601.5606079101562,0,0
2022-04-03T13:15:09.563-07:00,614.867919921875,0,0
2022-04-03T13:30:09.440-07:00,574.9458618164062,0,0
2022-04-03T13:45:09.683-07:00,596.1011352539062,0,0
2022-04-03T14:00:09.893-07:00,610.7733764648438,0,0
2022-04-03T14:15:09.214-07:00,601.2193603515625,0,0
2022-04-03T14:30:10.036-07:00,594.7362670898438,0,0
2022-04-03T14:45:08.921-07:00,610.0909423828125,0,0
2022-04-03T15:00:10.957-07:00,597.124755859375,0,0
2022-04-03T15:15:10.102-07:00,618.280029296875,0,0
2022-04-03T15:30:09.526-07:00,606.6787719726562,0,0
2022-04-03T15:45:00.925-07:00,609.7496948242188,0,0
2022-04-03T16:00:09.150-07:00,599.8544921875,0,0
2022-04-03T16:15:10.491-07:00,569.145263671875,0,0
2022-04-03T16:30:10.156-07:00,600.5369262695312,0,0
2022-04-03T16:45:00.584-07:00,596.4423828125,0,0
2022-04-03T17:00:10.214-07:00,619.9861450195312,0,0
2022-04-03T17:15:08.672-07:00,628.17529296875,0,0
2022-04-03T17:30:10.228-07:00,616.573974609375,0,0
2022-04-03T17:45:00.648-07:00,590.3004760742188,0,0
2022-04-03T18:00:09.912-07:00,586.2059326171875,0,0
2022-04-03T18:15:09.994-07:00,569.4864501953125,0,0
2022-04-03T18:30:10.048-07:00,601.5606079101562,0,0
2022-04-03T18:45:03.790-07:00,576.9931640625,0,0
2022-04-03T19:00:10.181-07:00,560.2736206054688,0,0
2022-04-03T19:15:07.620-07:00,557.2027587890625,0,0
2022-04-03T19:30:08.289-07:00,569.82763671875,0,0
2022-04-03T19:45:08.141-07:00,565.7330932617188,0,0
2022-04-03T20:00:10.844-07:00,587.57080078125,0,0
2022-04-03T20:15:10.102-07:00,578.016845703125,0,0
2022-04-03T20:30:09.545-07:00,570.1688842773438,0,0
2022-04-03T20:45:09.586-07:00,575.287109375,0,0
2022-04-03T21:00:10.126-07:00,571.5337524414062,0,0
2022-04-03T21:15:09.093-07:00,540.1420288085938,0,0
2022-04-03T21:30:27.395-07:00,562.6621704101562,0,0
2022-04-03T21:45:10.030-07:00,561.979736328125,0,0
2022-04-03T22:00:09.131-07:00,545.9426879882812,0,0
2022-04-03T22:15:09.410-07:00,545.9426879882812,0,0
2022-04-03T22:30:00.822-07:00,554.1318359375,0,0
2022-04-03T22:45:10.289-07:00,552.42578125,0,0
2022-04-03T23:00:09.788-07:00,545.6015014648438,0,0
2022-04-03T23:15:09.603-07:00,537.4122924804688,0,0
2022-04-03T23:30:03.180-07:00,521.7164916992188,0,0
2022-04-03T23:45:09.199-07:00,525.1286010742188,0,0
2022-04-04T00:00:09.308-07:00,544.9190063476562,0,0
2022-04-04T00:15:09.831-07:00,536.388671875,0,0
2022-04-04T00:30:10.346-07:00,520.3516235351562,0,0
2022-04-04T00:45:09.622-07:00,557.5439453125,0,0
2022-04-04T01:00:09.413-07:00,539.118408203125,0,0
2022-04-04T01:15:09.129-07:00,546.6250610351562,0,0
2022-04-04T01:30:09.348-07:00,511.1388244628906,0,0
2022-04-04T01:45:10.106-07:00,530.246826171875,0,0
2022-04-04T02:00:09.534-07:00,547.3075561523438,0,0
2022-04-04T02:15:02.094-07:00,512.1624755859375,0,0
2022-04-04T02:30:09.285-07:00,511.1388244628906,0,0
2022-04-04T02:45:09.260-07:00,520.0104370117188,0,0
2022-04-04T03:00:10.325-07:00,510.4564208984375,0,0
2022-04-04T03:15:01.286-07:00,508.4090881347656,0,0
2022-04-04T03:30:10.114-07:00,514.5509643554688,0,0
2022-04-04T03:45:09.235-07:00,504.9969482421875,0,0
2022-04-04T04:00:09.570-07:00,523.081298828125,0,0
2022-04-04T04:15:09.594-07:00,520.0104370117188,0,0
2022-04-04T04:30:09.583-07:00,489.3011474609375,0,0
2022-04-04T04:45:10.674-07:00,501.9260559082031,0,0
2022-04-04T05:00:13.303-07:00,500.5611572265625,0,0
2022-04-04T05:15:09.736-07:00,442.89599609375,0,0
2022-04-04T05:30:09.261-07:00,562.6621704101562,0,0
2022-04-04T05:45:09.388-07:00,506.7030334472656,0,0
2022-04-04T06:00:38.666-07:00,533.3177490234375,0,0
2022-04-04T06:15:09.215-07:00,488.6186828613281,0,0
2022-04-04T06:30:10.243-07:00,515.5746459960938,0,0
2022-04-04T06:45:09.900-07:00,503.63214111328125,0,0
2022-04-04T07:00:00.674-07:00,488.95989990234375,0,0
2022-04-04T07:15:09.501-07:00,503.2908935546875,0,0
2022-04-04T07:30:09.295-07:00,510.7975769042969,0,0
2022-04-04T07:45:09.875-07:00,488.6186828613281,0,0
2022-04-04T08:00:09.769-07:00,482.47686767578125,0,0
2022-04-04T08:15:09.105-07:00,506.7030334472656,0,0
2022-04-04T08:30:09.616-07:00,509.77398681640625,0,0
2022-04-04T08:45:09.398-07:00,507.38543701171875,0,0
2022-04-04T09:00:09.843-07:00,522.7401123046875,0,0
2022-04-04T09:15:09.595-07:00,528.8819580078125,0,0
2022-04-04T09:30:09.379-07:00,533.6589965820312,0,0
2022-04-04T09:45:09.842-07:00,497.4902648925781,0,0
