t,v,s,r
2022-03-31T23:45:01.172-07:00,43.012939453125,0,0
2022-04-01T00:00:09.728-07:00,42.92901611328125,0,0
2022-04-01T00:15:01.185-07:00,43.066314697265625,0,0
2022-04-01T00:30:08.276-07:00,42.898529052734375,0,0
2022-04-01T00:45:01.218-07:00,42.898529052734375,0,0
2022-04-01T01:00:01.244-07:00,42.92901611328125,0,0
2022-04-01T01:15:01.196-07:00,43.0281982421875,0,0
2022-04-01T01:30:08.350-07:00,42.94427490234375,0,0
2022-04-01T01:45:01.369-07:00,43.00531005859375,0,0
2022-04-01T02:00:08.670-07:00,42.951904296875,0,0
2022-04-01T02:15:01.283-07:00,43.0281982421875,0,0
2022-04-01T02:30:08.219-07:00,42.9671630859375,0,0
2022-04-01T02:45:01.178-07:00,42.890899658203125,0,0
2022-04-01T03:00:09.314-07:00,43.066314697265625,0,0
2022-04-01T03:15:01.221-07:00,42.982421875,0,0
2022-04-01T03:30:10.959-07:00,42.951904296875,0,0
2022-04-01T03:45:01.302-07:00,42.9976806640625,0,0
2022-04-01T04:00:10.605-07:00,42.95953369140625,0,0
2022-04-01T04:15:01.154-07:00,42.890899658203125,0,0
2022-04-01T04:30:10.782-07:00,42.982421875,0,0
2022-04-01T04:45:01.284-07:00,43.00531005859375,0,0
2022-04-01T05:00:11.891-07:00,42.9366455078125,0,0
2022-04-01T05:15:01.225-07:00,43.089202880859375,0,0
2022-04-01T05:30:13.715-07:00,42.99005126953125,0,0
2022-04-01T05:45:01.265-07:00,43.058685302734375,0,0
2022-04-01T06:00:09.521-07:00,42.94427490234375,0,0
2022-04-01T06:15:01.201-07:00,42.982421875,0,0
2022-04-01T06:30:10.432-07:00,42.982421875,0,0
2022-04-01T06:45:01.204-07:00,43.073944091796875,0,0
2022-04-01T07:00:09.664-07:00,43.02056884765625,0,0
2022-04-01T07:15:03.305-07:00,43.02056884765625,0,0
2022-04-01T07:30:09.199-07:00,42.890899658203125,0,0
2022-04-01T07:45:01.236-07:00,43.02056884765625,0,0
2022-04-01T08:00:10.230-07:00,42.94427490234375,0,0
2022-04-01T08:15:01.230-07:00,43.104461669921875,0,0
2022-04-01T08:30:10.704-07:00,43.051055908203125,0,0
2022-04-01T08:45:01.188-07:00,43.134979248046875,0,0
2022-04-01T09:00:10.696-07:00,43.150238037109375,0,0
2022-04-01T09:15:00.260-07:00,43.134979248046875,0,0
2022-04-01T09:30:05.959-07:00,43.112091064453125,0,0
2022-04-01T09:45:01.371-07:00,43.00531005859375,0,0
2022-04-01T10:00:10.417-07:00,42.951904296875,0,0
2022-04-01T10:15:01.240-07:00,43.134979248046875,0,0
2022-04-01T10:30:11.928-07:00,42.982421875,0,0
2022-04-01T10:45:01.973-07:00,43.00531005859375,0,0
2022-04-01T11:00:11.021-07:00,42.982421875,0,0
2022-04-01T11:15:01.236-07:00,42.94427490234375,0,0
