t,v,s,r
2022-03-31T23:45:00.287-07:00,42.977935791015625,0,0
2022-04-01T00:00:00.350-07:00,42.95501708984375,0,0
2022-04-01T00:15:00.321-07:00,42.93975830078125,0,0
2022-04-01T00:30:00.289-07:00,42.86334228515625,0,0
2022-04-01T00:45:00.285-07:00,42.916839599609375,0,0
2022-04-01T01:00:00.303-07:00,42.977935791015625,0,0
2022-04-01T01:15:00.317-07:00,43.0008544921875,0,0
2022-04-01T01:30:00.292-07:00,42.962677001953125,0,0
2022-04-01T01:45:00.299-07:00,42.924468994140625,0,0
2022-04-01T02:00:00.296-07:00,42.932098388671875,0,0
2022-04-01T02:15:00.286-07:00,42.93975830078125,0,0
2022-04-01T02:30:00.293-07:00,42.916839599609375,0,0
2022-04-01T02:45:00.300-07:00,42.86334228515625,0,0
2022-04-01T03:00:00.288-07:00,42.9473876953125,0,0
2022-04-01T03:15:00.336-07:00,42.886260986328125,0,0
2022-04-01T03:30:00.338-07:00,42.855712890625,0,0
2022-04-01T03:45:00.304-07:00,42.86334228515625,0,0
2022-04-01T04:00:00.280-07:00,42.832794189453125,0,0
2022-04-01T04:15:00.348-07:00,42.855712890625,0,0
2022-04-01T04:30:00.298-07:00,42.878631591796875,0,0
2022-04-01T04:45:00.303-07:00,42.855712890625,0,0
2022-04-01T05:00:00.309-07:00,42.886260986328125,0,0
2022-04-01T05:15:00.299-07:00,42.95501708984375,0,0
2022-04-01T05:30:00.317-07:00,42.932098388671875,0,0
2022-04-01T05:45:00.345-07:00,42.962677001953125,0,0
2022-04-01T06:00:00.323-07:00,42.932098388671875,0,0
2022-04-01T06:15:00.324-07:00,42.893890380859375,0,0
2022-04-01T06:30:03.032-07:00,42.9473876953125,0,0
2022-04-01T06:45:00.322-07:00,43.016143798828125,0,0
2022-04-01T07:00:00.314-07:00,42.9091796875,0,0
2022-04-01T07:15:00.309-07:00,42.93975830078125,0,0
2022-04-01T07:30:00.296-07:00,42.886260986328125,0,0
2022-04-01T07:45:00.273-07:00,42.93975830078125,0,0
2022-04-01T08:00:00.639-07:00,42.893890380859375,0,0
2022-04-01T08:15:00.307-07:00,43.0238037109375,0,0
2022-04-01T08:30:00.302-07:00,43.0238037109375,0,0
2022-04-01T08:45:00.330-07:00,43.03143310546875,0,0
2022-04-01T09:00:00.285-07:00,43.092559814453125,0,0
2022-04-01T09:15:00.320-07:00,43.107818603515625,0,0
2022-04-01T09:30:00.638-07:00,43.016143798828125,0,0
2022-04-01T09:45:00.365-07:00,42.95501708984375,0,0
2022-04-01T10:00:01.114-07:00,42.90155029296875,0,0
2022-04-01T10:15:00.328-07:00,43.046722412109375,0,0
2022-04-01T10:30:00.652-07:00,42.924468994140625,0,0
2022-04-01T10:45:00.305-07:00,42.977935791015625,0,0
2022-04-01T11:00:00.292-07:00,42.878631591796875,0,0
2022-04-01T11:15:00.319-07:00,42.90155029296875,0,0
2022-04-01T11:30:00.310-07:00,42.924468994140625,0,0
2022-04-01T11:45:00.305-07:00,43.0008544921875,0,0
2022-04-01T12:00:00.364-07:00,42.9091796875,0,0
2022-04-01T12:15:00.295-07:00,43.0008544921875,0,0
2022-04-01T12:30:00.306-07:00,43.03143310546875,0,0
2022-04-01T12:45:00.333-07:00,43.0008544921875,0,0
2022-04-01T13:00:00.274-07:00,42.977935791015625,0,0
2022-04-01T13:15:00.339-07:00,42.962677001953125,0,0
2022-04-01T13:30:00.295-07:00,42.93975830078125,0,0
2022-04-01T13:45:00.287-07:00,42.9473876953125,0,0
2022-04-01T14:00:00.311-07:00,42.8709716796875,0,0
2022-04-01T14:15:00.320-07:00,42.886260986328125,0,0
2022-04-01T14:30:00.309-07:00,42.95501708984375,0,0
2022-04-01T14:45:00.294-07:00,42.916839599609375,0,0
2022-04-01T15:00:00.296-07:00,42.9091796875,0,0
2022-04-01T15:15:00.295-07:00,43.016143798828125,0,0
2022-04-01T15:30:00.323-07:00,42.95501708984375,0,0
2022-04-01T15:45:00.286-07:00,42.878631591796875,0,0
2022-04-01T16:00:00.302-07:00,42.78692626953125,0,0
2022-04-01T16:15:00.318-07:00,42.794586181640625,0,0
2022-04-01T16:30:00.281-07:00,42.756378173828125,0,0
2022-04-01T16:45:00.302-07:00,42.794586181640625,0,0
2022-04-01T17:00:00.343-07:00,42.710540771484375,0,0
2022-04-01T17:15:00.273-07:00,42.7410888671875,0,0
2022-04-01T17:30:00.352-07:00,42.748748779296875,0,0
2022-04-01T17:45:00.295-07:00,42.77166748046875,0,0
2022-04-01T18:00:00.318-07:00,42.702880859375,0,0
2022-04-01T18:15:00.324-07:00,42.7410888671875,0,0
2022-04-01T18:30:00.300-07:00,42.794586181640625,0,0
2022-04-01T18:45:00.316-07:00,42.710540771484375,0,0
2022-04-01T19:00:00.298-07:00,42.718170166015625,0,0
2022-04-01T19:15:00.300-07:00,42.779296875,0,0
2022-04-01T19:30:00.350-07:00,42.840423583984375,0,0
2022-04-01T19:45:00.304-07:00,42.809844970703125,0,0
2022-04-01T20:00:00.293-07:00,42.809844970703125,0,0
2022-04-01T20:15:00.324-07:00,42.878631591796875,0,0
2022-04-01T20:30:00.307-07:00,42.794586181640625,0,0
2022-04-01T20:45:00.350-07:00,42.832794189453125,0,0
2022-04-01T21:00:00.282-07:00,42.82513427734375,0,0
2022-04-01T21:15:00.325-07:00,42.8709716796875,0,0
2022-04-01T21:30:00.333-07:00,42.8709716796875,0,0
2022-04-01T21:45:00.280-07:00,42.855712890625,0,0
2022-04-01T22:00:00.337-07:00,42.86334228515625,0,0
2022-04-01T22:15:00.343-07:00,42.93975830078125,0,0
2022-04-01T22:30:00.293-07:00,42.893890380859375,0,0
2022-04-01T22:45:00.283-07:00,42.9091796875,0,0
2022-04-01T23:00:00.288-07:00,42.855712890625,0,0
2022-04-01T23:15:00.354-07:00,42.82513427734375,0,0
2022-04-01T23:30:00.271-07:00,42.802215576171875,0,0
2022-04-01T23:45:00.313-07:00,42.86334228515625,0,0
2022-04-02T00:00:00.309-07:00,42.93975830078125,0,0
2022-04-02T00:15:00.282-07:00,42.95501708984375,0,0
2022-04-02T00:30:00.306-07:00,43.016143798828125,0,0
2022-04-02T00:45:00.285-07:00,43.0008544921875,0,0
2022-04-02T01:00:00.305-07:00,42.962677001953125,0,0
2022-04-02T01:15:00.305-07:00,42.932098388671875,0,0
2022-04-02T01:30:00.326-07:00,42.9091796875,0,0
2022-04-02T01:45:00.321-07:00,42.893890380859375,0,0
2022-04-02T02:00:00.310-07:00,43.008514404296875,0,0
2022-04-02T02:15:00.310-07:00,42.932098388671875,0,0
2022-04-02T02:30:00.283-07:00,42.86334228515625,0,0
2022-04-02T02:45:00.291-07:00,42.82513427734375,0,0
2022-04-02T03:00:00.294-07:00,42.962677001953125,0,0
2022-04-02T03:15:00.280-07:00,42.886260986328125,0,0
2022-04-02T03:30:00.328-07:00,42.809844970703125,0,0
2022-04-02T03:45:00.305-07:00,42.82513427734375,0,0
2022-04-02T04:00:00.367-07:00,42.848052978515625,0,0
2022-04-02T04:15:00.466-07:00,42.970306396484375,0,0
2022-04-02T04:30:00.312-07:00,43.046722412109375,0,0
2022-04-02T04:45:00.320-07:00,43.0772705078125,0,0
2022-04-02T05:00:00.375-07:00,43.0390625,0,0
2022-04-02T05:15:00.307-07:00,43.138397216796875,0,0
2022-04-02T05:30:00.304-07:00,43.12310791015625,0,0
2022-04-02T05:45:00.280-07:00,42.916839599609375,0,0
2022-04-02T06:00:00.299-07:00,42.9473876953125,0,0
2022-04-02T06:15:00.293-07:00,42.93975830078125,0,0
2022-04-02T06:30:00.294-07:00,42.90155029296875,0,0
2022-04-02T06:45:00.300-07:00,42.893890380859375,0,0
2022-04-02T07:00:00.336-07:00,42.886260986328125,0,0
2022-04-02T07:15:00.312-07:00,42.878631591796875,0,0
2022-04-02T07:30:00.303-07:00,42.8709716796875,0,0
2022-04-02T07:45:00.289-07:00,42.86334228515625,0,0
2022-04-02T08:00:00.284-07:00,42.893890380859375,0,0
2022-04-02T08:15:00.294-07:00,42.9473876953125,0,0
2022-04-02T08:30:00.331-07:00,43.0238037109375,0,0
2022-04-02T08:45:00.298-07:00,43.03143310546875,0,0
2022-04-02T09:00:00.315-07:00,43.08489990234375,0,0
2022-04-02T09:15:00.315-07:00,43.107818603515625,0,0
2022-04-02T09:30:00.312-07:00,43.12310791015625,0,0
2022-04-02T09:45:00.341-07:00,43.12310791015625,0,0
2022-04-02T10:00:01.051-07:00,43.176605224609375,0,0
2022-04-02T10:15:00.314-07:00,43.08489990234375,0,0
2022-04-02T10:30:00.324-07:00,43.061981201171875,0,0
2022-04-02T10:45:00.297-07:00,43.100189208984375,0,0
2022-04-02T11:00:00.338-07:00,43.008514404296875,0,0
2022-04-02T11:15:00.312-07:00,43.0772705078125,0,0
2022-04-02T11:30:00.284-07:00,43.06964111328125,0,0
2022-04-02T11:45:00.279-07:00,43.0238037109375,0,0
2022-04-02T12:00:00.330-07:00,42.970306396484375,0,0
2022-04-02T12:15:00.311-07:00,42.970306396484375,0,0
2022-04-02T12:30:00.313-07:00,43.0238037109375,0,0
2022-04-02T12:45:00.400-07:00,42.932098388671875,0,0
2022-04-02T13:00:00.294-07:00,43.604461669921875,0,0
2022-04-02T13:15:00.316-07:00,43.528045654296875,0,0
2022-04-02T13:30:00.290-07:00,42.985595703125,0,0
2022-04-02T13:45:00.311-07:00,42.95501708984375,0,0
2022-04-02T14:00:00.296-07:00,42.95501708984375,0,0
2022-04-02T14:15:00.334-07:00,42.886260986328125,0,0
2022-04-02T14:30:00.281-07:00,42.893890380859375,0,0
2022-04-02T14:45:00.356-07:00,42.970306396484375,0,0
2022-04-02T15:00:00.285-07:00,42.970306396484375,0,0
2022-04-02T15:15:00.313-07:00,43.03143310546875,0,0
2022-04-02T15:30:00.301-07:00,42.970306396484375,0,0
2022-04-02T15:45:00.278-07:00,43.0772705078125,0,0
2022-04-02T16:00:00.290-07:00,42.932098388671875,0,0
2022-04-02T16:15:00.061-07:00,42.90155029296875,0,0
2022-04-02T16:30:00.295-07:00,42.932098388671875,0,0
2022-04-02T16:45:00.311-07:00,42.764007568359375,0,0
2022-04-02T17:00:00.346-07:00,42.78692626953125,0,0
2022-04-02T17:15:00.313-07:00,42.764007568359375,0,0
2022-04-02T17:30:00.304-07:00,42.8175048828125,0,0
2022-04-02T17:45:00.294-07:00,42.794586181640625,0,0
2022-04-02T18:00:00.346-07:00,42.779296875,0,0
2022-04-02T18:15:00.331-07:00,42.78692626953125,0,0
2022-04-02T18:30:00.300-07:00,42.8175048828125,0,0
2022-04-02T18:45:00.289-07:00,42.78692626953125,0,0
2022-04-02T19:00:00.344-07:00,42.794586181640625,0,0
2022-04-02T19:15:00.330-07:00,42.848052978515625,0,0
2022-04-02T19:30:00.336-07:00,42.832794189453125,0,0
2022-04-02T19:45:00.281-07:00,42.86334228515625,0,0
2022-04-02T20:00:00.311-07:00,42.840423583984375,0,0
2022-04-02T20:15:00.273-07:00,42.8709716796875,0,0
2022-04-02T20:30:00.312-07:00,42.8175048828125,0,0
2022-04-02T20:45:00.286-07:00,42.932098388671875,0,0
2022-04-02T21:00:00.330-07:00,42.9091796875,0,0
2022-04-02T21:15:00.326-07:00,42.90155029296875,0,0
2022-04-02T21:30:00.319-07:00,42.878631591796875,0,0
2022-04-02T21:45:00.307-07:00,42.82513427734375,0,0
2022-04-02T22:00:00.280-07:00,42.86334228515625,0,0
2022-04-02T22:15:00.277-07:00,42.832794189453125,0,0
2022-04-02T22:30:00.320-07:00,42.8709716796875,0,0
2022-04-02T22:45:00.322-07:00,42.886260986328125,0,0
2022-04-02T23:00:00.307-07:00,42.82513427734375,0,0
2022-04-02T23:15:00.302-07:00,42.878631591796875,0,0
2022-04-02T23:30:00.277-07:00,42.90155029296875,0,0
2022-04-02T23:45:00.273-07:00,42.9473876953125,0,0
2022-04-03T00:00:00.337-07:00,42.970306396484375,0,0
2022-04-03T00:15:00.293-07:00,43.0008544921875,0,0
2022-04-03T00:30:00.290-07:00,42.95501708984375,0,0
2022-04-03T00:45:00.339-07:00,42.932098388671875,0,0
2022-04-03T01:00:00.294-07:00,42.924468994140625,0,0
2022-04-03T01:15:00.314-07:00,42.962677001953125,0,0
2022-04-03T01:30:00.288-07:00,42.970306396484375,0,0
2022-04-03T01:45:00.326-07:00,42.95501708984375,0,0
2022-04-03T02:00:00.353-07:00,42.93975830078125,0,0
2022-04-03T02:15:00.312-07:00,42.9091796875,0,0
2022-04-03T02:30:00.296-07:00,42.832794189453125,0,0
2022-04-03T02:45:00.281-07:00,42.95501708984375,0,0
2022-04-03T03:00:00.292-07:00,42.86334228515625,0,0
2022-04-03T03:15:00.278-07:00,42.8709716796875,0,0
2022-04-03T03:30:00.320-07:00,42.916839599609375,0,0
2022-04-03T03:45:00.297-07:00,42.9473876953125,0,0
2022-04-03T04:00:00.321-07:00,42.924468994140625,0,0
2022-04-03T04:15:00.280-07:00,42.985595703125,0,0
2022-04-03T04:30:00.288-07:00,42.962677001953125,0,0
2022-04-03T04:45:00.327-07:00,42.970306396484375,0,0
2022-04-03T05:00:02.234-07:00,42.962677001953125,0,0
2022-04-03T05:15:00.282-07:00,42.93975830078125,0,0
2022-04-03T05:30:00.286-07:00,42.932098388671875,0,0
2022-04-03T05:45:00.287-07:00,42.93975830078125,0,0
2022-04-03T06:00:00.303-07:00,42.8709716796875,0,0
2022-04-03T06:15:00.295-07:00,42.9473876953125,0,0
2022-04-03T06:30:00.334-07:00,42.95501708984375,0,0
2022-04-03T06:45:00.298-07:00,42.90155029296875,0,0
2022-04-03T07:00:00.284-07:00,42.886260986328125,0,0
2022-04-03T07:15:00.303-07:00,42.832794189453125,0,0
2022-04-03T07:30:00.324-07:00,42.832794189453125,0,0
2022-04-03T07:45:00.356-07:00,42.878631591796875,0,0
2022-04-03T08:00:00.310-07:00,42.916839599609375,0,0
2022-04-03T08:15:00.316-07:00,42.985595703125,0,0
2022-04-03T08:30:00.329-07:00,43.03143310546875,0,0
2022-04-03T08:45:00.296-07:00,43.107818603515625,0,0
2022-04-03T09:00:00.307-07:00,43.0390625,0,0
2022-04-03T09:15:00.035-07:00,43.092559814453125,0,0
2022-04-03T09:30:00.333-07:00,43.100189208984375,0,0
2022-04-03T09:45:00.308-07:00,42.985595703125,0,0
2022-04-03T10:00:00.286-07:00,42.95501708984375,0,0
2022-04-03T10:15:00.301-07:00,43.03143310546875,0,0
2022-04-03T10:30:00.292-07:00,42.93975830078125,0,0
2022-04-03T10:45:00.285-07:00,43.016143798828125,0,0
2022-04-03T11:00:00.276-07:00,43.061981201171875,0,0
2022-04-03T11:15:00.328-07:00,43.016143798828125,0,0
2022-04-03T11:30:00.281-07:00,42.962677001953125,0,0
2022-04-03T11:45:00.312-07:00,43.0238037109375,0,0
2022-04-03T12:00:00.289-07:00,42.977935791015625,0,0
2022-04-03T12:15:00.293-07:00,42.95501708984375,0,0
2022-04-03T12:30:00.350-07:00,42.977935791015625,0,0
2022-04-03T12:45:00.317-07:00,42.9473876953125,0,0
2022-04-03T13:00:00.289-07:00,42.99322509765625,0,0
2022-04-03T13:15:00.281-07:00,42.962677001953125,0,0
2022-04-03T13:30:00.331-07:00,42.977935791015625,0,0
2022-04-03T13:45:00.278-07:00,42.970306396484375,0,0
2022-04-03T14:00:00.306-07:00,42.95501708984375,0,0
2022-04-03T14:15:00.284-07:00,42.99322509765625,0,0
2022-04-03T14:30:00.317-07:00,43.016143798828125,0,0
2022-04-03T14:45:00.323-07:00,42.99322509765625,0,0
2022-04-03T15:00:00.315-07:00,42.893890380859375,0,0
