t,v,s,r
2022-03-31T23:45:00.523-07:00,8562.0595703125,0,0
2022-04-01T00:00:00.528-07:00,8562.0595703125,0,0
2022-04-01T00:15:00.575-07:00,8562.0595703125,0,0
2022-04-01T00:30:00.569-07:00,8562.0595703125,0,0
2022-04-01T00:45:00.529-07:00,8562.0595703125,0,0
2022-04-01T01:00:00.572-07:00,8562.0595703125,0,0
2022-04-01T01:15:00.664-07:00,8562.0595703125,0,0
2022-04-01T01:30:00.754-07:00,8562.0595703125,0,0
2022-04-01T01:45:00.545-07:00,8562.0595703125,0,0
2022-04-01T02:00:00.547-07:00,8562.0595703125,0,0
2022-04-01T02:15:00.533-07:00,8562.0595703125,0,0
2022-04-01T02:30:00.545-07:00,8562.0595703125,0,0
2022-04-01T02:45:00.586-07:00,8562.0595703125,0,0
2022-04-01T03:00:00.537-07:00,8562.0595703125,0,0
2022-04-01T03:15:00.537-07:00,8562.0595703125,0,0
2022-04-01T03:30:00.545-07:00,8562.0595703125,0,0
2022-04-01T03:45:00.527-07:00,8562.0595703125,0,0
2022-04-01T04:00:00.541-07:00,8562.0595703125,0,0
2022-04-01T04:15:00.530-07:00,8562.0595703125,0,0
2022-04-01T04:30:00.529-07:00,8562.0595703125,0,0
2022-04-01T04:45:00.534-07:00,8562.0595703125,0,0
2022-04-01T05:00:00.542-07:00,8562.0595703125,0,0
2022-04-01T05:15:00.537-07:00,8562.0595703125,0,0
2022-04-01T05:30:00.536-07:00,8562.0595703125,0,0
2022-04-01T05:45:00.528-07:00,8562.0595703125,0,0
2022-04-01T06:00:00.526-07:00,8562.0595703125,0,0
2022-04-01T06:15:00.531-07:00,8562.0595703125,0,0
2022-04-01T06:30:00.695-07:00,8562.0595703125,0,0
2022-04-01T06:45:00.531-07:00,8562.0595703125,0,0
2022-04-01T07:00:00.538-07:00,8562.0595703125,0,0
2022-04-01T07:15:00.540-07:00,8562.0595703125,0,0
2022-04-01T07:30:00.574-07:00,8562.0595703125,0,0
2022-04-01T07:45:00.542-07:00,8562.0595703125,0,0
2022-04-01T08:00:00.542-07:00,8562.0595703125,0,0
2022-04-01T08:15:00.536-07:00,8562.0595703125,0,0
2022-04-01T08:30:00.540-07:00,8562.0595703125,0,0
2022-04-01T08:45:00.560-07:00,8562.0595703125,0,0
2022-04-01T09:00:00.529-07:00,8562.0595703125,0,0
2022-04-01T09:15:00.569-07:00,8562.0595703125,0,0
2022-04-01T09:30:00.539-07:00,8562.0595703125,0,0
2022-04-01T09:45:00.534-07:00,8562.0595703125,0,0
2022-04-01T10:00:00.678-07:00,8562.0595703125,0,0
2022-04-01T10:15:00.543-07:00,8562.0595703125,0,0
2022-04-01T10:30:00.534-07:00,8562.0595703125,0,0
2022-04-01T10:45:00.634-07:00,8562.0595703125,0,0
2022-04-01T11:00:00.545-07:00,8562.0595703125,0,0
2022-04-01T11:15:00.531-07:00,8562.0595703125,0,0
2022-04-01T11:30:00.724-07:00,8562.0595703125,0,0
2022-04-01T11:45:00.532-07:00,8562.0595703125,0,0
2022-04-01T12:00:00.566-07:00,8562.0595703125,0,0
2022-04-01T12:15:00.528-07:00,8562.0595703125,0,0
2022-04-01T12:30:00.574-07:00,8562.0595703125,0,0
2022-04-01T12:45:00.596-07:00,8562.0595703125,0,0
2022-04-01T13:00:00.592-07:00,8562.0595703125,0,0
2022-04-01T13:15:00.538-07:00,8562.080078125,0,0
2022-04-01T13:30:01.355-07:00,8562.1005859375,0,0
2022-04-01T13:45:00.526-07:00,8562.1298828125,0,0
2022-04-01T14:00:00.529-07:00,8562.16015625,0,0
2022-04-01T14:15:00.536-07:00,8562.189453125,0,0
2022-04-01T14:30:00.536-07:00,8562.2197265625,0,0
2022-04-01T14:45:00.702-07:00,8562.240234375,0,0
2022-04-01T15:00:00.538-07:00,8562.2705078125,0,0
2022-04-01T15:15:00.543-07:00,8562.2998046875,0,0
2022-04-01T15:30:00.653-07:00,8562.330078125,0,0
2022-04-01T15:45:00.542-07:00,8562.349609375,0,0
2022-04-01T16:00:00.528-07:00,8562.359375,0,0
2022-04-01T16:15:00.559-07:00,8562.359375,0,0
2022-04-01T16:30:00.531-07:00,8562.359375,0,0
2022-04-01T16:45:00.535-07:00,8562.359375,0,0
2022-04-01T17:00:00.538-07:00,8562.359375,0,0
2022-04-01T17:15:00.664-07:00,8562.3798828125,0,0
2022-04-01T17:30:00.534-07:00,8562.3896484375,0,0
2022-04-01T17:45:00.570-07:00,8562.3896484375,0,0
2022-04-01T18:00:00.527-07:00,8562.3896484375,0,0
2022-04-01T18:15:00.562-07:00,8562.3896484375,0,0
2022-04-01T18:30:00.537-07:00,8562.400390625,0,0
2022-04-01T18:45:00.545-07:00,8562.400390625,0,0
2022-04-01T19:00:00.535-07:00,8562.400390625,0,0
2022-04-01T19:15:00.543-07:00,8562.400390625,0,0
2022-04-01T19:30:00.534-07:00,8562.400390625,0,0
2022-04-01T19:45:00.573-07:00,8562.400390625,0,0
2022-04-01T20:00:00.527-07:00,8562.400390625,0,0
2022-04-01T20:15:00.570-07:00,8562.400390625,0,0
2022-04-01T20:30:00.529-07:00,8562.400390625,0,0
2022-04-01T20:45:00.529-07:00,8562.400390625,0,0
2022-04-01T21:00:00.537-07:00,8562.400390625,0,0
2022-04-01T21:15:00.536-07:00,8562.400390625,0,0
2022-04-01T21:30:00.542-07:00,8562.400390625,0,0
2022-04-01T21:45:00.570-07:00,8562.400390625,0,0
2022-04-01T22:00:00.539-07:00,8562.400390625,0,0
2022-04-01T22:15:00.543-07:00,8562.400390625,0,0
2022-04-01T22:30:00.538-07:00,8562.400390625,0,0
2022-04-01T22:45:00.565-07:00,8562.400390625,0,0
2022-04-01T23:00:00.527-07:00,8562.400390625,0,0
2022-04-01T23:15:00.538-07:00,8562.400390625,0,0
2022-04-01T23:30:00.543-07:00,8562.400390625,0,0
2022-04-01T23:45:00.528-07:00,8562.400390625,0,0
2022-04-02T00:00:00.534-07:00,8562.400390625,0,0
2022-04-02T00:15:00.541-07:00,8562.400390625,0,0
2022-04-02T00:30:00.525-07:00,8562.400390625,0,0
2022-04-02T00:45:00.530-07:00,8562.400390625,0,0
2022-04-02T01:00:00.527-07:00,8562.400390625,0,0
2022-04-02T01:15:00.522-07:00,8562.400390625,0,0
2022-04-02T01:30:00.547-07:00,8562.400390625,0,0
2022-04-02T01:45:00.531-07:00,8562.400390625,0,0
2022-04-02T02:00:00.571-07:00,8562.400390625,0,0
2022-04-02T02:15:00.531-07:00,8562.400390625,0,0
2022-04-02T02:30:00.543-07:00,8562.400390625,0,0
2022-04-02T02:45:00.540-07:00,8562.400390625,0,0
2022-04-02T03:00:00.547-07:00,8562.400390625,0,0
2022-04-02T03:15:00.528-07:00,8562.400390625,0,0
2022-04-02T03:30:00.550-07:00,8562.400390625,0,0
2022-04-02T03:45:00.537-07:00,8562.400390625,0,0
2022-04-02T04:00:00.535-07:00,8562.400390625,0,0
2022-04-02T04:15:00.581-07:00,8562.400390625,0,0
2022-04-02T04:30:00.525-07:00,8562.400390625,0,0
2022-04-02T04:45:00.537-07:00,8562.400390625,0,0
2022-04-02T05:00:00.536-07:00,8562.400390625,0,0
2022-04-02T05:15:00.640-07:00,8562.400390625,0,0
2022-04-02T05:30:00.632-07:00,8562.400390625,0,0
2022-04-02T05:45:00.636-07:00,8562.400390625,0,0
2022-04-02T06:00:00.565-07:00,8562.400390625,0,0
2022-04-02T06:15:00.538-07:00,8562.400390625,0,0
2022-04-02T06:30:00.540-07:00,8562.400390625,0,0
2022-04-02T06:45:00.546-07:00,8562.400390625,0,0
2022-04-02T07:00:00.529-07:00,8562.400390625,0,0
2022-04-02T07:15:00.542-07:00,8562.400390625,0,0
2022-04-02T07:30:00.543-07:00,8562.400390625,0,0
2022-04-02T07:45:00.536-07:00,8562.400390625,0,0
2022-04-02T08:00:00.567-07:00,8562.400390625,0,0
