t,v,s,r
2022-03-31T23:45:04.066-07:00,1083.0137939453125,0,0
2022-04-01T00:00:03.835-07:00,1078.919189453125,0,0
2022-04-01T00:15:04.254-07:00,1066.9766845703125,0,0
2022-04-01T00:30:03.798-07:00,1069.3651123046875,0,0
2022-04-01T00:45:03.811-07:00,1070.7301025390625,0,0
2022-04-01T01:00:03.947-07:00,1076.5306396484375,0,0
2022-04-01T01:15:03.979-07:00,1049.2335205078125,0,0
2022-04-01T01:30:03.898-07:00,1061.176025390625,0,0
2022-04-01T01:45:04.104-07:00,1074.1422119140625,0,0
2022-04-01T02:00:04.952-07:00,1069.7064208984375,0,0
2022-04-01T02:15:04.008-07:00,1081.9901123046875,0,0
2022-04-01T02:30:03.958-07:00,1055.0341796875,0,0
2022-04-01T02:45:04.005-07:00,1078.919189453125,0,0
2022-04-01T03:00:03.870-07:00,1020.5715942382812,0,0
2022-04-01T03:15:03.960-07:00,1000.43994140625,0,0
2022-04-01T03:30:03.938-07:00,1003.8521118164062,0,0
2022-04-01T03:45:04.128-07:00,999.7575073242188,0,0
2022-04-01T04:00:04.061-07:00,976.896240234375,0,0
2022-04-01T04:15:04.020-07:00,951.6463012695312,0,0
2022-04-01T04:30:03.872-07:00,958.1294555664062,0,0
2022-04-01T04:45:03.909-07:00,959.1530151367188,0,0
2022-04-01T05:00:04.010-07:00,952.3287353515625,0,0
2022-04-01T05:15:04.049-07:00,941.0687255859375,0,0
2022-04-01T05:30:04.010-07:00,936.6328735351562,0,0
2022-04-01T05:45:03.845-07:00,920.5958862304688,0,0
2022-04-01T06:00:03.938-07:00,908.6533813476562,0,0
2022-04-01T06:15:03.924-07:00,889.5453491210938,0,0
2022-04-01T06:30:04.110-07:00,897.7344970703125,0,0
2022-04-01T06:45:03.949-07:00,871.8021850585938,0,0
2022-04-01T07:00:03.879-07:00,887.8392944335938,0,0
2022-04-01T07:15:03.990-07:00,892.6162719726562,0,0
2022-04-01T07:30:03.798-07:00,954.0348510742188,0,0
2022-04-01T07:45:04.389-07:00,976.896240234375,0,0
2022-04-01T08:00:03.918-07:00,1035.92626953125,0,0
2022-04-01T08:15:04.030-07:00,1058.78759765625,0,0
2022-04-01T08:30:03.798-07:00,1078.5780029296875,0,0
2022-04-01T08:45:04.031-07:00,1119.1824951171875,0,0
2022-04-01T09:00:04.091-07:00,1173.0943603515625,0,0
2022-04-01T09:15:04.185-07:00,1195.6143798828125,0,0
2022-04-01T09:30:04.178-07:00,1310.2623291015625,0,0
2022-04-01T09:45:03.832-07:00,1230.0770263671875,0,0
2022-04-01T10:00:04.058-07:00,1349.84326171875,0,0
2022-04-01T10:15:04.181-07:00,1257.032958984375,0,0
2022-04-01T10:30:04.827-07:00,1276.1409912109375,0,0
2022-04-01T10:45:04.022-07:00,1313.674560546875,0,0
2022-04-01T11:00:03.948-07:00,1251.914794921875,0,0
2022-04-01T11:15:03.874-07:00,1266.5870361328125,0,0
2022-04-01T11:30:04.015-07:00,1352.2318115234375,0,0
