t,v,s,r
2022-03-31T23:45:01.058-07:00,533.6589965820312,0,0
2022-04-01T00:00:01.114-07:00,541.5068969726562,0,0
2022-04-01T00:15:01.101-07:00,514.209716796875,0,0
2022-04-01T00:30:06.496-07:00,616.573974609375,0,0
2022-04-01T00:45:01.197-07:00,534.6825561523438,0,0
2022-04-01T01:00:03.907-07:00,539.80078125,0,0
2022-04-01T01:15:01.127-07:00,537.4122924804688,0,0
2022-04-01T01:30:05.829-07:00,534.6825561523438,0,0
2022-04-01T01:45:01.123-07:00,454.8385009765625,0,0
2022-04-01T02:00:06.723-07:00,561.979736328125,0,0
2022-04-01T02:15:01.030-07:00,547.3075561523438,0,0
2022-04-01T02:30:03.668-07:00,540.824462890625,0,0
2022-04-01T02:45:01.084-07:00,543.8953857421875,0,0
2022-04-01T03:00:01.120-07:00,528.1995239257812,0,0
2022-04-01T03:15:01.254-07:00,665.3676147460938,0,0
2022-04-01T03:30:00.983-07:00,544.9190063476562,0,0
2022-04-01T03:45:00.935-07:00,531.6116943359375,0,0
2022-04-01T04:00:01.015-07:00,542.8717651367188,0,0
2022-04-01T04:15:00.980-07:00,541.5068969726562,0,0
2022-04-01T04:30:01.052-07:00,535.3650512695312,0,0
2022-04-01T04:45:01.082-07:00,619.3037109375,0,0
2022-04-01T05:00:00.910-07:00,543.2129516601562,0,0
2022-04-01T05:15:00.994-07:00,552.7669677734375,0,0
2022-04-01T05:30:01.539-07:00,546.6250610351562,0,0
2022-04-01T05:45:00.886-07:00,535.7062377929688,0,0
2022-04-01T06:00:00.976-07:00,536.0474853515625,0,0
2022-04-01T06:15:00.985-07:00,714.8436889648438,0,0
2022-04-01T06:30:02.921-07:00,552.42578125,0,0
2022-04-01T06:45:00.989-07:00,541.1657104492188,0,0
2022-04-01T07:00:00.964-07:00,549.0136108398438,0,0
2022-04-01T07:15:01.023-07:00,546.6250610351562,0,0
2022-04-01T07:30:00.964-07:00,550.0372314453125,0,0
2022-04-01T07:45:00.987-07:00,543.2129516601562,0,0
2022-04-01T08:00:01.574-07:00,546.6250610351562,0,0
2022-04-01T08:15:01.051-07:00,529.9055786132812,0,0
2022-04-01T08:30:01.091-07:00,546.6250610351562,0,0
2022-04-01T08:45:01.029-07:00,475.31134033203125,0,0
2022-04-01T09:00:01.069-07:00,547.6487426757812,0,0
2022-04-01T09:15:01.260-07:00,531.9529418945312,0,0
2022-04-01T09:30:00.964-07:00,564.0270385742188,0,0
2022-04-01T09:45:01.044-07:00,539.80078125,0,0
2022-04-01T10:00:01.556-07:00,530.5880126953125,0,0
2022-04-01T10:15:01.880-07:00,497.1490173339844,0,0
2022-04-01T10:30:01.034-07:00,556.8615112304688,0,0
2022-04-01T10:45:01.037-07:00,527.51708984375,0,0
2022-04-01T11:00:00.978-07:00,537.4122924804688,0,0
2022-04-01T11:15:00.858-07:00,532.2940673828125,0,0
2022-04-01T11:30:01.015-07:00,550.7196655273438,0,0
2022-04-01T11:45:00.973-07:00,521.375244140625,0,0
2022-04-01T12:00:01.151-07:00,634.317138671875,0,0
2022-04-01T12:15:01.077-07:00,534.6825561523438,0,0
2022-04-01T12:30:01.225-07:00,529.9055786132812,0,0
2022-04-01T12:45:03.963-07:00,537.4122924804688,0,0
2022-04-01T13:00:00.962-07:00,513.8685302734375,0,0
2022-04-01T13:15:01.049-07:00,524.10498046875,0,0
2022-04-01T13:30:01.123-07:00,549.0136108398438,0,0
2022-04-01T13:45:01.123-07:00,466.43975830078125,0,0
2022-04-01T14:00:00.081-07:00,664.6851806640625,0,0
2022-04-01T14:15:01.085-07:00,520.0104370117188,0,0
2022-04-01T14:30:00.950-07:00,525.4697875976562,0,0
2022-04-01T14:45:00.836-07:00,543.55419921875,0,0
2022-04-01T15:00:01.112-07:00,556.1790771484375,0,0
2022-04-01T15:15:01.184-07:00,533.6589965820312,0,0
2022-04-01T15:30:03.353-07:00,526.834716796875,0,0
2022-04-01T15:45:01.024-07:00,526.1522216796875,0,0
2022-04-01T16:00:03.909-07:00,555.1554565429688,0,0
2022-04-01T16:15:01.087-07:00,558.5675659179688,0,0
2022-04-01T16:30:03.797-07:00,542.1893310546875,0,0
2022-04-01T16:45:01.515-07:00,541.1657104492188,0,0
2022-04-01T17:00:01.053-07:00,552.7669677734375,0,0
2022-04-01T17:15:00.756-07:00,531.2704467773438,0,0
2022-04-01T17:30:01.033-07:00,536.7299194335938,0,0
2022-04-01T17:45:01.032-07:00,526.4934692382812,0,0
2022-04-01T18:00:01.825-07:00,513.1861572265625,0,0
2022-04-01T18:15:01.140-07:00,643.87109375,0,0
2022-04-01T18:30:00.840-07:00,547.6487426757812,0,0
2022-04-01T18:45:01.044-07:00,551.402099609375,0,0
2022-04-01T19:00:01.109-07:00,540.4832763671875,0,0
2022-04-01T19:15:01.903-07:00,546.2838745117188,0,0
2022-04-01T19:30:01.092-07:00,536.388671875,0,0
2022-04-01T19:45:00.879-07:00,551.7432861328125,0,0
2022-04-01T20:00:01.003-07:00,524.10498046875,0,0
2022-04-01T20:15:00.968-07:00,598.4896850585938,0,0
2022-04-01T20:30:01.152-07:00,568.4628295898438,0,0
2022-04-01T20:45:00.902-07:00,543.55419921875,0,0
2022-04-01T21:00:01.253-07:00,554.8142700195312,0,0
2022-04-01T21:15:00.957-07:00,555.837890625,0,0
2022-04-01T21:30:00.927-07:00,550.3784790039062,0,0
2022-04-01T21:45:00.963-07:00,533.6589965820312,0,0
2022-04-01T22:00:00.092-07:00,518.9867553710938,0,0
2022-04-01T22:15:01.057-07:00,718.938232421875,0,0
2022-04-01T22:30:01.126-07:00,546.6250610351562,0,0
2022-04-01T22:45:00.916-07:00,554.4730224609375,0,0
2022-04-01T23:00:01.027-07:00,544.5778198242188,0,0
2022-04-01T23:15:00.883-07:00,550.7196655273438,0,0
2022-04-01T23:30:01.127-07:00,552.7669677734375,0,0
2022-04-01T23:45:01.050-07:00,480.08831787109375,0,0
2022-04-02T00:00:00.982-07:00,722.6915893554688,0,0
2022-04-02T00:15:00.897-07:00,559.2500610351562,0,0
2022-04-02T00:30:01.044-07:00,549.3547973632812,0,0
2022-04-02T00:45:00.825-07:00,554.1318359375,0,0
2022-04-02T01:00:01.061-07:00,553.4493408203125,0,0
2022-04-02T01:15:00.916-07:00,509.0915222167969,0,0
2022-04-02T01:30:01.017-07:00,592.68896484375,0,0
2022-04-02T01:45:00.838-07:00,554.8142700195312,0,0
2022-04-02T02:00:01.040-07:00,549.0136108398438,0,0
2022-04-02T02:15:00.145-07:00,555.837890625,0,0
2022-04-02T02:30:00.974-07:00,563.0033569335938,0,0
2022-04-02T02:45:01.227-07:00,509.77398681640625,0,0
2022-04-02T03:00:01.079-07:00,731.9043579101562,0,0
2022-04-02T03:15:01.050-07:00,550.3784790039062,0,0
2022-04-02T03:30:00.870-07:00,544.9190063476562,0,0
2022-04-02T03:45:01.010-07:00,556.1790771484375,0,0
2022-04-02T04:00:01.084-07:00,555.837890625,0,0
2022-04-02T04:15:01.024-07:00,491.0072021484375,0,0
2022-04-02T04:30:01.114-07:00,737.7050170898438,0,0
2022-04-02T04:45:01.125-07:00,563.685791015625,0,0
2022-04-02T05:00:01.059-07:00,558.2263793945312,0,0
2022-04-02T05:15:00.971-07:00,553.4493408203125,0,0
2022-04-02T05:30:00.958-07:00,537.0711059570312,0,0
2022-04-02T05:45:01.078-07:00,658.8845825195312,0,0
2022-04-02T06:00:01.004-07:00,558.2263793945312,0,0
2022-04-02T06:15:01.230-07:00,544.9190063476562,0,0
2022-04-02T06:30:11.409-07:00,545.26025390625,0,0
2022-04-02T06:45:01.060-07:00,549.3547973632812,0,0
2022-04-02T07:00:00.815-07:00,474.6289367675781,0,0
2022-04-02T07:15:01.039-07:00,555.4966430664062,0,0
2022-04-02T07:30:00.876-07:00,550.3784790039062,0,0
2022-04-02T07:45:00.945-07:00,554.4730224609375,0,0
2022-04-02T08:00:01.102-07:00,559.5912475585938,0,0
2022-04-02T08:15:00.773-07:00,542.530517578125,0,0
2022-04-02T08:30:01.108-07:00,634.6583251953125,0,0
2022-04-02T08:45:01.086-07:00,546.6250610351562,0,0
2022-04-02T09:00:00.938-07:00,543.55419921875,0,0
2022-04-02T09:15:00.897-07:00,542.8717651367188,0,0
2022-04-02T09:30:01.029-07:00,544.5778198242188,0,0
2022-04-02T09:45:01.077-07:00,488.2774963378906,0,0
2022-04-02T10:00:03.888-07:00,717.232177734375,0,0
2022-04-02T10:15:01.122-07:00,548.3311767578125,0,0
2022-04-02T10:30:00.976-07:00,550.7196655273438,0,0
2022-04-02T10:45:00.993-07:00,551.402099609375,0,0
2022-04-02T11:00:01.032-07:00,537.0711059570312,0,0
2022-04-02T11:15:00.825-07:00,534.6825561523438,0,0
2022-04-02T11:30:00.868-07:00,610.7733764648438,0,0
2022-04-02T11:45:01.004-07:00,551.402099609375,0,0
2022-04-02T12:00:00.922-07:00,551.402099609375,0,0
2022-04-02T12:15:00.915-07:00,535.3650512695312,0,0
2022-04-02T12:30:01.088-07:00,556.5203247070312,0,0
2022-04-02T12:45:01.042-07:00,536.7299194335938,0,0
2022-04-02T13:00:01.015-07:00,531.2704467773438,0,0
2022-04-02T13:15:00.955-07:00,440.50750732421875,0,0
2022-04-02T13:30:01.120-07:00,708.360595703125,0,0
2022-04-02T13:45:00.931-07:00,535.7062377929688,0,0
2022-04-02T14:00:00.928-07:00,537.4122924804688,0,0
2022-04-02T14:15:01.127-07:00,543.8953857421875,0,0
2022-04-02T14:30:01.047-07:00,550.7196655273438,0,0
2022-04-02T14:45:04.639-07:00,540.4832763671875,0,0
2022-04-02T15:00:01.071-07:00,522.0576782226562,0,0
2022-04-02T15:15:09.174-07:00,614.1854858398438,0,0
2022-04-02T15:30:01.118-07:00,549.696044921875,0,0
2022-04-02T15:45:08.315-07:00,550.3784790039062,0,0
2022-04-02T16:00:01.032-07:00,551.0608520507812,0,0
2022-04-02T16:15:07.576-07:00,543.55419921875,0,0
2022-04-02T16:30:00.858-07:00,538.7772216796875,0,0
2022-04-02T16:45:07.680-07:00,557.2027587890625,0,0
2022-04-02T17:00:01.287-07:00,493.39569091796875,0,0
2022-04-02T17:15:07.506-07:00,693.6884155273438,0,0
2022-04-02T17:30:00.897-07:00,506.7030334472656,0,0
2022-04-02T17:45:00.898-07:00,511.1388244628906,0,0
2022-04-02T18:00:01.081-07:00,540.4832763671875,0,0
2022-04-02T18:15:01.096-07:00,542.530517578125,0,0
2022-04-02T18:30:00.922-07:00,529.2232055664062,0,0
2022-04-02T18:45:01.229-07:00,511.8212585449219,0,0
2022-04-02T19:00:00.956-07:00,496.12542724609375,0,0
2022-04-02T19:15:01.153-07:00,643.188720703125,0,0
2022-04-02T19:30:01.066-07:00,544.5778198242188,0,0
2022-04-02T19:45:01.010-07:00,534.3414306640625,0,0
2022-04-02T20:00:01.035-07:00,541.8480834960938,0,0
2022-04-02T20:15:01.008-07:00,530.5880126953125,0,0
2022-04-02T20:30:00.921-07:00,538.0947265625,0,0
2022-04-02T20:45:01.051-07:00,462.6864318847656,0,0
2022-04-02T21:00:01.049-07:00,648.6481323242188,0,0
2022-04-02T21:15:00.984-07:00,530.9292602539062,0,0
2022-04-02T21:30:01.062-07:00,531.9529418945312,0,0
2022-04-02T21:45:01.025-07:00,544.5778198242188,0,0
2022-04-02T22:00:01.170-07:00,542.8717651367188,0,0
2022-04-02T22:15:01.079-07:00,556.5203247070312,0,0
2022-04-02T22:30:00.925-07:00,543.55419921875,0,0
2022-04-02T22:45:00.961-07:00,634.9995727539062,0,0
2022-04-02T23:00:01.347-07:00,536.388671875,0,0
2022-04-02T23:15:01.297-07:00,514.8922119140625,0,0
2022-04-02T23:30:00.098-07:00,536.0474853515625,0,0
2022-04-02T23:45:01.401-07:00,514.209716796875,0,0
2022-04-03T00:00:00.958-07:00,517.963134765625,0,0
2022-04-03T00:15:01.000-07:00,592.68896484375,0,0
2022-04-03T00:30:01.227-07:00,533.6589965820312,0,0
2022-04-03T00:45:01.007-07:00,527.1759033203125,0,0
2022-04-03T01:00:00.930-07:00,528.540771484375,0,0
2022-04-03T01:15:01.069-07:00,545.6015014648438,0,0
2022-04-03T01:30:01.001-07:00,535.3650512695312,0,0
2022-04-03T01:45:00.863-07:00,636.3644409179688,0,0
