t,v,s,r
2022-03-31T23:45:02.612-07:00,127.27288055419922,0,0
2022-04-01T00:00:02.594-07:00,142.96873474121094,0,0
2022-04-01T00:15:02.788-07:00,165.48887634277344,0,0
2022-04-01T00:30:02.820-07:00,156.6173095703125,0,0
2022-04-01T00:45:02.597-07:00,124.54316711425781,0,0
2022-04-01T01:00:02.730-07:00,122.15467071533203,0,0
2022-04-01T01:15:02.652-07:00,135.46202087402344,0,0
2022-04-01T01:30:02.609-07:00,165.83009338378906,0,0
2022-04-01T01:45:02.638-07:00,158.32337951660156,0,0
2022-04-01T02:00:02.705-07:00,161.39430236816406,0,0
2022-04-01T02:15:02.669-07:00,121.13102722167969,0,0
2022-04-01T02:30:02.589-07:00,139.5565948486328,0,0
2022-04-01T02:45:02.838-07:00,137.50930786132812,0,0
2022-04-01T03:00:02.814-07:00,104.07032012939453,0,0
2022-04-01T03:15:02.612-07:00,111.57703399658203,0,0
2022-04-01T03:30:02.611-07:00,119.76618194580078,0,0
2022-04-01T03:45:02.671-07:00,121.13102722167969,0,0
2022-04-01T04:00:02.734-07:00,82.91504669189453,0,0
2022-04-01T04:15:02.678-07:00,79.16168975830078,0,0
2022-04-01T04:30:02.669-07:00,91.10418701171875,0,0
2022-04-01T04:45:02.627-07:00,81.55018615722656,0,0
2022-04-01T05:00:03.645-07:00,77.45561981201172,0,0
2022-04-01T05:15:02.625-07:00,74.38468933105469,0,0
2022-04-01T05:30:02.604-07:00,83.25625610351562,0,0
2022-04-01T05:45:02.701-07:00,49.13484191894531,0,0
2022-04-01T06:00:02.789-07:00,78.82047271728516,0,0
2022-04-01T06:15:02.710-07:00,52.8881950378418,0,0
2022-04-01T06:30:02.675-07:00,183.2320098876953,0,0
2022-04-01T06:45:02.749-07:00,167.53616333007812,0,0
2022-04-01T07:00:02.920-07:00,81.55018615722656,0,0
2022-04-01T07:15:02.716-07:00,41.62812805175781,0,0
2022-04-01T07:30:02.903-07:00,68.24283599853516,0,0
2022-04-01T07:45:02.593-07:00,85.6447525024414,0,0
2022-04-01T08:00:02.629-07:00,78.1380386352539,0,0
2022-04-01T08:15:02.842-07:00,109.18852996826172,0,0
2022-04-01T08:30:02.908-07:00,128.9789581298828,0,0
2022-04-01T08:45:02.630-07:00,143.9923858642578,0,0
2022-04-01T09:00:02.725-07:00,160.71188354492188,0,0
2022-04-01T09:15:02.766-07:00,173.67800903320312,0,0
2022-04-01T09:30:02.680-07:00,183.91444396972656,0,0
2022-04-01T09:45:02.632-07:00,189.3738555908203,0,0
2022-04-01T10:00:02.846-07:00,193.8096466064453,0,0
2022-04-01T10:15:02.711-07:00,179.8198699951172,0,0
2022-04-01T10:30:02.575-07:00,185.9617156982422,0,0
2022-04-01T10:45:03.030-07:00,184.93807983398438,0,0
2022-04-01T11:00:02.564-07:00,191.07992553710938,0,0
2022-04-01T11:15:02.580-07:00,196.19815063476562,0,0
2022-04-01T11:30:02.593-07:00,200.29270935058594,0,0
2022-04-01T11:45:02.647-07:00,196.8805694580078,0,0
2022-04-01T12:00:02.610-07:00,211.8939971923828,0,0
2022-04-01T12:15:02.601-07:00,220.0831298828125,0,0
2022-04-01T12:30:02.738-07:00,207.79942321777344,0,0
2022-04-01T12:45:02.621-07:00,203.3636474609375,0,0
2022-04-01T13:00:02.584-07:00,226.9074249267578,0,0
2022-04-01T13:15:02.704-07:00,236.80262756347656,0,0
2022-04-01T13:30:02.589-07:00,234.75535583496094,0,0
2022-04-01T13:45:00.301-07:00,237.48504638671875,0,0
2022-04-01T14:00:00.251-07:00,251.1336212158203,0,0
2022-04-01T14:15:00.316-07:00,265.1234130859375,0,0
2022-04-01T14:30:00.279-07:00,271.94769287109375,0,0
2022-04-01T14:45:00.265-07:00,267.17071533203125,0,0
2022-04-01T15:00:00.278-07:00,269.900390625,0,0
2022-04-01T15:15:00.296-07:00,280.1368103027344,0,0
2022-04-01T15:30:00.497-07:00,278.4307556152344,0,0
2022-04-01T15:45:00.288-07:00,259.32275390625,0,0
2022-04-01T16:00:02.385-07:00,280.81927490234375,0,0
2022-04-01T16:15:02.589-07:00,263.4173583984375,0,0
2022-04-01T16:30:02.584-07:00,268.1943359375,0,0
2022-04-01T16:45:02.649-07:00,242.603271484375,0,0
2022-04-01T17:00:02.649-07:00,241.23843383789062,0,0
2022-04-01T17:15:02.921-07:00,226.5662078857422,0,0
2022-04-01T17:30:02.595-07:00,235.43777465820312,0,0
2022-04-01T17:45:02.700-07:00,220.42434692382812,0,0
2022-04-01T18:00:02.629-07:00,224.86013793945312,0,0
2022-04-01T18:15:02.681-07:00,228.61349487304688,0,0
2022-04-01T18:30:02.814-07:00,211.21157836914062,0,0
2022-04-01T18:45:02.688-07:00,212.23521423339844,0,0
2022-04-01T19:00:02.660-07:00,215.64735412597656,0,0
2022-04-01T19:15:03.224-07:00,210.18792724609375,0,0
2022-04-01T19:30:02.680-07:00,212.23521423339844,0,0
2022-04-01T19:45:02.633-07:00,203.02243041992188,0,0
2022-04-01T20:00:02.578-07:00,191.07992553710938,0,0
2022-04-01T20:15:02.640-07:00,203.70486450195312,0,0
2022-04-01T20:30:02.702-07:00,206.4345703125,0,0
2022-04-01T20:45:02.609-07:00,188.00901794433594,0,0
2022-04-01T21:00:02.588-07:00,185.27928161621094,0,0
2022-04-01T21:15:02.648-07:00,186.64414978027344,0,0
2022-04-01T21:30:02.640-07:00,187.66778564453125,0,0
2022-04-01T21:45:02.792-07:00,166.17129516601562,0,0
2022-04-01T22:00:02.879-07:00,135.46202087402344,0,0
2022-04-01T22:15:02.842-07:00,145.35723876953125,0,0
2022-04-01T22:30:02.720-07:00,172.99559020996094,0,0
2022-04-01T22:45:03.556-07:00,185.9617156982422,0,0
2022-04-01T23:00:02.801-07:00,152.52273559570312,0,0
2022-04-01T23:15:02.656-07:00,146.03965759277344,0,0
2022-04-01T23:30:02.614-07:00,128.29653930664062,0,0
2022-04-01T23:45:02.603-07:00,124.88439178466797,0,0
2022-04-02T00:00:02.607-07:00,133.4147491455078,0,0
2022-04-02T00:15:02.805-07:00,133.4147491455078,0,0
2022-04-02T00:30:02.958-07:00,108.50611114501953,0,0
2022-04-02T00:45:02.626-07:00,128.29653930664062,0,0
2022-04-02T01:00:02.673-07:00,106.80003356933594,0,0
2022-04-02T01:15:02.628-07:00,97.58724975585938,0,0
2022-04-02T01:30:02.765-07:00,116.69524383544922,0,0
2022-04-02T01:45:02.779-07:00,139.2153778076172,0,0
2022-04-02T02:00:02.617-07:00,155.25244140625,0,0
2022-04-02T02:15:02.705-07:00,102.7054672241211,0,0
2022-04-02T02:30:02.678-07:00,91.78660583496094,0,0
2022-04-02T02:45:02.669-07:00,98.61089324951172,0,0
2022-04-02T03:00:02.633-07:00,85.6447525024414,0,0
2022-04-02T03:15:02.636-07:00,91.78660583496094,0,0
