t,v,s,r
2022-03-31T23:45:02.539-07:00,55.75732421875,0,0
2022-04-01T00:00:02.524-07:00,56.558441162109375,0,0
2022-04-01T00:15:02.718-07:00,56.985687255859375,0,0
2022-04-01T00:30:02.752-07:00,55.90228271484375,0,0
2022-04-01T00:45:02.522-07:00,55.81072998046875,0,0
2022-04-01T01:00:02.656-07:00,56.444000244140625,0,0
2022-04-01T01:15:02.574-07:00,56.291412353515625,0,0
2022-04-01T01:30:02.537-07:00,56.176971435546875,0,0
2022-04-01T01:45:02.569-07:00,56.10064697265625,0,0
2022-04-01T02:00:02.638-07:00,56.466888427734375,0,0
2022-04-01T02:15:02.580-07:00,56.321929931640625,0,0
2022-04-01T02:30:02.524-07:00,55.970947265625,0,0
2022-04-01T02:45:02.754-07:00,55.70391845703125,0,0
2022-04-01T03:00:02.740-07:00,55.787841796875,0,0
2022-04-01T03:15:02.542-07:00,55.30718994140625,0,0
2022-04-01T03:30:02.537-07:00,56.08538818359375,0,0
2022-04-01T03:45:02.592-07:00,55.3758544921875,0,0
2022-04-01T04:00:02.664-07:00,54.727325439453125,0,0
2022-04-01T04:15:02.607-07:00,54.521331787109375,0,0
2022-04-01T04:30:02.585-07:00,54.910430908203125,0,0
2022-04-01T04:45:02.551-07:00,54.353485107421875,0,0
2022-04-01T05:00:03.570-07:00,54.773101806640625,0,0
2022-04-01T05:15:02.557-07:00,54.284820556640625,0,0
2022-04-01T05:30:02.526-07:00,54.727325439453125,0,0
2022-04-01T05:45:02.626-07:00,52.964874267578125,0,0
2022-04-01T06:00:02.719-07:00,53.628662109375,0,0
2022-04-01T06:15:02.626-07:00,53.78887939453125,0,0
2022-04-01T06:30:02.597-07:00,54.528961181640625,0,0
2022-04-01T06:45:02.679-07:00,54.750213623046875,0,0
2022-04-01T07:00:02.848-07:00,53.262451171875,0,0
2022-04-01T07:15:02.640-07:00,52.583404541015625,0,0
2022-04-01T07:30:02.836-07:00,53.89569091796875,0,0
2022-04-01T07:45:02.525-07:00,54.551849365234375,0,0
2022-04-01T08:00:02.554-07:00,54.506072998046875,0,0
2022-04-01T08:15:02.772-07:00,55.108795166015625,0,0
2022-04-01T08:30:02.827-07:00,55.71917724609375,0,0
2022-04-01T08:45:02.563-07:00,56.703399658203125,0,0
2022-04-01T09:00:02.654-07:00,56.573699951171875,0,0
2022-04-01T09:15:02.699-07:00,55.8641357421875,0,0
2022-04-01T09:30:02.611-07:00,56.749176025390625,0,0
2022-04-01T09:45:02.545-07:00,57.4434814453125,0,0
2022-04-01T10:00:02.778-07:00,58.069091796875,0,0
2022-04-01T10:15:02.637-07:00,56.802581787109375,0,0
2022-04-01T10:30:02.498-07:00,57.084869384765625,0,0
2022-04-01T10:45:02.956-07:00,57.54266357421875,0,0
2022-04-01T11:00:02.488-07:00,58.0538330078125,0,0
2022-04-01T11:15:02.512-07:00,57.49688720703125,0,0
2022-04-01T11:30:02.520-07:00,58.168304443359375,0,0
2022-04-01T11:45:02.574-07:00,57.90887451171875,0,0
2022-04-01T12:00:02.537-07:00,58.809173583984375,0,0
2022-04-01T12:15:02.515-07:00,58.824432373046875,0,0
2022-04-01T12:30:02.670-07:00,58.961761474609375,0,0
2022-04-01T12:45:02.552-07:00,59.015167236328125,0,0
