t,v,s,r
2022-03-31T23:45:02.563-07:00,43.017608642578125,0,0
2022-04-01T00:00:02.547-07:00,42.9566650390625,0,0
2022-04-01T00:15:02.742-07:00,42.941436767578125,0,0
2022-04-01T00:30:02.775-07:00,42.888153076171875,0,0
2022-04-01T00:45:02.548-07:00,42.888153076171875,0,0
2022-04-01T01:00:02.682-07:00,42.979522705078125,0,0
2022-04-01T01:15:02.596-07:00,43.009979248046875,0,0
2022-04-01T01:30:02.563-07:00,43.00238037109375,0,0
2022-04-01T01:45:02.593-07:00,42.96429443359375,0,0
2022-04-01T02:00:02.660-07:00,42.9566650390625,0,0
2022-04-01T02:15:02.605-07:00,42.96429443359375,0,0
2022-04-01T02:30:02.546-07:00,42.92620849609375,0,0
2022-04-01T02:45:02.781-07:00,42.90338134765625,0,0
2022-04-01T03:00:02.765-07:00,42.9947509765625,0,0
2022-04-01T03:15:02.564-07:00,42.971893310546875,0,0
2022-04-01T03:30:02.566-07:00,42.933837890625,0,0
2022-04-01T03:45:02.624-07:00,42.933837890625,0,0
2022-04-01T04:00:02.687-07:00,42.918609619140625,0,0
2022-04-01T04:15:02.632-07:00,42.92620849609375,0,0
2022-04-01T04:30:02.611-07:00,42.941436767578125,0,0
2022-04-01T04:45:02.582-07:00,42.933837890625,0,0
2022-04-01T05:00:03.596-07:00,42.949066162109375,0,0
2022-04-01T05:15:02.579-07:00,42.971893310546875,0,0
2022-04-01T05:30:02.551-07:00,42.9566650390625,0,0
2022-04-01T05:45:02.650-07:00,43.017608642578125,0,0
2022-04-01T06:00:02.742-07:00,42.96429443359375,0,0
2022-04-01T06:15:02.659-07:00,42.971893310546875,0,0
2022-04-01T06:30:02.621-07:00,42.918609619140625,0,0
2022-04-01T06:45:02.703-07:00,43.02520751953125,0,0
2022-04-01T07:00:02.873-07:00,42.933837890625,0,0
2022-04-01T07:15:02.664-07:00,42.9947509765625,0,0
2022-04-01T07:30:02.859-07:00,42.9566650390625,0,0
2022-04-01T07:45:02.547-07:00,42.9566650390625,0,0
2022-04-01T08:00:02.577-07:00,42.9947509765625,0,0
2022-04-01T08:15:02.795-07:00,43.108978271484375,0,0
2022-04-01T08:30:02.852-07:00,43.108978271484375,0,0
2022-04-01T08:45:02.586-07:00,43.09375,0,0
2022-04-01T09:00:02.678-07:00,43.1546630859375,0,0
2022-04-01T09:15:02.722-07:00,43.1546630859375,0,0
2022-04-01T09:30:02.633-07:00,43.070892333984375,0,0
2022-04-01T09:45:02.583-07:00,43.048065185546875,0,0
2022-04-01T10:00:02.799-07:00,42.98712158203125,0,0
2022-04-01T10:15:02.661-07:00,43.131805419921875,0,0
2022-04-01T10:30:02.521-07:00,43.02520751953125,0,0
2022-04-01T10:45:02.984-07:00,43.048065185546875,0,0
2022-04-01T11:00:02.510-07:00,42.971893310546875,0,0
2022-04-01T11:15:02.535-07:00,42.9947509765625,0,0
2022-04-01T11:30:02.543-07:00,43.017608642578125,0,0
2022-04-01T11:45:02.596-07:00,43.09375,0,0
2022-04-01T12:00:02.560-07:00,43.02520751953125,0,0
2022-04-01T12:15:02.538-07:00,43.08612060546875,0,0
2022-04-01T12:30:02.692-07:00,43.1546630859375,0,0
2022-04-01T12:45:02.574-07:00,43.101348876953125,0,0
2022-04-01T13:00:02.536-07:00,43.14703369140625,0,0
2022-04-01T13:15:02.653-07:00,43.06329345703125,0,0
2022-04-01T13:30:02.546-07:00,43.1165771484375,0,0
2022-04-01T13:45:00.297-07:00,43.048065185546875,0,0
2022-04-01T14:00:00.247-07:00,43.048065185546875,0,0
2022-04-01T14:15:00.311-07:00,43.078521728515625,0,0
2022-04-01T14:30:00.275-07:00,43.108978271484375,0,0
2022-04-01T14:45:00.261-07:00,43.192718505859375,0,0
2022-04-01T15:00:00.274-07:00,43.040435791015625,0,0
2022-04-01T15:15:00.292-07:00,43.12420654296875,0,0
2022-04-01T15:30:00.473-07:00,43.139434814453125,0,0
2022-04-01T15:45:00.283-07:00,43.0328369140625,0,0
2022-04-01T16:00:02.380-07:00,43.02520751953125,0,0
2022-04-01T16:15:02.542-07:00,43.017608642578125,0,0
2022-04-01T16:30:02.537-07:00,42.933837890625,0,0
2022-04-01T16:45:02.599-07:00,42.918609619140625,0,0
2022-04-01T17:00:02.600-07:00,42.933837890625,0,0
2022-04-01T17:15:02.865-07:00,42.918609619140625,0,0
2022-04-01T17:30:02.549-07:00,42.895751953125,0,0
2022-04-01T17:45:02.648-07:00,42.888153076171875,0,0
2022-04-01T18:00:02.580-07:00,42.857696533203125,0,0
2022-04-01T18:15:02.632-07:00,42.857696533203125,0,0
2022-04-01T18:30:02.765-07:00,42.888153076171875,0,0
2022-04-01T18:45:02.643-07:00,42.8348388671875,0,0
2022-04-01T19:00:02.610-07:00,42.84246826171875,0,0
2022-04-01T19:15:03.175-07:00,42.850067138671875,0,0
2022-04-01T19:30:02.633-07:00,42.92620849609375,0,0
2022-04-01T19:45:02.587-07:00,42.90338134765625,0,0
2022-04-01T20:00:02.531-07:00,42.850067138671875,0,0
2022-04-01T20:15:02.595-07:00,42.96429443359375,0,0
2022-04-01T20:30:02.654-07:00,42.880523681640625,0,0
2022-04-01T20:45:02.562-07:00,42.8729248046875,0,0
2022-04-01T21:00:02.544-07:00,42.895751953125,0,0
2022-04-01T21:15:02.596-07:00,42.96429443359375,0,0
2022-04-01T21:30:02.594-07:00,42.92620849609375,0,0
2022-04-01T21:45:02.748-07:00,42.92620849609375,0,0
2022-04-01T22:00:02.831-07:00,42.941436767578125,0,0
2022-04-01T22:15:02.782-07:00,42.9947509765625,0,0
2022-04-01T22:30:02.676-07:00,42.918609619140625,0,0
2022-04-01T22:45:03.504-07:00,42.895751953125,0,0
2022-04-01T23:00:02.756-07:00,42.918609619140625,0,0
2022-04-01T23:15:02.614-07:00,42.888153076171875,0,0
2022-04-01T23:30:02.569-07:00,42.880523681640625,0,0
2022-04-01T23:45:02.555-07:00,42.933837890625,0,0
2022-04-02T00:00:02.557-07:00,43.00238037109375,0,0
2022-04-02T00:15:02.757-07:00,43.017608642578125,0,0
2022-04-02T00:30:02.907-07:00,43.00238037109375,0,0
2022-04-02T00:45:02.579-07:00,43.017608642578125,0,0
2022-04-02T01:00:02.619-07:00,43.040435791015625,0,0
2022-04-02T01:15:02.585-07:00,43.009979248046875,0,0
2022-04-02T01:30:02.715-07:00,42.979522705078125,0,0
2022-04-02T01:45:02.731-07:00,42.9566650390625,0,0
2022-04-02T02:00:02.571-07:00,42.979522705078125,0,0
2022-04-02T02:15:02.661-07:00,42.9947509765625,0,0
2022-04-02T02:30:02.632-07:00,42.933837890625,0,0
2022-04-02T02:45:02.605-07:00,42.910980224609375,0,0
2022-04-02T03:00:02.585-07:00,43.009979248046875,0,0
2022-04-02T03:15:02.591-07:00,42.979522705078125,0,0
2022-04-02T03:30:02.630-07:00,42.918609619140625,0,0
2022-04-02T03:45:02.587-07:00,42.90338134765625,0,0
2022-04-02T04:00:02.635-07:00,42.92620849609375,0,0
2022-04-02T04:15:02.599-07:00,42.9947509765625,0,0
2022-04-02T04:30:02.709-07:00,43.06329345703125,0,0
2022-04-02T04:45:02.617-07:00,43.078521728515625,0,0
2022-04-02T05:00:02.684-07:00,43.06329345703125,0,0
2022-04-02T05:15:02.600-07:00,43.131805419921875,0,0
2022-04-02T05:30:02.594-07:00,43.169891357421875,0,0
2022-04-02T05:45:02.616-07:00,42.98712158203125,0,0
2022-04-02T06:00:02.614-07:00,42.98712158203125,0,0
2022-04-02T06:15:02.605-07:00,42.979522705078125,0,0
2022-04-02T06:30:02.580-07:00,42.979522705078125,0,0
2022-04-02T06:45:02.635-07:00,42.96429443359375,0,0
2022-04-02T07:00:02.736-07:00,42.9566650390625,0,0
2022-04-02T07:15:02.722-07:00,42.96429443359375,0,0
2022-04-02T07:30:02.919-07:00,42.98712158203125,0,0
2022-04-02T07:45:02.594-07:00,42.941436767578125,0,0
2022-04-02T08:00:02.585-07:00,42.971893310546875,0,0
2022-04-02T08:15:02.614-07:00,43.040435791015625,0,0
2022-04-02T08:30:02.608-07:00,43.0328369140625,0,0
2022-04-02T08:45:02.647-07:00,43.0556640625,0,0
2022-04-02T09:00:02.922-07:00,43.1165771484375,0,0
2022-04-02T09:15:02.702-07:00,43.1546630859375,0,0
2022-04-02T09:30:02.713-07:00,43.200347900390625,0,0
2022-04-02T09:45:02.609-07:00,43.177490234375,0,0
2022-04-02T10:00:02.612-07:00,43.18511962890625,0,0
2022-04-02T10:15:02.599-07:00,43.101348876953125,0,0
2022-04-02T10:30:02.623-07:00,43.1165771484375,0,0
2022-04-02T10:45:02.661-07:00,43.177490234375,0,0
2022-04-02T11:00:02.608-07:00,43.08612060546875,0,0
2022-04-02T11:15:02.688-07:00,43.131805419921875,0,0
2022-04-02T11:30:00.273-07:00,43.14703369140625,0,0
2022-04-02T11:45:00.453-07:00,43.09375,0,0
2022-04-02T12:00:00.257-07:00,43.0328369140625,0,0
2022-04-02T12:15:00.271-07:00,43.0556640625,0,0
2022-04-02T12:30:00.281-07:00,43.101348876953125,0,0
2022-04-02T12:45:00.352-07:00,43.02520751953125,0,0
2022-04-02T13:00:02.638-07:00,43.71051025390625,0,0
2022-04-02T13:15:02.586-07:00,43.8018798828125,0,0
2022-04-02T13:30:02.596-07:00,43.08612060546875,0,0
2022-04-02T13:45:02.729-07:00,43.048065185546875,0,0
2022-04-02T14:00:02.593-07:00,43.070892333984375,0,0
2022-04-02T14:15:02.597-07:00,42.98712158203125,0,0
2022-04-02T14:30:02.621-07:00,43.00238037109375,0,0
2022-04-02T14:45:02.601-07:00,43.08612060546875,0,0
2022-04-02T15:00:02.613-07:00,43.06329345703125,0,0
2022-04-02T15:15:02.771-07:00,43.1165771484375,0,0
2022-04-02T15:30:02.602-07:00,43.108978271484375,0,0
2022-04-02T15:45:02.694-07:00,43.14703369140625,0,0
2022-04-02T16:00:02.719-07:00,43.09375,0,0
2022-04-02T16:15:02.762-07:00,43.0328369140625,0,0
2022-04-02T16:30:02.693-07:00,42.9947509765625,0,0
2022-04-02T16:45:02.774-07:00,42.895751953125,0,0
2022-04-02T17:00:02.674-07:00,42.910980224609375,0,0
2022-04-02T17:15:02.674-07:00,42.90338134765625,0,0
2022-04-02T17:30:02.642-07:00,42.910980224609375,0,0
2022-04-02T17:45:02.537-07:00,42.895751953125,0,0
2022-04-02T18:00:02.796-07:00,42.8729248046875,0,0
2022-04-02T18:15:02.916-07:00,42.857696533203125,0,0
2022-04-02T18:30:02.637-07:00,42.888153076171875,0,0
2022-04-02T18:45:02.619-07:00,42.8729248046875,0,0
2022-04-02T19:00:02.659-07:00,42.86529541015625,0,0
2022-04-02T19:15:02.666-07:00,42.895751953125,0,0
2022-04-02T19:30:02.695-07:00,42.895751953125,0,0
2022-04-02T19:45:02.620-07:00,42.933837890625,0,0
2022-04-02T20:00:02.742-07:00,42.918609619140625,0,0
2022-04-02T20:15:02.583-07:00,42.918609619140625,0,0
2022-04-02T20:30:02.698-07:00,42.880523681640625,0,0
2022-04-02T20:45:02.689-07:00,42.9947509765625,0,0
2022-04-02T21:00:02.631-07:00,42.9566650390625,0,0
2022-04-02T21:15:02.563-07:00,42.949066162109375,0,0
2022-04-02T21:30:02.795-07:00,42.933837890625,0,0
2022-04-02T21:45:02.769-07:00,42.888153076171875,0,0
2022-04-02T22:00:02.639-07:00,42.92620849609375,0,0
2022-04-02T22:15:02.616-07:00,42.92620849609375,0,0
2022-04-02T22:30:02.636-07:00,42.910980224609375,0,0
2022-04-02T22:45:02.670-07:00,42.90338134765625,0,0
2022-04-02T23:00:03.389-07:00,42.880523681640625,0,0
2022-04-02T23:15:02.784-07:00,42.895751953125,0,0
2022-04-02T23:30:02.566-07:00,42.941436767578125,0,0
2022-04-02T23:45:02.560-07:00,42.971893310546875,0,0
2022-04-03T00:15:02.670-07:00,42.979522705078125,0,0
2022-04-03T00:30:02.637-07:00,42.98712158203125,0,0
2022-04-03T00:45:02.613-07:00,43.00238037109375,0,0
2022-04-03T01:00:02.671-07:00,43.00238037109375,0,0
2022-04-03T01:15:02.754-07:00,43.02520751953125,0,0
2022-04-03T01:30:02.726-07:00,43.040435791015625,0,0
2022-04-03T01:45:02.635-07:00,43.02520751953125,0,0
2022-04-03T02:00:02.646-07:00,42.9947509765625,0,0
2022-04-03T02:15:02.670-07:00,42.949066162109375,0,0
2022-04-03T02:30:02.585-07:00,42.90338134765625,0,0
2022-04-03T02:45:02.544-07:00,42.9566650390625,0,0
2022-04-03T03:00:02.585-07:00,42.933837890625,0,0
2022-04-03T03:15:02.545-07:00,42.910980224609375,0,0
2022-04-03T03:30:02.575-07:00,42.888153076171875,0,0
2022-04-03T03:45:02.697-07:00,42.92620849609375,0,0
2022-04-03T04:00:02.687-07:00,42.9566650390625,0,0
2022-04-03T04:15:02.573-07:00,42.96429443359375,0,0
2022-04-03T04:30:02.674-07:00,42.96429443359375,0,0
2022-04-03T04:45:02.540-07:00,42.98712158203125,0,0
2022-04-03T05:00:04.479-07:00,42.9566650390625,0,0
2022-04-03T05:15:02.769-07:00,42.9566650390625,0,0
2022-04-03T05:30:02.558-07:00,42.96429443359375,0,0
2022-04-03T05:45:02.544-07:00,42.96429443359375,0,0
2022-04-03T06:00:02.570-07:00,42.92620849609375,0,0
2022-04-03T06:15:02.597-07:00,42.979522705078125,0,0
2022-04-03T06:30:02.698-07:00,43.02520751953125,0,0
2022-04-03T06:45:02.566-07:00,42.9947509765625,0,0
2022-04-03T07:00:02.582-07:00,42.949066162109375,0,0
2022-04-03T07:15:02.537-07:00,42.92620849609375,0,0
2022-04-03T07:30:02.679-07:00,42.895751953125,0,0
2022-04-03T07:45:02.559-07:00,42.910980224609375,0,0
2022-04-03T08:00:02.567-07:00,43.00238037109375,0,0
2022-04-03T08:15:02.516-07:00,43.06329345703125,0,0
2022-04-03T08:30:02.587-07:00,43.070892333984375,0,0
2022-04-03T08:45:02.568-07:00,43.162261962890625,0,0
2022-04-03T09:00:02.596-07:00,43.09375,0,0
2022-04-03T09:15:02.743-07:00,43.162261962890625,0,0
2022-04-03T09:30:02.542-07:00,43.14703369140625,0,0
2022-04-03T09:45:02.557-07:00,42.9947509765625,0,0
2022-04-03T10:00:02.545-07:00,43.009979248046875,0,0
2022-04-03T10:15:02.681-07:00,43.06329345703125,0,0
2022-04-03T10:30:02.714-07:00,43.02520751953125,0,0
2022-04-03T10:45:02.644-07:00,43.0556640625,0,0
2022-04-03T11:00:02.539-07:00,43.131805419921875,0,0
2022-04-03T11:15:02.565-07:00,43.101348876953125,0,0
2022-04-03T11:30:02.552-07:00,43.009979248046875,0,0
2022-04-03T11:45:02.702-07:00,43.09375,0,0
2022-04-03T12:00:02.573-07:00,43.0556640625,0,0
2022-04-03T12:15:02.545-07:00,43.017608642578125,0,0
2022-04-03T12:30:02.704-07:00,43.0556640625,0,0
2022-04-03T12:45:02.720-07:00,43.040435791015625,0,0
2022-04-03T13:00:02.573-07:00,43.0328369140625,0,0
2022-04-03T13:15:02.587-07:00,43.02520751953125,0,0
2022-04-03T13:30:02.556-07:00,43.06329345703125,0,0
2022-04-03T13:45:02.705-07:00,43.078521728515625,0,0
2022-04-03T14:00:03.292-07:00,43.09375,0,0
2022-04-03T14:15:00.277-07:00,43.070892333984375,0,0
2022-04-03T14:30:00.331-07:00,43.08612060546875,0,0
2022-04-03T14:45:00.277-07:00,43.108978271484375,0,0
2022-04-03T15:00:00.276-07:00,42.979522705078125,0,0
2022-04-03T15:15:00.312-07:00,42.949066162109375,0,0
2022-04-03T15:30:00.307-07:00,43.017608642578125,0,0
2022-04-03T15:45:00.275-07:00,43.009979248046875,0,0
2022-04-03T16:00:00.309-07:00,43.0556640625,0,0
2022-04-03T16:15:00.296-07:00,43.0556640625,0,0
2022-04-03T16:30:00.280-07:00,43.0556640625,0,0
2022-04-03T16:45:00.280-07:00,43.009979248046875,0,0
2022-04-03T17:00:00.293-07:00,42.92620849609375,0,0
2022-04-03T17:15:00.286-07:00,42.949066162109375,0,0
2022-04-03T17:30:00.281-07:00,42.949066162109375,0,0
2022-04-03T17:45:00.267-07:00,42.895751953125,0,0
2022-04-03T18:00:00.283-07:00,42.880523681640625,0,0
2022-04-03T18:15:02.354-07:00,42.819610595703125,0,0
2022-04-03T18:30:02.623-07:00,42.8348388671875,0,0
2022-04-03T18:45:02.719-07:00,42.895751953125,0,0
2022-04-03T19:00:02.546-07:00,42.941436767578125,0,0
2022-04-03T19:15:02.695-07:00,42.84246826171875,0,0
2022-04-03T19:30:02.698-07:00,42.895751953125,0,0
2022-04-03T19:45:02.578-07:00,42.880523681640625,0,0
2022-04-03T20:00:02.551-07:00,42.895751953125,0,0
2022-04-03T20:15:02.712-07:00,42.910980224609375,0,0
2022-04-03T20:30:02.635-07:00,42.8348388671875,0,0
2022-04-03T20:45:02.564-07:00,42.918609619140625,0,0
2022-04-03T21:00:02.664-07:00,42.949066162109375,0,0
2022-04-03T21:15:02.560-07:00,42.96429443359375,0,0
2022-04-03T21:30:02.597-07:00,42.971893310546875,0,0
2022-04-03T21:45:02.596-07:00,42.92620849609375,0,0
2022-04-03T22:00:02.591-07:00,42.949066162109375,0,0
2022-04-03T22:15:02.629-07:00,42.92620849609375,0,0
2022-04-03T22:30:02.714-07:00,42.888153076171875,0,0
2022-04-03T22:45:02.554-07:00,42.918609619140625,0,0
2022-04-03T23:00:02.790-07:00,42.918609619140625,0,0
2022-04-03T23:15:02.692-07:00,42.949066162109375,0,0
2022-04-03T23:30:02.601-07:00,43.00238037109375,0,0
2022-04-03T23:45:02.538-07:00,42.9947509765625,0,0
2022-04-04T00:00:02.571-07:00,43.00238037109375,0,0
2022-04-04T00:15:02.902-07:00,42.971893310546875,0,0
2022-04-04T00:30:02.819-07:00,42.918609619140625,0,0
2022-04-04T00:45:02.643-07:00,42.933837890625,0,0
2022-04-04T01:00:02.551-07:00,42.895751953125,0,0
2022-04-04T01:15:02.587-07:00,42.941436767578125,0,0
2022-04-04T01:30:02.605-07:00,42.92620849609375,0,0
2022-04-04T01:45:02.526-07:00,42.910980224609375,0,0
2022-04-04T02:00:02.654-07:00,42.971893310546875,0,0
2022-04-04T02:15:02.523-07:00,42.971893310546875,0,0
2022-04-04T02:30:02.637-07:00,42.979522705078125,0,0
2022-04-04T02:45:02.535-07:00,43.00238037109375,0,0
2022-04-04T03:00:02.553-07:00,43.02520751953125,0,0
2022-04-04T03:15:02.635-07:00,43.009979248046875,0,0
2022-04-04T03:30:02.594-07:00,43.0328369140625,0,0
2022-04-04T03:45:02.577-07:00,43.070892333984375,0,0
2022-04-04T04:00:02.672-07:00,43.070892333984375,0,0
2022-04-04T04:15:02.609-07:00,43.070892333984375,0,0
2022-04-04T04:30:02.540-07:00,43.070892333984375,0,0
2022-04-04T04:45:02.579-07:00,43.0556640625,0,0
2022-04-04T05:00:02.544-07:00,42.9947509765625,0,0
2022-04-04T05:15:02.548-07:00,43.00238037109375,0,0
2022-04-04T05:30:02.548-07:00,44.42626953125,0,0
2022-04-04T05:45:02.623-07:00,43.215576171875,0,0
2022-04-04T06:00:02.594-07:00,43.08612060546875,0,0
2022-04-04T06:15:02.628-07:00,43.009979248046875,0,0
2022-04-04T06:30:02.546-07:00,42.9947509765625,0,0
2022-04-04T06:45:02.541-07:00,42.888153076171875,0,0
2022-04-04T07:00:02.545-07:00,42.918609619140625,0,0
2022-04-04T07:15:02.597-07:00,43.0556640625,0,0
2022-04-04T07:30:02.763-07:00,42.979522705078125,0,0
2022-04-04T07:45:02.576-07:00,42.933837890625,0,0
2022-04-04T08:00:02.710-07:00,43.009979248046875,0,0
2022-04-04T08:15:02.690-07:00,42.9947509765625,0,0
2022-04-04T08:30:02.791-07:00,42.9947509765625,0,0
2022-04-04T08:45:02.841-07:00,42.979522705078125,0,0
2022-04-04T09:00:03.638-07:00,42.96429443359375,0,0
2022-04-04T09:15:02.875-07:00,43.0328369140625,0,0
2022-04-04T09:30:02.664-07:00,43.06329345703125,0,0
2022-04-04T09:45:02.615-07:00,43.1165771484375,0,0
2022-04-04T10:00:03.018-07:00,43.108978271484375,0,0
2022-04-04T10:15:00.301-07:00,43.14703369140625,0,0
