t,v,s,r
2022-03-31T23:45:00.791-07:00,42.91876220703125,0,0
2022-04-01T00:00:00.806-07:00,42.89581298828125,0,0
2022-04-01T00:15:02.640-07:00,42.84222412109375,0,0
2022-04-01T00:30:00.768-07:00,42.803955078125,0,0
2022-04-01T00:45:00.813-07:00,42.796295166015625,0,0
2022-04-01T01:00:00.784-07:00,42.849884033203125,0,0
2022-04-01T01:15:00.861-07:00,42.911102294921875,0,0
2022-04-01T01:30:00.828-07:00,42.93408203125,0,0
2022-04-01T01:45:00.764-07:00,42.9034423828125,0,0
2022-04-01T02:00:00.843-07:00,42.86517333984375,0,0
2022-04-01T02:15:00.855-07:00,42.857513427734375,0,0
2022-04-01T02:30:00.784-07:00,42.84222412109375,0,0
2022-04-01T02:45:00.768-07:00,42.81158447265625,0,0
2022-04-01T03:00:00.894-07:00,42.872833251953125,0,0
2022-04-01T03:15:00.782-07:00,42.9034423828125,0,0
2022-04-01T03:30:00.847-07:00,42.872833251953125,0,0
2022-04-01T03:45:00.671-07:00,42.849884033203125,0,0
2022-04-01T04:00:00.790-07:00,42.857513427734375,0,0
2022-04-01T04:15:00.837-07:00,42.81158447265625,0,0
2022-04-01T04:30:01.200-07:00,42.849884033203125,0,0
2022-04-01T04:45:00.911-07:00,42.826904296875,0,0
2022-04-01T05:00:00.476-07:00,42.834564208984375,0,0
2022-04-01T05:15:00.881-07:00,42.826904296875,0,0
2022-04-01T05:30:00.796-07:00,42.819244384765625,0,0
2022-04-01T05:45:00.668-07:00,42.89581298828125,0,0
2022-04-01T06:00:00.891-07:00,42.803955078125,0,0
2022-04-01T06:15:00.817-07:00,42.84222412109375,0,0
2022-04-01T06:30:00.808-07:00,42.8804931640625,0,0
2022-04-01T06:45:00.747-07:00,42.93408203125,0,0
2022-04-01T07:00:00.810-07:00,42.857513427734375,0,0
2022-04-01T07:15:00.806-07:00,42.849884033203125,0,0
2022-04-01T07:30:01.002-07:00,42.826904296875,0,0
2022-04-01T07:45:00.471-07:00,42.834564208984375,0,0
2022-04-01T08:00:01.159-07:00,42.849884033203125,0,0
2022-04-01T08:15:02.153-07:00,42.9876708984375,0,0
2022-04-01T08:30:00.788-07:00,43.0106201171875,0,0
2022-04-01T08:45:00.800-07:00,43.018280029296875,0,0
2022-04-01T09:00:01.230-07:00,43.056549072265625,0,0
2022-04-01T09:15:00.608-07:00,43.064208984375,0,0
2022-04-01T09:30:01.176-07:00,43.02593994140625,0,0
2022-04-01T09:45:00.640-07:00,42.97235107421875,0,0
2022-04-01T10:00:00.258-07:00,42.949371337890625,0,0
2022-04-01T10:15:01.563-07:00,43.018280029296875,0,0
2022-04-01T10:30:00.682-07:00,42.97235107421875,0,0
2022-04-01T10:45:00.785-07:00,42.941741943359375,0,0
2022-04-01T11:00:00.442-07:00,42.888153076171875,0,0
2022-04-01T11:15:00.315-07:00,42.857513427734375,0,0
2022-04-01T11:30:01.194-07:00,42.93408203125,0,0
2022-04-01T11:45:04.033-07:00,42.97235107421875,0,0
2022-04-01T12:00:01.186-07:00,43.064208984375,0,0
2022-04-01T12:15:01.392-07:00,43.018280029296875,0,0
2022-04-01T12:30:01.170-07:00,43.041229248046875,0,0
2022-04-01T12:45:02.184-07:00,42.95703125,0,0
2022-04-01T13:00:01.229-07:00,43.056549072265625,0,0
2022-04-01T13:15:00.646-07:00,43.02593994140625,0,0
2022-04-01T13:30:00.320-07:00,43.064208984375,0,0
2022-04-01T13:45:00.873-07:00,42.980010986328125,0,0
2022-04-01T14:00:10.541-07:00,42.97235107421875,0,0
2022-04-01T14:15:01.198-07:00,42.964691162109375,0,0
2022-04-01T14:30:00.114-07:00,43.04888916015625,0,0
2022-04-01T14:45:00.263-07:00,43.064208984375,0,0
2022-04-01T15:00:00.724-07:00,43.0106201171875,0,0
2022-04-01T15:15:00.867-07:00,43.018280029296875,0,0
2022-04-01T15:30:06.636-07:00,42.99530029296875,0,0
2022-04-01T15:45:05.488-07:00,42.97235107421875,0,0
2022-04-01T16:00:06.725-07:00,42.93408203125,0,0
2022-04-01T16:15:01.785-07:00,42.89581298828125,0,0
2022-04-01T16:30:07.416-07:00,42.826904296875,0,0
2022-04-01T16:45:03.980-07:00,42.7503662109375,0,0
2022-04-01T17:00:00.978-07:00,42.765655517578125,0,0
2022-04-01T17:15:02.262-07:00,42.803955078125,0,0
2022-04-01T17:30:00.839-07:00,42.78863525390625,0,0
