t,v,s,r
2022-03-31T23:45:01.054-07:00,46.929229736328125,0,0
2022-04-01T00:00:01.087-07:00,47.0589599609375,0,0
2022-04-01T00:15:01.079-07:00,46.623992919921875,0,0
2022-04-01T00:30:01.135-07:00,46.57818603515625,0,0
2022-04-01T00:45:01.102-07:00,46.639251708984375,0,0
2022-04-01T01:00:01.114-07:00,46.646881103515625,0,0
2022-04-01T01:15:01.097-07:00,46.662139892578125,0,0
2022-04-01T01:30:01.078-07:00,46.5247802734375,0,0
2022-04-01T01:45:01.123-07:00,46.730804443359375,0,0
2022-04-01T02:00:01.068-07:00,46.730804443359375,0,0
2022-04-01T02:15:01.056-07:00,46.364532470703125,0,0
2022-04-01T02:30:01.235-07:00,46.944488525390625,0,0
2022-04-01T02:45:01.098-07:00,46.48663330078125,0,0
2022-04-01T03:00:01.078-07:00,46.81475830078125,0,0
2022-04-01T03:15:01.122-07:00,46.700286865234375,0,0
2022-04-01T03:30:01.149-07:00,46.395050048828125,0,0
2022-04-01T03:45:01.042-07:00,46.54766845703125,0,0
2022-04-01T04:00:01.067-07:00,46.242431640625,0,0
2022-04-01T04:15:01.115-07:00,46.379791259765625,0,0
2022-04-01T04:30:01.243-07:00,46.181365966796875,0,0
2022-04-01T04:45:01.068-07:00,46.425567626953125,0,0
2022-04-01T05:00:01.105-07:00,46.2119140625,0,0
2022-04-01T05:15:01.150-07:00,46.59344482421875,0,0
2022-04-01T05:30:01.069-07:00,45.899017333984375,0,0
2022-04-01T05:45:01.089-07:00,46.364532470703125,0,0
2022-04-01T06:00:01.067-07:00,46.127960205078125,0,0
2022-04-01T06:15:01.076-07:00,46.02874755859375,0,0
2022-04-01T06:30:01.086-07:00,46.05926513671875,0,0
2022-04-01T06:45:01.037-07:00,46.2271728515625,0,0
2022-04-01T07:00:01.092-07:00,46.50189208984375,0,0
2022-04-01T07:15:01.095-07:00,45.883758544921875,0,0
2022-04-01T07:30:01.020-07:00,46.23480224609375,0,0
2022-04-01T07:45:01.134-07:00,46.242431640625,0,0
2022-04-01T08:00:03.453-07:00,46.097442626953125,0,0
2022-04-01T08:15:01.059-07:00,46.891082763671875,0,0
2022-04-01T08:30:01.111-07:00,46.723175048828125,0,0
2022-04-01T08:45:01.462-07:00,47.211578369140625,0,0
2022-04-01T09:00:01.087-07:00,47.310791015625,0,0
2022-04-01T09:15:01.106-07:00,47.440521240234375,0,0
2022-04-01T09:30:01.101-07:00,47.684722900390625,0,0
2022-04-01T09:45:01.054-07:00,47.577880859375,0,0
2022-04-01T10:00:01.069-07:00,47.33367919921875,0,0
2022-04-01T10:15:01.073-07:00,47.761016845703125,0,0
2022-04-01T10:30:01.030-07:00,47.88311767578125,0,0
2022-04-01T10:45:01.111-07:00,47.5626220703125,0,0
2022-04-01T11:00:01.085-07:00,47.410003662109375,0,0
2022-04-01T11:15:01.066-07:00,47.455780029296875,0,0
2022-04-01T11:30:01.212-07:00,47.6236572265625,0,0
2022-04-01T11:45:01.088-07:00,47.91363525390625,0,0
2022-04-01T12:00:01.122-07:00,47.86785888671875,0,0
2022-04-01T12:15:01.033-07:00,47.92889404296875,0,0
2022-04-01T12:30:01.071-07:00,48.050994873046875,0,0
2022-04-01T12:45:01.081-07:00,48.241790771484375,0,0
2022-04-01T13:00:01.076-07:00,48.41729736328125,0,0
2022-04-01T13:15:01.069-07:00,48.69964599609375,0,0
2022-04-01T13:30:01.104-07:00,48.913330078125,0,0
2022-04-01T13:45:01.079-07:00,49.18804931640625,0,0
2022-04-01T14:00:01.190-07:00,49.12701416015625,0,0
2022-04-01T14:15:01.078-07:00,49.317779541015625,0,0
2022-04-01T14:30:01.099-07:00,49.531463623046875,0,0
2022-04-01T14:45:01.100-07:00,49.577239990234375,0,0
2022-04-01T15:00:01.071-07:00,49.981689453125,0,0
2022-04-01T15:15:01.063-07:00,49.775634765625,0,0
2022-04-01T15:30:01.075-07:00,49.874847412109375,0,0
2022-04-01T15:45:01.099-07:00,49.98931884765625,0,0
2022-04-01T16:00:01.072-07:00,49.546722412109375,0,0
2022-04-01T16:15:01.110-07:00,49.355926513671875,0,0
2022-04-01T16:30:01.093-07:00,49.317779541015625,0,0
2022-04-01T16:45:01.058-07:00,48.96673583984375,0,0
2022-04-01T17:00:01.070-07:00,48.913330078125,0,0
2022-04-01T17:15:01.054-07:00,48.65386962890625,0,0
2022-04-01T17:30:01.081-07:00,48.3333740234375,0,0
2022-04-01T17:45:01.105-07:00,48.34100341796875,0,0
2022-04-01T18:00:01.115-07:00,48.11968994140625,0,0
2022-04-01T18:15:01.090-07:00,48.020477294921875,0,0
2022-04-01T18:30:00.083-07:00,47.66180419921875,0,0
2022-04-01T18:45:01.157-07:00,47.638916015625,0,0
2022-04-01T19:00:01.101-07:00,47.417633056640625,0,0
2022-04-01T19:15:01.117-07:00,47.264984130859375,0,0
2022-04-01T19:30:01.125-07:00,47.104736328125,0,0
2022-04-01T19:45:01.074-07:00,47.13525390625,0,0
2022-04-01T20:00:01.099-07:00,47.12762451171875,0,0
2022-04-01T20:15:01.072-07:00,47.03607177734375,0,0
2022-04-01T20:30:01.097-07:00,46.936859130859375,0,0
2022-04-01T20:45:01.071-07:00,46.76898193359375,0,0
2022-04-01T21:00:01.104-07:00,46.75372314453125,0,0
2022-04-01T21:15:01.258-07:00,46.936859130859375,0,0
2022-04-01T21:30:01.039-07:00,46.7918701171875,0,0
2022-04-01T21:45:01.067-07:00,46.5400390625,0,0
2022-04-01T22:00:01.086-07:00,46.730804443359375,0,0
2022-04-01T22:15:01.065-07:00,46.738433837890625,0,0
2022-04-01T22:30:01.062-07:00,46.5858154296875,0,0
2022-04-01T22:45:01.068-07:00,46.54766845703125,0,0
2022-04-01T23:00:01.074-07:00,46.677398681640625,0,0
2022-04-01T23:15:01.061-07:00,46.570556640625,0,0
2022-04-01T23:30:01.055-07:00,46.5247802734375,0,0
2022-04-01T23:45:01.106-07:00,46.616363525390625,0,0
2022-04-02T00:00:01.037-07:00,46.50189208984375,0,0
2022-04-02T00:15:01.040-07:00,46.417938232421875,0,0
2022-04-02T00:30:01.162-07:00,46.79949951171875,0,0
2022-04-02T00:45:01.071-07:00,46.387420654296875,0,0
2022-04-02T01:00:01.085-07:00,46.78424072265625,0,0
2022-04-02T01:15:01.143-07:00,46.631622314453125,0,0
2022-04-02T01:30:01.056-07:00,46.639251708984375,0,0
2022-04-02T01:45:01.037-07:00,46.646881103515625,0,0
2022-04-02T02:00:01.085-07:00,46.51715087890625,0,0
2022-04-02T02:15:01.077-07:00,46.379791259765625,0,0
2022-04-02T02:30:01.092-07:00,46.356903076171875,0,0
2022-04-02T02:45:01.094-07:00,46.2576904296875,0,0
2022-04-02T03:00:01.064-07:00,46.402679443359375,0,0
2022-04-02T03:15:01.218-07:00,46.188995361328125,0,0
2022-04-02T03:30:01.037-07:00,46.112701416015625,0,0
2022-04-02T03:45:01.054-07:00,46.196624755859375,0,0
2022-04-02T04:00:01.060-07:00,46.2576904296875,0,0
2022-04-02T04:15:01.081-07:00,46.402679443359375,0,0
2022-04-02T04:30:01.135-07:00,46.341644287109375,0,0
2022-04-02T04:45:01.086-07:00,46.608734130859375,0,0
2022-04-02T05:00:01.056-07:00,46.5552978515625,0,0
2022-04-02T05:15:01.073-07:00,46.3187255859375,0,0
2022-04-02T05:30:01.076-07:00,46.59344482421875,0,0
2022-04-02T05:45:01.040-07:00,46.135589599609375,0,0
2022-04-02T06:00:01.105-07:00,46.196624755859375,0,0
2022-04-02T06:15:01.084-07:00,46.417938232421875,0,0
2022-04-02T06:30:01.096-07:00,46.2271728515625,0,0
2022-04-02T06:45:01.089-07:00,46.51715087890625,0,0
2022-04-02T07:00:01.102-07:00,46.2119140625,0,0
2022-04-02T07:15:01.075-07:00,46.3187255859375,0,0
2022-04-02T07:30:01.053-07:00,46.25006103515625,0,0
2022-04-02T07:45:01.081-07:00,46.364532470703125,0,0
2022-04-02T08:00:00.095-07:00,46.188995361328125,0,0
2022-04-02T08:15:01.217-07:00,46.47900390625,0,0
2022-04-02T08:30:01.046-07:00,46.204254150390625,0,0
2022-04-02T08:45:01.084-07:00,46.715545654296875,0,0
2022-04-02T09:00:01.106-07:00,46.5247802734375,0,0
2022-04-02T09:15:01.067-07:00,46.730804443359375,0,0
2022-04-02T09:30:01.070-07:00,46.59344482421875,0,0
2022-04-02T09:45:01.116-07:00,47.2955322265625,0,0
2022-04-02T10:00:01.094-07:00,46.898712158203125,0,0
2022-04-02T10:15:01.084-07:00,47.00555419921875,0,0
2022-04-02T10:30:01.053-07:00,47.234466552734375,0,0
2022-04-02T10:45:01.229-07:00,47.257354736328125,0,0
2022-04-02T11:00:01.062-07:00,47.58551025390625,0,0
2022-04-02T11:15:01.132-07:00,47.371826171875,0,0
2022-04-02T11:30:01.165-07:00,47.173431396484375,0,0
2022-04-02T11:45:01.042-07:00,47.61602783203125,0,0
2022-04-02T12:00:01.085-07:00,47.432891845703125,0,0
2022-04-02T12:15:01.018-07:00,47.432891845703125,0,0
2022-04-02T12:30:01.091-07:00,47.715240478515625,0,0
2022-04-02T12:45:01.194-07:00,47.6083984375,0,0
2022-04-02T13:00:01.140-07:00,49.4627685546875,0,0
2022-04-02T13:15:01.133-07:00,49.23382568359375,0,0
2022-04-02T13:30:01.062-07:00,47.844970703125,0,0
2022-04-02T13:45:01.092-07:00,47.692352294921875,0,0
2022-04-02T14:00:01.084-07:00,47.88311767578125,0,0
2022-04-02T14:15:01.078-07:00,47.791534423828125,0,0
2022-04-02T14:30:01.012-07:00,47.82208251953125,0,0
2022-04-02T14:45:01.123-07:00,47.8907470703125,0,0
2022-04-02T15:00:01.073-07:00,47.959442138671875,0,0
2022-04-02T15:15:01.066-07:00,48.257049560546875,0,0
2022-04-02T15:30:01.071-07:00,48.264678955078125,0,0
2022-04-02T15:45:01.053-07:00,48.310455322265625,0,0
2022-04-02T16:00:01.034-07:00,48.241790771484375,0,0
2022-04-02T16:15:01.058-07:00,47.9212646484375,0,0
2022-04-02T16:30:01.056-07:00,47.951812744140625,0,0
2022-04-02T16:45:01.066-07:00,48.020477294921875,0,0
2022-04-02T17:00:01.090-07:00,47.89837646484375,0,0
2022-04-02T17:15:01.057-07:00,47.89837646484375,0,0
2022-04-02T17:30:01.073-07:00,47.516815185546875,0,0
2022-04-02T17:45:01.051-07:00,47.37945556640625,0,0
2022-04-02T18:00:01.061-07:00,47.33367919921875,0,0
2022-04-02T18:15:01.064-07:00,47.226837158203125,0,0
2022-04-02T18:30:01.198-07:00,47.211578369140625,0,0
2022-04-02T18:45:01.070-07:00,47.12762451171875,0,0
2022-04-02T19:00:01.048-07:00,47.08184814453125,0,0
2022-04-02T19:15:01.036-07:00,47.13525390625,0,0
2022-04-02T19:30:01.061-07:00,46.982635498046875,0,0
2022-04-02T19:45:01.050-07:00,46.959747314453125,0,0
2022-04-02T20:00:01.099-07:00,47.01318359375,0,0
2022-04-02T20:15:01.045-07:00,46.78424072265625,0,0
2022-04-02T20:30:01.022-07:00,46.906341552734375,0,0
2022-04-02T20:45:01.062-07:00,47.0284423828125,0,0
2022-04-02T21:00:01.130-07:00,46.906341552734375,0,0
2022-04-02T21:15:00.084-07:00,46.959747314453125,0,0
2022-04-02T21:30:01.057-07:00,46.8223876953125,0,0
2022-04-02T21:45:01.078-07:00,46.78424072265625,0,0
2022-04-02T22:00:01.045-07:00,47.07421875,0,0
2022-04-02T22:15:01.074-07:00,46.776611328125,0,0
2022-04-02T22:30:01.050-07:00,46.616363525390625,0,0
2022-04-02T22:45:01.124-07:00,46.776611328125,0,0
2022-04-02T23:00:01.295-07:00,46.79949951171875,0,0
2022-04-02T23:15:01.044-07:00,46.738433837890625,0,0
2022-04-02T23:30:01.044-07:00,46.776611328125,0,0
2022-04-02T23:45:01.009-07:00,46.8529052734375,0,0
2022-04-03T00:00:01.064-07:00,46.74609375,0,0
2022-04-03T00:15:01.106-07:00,46.57818603515625,0,0
2022-04-03T00:30:01.053-07:00,46.700286865234375,0,0
2022-04-03T00:45:01.235-07:00,46.86053466796875,0,0
2022-04-03T01:00:01.081-07:00,46.8681640625,0,0
2022-04-03T01:15:01.051-07:00,46.7918701171875,0,0
2022-04-03T01:30:01.102-07:00,46.891082763671875,0,0
2022-04-03T01:45:01.023-07:00,46.74609375,0,0
2022-04-03T02:00:01.032-07:00,46.76898193359375,0,0
2022-04-03T02:15:01.037-07:00,46.5858154296875,0,0
2022-04-03T02:30:01.070-07:00,46.76898193359375,0,0
2022-04-03T02:45:01.032-07:00,46.5400390625,0,0
2022-04-03T03:00:01.034-07:00,46.56292724609375,0,0
2022-04-03T03:15:01.080-07:00,46.59344482421875,0,0
2022-04-03T03:30:01.116-07:00,46.456085205078125,0,0
2022-04-03T03:45:01.190-07:00,46.7918701171875,0,0
2022-04-03T04:00:00.118-07:00,46.80712890625,0,0
2022-04-03T04:15:01.064-07:00,46.4942626953125,0,0
2022-04-03T04:30:01.081-07:00,46.60107421875,0,0
2022-04-03T04:45:01.034-07:00,46.654510498046875,0,0
2022-04-03T05:00:05.284-07:00,46.387420654296875,0,0
2022-04-03T05:15:01.140-07:00,46.646881103515625,0,0
2022-04-03T05:30:01.079-07:00,46.440826416015625,0,0
2022-04-03T05:45:01.172-07:00,46.7918701171875,0,0
2022-04-03T06:00:01.130-07:00,46.341644287109375,0,0
2022-04-03T06:15:01.092-07:00,46.387420654296875,0,0
2022-04-03T06:30:01.038-07:00,46.776611328125,0,0
2022-04-03T06:45:01.069-07:00,46.48663330078125,0,0
2022-04-03T07:00:01.171-07:00,46.5552978515625,0,0
2022-04-03T07:15:01.045-07:00,46.425567626953125,0,0
2022-04-03T07:30:01.053-07:00,46.433197021484375,0,0
2022-04-03T07:45:01.098-07:00,46.51715087890625,0,0
2022-04-03T08:00:01.033-07:00,46.53240966796875,0,0
2022-04-03T08:15:01.078-07:00,46.944488525390625,0,0
2022-04-03T08:30:01.107-07:00,46.4942626953125,0,0
2022-04-03T08:45:01.095-07:00,46.990264892578125,0,0
2022-04-03T09:00:01.057-07:00,46.975006103515625,0,0
2022-04-03T09:15:01.078-07:00,47.08184814453125,0,0
2022-04-03T09:30:01.044-07:00,47.0589599609375,0,0
2022-04-03T09:45:01.059-07:00,47.226837158203125,0,0
2022-04-03T10:00:01.040-07:00,46.990264892578125,0,0
2022-04-03T10:15:01.085-07:00,47.310791015625,0,0
2022-04-03T10:30:01.276-07:00,47.31842041015625,0,0
2022-04-03T10:45:01.096-07:00,47.34893798828125,0,0
2022-04-03T11:00:01.171-07:00,47.203948974609375,0,0
2022-04-03T11:15:01.073-07:00,47.13525390625,0,0
2022-04-03T11:30:01.045-07:00,47.249725341796875,0,0
2022-04-03T11:45:01.088-07:00,47.36419677734375,0,0
2022-04-03T12:00:01.059-07:00,47.37945556640625,0,0
2022-04-03T12:15:01.031-07:00,47.30316162109375,0,0
2022-04-03T12:30:00.985-07:00,47.34130859375,0,0
2022-04-03T12:45:01.076-07:00,47.36419677734375,0,0
2022-04-03T13:00:01.057-07:00,47.410003662109375,0,0
